#fileformat=SDRF
#version=v1.1.0
#template=default
#template_version=v1.1.0
source name	characteristics[organism]	characteristics[organism part]	characteristics[strain/breed]	characteristics[disease]	characteristics[cell type]	characteristics[treatment]	characteristics[biological replicate]	characteristics[medium]	characteristics[temperature]	assay name	technology type	comment[technical replicate]	comment[proteomics data acquisition method]	comment[data file]	comment[fraction identifier]	comment[label]	comment[instrument]	comment[cleavage agent details]	comment[fragment mass tolerance]	comment[precursor mass tolerance]	comment[reduction reagent]	comment[alkylation reagent]	comment[modification parameters]	comment[modification parameters].1	comment[modification parameters].2	comment[dissociation method]	comment[collision energy]
WZG-Ecoli-iTRAQ-1.raw	Escherichia coli	Cell lysate	Escherichia coli str. K-12	Not applicable	Prokaryotic cell	Not available	1	LB medium	37°C	run 1	Proteomic profiling by mass spectrometry	1	NT=Data-dependent acquisition;AC=PRIDE:0000627	WZG-Ecoli-iTRAQ-1.raw	1	ITRAQ	Q Exactive	NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P)	Not available	Not available	DTT	IAA	NT=Carbamidomethyl;AC=4;CF=H(3) C(2) N O;MM=57.021464;MT=Fixed;PP=Anywhere;TA=['C']	NT=iTRAQ8plex;AC=730;CF=H(24) C(7) 13C(7) N(3) 15N O(3);MM=304.20536;MT=Variable;PP=Anywhere;TA=['K']	NT=iTRAQ8plex;AC=730;CF=H(24) C(7) 13C(7) N(3) 15N O(3);MM=304.20536;MT=Variable;PP=Protein N-term;TA=['X']	NT=HCD; AC=MS:1002481	Not available
WZG-Ecoli-iTRAQ-2.raw	Escherichia coli	Cell lysate	Escherichia coli str. K-12	Not applicable	Prokaryotic cell	Not available	1	LB medium	37°C	run 2	Proteomic profiling by mass spectrometry	1	NT=Data-dependent acquisition;AC=PRIDE:0000627	WZG-Ecoli-iTRAQ-2.raw	1	ITRAQ	Q Exactive	NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P)	Not available	Not available	DTT	IAA	NT=Carbamidomethyl;AC=4;CF=H(3) C(2) N O;MM=57.021464;MT=Fixed;PP=Anywhere;TA=['C']	NT=iTRAQ8plex;AC=730;CF=H(24) C(7) 13C(7) N(3) 15N O(3);MM=304.20536;MT=Variable;PP=Anywhere;TA=['K']	NT=iTRAQ8plex;AC=730;CF=H(24) C(7) 13C(7) N(3) 15N O(3);MM=304.20536;MT=Variable;PP=Protein N-term;TA=['X']	NT=HCD; AC=MS:1002481	Not available
WZG-Ecoli-iTRAQ-3.raw	Escherichia coli	Cell lysate	Escherichia coli str. K-12	Not applicable	Prokaryotic cell	Not available	1	LB medium	37°C	run 3	Proteomic profiling by mass spectrometry	1	NT=Data-dependent acquisition;AC=PRIDE:0000627	WZG-Ecoli-iTRAQ-3.raw	1	ITRAQ	Q Exactive	NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P)	Not available	Not available	DTT	IAA	NT=Carbamidomethyl;AC=4;CF=H(3) C(2) N O;MM=57.021464;MT=Fixed;PP=Anywhere;TA=['C']	NT=iTRAQ8plex;AC=730;CF=H(24) C(7) 13C(7) N(3) 15N O(3);MM=304.20536;MT=Variable;PP=Anywhere;TA=['K']	NT=iTRAQ8plex;AC=730;CF=H(24) C(7) 13C(7) N(3) 15N O(3);MM=304.20536;MT=Variable;PP=Protein N-term;TA=['X']	NT=HCD; AC=MS:1002481	Not available
WZG-Ecoli-iTRAQ-4.raw	Escherichia coli	Cell lysate	Escherichia coli str. K-12	Not applicable	Prokaryotic cell	Not available	1	LB medium	37°C	run 4	Proteomic profiling by mass spectrometry	1	NT=Data-dependent acquisition;AC=PRIDE:0000627	WZG-Ecoli-iTRAQ-4.raw	1	ITRAQ	Q Exactive	NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P)	Not available	Not available	DTT	IAA	NT=Carbamidomethyl;AC=4;CF=H(3) C(2) N O;MM=57.021464;MT=Fixed;PP=Anywhere;TA=['C']	NT=iTRAQ8plex;AC=730;CF=H(24) C(7) 13C(7) N(3) 15N O(3);MM=304.20536;MT=Variable;PP=Anywhere;TA=['K']	NT=iTRAQ8plex;AC=730;CF=H(24) C(7) 13C(7) N(3) 15N O(3);MM=304.20536;MT=Variable;PP=Protein N-term;TA=['X']	NT=HCD; AC=MS:1002481	Not available
WZG-Ecoli-iTRAQ-5.raw	Escherichia coli	Cell lysate	Escherichia coli str. K-12	Not applicable	Prokaryotic cell	Not available	1	LB medium	37°C	run 5	Proteomic profiling by mass spectrometry	1	NT=Data-dependent acquisition;AC=PRIDE:0000627	WZG-Ecoli-iTRAQ-5.raw	1	ITRAQ	Q Exactive	NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P)	Not available	Not available	DTT	IAA	NT=Carbamidomethyl;AC=4;CF=H(3) C(2) N O;MM=57.021464;MT=Fixed;PP=Anywhere;TA=['C']	NT=iTRAQ8plex;AC=730;CF=H(24) C(7) 13C(7) N(3) 15N O(3);MM=304.20536;MT=Variable;PP=Anywhere;TA=['K']	NT=iTRAQ8plex;AC=730;CF=H(24) C(7) 13C(7) N(3) 15N O(3);MM=304.20536;MT=Variable;PP=Protein N-term;TA=['X']	NT=HCD; AC=MS:1002481	Not available
WZG-Ecoli-iTRAQ-6.raw	Escherichia coli	Cell lysate	Escherichia coli str. K-12	Not applicable	Prokaryotic cell	Not available	1	LB medium	37°C	run 6	Proteomic profiling by mass spectrometry	1	NT=Data-dependent acquisition;AC=PRIDE:0000627	WZG-Ecoli-iTRAQ-6.raw	1	ITRAQ	Q Exactive	NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P)	Not available	Not available	DTT	IAA	NT=Carbamidomethyl;AC=4;CF=H(3) C(2) N O;MM=57.021464;MT=Fixed;PP=Anywhere;TA=['C']	NT=iTRAQ8plex;AC=730;CF=H(24) C(7) 13C(7) N(3) 15N O(3);MM=304.20536;MT=Variable;PP=Anywhere;TA=['K']	NT=iTRAQ8plex;AC=730;CF=H(24) C(7) 13C(7) N(3) 15N O(3);MM=304.20536;MT=Variable;PP=Protein N-term;TA=['X']	NT=HCD; AC=MS:1002481	Not available
WZG-Ecoli-iTRAQ-7.raw	Escherichia coli	Cell lysate	Escherichia coli str. K-12	Not applicable	Prokaryotic cell	Not available	1	LB medium	37°C	run 7	Proteomic profiling by mass spectrometry	1	NT=Data-dependent acquisition;AC=PRIDE:0000627	WZG-Ecoli-iTRAQ-7.raw	1	ITRAQ	Q Exactive	NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P)	Not available	Not available	DTT	IAA	NT=Carbamidomethyl;AC=4;CF=H(3) C(2) N O;MM=57.021464;MT=Fixed;PP=Anywhere;TA=['C']	NT=iTRAQ8plex;AC=730;CF=H(24) C(7) 13C(7) N(3) 15N O(3);MM=304.20536;MT=Variable;PP=Anywhere;TA=['K']	NT=iTRAQ8plex;AC=730;CF=H(24) C(7) 13C(7) N(3) 15N O(3);MM=304.20536;MT=Variable;PP=Protein N-term;TA=['X']	NT=HCD; AC=MS:1002481	Not available
WZG-Ecoli-iTRAQ-8.raw	Escherichia coli	Cell lysate	Escherichia coli str. K-12	Not applicable	Prokaryotic cell	Not available	1	LB medium	37°C	run 8	Proteomic profiling by mass spectrometry	1	NT=Data-dependent acquisition;AC=PRIDE:0000627	WZG-Ecoli-iTRAQ-8.raw	1	ITRAQ	Q Exactive	NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P)	Not available	Not available	DTT	IAA	NT=Carbamidomethyl;AC=4;CF=H(3) C(2) N O;MM=57.021464;MT=Fixed;PP=Anywhere;TA=['C']	NT=iTRAQ8plex;AC=730;CF=H(24) C(7) 13C(7) N(3) 15N O(3);MM=304.20536;MT=Variable;PP=Anywhere;TA=['K']	NT=iTRAQ8plex;AC=730;CF=H(24) C(7) 13C(7) N(3) 15N O(3);MM=304.20536;MT=Variable;PP=Protein N-term;TA=['X']	NT=HCD; AC=MS:1002481	Not available
WZG-Ecoli-iTRAQ-9.raw	Escherichia coli	Cell lysate	Escherichia coli str. K-12	Not applicable	Prokaryotic cell	Not available	1	LB medium	37°C	run 9	Proteomic profiling by mass spectrometry	1	NT=Data-dependent acquisition;AC=PRIDE:0000627	WZG-Ecoli-iTRAQ-9.raw	1	ITRAQ	Q Exactive	NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P)	Not available	Not available	DTT	IAA	NT=Carbamidomethyl;AC=4;CF=H(3) C(2) N O;MM=57.021464;MT=Fixed;PP=Anywhere;TA=['C']	NT=iTRAQ8plex;AC=730;CF=H(24) C(7) 13C(7) N(3) 15N O(3);MM=304.20536;MT=Variable;PP=Anywhere;TA=['K']	NT=iTRAQ8plex;AC=730;CF=H(24) C(7) 13C(7) N(3) 15N O(3);MM=304.20536;MT=Variable;PP=Protein N-term;TA=['X']	NT=HCD; AC=MS:1002481	Not available
WZG-Ecoli-iTRAQ-10.raw	Escherichia coli	Cell lysate	Escherichia coli str. K-12	Not applicable	Prokaryotic cell	Not available	1	LB medium	37°C	run 10	Proteomic profiling by mass spectrometry	1	NT=Data-dependent acquisition;AC=PRIDE:0000627	WZG-Ecoli-iTRAQ-10.raw	1	ITRAQ	Q Exactive	NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P)	Not available	Not available	DTT	IAA	NT=Carbamidomethyl;AC=4;CF=H(3) C(2) N O;MM=57.021464;MT=Fixed;PP=Anywhere;TA=['C']	NT=iTRAQ8plex;AC=730;CF=H(24) C(7) 13C(7) N(3) 15N O(3);MM=304.20536;MT=Variable;PP=Anywhere;TA=['K']	NT=iTRAQ8plex;AC=730;CF=H(24) C(7) 13C(7) N(3) 15N O(3);MM=304.20536;MT=Variable;PP=Protein N-term;TA=['X']	NT=HCD; AC=MS:1002481	Not available
