Source Name	Characteristics[organism]	Characteristics[organism part]	Characteristics[age]	Characteristics[cell line]	Characteristics[cell type]	Characteristics[ancestry category]	Characteristics[developmental stage]	Characteristics[sex]	Characteristics[disease]	Characteristics[biological replicate]	Characteristics[individual]	assay name	comment[data file]	comment[technical replicate]	comment[fractionation method]	comment[fraction identifier]	comment[ms2 mass analyzer]	comment[instrument]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[cleavage agent details]	comment[cleavage agent details]	comment[label]	comment[collision energy]	comment[fragment mass tolerance]	comment[precursor mass tolerance]	Material Type	factor value[organism part]
Sample 1	Homo sapiens	melanoma cerebral metastasis cells cytoplasm	not available	not applicable	cerebellar	not available	not available	not available	Melanoma	1	DP	run 1	DP-CB2_CYT_1_1.raw	1	NT=High-performance liquid chromatography;AC=PRIDE:0000565	1	AC=MS:1000484; NT=Orbitrap	NT=Q Exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Acetyl;AC=UNIMOD:1;MT=variable;PP=Protein C-term	NT=Trypsin; AC=MS:1001251	NT=Lys-C;AC=MS:1001309	AC=MS:1002038;NT=label free sample	30%	not available	not available	cell	1
Sample 1	Homo sapiens	melanoma cerebral metastasis cells cytoplasm	not available	not applicable	cerebellar	not available	not available	not available	Melanoma	1	DP	run 2	DP-CB2_CYT_1_2.raw	2	NT=High-performance liquid chromatography;AC=PRIDE:0000565	1	AC=MS:1000484; NT=Orbitrap	NT=Q Exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Acetyl;AC=UNIMOD:1;MT=variable;PP=Protein C-term	NT=Trypsin; AC=MS:1001251	NT=Lys-C;AC=MS:1001309	AC=MS:1002038;NT=label free sample	30%	not available	not available	cell	2
Sample 2	Homo sapiens	melanoma cerebral metastasis cells cytoplasm	not available	not applicable	cerebellar	not available	not available	not available	Melanoma	2	DP	run 3	DP-CB2_CYT_2_1.raw	1	NT=High-performance liquid chromatography;AC=PRIDE:0000565	1	AC=MS:1000484; NT=Orbitrap	NT=Q Exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Acetyl;AC=UNIMOD:1;MT=variable;PP=Protein C-term	NT=Trypsin; AC=MS:1001251	NT=Lys-C;AC=MS:1001309	AC=MS:1002038;NT=label free sample	30%	not available	not available	cell	3
Sample 2	Homo sapiens	melanoma cerebral metastasis cells cytoplasm	not available	not applicable	cerebellar	not available	not available	not available	Melanoma	2	DP	run 4	DP-CB2_CYT_2_2.raw	2	NT=High-performance liquid chromatography;AC=PRIDE:0000565	1	AC=MS:1000484; NT=Orbitrap	NT=Q Exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Acetyl;AC=UNIMOD:1;MT=variable;PP=Protein C-term	NT=Trypsin; AC=MS:1001251	NT=Lys-C;AC=MS:1001309	AC=MS:1002038;NT=label free sample	30%	not available	not available	cell	4
Sample 3	Homo sapiens	melanoma cerebral metastasis cells cytoplasm	not available	not applicable	cerebellar	not available	not available	not available	Melanoma	3	DP	run 5	DP-CB2_CYT_3_1.raw	1	NT=High-performance liquid chromatography;AC=PRIDE:0000565	1	AC=MS:1000484; NT=Orbitrap	NT=Q Exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Acetyl;AC=UNIMOD:1;MT=variable;PP=Protein C-term	NT=Trypsin; AC=MS:1001251	NT=Lys-C;AC=MS:1001309	AC=MS:1002038;NT=label free sample	30%	not available	not available	cell	5
Sample 3	Homo sapiens	melanoma cerebral metastasis cells cytoplasm	not available	not applicable	cerebellar	not available	not available	not available	Melanoma	3	DP	run 6	DP-CB2_CYT_3_2.raw	2	NT=High-performance liquid chromatography;AC=PRIDE:0000565	1	AC=MS:1000484; NT=Orbitrap	NT=Q Exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Acetyl;AC=UNIMOD:1;MT=variable;PP=Protein C-term	NT=Trypsin; AC=MS:1001251	NT=Lys-C;AC=MS:1001309	AC=MS:1002038;NT=label free sample	30%	not available	not available	cell	6
Sample 4	Homo sapiens	melanoma cerebral metastasis cells nuclear extracts	not available	not applicable	cerebellar	not available	not available	not available	Melanoma	1	DP	run 7	DP-CB2_NE_1_1.raw	1	NT=High-performance liquid chromatography;AC=PRIDE:0000565	1	AC=MS:1000484; NT=Orbitrap	NT=Q Exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Acetyl;AC=UNIMOD:1;MT=variable;PP=Protein C-term	NT=Trypsin; AC=MS:1001251	NT=Lys-C;AC=MS:1001309	AC=MS:1002038;NT=label free sample	30%	not available	not available	cell	7
Sample 4	Homo sapiens	melanoma cerebral metastasis cells nuclear extracts	not available	not applicable	cerebellar	not available	not available	not available	Melanoma	1	DP	run 8	DP-CB2_NE_1_2.raw	2	NT=High-performance liquid chromatography;AC=PRIDE:0000565	1	AC=MS:1000484; NT=Orbitrap	NT=Q Exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Acetyl;AC=UNIMOD:1;MT=variable;PP=Protein C-term	NT=Trypsin; AC=MS:1001251	NT=Lys-C;AC=MS:1001309	AC=MS:1002038;NT=label free sample	30%	not available	not available	cell	8
Sample 5	Homo sapiens	melanoma cerebral metastasis cells nuclear extracts	not available	not applicable	cerebellar	not available	not available	not available	Melanoma	2	DP	run 9	DP-CB2_NE_2_1.raw	1	NT=High-performance liquid chromatography;AC=PRIDE:0000565	1	AC=MS:1000484; NT=Orbitrap	NT=Q Exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Acetyl;AC=UNIMOD:1;MT=variable;PP=Protein C-term	NT=Trypsin; AC=MS:1001251	NT=Lys-C;AC=MS:1001309	AC=MS:1002038;NT=label free sample	30%	not available	not available	cell	9
Sample 5	Homo sapiens	melanoma cerebral metastasis cells nuclear extracts	not available	not applicable	cerebellar	not available	not available	not available	Melanoma	2	DP	run 10	DP-CB2_NE_2_2.raw	2	NT=High-performance liquid chromatography;AC=PRIDE:0000565	1	AC=MS:1000484; NT=Orbitrap	NT=Q Exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Acetyl;AC=UNIMOD:1;MT=variable;PP=Protein C-term	NT=Trypsin; AC=MS:1001251	NT=Lys-C;AC=MS:1001309	AC=MS:1002038;NT=label free sample	30%	not available	not available	cell	10
