source name	characteristics[organism]	characteristics[organism part]	characteristics[individual]	characteristics[cell type]	characteristics[ancestry category]	characteristics[age]	characteristics[developmental stage]	characteristics[sex]	characteristics[biological replicate]	characteristics[disease]	assay name	technology type	comment[data file]	comment[file uri]	comment[fraction identifier]	comment[fractionation method]	comment[label]	comment[technical replicate]	comment[cleavage agent details]	comment[ms2 mass analyzer]	comment[instrument]	comment[separation]	comment[modification parameters]	comment[modification parameters]	comment[dissociation method]	comment[collision energy]	comment[precursor mass tolerance]	comment[fragment mass tolerance]
mixed CSF	Homo sapiens	cerebrospinal fluid	not applicable	not applicable	not applicable	not applicable	not available	not applicable	1	uninfected	hv_map_b34	proteomic profiling by mass spectrometry	HV_map_B34.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2014/08/PXD000652/HV_map_B34.raw	34	AC=PRIDE:0000124; NT=Sodium dodecyl sulfate polyacrylamide gel electrophoresis	AC=MS:1002038;NT=label free sample	1	NT=Trypsin;AC=MS:1001251	AC=MS:1000264; NT=ion trap	AC=MS:1001742; NT=LTQ Orbitrap Velos	AC=PRIDE:0000563;NT=Reversed-phase chromatography	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	AC=MS:1000133;NT=CID	35 NCE	10 ppm	0.7 Da
mixed CSF	Homo sapiens	cerebrospinal fluid	not applicable	not applicable	not applicable	not applicable	not available	not applicable	1	uninfected	hv_map_b30	proteomic profiling by mass spectrometry	HV_map_B30.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2014/08/PXD000652/HV_map_B30.raw	30	AC=PRIDE:0000124; NT=Sodium dodecyl sulfate polyacrylamide gel electrophoresis	AC=MS:1002038;NT=label free sample	1	NT=Trypsin;AC=MS:1001251	AC=MS:1000264; NT=ion trap	AC=MS:1001742; NT=LTQ Orbitrap Velos	AC=PRIDE:0000563;NT=Reversed-phase chromatography	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	AC=MS:1000133;NT=CID	35 NCE	10 ppm	0.7 Da
mixed CSF	Homo sapiens	cerebrospinal fluid	not applicable	not applicable	not applicable	not applicable	not available	not applicable	1	uninfected	hv_map_b36	proteomic profiling by mass spectrometry	HV_map_B36.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2014/08/PXD000652/HV_map_B36.raw	36	AC=PRIDE:0000124; NT=Sodium dodecyl sulfate polyacrylamide gel electrophoresis	AC=MS:1002038;NT=label free sample	1	NT=Trypsin;AC=MS:1001251	AC=MS:1000264; NT=ion trap	AC=MS:1001742; NT=LTQ Orbitrap Velos	AC=PRIDE:0000563;NT=Reversed-phase chromatography	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	AC=MS:1000133;NT=CID	35 NCE	10 ppm	0.7 Da
mixed CSF	Homo sapiens	cerebrospinal fluid	not applicable	not applicable	not applicable	not applicable	not available	not applicable	1	uninfected	hv_map_b13	proteomic profiling by mass spectrometry	HV_map_B13.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2014/08/PXD000652/HV_map_B13.raw	13	AC=PRIDE:0000124; NT=Sodium dodecyl sulfate polyacrylamide gel electrophoresis	AC=MS:1002038;NT=label free sample	1	NT=Trypsin;AC=MS:1001251	AC=MS:1000264; NT=ion trap	AC=MS:1001742; NT=LTQ Orbitrap Velos	AC=PRIDE:0000563;NT=Reversed-phase chromatography	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	AC=MS:1000133;NT=CID	35 NCE	10 ppm	0.7 Da
mixed CSF	Homo sapiens	cerebrospinal fluid	not applicable	not applicable	not applicable	not applicable	not available	not applicable	1	uninfected	hv_map_b43	proteomic profiling by mass spectrometry	HV_map_B43.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2014/08/PXD000652/HV_map_B43.raw	43	AC=PRIDE:0000124; NT=Sodium dodecyl sulfate polyacrylamide gel electrophoresis	AC=MS:1002038;NT=label free sample	1	NT=Trypsin;AC=MS:1001251	AC=MS:1000264; NT=ion trap	AC=MS:1001742; NT=LTQ Orbitrap Velos	AC=PRIDE:0000563;NT=Reversed-phase chromatography	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	AC=MS:1000133;NT=CID	35 NCE	10 ppm	0.7 Da
mixed CSF	Homo sapiens	cerebrospinal fluid	not applicable	not applicable	not applicable	not applicable	not available	not applicable	1	uninfected	hv_map_b12	proteomic profiling by mass spectrometry	HV_map_B12.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2014/08/PXD000652/HV_map_B12.raw	12	AC=PRIDE:0000124; NT=Sodium dodecyl sulfate polyacrylamide gel electrophoresis	AC=MS:1002038;NT=label free sample	1	NT=Trypsin;AC=MS:1001251	AC=MS:1000264; NT=ion trap	AC=MS:1001742; NT=LTQ Orbitrap Velos	AC=PRIDE:0000563;NT=Reversed-phase chromatography	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	AC=MS:1000133;NT=CID	35 NCE	10 ppm	0.7 Da
mixed CSF	Homo sapiens	cerebrospinal fluid	not applicable	not applicable	not applicable	not applicable	not available	not applicable	1	uninfected	hv_map_b27	proteomic profiling by mass spectrometry	HV_map_B27.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2014/08/PXD000652/HV_map_B27.raw	27	AC=PRIDE:0000124; NT=Sodium dodecyl sulfate polyacrylamide gel electrophoresis	AC=MS:1002038;NT=label free sample	1	NT=Trypsin;AC=MS:1001251	AC=MS:1000264; NT=ion trap	AC=MS:1001742; NT=LTQ Orbitrap Velos	AC=PRIDE:0000563;NT=Reversed-phase chromatography	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	AC=MS:1000133;NT=CID	35 NCE	10 ppm	0.7 Da
mixed CSF	Homo sapiens	cerebrospinal fluid	not applicable	not applicable	not applicable	not applicable	not available	not applicable	1	uninfected	hv_map_b16	proteomic profiling by mass spectrometry	HV_map_B16.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2014/08/PXD000652/HV_map_B16.raw	16	AC=PRIDE:0000124; NT=Sodium dodecyl sulfate polyacrylamide gel electrophoresis	AC=MS:1002038;NT=label free sample	1	NT=Trypsin;AC=MS:1001251	AC=MS:1000264; NT=ion trap	AC=MS:1001742; NT=LTQ Orbitrap Velos	AC=PRIDE:0000563;NT=Reversed-phase chromatography	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	AC=MS:1000133;NT=CID	35 NCE	10 ppm	0.7 Da
mixed CSF	Homo sapiens	cerebrospinal fluid	not applicable	not applicable	not applicable	not applicable	not available	not applicable	1	uninfected	hv_map_b24	proteomic profiling by mass spectrometry	HV_map_B24.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2014/08/PXD000652/HV_map_B24.raw	24	AC=PRIDE:0000124; NT=Sodium dodecyl sulfate polyacrylamide gel electrophoresis	AC=MS:1002038;NT=label free sample	1	NT=Trypsin;AC=MS:1001251	AC=MS:1000264; NT=ion trap	AC=MS:1001742; NT=LTQ Orbitrap Velos	AC=PRIDE:0000563;NT=Reversed-phase chromatography	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	AC=MS:1000133;NT=CID	35 NCE	10 ppm	0.7 Da
mixed CSF	Homo sapiens	cerebrospinal fluid	not applicable	not applicable	not applicable	not applicable	not available	not applicable	1	uninfected	hv_map_b14	proteomic profiling by mass spectrometry	HV_map_B14.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2014/08/PXD000652/HV_map_B14.raw	14	AC=PRIDE:0000124; NT=Sodium dodecyl sulfate polyacrylamide gel electrophoresis	AC=MS:1002038;NT=label free sample	1	NT=Trypsin;AC=MS:1001251	AC=MS:1000264; NT=ion trap	AC=MS:1001742; NT=LTQ Orbitrap Velos	AC=PRIDE:0000563;NT=Reversed-phase chromatography	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	AC=MS:1000133;NT=CID	35 NCE	10 ppm	0.7 Da
