source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[pool]	characteristics[enrichment process]	assay name	comment[technical replicate]	comment[fraction identifier] 	comment[label] 	comment[data file]	comment[file uri]	comment[instrument]	comment[cleavage agent details]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[fragment mass tolerance]	comment[precursor mass tolerance]
Sample 1	Homo sapiens	Epithelial cell	Epithelial cell	Bone osteosarcoma	1	enrichment of phosphorylated Protein	run 1	1	1	AC=MS:1002038;NT=label free sample	SF_200217_pPeptideLibrary_pool1_HCDOT_rep1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/09/PXD007058/SF_200217_pPeptideLibrary_pool1_HCDOT_rep1.raw	NT=Orbitrap Fusion ETD;AC=MS:1002417	NT=Trypsin;AC=MS:1001251	"NT=Phosphorylation;TA=S,T,Y;AC=UNIMOD:21;MT=variable"	NT=Oxidation;TA=M;AC=UNIMOD:35;MT=variable	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	0.6 Da	10 ppm
Sample 1	Homo sapiens	Epithelial cell	Epithelial cell	Bone osteosarcoma	1	enrichment of phosphorylated Protein	run 2	2	1	AC=MS:1002038;NT=label free sample	SF_200217_pPeptideLibrary_pool1_HCDOT_rep2.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/09/PXD007058/SF_200217_pPeptideLibrary_pool1_HCDOT_rep2.raw	NT=Orbitrap Fusion ETD;AC=MS:1002417	NT=Trypsin;AC=MS:1001251	"NT=Phosphorylation;TA=S,T,Y;AC=UNIMOD:21;MT=variable"	NT=Oxidation;TA=M;AC=UNIMOD:35;MT=variable	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	0.6 Da	10 ppm
Sample 1	Homo sapiens	Epithelial cell	Epithelial cell	Bone osteosarcoma	2	enrichment of phosphorylated Protein	run 3	1	1	AC=MS:1002038;NT=label free sample	SF_200217_pPeptideLibrary_pool2_HCDOT_rep1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/09/PXD007058/SF_200217_pPeptideLibrary_pool2_HCDOT_rep1.raw	NT=Orbitrap Fusion ETD;AC=MS:1002417	NT=Trypsin;AC=MS:1001251	"NT=Phosphorylation;TA=S,T,Y;AC=UNIMOD:21;MT=variable"	NT=Oxidation;TA=M;AC=UNIMOD:35;MT=variable	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	0.6 Da	10 ppm
Sample 1	Homo sapiens	Epithelial cell	Epithelial cell	Bone osteosarcoma	2	enrichment of phosphorylated Protein	run 4	2	1	AC=MS:1002038;NT=label free sample	SF_200217_pPeptideLibrary_pool2_HCDOT_rep2.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/09/PXD007058/SF_200217_pPeptideLibrary_pool2_HCDOT_rep2.raw	NT=Orbitrap Fusion ETD;AC=MS:1002417	NT=Trypsin;AC=MS:1001251	"NT=Phosphorylation;TA=S,T,Y;AC=UNIMOD:21;MT=variable"	NT=Oxidation;TA=M;AC=UNIMOD:35;MT=variable	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	0.6 Da	10 ppm
Sample 1	Homo sapiens	Epithelial cell	Epithelial cell	Bone osteosarcoma	3	enrichment of phosphorylated Protein	run 5	1	1	AC=MS:1002038;NT=label free sample	SF_200217_pPeptideLibrary_pool3_HCDOT_rep1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/09/PXD007058/SF_200217_pPeptideLibrary_pool3_HCDOT_rep1.raw	NT=Orbitrap Fusion ETD;AC=MS:1002417	NT=Trypsin;AC=MS:1001251	"NT=Phosphorylation;TA=S,T,Y;AC=UNIMOD:21;MT=variable"	NT=Oxidation;TA=M;AC=UNIMOD:35;MT=variable	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	0.6 Da	10 ppm
Sample 1	Homo sapiens	Epithelial cell	Epithelial cell	Bone osteosarcoma	3	enrichment of phosphorylated Protein	run 6	2	1	AC=MS:1002038;NT=label free sample	SF_200217_pPeptideLibrary_pool3_HCDOT_rep2.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/09/PXD007058/SF_200217_pPeptideLibrary_pool3_HCDOT_rep2.raw	NT=Orbitrap Fusion ETD;AC=MS:1002417	NT=Trypsin;AC=MS:1001251	"NT=Phosphorylation;TA=S,T,Y;AC=UNIMOD:21;MT=variable"	NT=Oxidation;TA=M;AC=UNIMOD:35;MT=variable	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	0.6 Da	10 ppm
Sample 1	Homo sapiens	Epithelial cell	Epithelial cell	Bone osteosarcoma	4	enrichment of phosphorylated Protein	run 7	1	1	AC=MS:1002038;NT=label free sample	SF_200217_pPeptideLibrary_pool4_HCDOT_rep1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/09/PXD007058/SF_200217_pPeptideLibrary_pool4_HCDOT_rep1.raw	NT=Orbitrap Fusion ETD;AC=MS:1002417	NT=Trypsin;AC=MS:1001251	"NT=Phosphorylation;TA=S,T,Y;AC=UNIMOD:21;MT=variable"	NT=Oxidation;TA=M;AC=UNIMOD:35;MT=variable	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	0.6 Da	10 ppm
Sample 1	Homo sapiens	Epithelial cell	Epithelial cell	Bone osteosarcoma	4	enrichment of phosphorylated Protein	run 8	2	1	AC=MS:1002038;NT=label free sample	SF_200217_pPeptideLibrary_pool4_HCDOT_rep2.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/09/PXD007058/SF_200217_pPeptideLibrary_pool4_HCDOT_rep2.raw	NT=Orbitrap Fusion ETD;AC=MS:1002417	NT=Trypsin;AC=MS:1001251	"NT=Phosphorylation;TA=S,T,Y;AC=UNIMOD:21;MT=variable"	NT=Oxidation;TA=M;AC=UNIMOD:35;MT=variable	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	0.6 Da	10 ppm
Sample 1	Homo sapiens	Epithelial cell	Epithelial cell	Bone osteosarcoma	5	enrichment of phosphorylated Protein	run 9	1	1	AC=MS:1002038;NT=label free sample	SF_200217_pPeptideLibrary_pool5_HCDOT_rep1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/09/PXD007058/SF_200217_pPeptideLibrary_pool5_HCDOT_rep1.raw	NT=Orbitrap Fusion ETD;AC=MS:1002417	NT=Trypsin;AC=MS:1001251	"NT=Phosphorylation;TA=S,T,Y;AC=UNIMOD:21;MT=variable"	NT=Oxidation;TA=M;AC=UNIMOD:35;MT=variable	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	0.6 Da	10 ppm
Sample 1	Homo sapiens	Epithelial cell	Epithelial cell	Bone osteosarcoma	5	enrichment of phosphorylated Protein	run 10	2	1	AC=MS:1002038;NT=label free sample	SF_200217_pPeptideLibrary_pool5_HCDOT_rep2.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/09/PXD007058/SF_200217_pPeptideLibrary_pool5_HCDOT_rep2.raw	NT=Orbitrap Fusion ETD;AC=MS:1002417	NT=Trypsin;AC=MS:1001251	"NT=Phosphorylation;TA=S,T,Y;AC=UNIMOD:21;MT=variable"	NT=Oxidation;TA=M;AC=UNIMOD:35;MT=variable	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	0.6 Da	10 ppm
