source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[ancestry category]	characteristics[age]	characteristics[sex]	characteristics[disease]	characteristics[individual]	characteristics[biological replicate]	assay name	technology type	comment[technical replicate]	comment[data file]	comment[file url]	comment[fraction identifier]	comment[label]	comment[instrument]	comment[cleavage agent details]	comment[modification parameters]	comment[modification parameters]	comment[number of missed cleavages]	comment[fragment mass tolerance]	comment[precursor mass tolerance]	factor value[condition]
sample 1	yeast	not available	not available	not available	not available	not available	not available	not available	1	run 1	not available	1	20180802_18_SC_T2_B	https://ftp.pride.ebi.ac.uk/pride/data/archive/2022/02/PXD014765/20180802_18_SC_T2_B.mzXML	1	NT=label free sample;AC=MS:1002038	NT=Orbitrap Fusion;AC=MS:1002416	NT=Trypsin;AC=MS:1001251	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4	1	10 ppm	10 ppm	Standard
sample 2	yeast	not available	not available	not available	not available	not available	not available	not available	2	run 2	not available	1	20180802_06_SC_T2A_A	https://ftp.pride.ebi.ac.uk/pride/data/archive/2022/02/PXD014765/20180802_06_SC_T2A_A.mzXML	1	NT=label free sample;AC=MS:1002038	NT=Orbitrap Fusion;AC=MS:1002416	NT=Trypsin;AC=MS:1001251	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4	1	10 ppm	10 ppm	Standard
sample 3	yeast	not available	not available	not available	not available	not available	not available	not available	3	run 3	not available	1	20180802_46_SC_T2_C_rein	https://ftp.pride.ebi.ac.uk/pride/data/archive/2022/02/PXD014765/20180802_46_SC_T2_C_rein.mzXML	1	NT=label free sample;AC=MS:1002038	NT=Orbitrap Fusion;AC=MS:1002416	NT=Trypsin;AC=MS:1001251	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4	1	10 ppm	10 ppm	Standard
sample 4	yeast	not available	not available	not available	not available	not available	not available	not available	1	run 4	not available	1	20180802_08_SC_T3A_A	https://ftp.pride.ebi.ac.uk/pride/data/archive/2022/02/PXD014765/20180802_08_SC_T3A_A.mzXML	1	NT=label free sample;AC=MS:1002038	NT=Orbitrap Fusion;AC=MS:1002416	NT=Trypsin;AC=MS:1001251	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4	1	10 ppm	10 ppm	High_temperature
sample 5	yeast	not available	not available	not available	not available	not available	not available	not available	2	run 5	not available	1	20180802_20_SC_T3_B	https://ftp.pride.ebi.ac.uk/pride/data/archive/2022/02/PXD014765/20180802_20_SC_T3_B.mzXML	1	NT=label free sample;AC=MS:1002038	NT=Orbitrap Fusion;AC=MS:1002416	NT=Trypsin;AC=MS:1001251	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4	1	10 ppm	10 ppm	High_temperature
sample 6	yeast	not available	not available	not available	not available	not available	not available	not available	3	run 6	not available	1	20180802_32_SC_T3_C	https://ftp.pride.ebi.ac.uk/pride/data/archive/2022/02/PXD014765/20180802_32_SC_T3_C.mzXML	1	NT=label free sample;AC=MS:1002038	NT=Orbitrap Fusion;AC=MS:1002416	NT=Trypsin;AC=MS:1001251	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4	1	10 ppm	10 ppm	High_temperature
sample 7	yeast	not available	not available	not available	not available	not available	not available	not available	1	run 7	not available	1	20180802_10_SC_T4A_A	https://ftp.pride.ebi.ac.uk/pride/data/archive/2022/02/PXD014765/20180802_10_SC_T4A_A.mzXML	1	NT=label free sample;AC=MS:1002038	NT=Orbitrap Fusion;AC=MS:1002416	NT=Trypsin;AC=MS:1001251	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4	1	10 ppm	10 ppm	Osmotic_stress
sample 8	yeast	not available	not available	not available	not available	not available	not available	not available	2	run 8	not available	1	20180802_22_SC_T4_B	https://ftp.pride.ebi.ac.uk/pride/data/archive/2022/02/PXD014765/20180802_22_SC_T4_B.mzXML	1	NT=label free sample;AC=MS:1002038	NT=Orbitrap Fusion;AC=MS:1002416	NT=Trypsin;AC=MS:1001251	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4	1	10 ppm	10 ppm	Osmotic_stress
sample 9	yeast	not available	not available	not available	not available	not available	not available	not available	3	run 9	not available	1	20180802_40_SC_T4_C	https://ftp.pride.ebi.ac.uk/pride/data/archive/2022/02/PXD014765/20180802_40_SC_T4_C.mzXML	1	NT=label free sample;AC=MS:1002038	NT=Orbitrap Fusion;AC=MS:1002416	NT=Trypsin;AC=MS:1001251	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4	1	10 ppm	10 ppm	Osmotic_stress
sample 10	yeast	not available	not available	not available	not available	not available	not available	not available	1	run 10	not available	1	20180802_12_SC_T5A_A	https://ftp.pride.ebi.ac.uk/pride/data/archive/2022/02/PXD014765/20180802_12_SC_T5A_A.mzXML	1	NT=label free sample;AC=MS:1002038	NT=Orbitrap Fusion;AC=MS:1002416	NT=Trypsin;AC=MS:1001251	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4	1	10 ppm	10 ppm	Low_pH
