source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[ancestry category]	characteristics[age]	characteristics[sex]	characteristics[disease]	characteristics[individual]	characteristics[biological replicate]	characteristics[timepoint]	assay name	technology type	comment[data file]	comment[associated file uri]	comment[technical replicate]	comment[fraction identifier]	comment[label]	comment[instrument]	comment[cleavage agent details]	comment[dissociation method]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	factor value[disease]
Sample1	homo sapiens	NT=cerebrospinal fluid;AC=UBERON:0001359	not applicable	not available	anonymized	anonymized	NT = healthy; AC = HP:0032322	K8	1	3	Run1	proteomic profiling by mass spectrometry	K8.3QEXI16163.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2019/11/PXD007555/K8.3QEXI16163.raw	1	1	NT=label free sample;AC=MS:1002038	NT=Q Exactive; AC = MS:1001911	NT=Trypsin;AC=MS:1001251	NT=HCD; AC = PRIDE:0000590	5 ppm	20 ppm	NT=Carbamidomethyl; MT=fixed; PP=Anywhere;AC=Unimod:4; TA=C; MM= 57.021464; CF=H(3)C(2)NO	NT=Oxidation; MT=variable; PP=Anywhere;AC=Unimod:35; TA=M; MM= 15.994915; CF=O	NT=Acetylation; MT=variable; PP=Protein N-Term;AC=Unimod:1; TA=.; MM= 42.010565; CF=H(2)C(2)O	NT = healthy; AC = HP:0032322
Sample1	homo sapiens	NT=cerebrospinal fluid;AC=UBERON:0001359	not applicable	not available	anonymized	anonymized	NT = healthy; AC = HP:0032322	K8	1	2	Run2	proteomic profiling by mass spectrometry	K8.2QEXI16183.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2019/11/PXD007555/K8.2QEXI16183.raw	1	1	NT=label free sample;AC=MS:1002038	NT=Q Exactive; AC = MS:1001911	NT=Trypsin;AC=MS:1001252	NT=HCD; AC = PRIDE:0000590	5 ppm	20 ppm	NT=Carbamidomethyl; MT=fixed; PP=Anywhere;AC=Unimod:4; TA=C; MM= 57.021464; CF=H(3)C(2)NO	NT=Oxidation; MT=variable; PP=Anywhere;AC=Unimod:35; TA=M; MM= 15.994915; CF=O	NT=Acetylation; MT=variable; PP=Protein N-Term;AC=Unimod:1; TA=.; MM= 42.010565; CF=H(2)C(2)O	NT = healthy; AC = HP:0032322
Sample1	homo sapiens	NT=cerebrospinal fluid;AC=UBERON:0001359	not applicable	not available	anonymized	anonymized	NT = healthy; AC = HP:0032322	K8	1	1	Run3	proteomic profiling by mass spectrometry	K8.1QEXI16193.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2019/11/PXD007555/K8.1QEXI16193.raw	1	1	NT=label free sample;AC=MS:1002038	NT=Q Exactive; AC = MS:1001911	NT=Trypsin;AC=MS:1001253	NT=HCD; AC = PRIDE:0000590	5 ppm	20 ppm	NT=Carbamidomethyl; MT=fixed; PP=Anywhere;AC=Unimod:4; TA=C; MM= 57.021464; CF=H(3)C(2)NO	NT=Oxidation; MT=variable; PP=Anywhere;AC=Unimod:35; TA=M; MM= 15.994915; CF=O	NT=Acetylation; MT=variable; PP=Protein N-Term;AC=Unimod:1; TA=.; MM= 42.010565; CF=H(2)C(2)O	NT = healthy; AC = HP:0032322
Sample2	homo sapiens	NT=cerebrospinal fluid;AC=UBERON:0001359	not applicable	not available	anonymized	anonymized	NT = healthy; AC = HP:0032322	K5	1	3	Run4	proteomic profiling by mass spectrometry	K5.3QEXI16231.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2019/11/PXD007555/K5.3QEXI16231.raw	1	1	NT=label free sample;AC=MS:1002038	NT=Q Exactive; AC = MS:1001911	NT=Trypsin;AC=MS:1001254	NT=HCD; AC = PRIDE:0000590	5 ppm	20 ppm	NT=Carbamidomethyl; MT=fixed; PP=Anywhere;AC=Unimod:4; TA=C; MM= 57.021464; CF=H(3)C(2)NO	NT=Oxidation; MT=variable; PP=Anywhere;AC=Unimod:35; TA=M; MM= 15.994915; CF=O	NT=Acetylation; MT=variable; PP=Protein N-Term;AC=Unimod:1; TA=.; MM= 42.010565; CF=H(2)C(2)O	NT = healthy; AC = HP:0032322
Sample2	homo sapiens	NT=cerebrospinal fluid;AC=UBERON:0001359	not applicable	not available	anonymized	anonymized	NT = healthy; AC = HP:0032322	K5	1	2	Run5	proteomic profiling by mass spectrometry	K5.2QEXI16155.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2019/11/PXD007555/K5.2QEXI16155.raw	1	1	NT=label free sample;AC=MS:1002038	NT=Q Exactive; AC = MS:1001911	NT=Trypsin;AC=MS:1001255	NT=HCD; AC = PRIDE:0000590	5 ppm	20 ppm	NT=Carbamidomethyl; MT=fixed; PP=Anywhere;AC=Unimod:4; TA=C; MM= 57.021464; CF=H(3)C(2)NO	NT=Oxidation; MT=variable; PP=Anywhere;AC=Unimod:35; TA=M; MM= 15.994915; CF=O	NT=Acetylation; MT=variable; PP=Protein N-Term;AC=Unimod:1; TA=.; MM= 42.010565; CF=H(2)C(2)O	NT = healthy; AC = HP:0032322
Sample2	homo sapiens	NT=cerebrospinal fluid;AC=UBERON:0001359	not applicable	not available	anonymized	anonymized	NT = healthy; AC = HP:0032322	K5	1	1	Run6	proteomic profiling by mass spectrometry	K5.1QEXI16165.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2019/11/PXD007555/K5.1QEXI16165.raw	1	1	NT=label free sample;AC=MS:1002038	NT=Q Exactive; AC = MS:1001911	NT=Trypsin;AC=MS:1001256	NT=HCD; AC = PRIDE:0000590	5 ppm	20 ppm	NT=Carbamidomethyl; MT=fixed; PP=Anywhere;AC=Unimod:4; TA=C; MM= 57.021464; CF=H(3)C(2)NO	NT=Oxidation; MT=variable; PP=Anywhere;AC=Unimod:35; TA=M; MM= 15.994915; CF=O	NT=Acetylation; MT=variable; PP=Protein N-Term;AC=Unimod:1; TA=.; MM= 42.010565; CF=H(2)C(2)O	NT = healthy; AC = HP:0032322
Sample3	homo sapiens	NT=cerebrospinal fluid;AC=UBERON:0001359	not applicable	not available	anonymized	anonymized	NT = healthy; AC = HP:0032322	K40	1	3	Run7	proteomic profiling by mass spectrometry	K40.3QEXI16167.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2019/11/PXD007555/K40.3QEXI16167.raw	1	1	NT=label free sample;AC=MS:1002038	NT=Q Exactive; AC = MS:1001911	NT=Trypsin;AC=MS:1001257	NT=HCD; AC = PRIDE:0000590	5 ppm	20 ppm	NT=Carbamidomethyl; MT=fixed; PP=Anywhere;AC=Unimod:4; TA=C; MM= 57.021464; CF=H(3)C(2)NO	NT=Oxidation; MT=variable; PP=Anywhere;AC=Unimod:35; TA=M; MM= 15.994915; CF=O	NT=Acetylation; MT=variable; PP=Protein N-Term;AC=Unimod:1; TA=.; MM= 42.010565; CF=H(2)C(2)O	NT = healthy; AC = HP:0032322
Sample3	homo sapiens	NT=cerebrospinal fluid;AC=UBERON:0001359	not applicable	not available	anonymized	anonymized	NT = healthy; AC = HP:0032322	K40	1	2	Run8	proteomic profiling by mass spectrometry	K40.2QEXI16217.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2019/11/PXD007555/K40.2QEXI16217.raw	1	1	NT=label free sample;AC=MS:1002038	NT=Q Exactive; AC = MS:1001911	NT=Trypsin;AC=MS:1001258	NT=HCD; AC = PRIDE:0000590	5 ppm	20 ppm	NT=Carbamidomethyl; MT=fixed; PP=Anywhere;AC=Unimod:4; TA=C; MM= 57.021464; CF=H(3)C(2)NO	NT=Oxidation; MT=variable; PP=Anywhere;AC=Unimod:35; TA=M; MM= 15.994915; CF=O	NT=Acetylation; MT=variable; PP=Protein N-Term;AC=Unimod:1; TA=.; MM= 42.010565; CF=H(2)C(2)O	NT = healthy; AC = HP:0032322
Sample3	homo sapiens	NT=cerebrospinal fluid;AC=UBERON:0001359	not applicable	not available	anonymized	anonymized	NT = healthy; AC = HP:0032322	K40	1	1	Run9	proteomic profiling by mass spectrometry	K40.1QEXI16227.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2019/11/PXD007555/K40.1QEXI16227.raw	1	1	NT=label free sample;AC=MS:1002038	NT=Q Exactive; AC = MS:1001911	NT=Trypsin;AC=MS:1001259	NT=HCD; AC = PRIDE:0000590	5 ppm	20 ppm	NT=Carbamidomethyl; MT=fixed; PP=Anywhere;AC=Unimod:4; TA=C; MM= 57.021464; CF=H(3)C(2)NO	NT=Oxidation; MT=variable; PP=Anywhere;AC=Unimod:35; TA=M; MM= 15.994915; CF=O	NT=Acetylation; MT=variable; PP=Protein N-Term;AC=Unimod:1; TA=.; MM= 42.010565; CF=H(2)C(2)O	NT = healthy; AC = HP:0032322
Sample4	homo sapiens	NT=cerebrospinal fluid;AC=UBERON:0001359	not applicable	not available	anonymized	anonymized	NT = healthy; AC = HP:0032322	K39	1	3	Run10	proteomic profiling by mass spectrometry	K39.3QEXI16213.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2019/11/PXD007555/K39.3QEXI16213.raw	1	1	NT=label free sample;AC=MS:1002038	NT=Q Exactive; AC = MS:1001911	NT=Trypsin;AC=MS:1001260	NT=HCD; AC = PRIDE:0000590	5 ppm	20 ppm	NT=Carbamidomethyl; MT=fixed; PP=Anywhere;AC=Unimod:4; TA=C; MM= 57.021464; CF=H(3)C(2)NO	NT=Oxidation; MT=variable; PP=Anywhere;AC=Unimod:35; TA=M; MM= 15.994915; CF=O	NT=Acetylation; MT=variable; PP=Protein N-Term;AC=Unimod:1; TA=.; MM= 42.010565; CF=H(2)C(2)O	NT = healthy; AC = HP:0032322
