Source Name	Characteristics[organism]	Characteristics[organism part]	Characteristics[ancestry category]	Characteristics[age]	Characteristics[developmental stage]	Characteristics[sex]	Characteristics[cell type]	Characteristics[disease]	Assay Name	Comment[fraction identifier]	Comment[file uri]	Comment[instrument]	Comment[label]	Comment[proteomics data acquisition method]	Comment[cleavage agent details]	Comment[modification parameters]	Comment[modification parameters]	Comment[dissociation method]	Comment[collision energy]	Comment[precursor mass tolerance]	Comment[fragment mass tolerance]	Comment[data file]	Material Type
Sample 1	Homo sapiens	trunk	not available	not available	not available	female	not applicable	superficial spreading melanoma	run 1	1	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/03/PXD009630/151007_MM_6_01.raw	NT=Q Exactive;AC=MS:1001911	NT=label free sample;AC=MS:1002038	NT=Data-Dependent Acquisition;AC=NCIT:C161785	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;MT=fixed;AC=UNIMOD:4	NT=oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=HCD;AC=MS:1000422	30% NCE	20 ppm	0.02 Da	151007_MM_6_01.raw	cell
Sample 2	Homo sapiens	trunk	not available	not available	not available	female	not applicable	superficial spreading melanoma	run 2	1	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/03/PXD009630/151019_MM_13_01.raw	NT=Q Exactive Plus;AC=MS:1002634	NT=label free sample;AC=MS:1002038	NT=Data-Dependent Acquisition;AC=NCIT:C161785	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;MT=fixed;AC=UNIMOD:4	NT=oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=HCD;AC=MS:1000422	30% NCE	20 ppm	0.02 Da	151019_MM_13_01.raw	cell
Sample 3	Homo sapiens	trunk	not available	not available	not available	female	not applicable	superficial spreading melanoma	run 3	1	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/03/PXD009630/151019_MM_3_01.raw	NT=Q Exactive Plus;AC=MS:1002635	NT=label free sample;AC=MS:1002038	NT=Data-Dependent Acquisition;AC=NCIT:C161785	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;MT=fixed;AC=UNIMOD:4	NT=oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=HCD;AC=MS:1000422	30% NCE	20 ppm	0.02 Da	151019_MM_3_01.raw	cell
Sample 4	Homo sapiens	trunk	not available	not available	not available	female	not applicable	superficial spreading melanoma	run 4	1	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/03/PXD009630/151019_MM_5_01.raw	NT=Q Exactive Plus;AC=MS:1002636	NT=label free sample;AC=MS:1002038	NT=Data-Dependent Acquisition;AC=NCIT:C161785	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;MT=fixed;AC=UNIMOD:4	NT=oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=HCD;AC=MS:1000422	30% NCE	20 ppm	0.02 Da	151019_MM_5_01.raw	cell
Sample 5	Homo sapiens	trunk	not available	not available	not available	female	not applicable	superficial spreading melanoma	run 5	1	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/03/PXD009630/151106_MM_21_02.raw	NT=Q Exactive Plus;AC=MS:1002637	NT=label free sample;AC=MS:1002038	NT=Data-Dependent Acquisition;AC=NCIT:C161785	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;MT=fixed;AC=UNIMOD:4	NT=oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=HCD;AC=MS:1000422	30% NCE	20 ppm	0.02 Da	151106_MM_21_02.raw	cell
Sample 6	Homo sapiens	trunk	not available	not available	not available	female	not applicable	superficial spreading melanoma	run 6	1	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/03/PXD009630/151106_MM_32_02.raw	NT=Q Exactive Plus;AC=MS:1002638	NT=label free sample;AC=MS:1002038	NT=Data-Dependent Acquisition;AC=NCIT:C161785	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;MT=fixed;AC=UNIMOD:4	NT=oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=HCD;AC=MS:1000422	30% NCE	20 ppm	0.02 Da	151106_MM_32_02.raw	cell
Sample 7	Homo sapiens	trunk	not available	not available	not available	female	not applicable	superficial spreading melanoma	run 7	1	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/03/PXD009630/151106_MM_43_03.raw	NT=Q Exactive Plus;AC=MS:1002639	NT=label free sample;AC=MS:1002038	NT=Data-Dependent Acquisition;AC=NCIT:C161785	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;MT=fixed;AC=UNIMOD:4	NT=oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=HCD;AC=MS:1000422	30% NCE	20 ppm	0.02 Da	151106_MM_43_03.raw	cell
Sample 8	Homo sapiens	trunk	not available	not available	not available	female	not applicable	superficial spreading melanoma	run 8	1	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/03/PXD009630/151106_MM_56_03.raw	NT=Q Exactive Plus;AC=MS:1002640	NT=label free sample;AC=MS:1002038	NT=Data-Dependent Acquisition;AC=NCIT:C161785	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;MT=fixed;AC=UNIMOD:4	NT=oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=HCD;AC=MS:1000422	30% NCE	20 ppm	0.02 Da	151106_MM_56_03.raw	cell
Sample 9	Homo sapiens	trunk	not available	not available	not available	female	not applicable	superficial spreading melanoma	run 9	1	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/03/PXD009630/151130_MM_59_02.raw	NT=Q Exactive Plus;AC=MS:1002641	NT=label free sample;AC=MS:1002038	NT=Data-Dependent Acquisition;AC=NCIT:C161785	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;MT=fixed;AC=UNIMOD:4	NT=oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=HCD;AC=MS:1000422	30% NCE	20 ppm	0.02 Da	151130_MM_59_02.raw	cell
Sample 10	Homo sapiens	trunk	not available	not available	not available	female	not applicable	superficial spreading melanoma	run 10	1	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/03/PXD009630/151130_MM_60_02.raw	NT=Q Exactive Plus;AC=MS:1002642	NT=label free sample;AC=MS:1002038	NT=Data-Dependent Acquisition;AC=NCIT:C161785	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;MT=fixed;AC=UNIMOD:4	NT=oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=HCD;AC=MS:1000422	30% NCE	20 ppm	0.02 Da	151130_MM_60_02.raw	cell
Sample 11	Homo sapiens	trunk	not available	not available	not available	female	not applicable	superficial spreading melanoma	run 11	1	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/03/PXD009630/151130_MM_61_01.raw	NT=Q Exactive Plus;AC=MS:1002643	NT=label free sample;AC=MS:1002038	NT=Data-Dependent Acquisition;AC=NCIT:C161785	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;MT=fixed;AC=UNIMOD:4	NT=oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=HCD;AC=MS:1000422	30% NCE	20 ppm	0.02 Da	151130_MM_61_01.raw	cell
Sample 12	Homo sapiens	trunk	not available	not available	not available	female	not applicable	nodular melanoma	run 12	1	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/03/PXD009630/151215_MM_74_02.raw	NT=Q Exactive Plus;AC=MS:1002644	NT=label free sample;AC=MS:1002038	NT=Data-Dependent Acquisition;AC=NCIT:C161785	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;MT=fixed;AC=UNIMOD:4	NT=oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=HCD;AC=MS:1000422	30% NCE	20 ppm	0.02 Da	151215_MM_74_02.raw	cell
