source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[cultured cell]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[data file]	comment[technical replicate]	comment[fraction identifier]	comment[label]	comment[cleavage agent details]	comment[instrument]	comment[sdrf version]	comment[sdrf template]
plasma membrane biological repeat 1_frac_1_run_1	Mycolicibacterium smegmatis	plasma membrane	not applicable	none	not applicable	1	MP1	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	OFJPA170717_03.raw	1	1	NT=label free sample	NT=trypsin	NT=Orbitrap Fusion	v1.1.0	NT=ms-proteomics;VV=v1.1.0
plasma membrane biological repeat 2_frac_1_run_1	Mycolicibacterium smegmatis	plasma membrane	not applicable	none	not applicable	2	MP2	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	OFJPA170717_06.raw	1	1	NT=label free sample	NT=trypsin	NT=Orbitrap Fusion	v1.1.0	NT=ms-proteomics;VV=v1.1.0
plasma membrane biological repeat 3_frac_1_run_1	Mycolicibacterium smegmatis	plasma membrane	not applicable	none	not applicable	3	MP3	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	OFJPA170717_09.raw	1	1	NT=label free sample	NT=trypsin	NT=Orbitrap Fusion	v1.1.0	NT=ms-proteomics;VV=v1.1.0
plasma membrane biological repeat 4_frac_1_run_1	Mycolicibacterium smegmatis	plasma membrane	not applicable	none	not applicable	4	MP4	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	OFJPA170717_12.raw	1	1	NT=label free sample	NT=trypsin	NT=Orbitrap Fusion	v1.1.0	NT=ms-proteomics;VV=v1.1.0
plasma membrane biological repeat 1_frac_1_run_2	Mycolicibacterium smegmatis	plasma membrane	not applicable	none	not applicable	1	MP1	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	OFJPA170717_15.raw	1	1	NT=label free sample	NT=trypsin	NT=Orbitrap Fusion	v1.1.0	NT=ms-proteomics;VV=v1.1.0
plasma membrane biological repeat 2_frac_1_run_2	Mycolicibacterium smegmatis	plasma membrane	not applicable	none	not applicable	2	MP2	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	OFJPA170717_18.raw	1	1	NT=label free sample	NT=trypsin	NT=Orbitrap Fusion	v1.1.0	NT=ms-proteomics;VV=v1.1.0
plasma membrane biological repeat 3_frac_1_run_2	Mycolicibacterium smegmatis	plasma membrane	not applicable	none	not applicable	3	MP3	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	OFJPA170717_21.raw	1	1	NT=label free sample	NT=trypsin	NT=Orbitrap Fusion	v1.1.0	NT=ms-proteomics;VV=v1.1.0
plasma membrane biological repeat 4_frac_1_run_2	Mycolicibacterium smegmatis	plasma membrane	not applicable	none	not applicable	4	MP4	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	OFJPA170717_24.raw	1	1	NT=label free sample	NT=trypsin	NT=Orbitrap Fusion	v1.1.0	NT=ms-proteomics;VV=v1.1.0
plasma membrane biological repeat 1_frac_1_run_3	Mycolicibacterium smegmatis	plasma membrane	not applicable	none	not applicable	1	MP1	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	OFJPA170717_27.raw	1	1	NT=label free sample	NT=trypsin	NT=Orbitrap Fusion	v1.1.0	NT=ms-proteomics;VV=v1.1.0
plasma membrane biological repeat 2_frac_1_run_3	Mycolicibacterium smegmatis	plasma membrane	not applicable	none	not applicable	2	MP2	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	OFJPA170717_30.raw	1	1	NT=label free sample	NT=trypsin	NT=Orbitrap Fusion	v1.1.0	NT=ms-proteomics;VV=v1.1.0
