source name	characteristics[organism]	characteristics[strain]	characteristics[organism part]	characteristics[cell type]	characteristics[ancestry category]	characteristics[age]	characteristics[sex]	characteristics[disease]	characteristics[developmental stage]	characteristics[enrichment process]	assay name	Technology Type	comment[data file]	comment[technical replicate]	comment[fraction identifier]	comment[instrument]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[cleavage agent details]	comment[label]	comment[fragment mass tolerance]	comment[precursor mass tolerance]	factor value[organism part]	factor value[enrichment process]
Sample 1	Mus musculus	Swiss Webster	brain	brain	not aplicable	3w	male	normal	not aplicable	enrichment of phosphorylated Protein	run 1	proteomic profiling by mass spectrometry	Brain_Phosphorylation_o05794.RAW	1	1	AC=MS:1000449;NT=LTQ Orbitrap	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	"NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21"	AC=MS:1001251;NT=Trypsin	AC=MS:1002038;NT=label free sample	0.8 Da	50 ppm	brain	enrichment of phosphorylated Protein
Sample 1	Mus musculus	Swiss Webster	brain	brain	not aplicable	3w	male	normal	not aplicable	enrichment of phosphorylated Protein	run 2	proteomic profiling by mass spectrometry	Brain_Phosphorylation_o05795.RAW	2	1	AC=MS:1000449;NT=LTQ Orbitrap	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	"NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21"	AC=MS:1001251;NT=Trypsin	AC=MS:1002038;NT=label free sample	0.8 Da	50 ppm	brain	enrichment of phosphorylated Protein
Sample 1	Mus musculus	Swiss Webster	brain	brain	not aplicable	3w	male	normal	not aplicable	enrichment of phosphorylated Protein	run 3	proteomic profiling by mass spectrometry	Brain_Phosphorylation_o05796.RAW	3	1	AC=MS:1000449;NT=LTQ Orbitrap	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	"NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21"	AC=MS:1001251;NT=Trypsin	AC=MS:1002038;NT=label free sample	0.8 Da	50 ppm	brain	enrichment of phosphorylated Protein
Sample 1	Mus musculus	Swiss Webster	brain	brain	not aplicable	3w	male	normal	not aplicable	enrichment of phosphorylated Protein	run 4	proteomic profiling by mass spectrometry	Brain_Phosphorylation_o05797.RAW	4	1	AC=MS:1000449;NT=LTQ Orbitrap	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	"NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21"	AC=MS:1001251;NT=Trypsin	AC=MS:1002038;NT=label free sample	0.8 Da	50 ppm	brain	enrichment of phosphorylated Protein
Sample 1	Mus musculus	Swiss Webster	brain	brain	not aplicable	3w	male	normal	not aplicable	enrichment of phosphorylated Protein	run 5	proteomic profiling by mass spectrometry	Brain_Phosphorylation_o05799.RAW	5	1	AC=MS:1000449;NT=LTQ Orbitrap	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	"NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21"	AC=MS:1001251;NT=Trypsin	AC=MS:1002038;NT=label free sample	0.8 Da	50 ppm	brain	enrichment of phosphorylated Protein
Sample 1	Mus musculus	Swiss Webster	brain	brain	not aplicable	3w	male	normal	not aplicable	enrichment of phosphorylated Protein	run 6	proteomic profiling by mass spectrometry	Brain_Phosphorylation_o05800.RAW	6	1	AC=MS:1000449;NT=LTQ Orbitrap	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	"NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21"	AC=MS:1001251;NT=Trypsin	AC=MS:1002038;NT=label free sample	0.8 Da	50 ppm	brain	enrichment of phosphorylated Protein
Sample 1	Mus musculus	Swiss Webster	brain	brain	not aplicable	3w	male	normal	not aplicable	enrichment of phosphorylated Protein	run 7	proteomic profiling by mass spectrometry	Brain_Phosphorylation_o05801.RAW	7	1	AC=MS:1000449;NT=LTQ Orbitrap	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	"NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21"	AC=MS:1001251;NT=Trypsin	AC=MS:1002038;NT=label free sample	0.8 Da	50 ppm	brain	enrichment of phosphorylated Protein
Sample 1	Mus musculus	Swiss Webster	brain	brain	not aplicable	3w	male	normal	not aplicable	enrichment of phosphorylated Protein	run 8	proteomic profiling by mass spectrometry	Brain_Phosphorylation_o05802.RAW	8	1	AC=MS:1000449;NT=LTQ Orbitrap	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	"NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21"	AC=MS:1001251;NT=Trypsin	AC=MS:1002038;NT=label free sample	0.8 Da	50 ppm	brain	enrichment of phosphorylated Protein
Sample 1	Mus musculus	Swiss Webster	brain	brain	not aplicable	3w	male	normal	not aplicable	enrichment of phosphorylated Protein	run 9	proteomic profiling by mass spectrometry	Brain_Phosphorylation_o05807.RAW	9	1	AC=MS:1000449;NT=LTQ Orbitrap	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	"NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21"	AC=MS:1001251;NT=Trypsin	AC=MS:1002038;NT=label free sample	0.8 Da	50 ppm	brain	enrichment of phosphorylated Protein
Sample 1	Mus musculus	Swiss Webster	brain	brain	not aplicable	3w	male	normal	not aplicable	enrichment of phosphorylated Protein	run 10	proteomic profiling by mass spectrometry	Brain_Phosphorylation_o05808.RAW	10	1	AC=MS:1000449;NT=LTQ Orbitrap	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	"NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21"	AC=MS:1001251;NT=Trypsin	AC=MS:1002038;NT=label free sample	0.8 Da	50 ppm	brain	enrichment of phosphorylated Protein
Sample 1	Mus musculus	Swiss Webster	brain	brain	not aplicable	3w	male	normal	not aplicable	enrichment of phosphorylated Protein	run 11	proteomic profiling by mass spectrometry	Brain_Phosphorylation_o05809.RAW	11	1	AC=MS:1000449;NT=LTQ Orbitrap	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	"NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21"	AC=MS:1001251;NT=Trypsin	AC=MS:1002038;NT=label free sample	0.8 Da	50 ppm	brain	enrichment of phosphorylated Protein
Sample 1	Mus musculus	Swiss Webster	brain	brain	not aplicable	3w	male	normal	not aplicable	enrichment of phosphorylated Protein	run 12	proteomic profiling by mass spectrometry	Brain_Phosphorylation_o05810.RAW	12	1	AC=MS:1000449;NT=LTQ Orbitrap	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	"NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21"	AC=MS:1001251;NT=Trypsin	AC=MS:1002038;NT=label free sample	0.8 Da	50 ppm	brain	enrichment of phosphorylated Protein
Sample 1	Mus musculus	Swiss Webster	brain	brain	not aplicable	3w	male	normal	not aplicable	enrichment of phosphorylated Protein	run 13	proteomic profiling by mass spectrometry	Brain_Phosphorylation_o05811.RAW	13	1	AC=MS:1000449;NT=LTQ Orbitrap	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	"NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21"	AC=MS:1001251;NT=Trypsin	AC=MS:1002038;NT=label free sample	0.8 Da	50 ppm	brain	enrichment of phosphorylated Protein
