source name	characteristics[age]	characteristics[ancestry category]	characteristics[biological replicate]	characteristics[cell type]	characteristics[developmental stage]	characteristics[disease]	characteristics[enrichment process]	characteristics[individual]	characteristics[organism part]	characteristics[organism]	characteristics[sex]	assay name	technology type	comment[cleavage agent details]	comment[collision energy]	comment[data file]	comment[dissociation method]	comment[fraction identifier]	comment[fractionation method]	comment[fragment mass tolerance]	comment[instrument]	comment[label]	comment[modification parameters]	comment[modification parameters]	comment[precursor mass tolerance]	comment[technical replicate]
Sample 1	Not available	Not available	1	Not applicable	Not available	normal	Not applicable	1	testis	Homo sapiens	M	GluC1	proteomic profiling by mass spectrometry	glutamyl endopeptidase	27 % NCE	GluC1.raw	 higher energy beam-type collision-induced dissociation	1	 Reversed-phase chromatography (RP)	20 ppm	Q Exactive HF-X	label free sample	"NT=Carbamidomethyl;AC=4;CF=H(3) C(2) N O;MM=57.021464;MT=Fixed;PP=Anywhere;TA=['C']"	"NT=Hydroxylation;AC=35;CF=O;MM=15.994915;MT=Variable;PP=Anywhere;TA=['M']"	20 ppm	1
Sample 1	Not available	Not available	1	Not applicable	Not available	normal	Not applicable	1	testis	Homo sapiens	M	GluC10	proteomic profiling by mass spectrometry	glutamyl endopeptidase	27 % NCE	GluC10.raw	 higher energy beam-type collision-induced dissociation	10	 Reversed-phase chromatography (RP)	20 ppm	Q Exactive HF-X	label free sample	"NT=Carbamidomethyl;AC=4;CF=H(3) C(2) N O;MM=57.021464;MT=Fixed;PP=Anywhere;TA=['C']"	"NT=Hydroxylation;AC=35;CF=O;MM=15.994915;MT=Variable;PP=Anywhere;TA=['M']"	20 ppm	1
Sample 1	Not available	Not available	1	Not applicable	Not available	normal	Not applicable	1	testis	Homo sapiens	M	GluC11	proteomic profiling by mass spectrometry	glutamyl endopeptidase	27 % NCE	GluC11.raw	 higher energy beam-type collision-induced dissociation	11	 Reversed-phase chromatography (RP)	20 ppm	Q Exactive HF-X	label free sample	"NT=Carbamidomethyl;AC=4;CF=H(3) C(2) N O;MM=57.021464;MT=Fixed;PP=Anywhere;TA=['C']"	"NT=Hydroxylation;AC=35;CF=O;MM=15.994915;MT=Variable;PP=Anywhere;TA=['M']"	20 ppm	1
Sample 1	Not available	Not available	1	Not applicable	Not available	normal	Not applicable	1	testis	Homo sapiens	M	GluC12	proteomic profiling by mass spectrometry	glutamyl endopeptidase	27 % NCE	GluC12.raw	 higher energy beam-type collision-induced dissociation	12	 Reversed-phase chromatography (RP)	20 ppm	Q Exactive HF-X	label free sample	"NT=Carbamidomethyl;AC=4;CF=H(3) C(2) N O;MM=57.021464;MT=Fixed;PP=Anywhere;TA=['C']"	"NT=Hydroxylation;AC=35;CF=O;MM=15.994915;MT=Variable;PP=Anywhere;TA=['M']"	20 ppm	1
Sample 1	Not available	Not available	1	Not applicable	Not available	normal	Not applicable	1	testis	Homo sapiens	M	GluC13	proteomic profiling by mass spectrometry	glutamyl endopeptidase	27 % NCE	GluC13.raw	 higher energy beam-type collision-induced dissociation	13	 Reversed-phase chromatography (RP)	20 ppm	Q Exactive HF-X	label free sample	"NT=Carbamidomethyl;AC=4;CF=H(3) C(2) N O;MM=57.021464;MT=Fixed;PP=Anywhere;TA=['C']"	"NT=Hydroxylation;AC=35;CF=O;MM=15.994915;MT=Variable;PP=Anywhere;TA=['M']"	20 ppm	1
Sample 1	Not available	Not available	1	Not applicable	Not available	normal	Not applicable	1	testis	Homo sapiens	M	GluC14	proteomic profiling by mass spectrometry	glutamyl endopeptidase	27 % NCE	GluC14.raw	 higher energy beam-type collision-induced dissociation	14	 Reversed-phase chromatography (RP)	20 ppm	Q Exactive HF-X	label free sample	"NT=Carbamidomethyl;AC=4;CF=H(3) C(2) N O;MM=57.021464;MT=Fixed;PP=Anywhere;TA=['C']"	"NT=Hydroxylation;AC=35;CF=O;MM=15.994915;MT=Variable;PP=Anywhere;TA=['M']"	20 ppm	1
Sample 1	Not available	Not available	1	Not applicable	Not available	normal	Not applicable	1	testis	Homo sapiens	M	GluC15	proteomic profiling by mass spectrometry	glutamyl endopeptidase	27 % NCE	GluC15.raw	 higher energy beam-type collision-induced dissociation	15	 Reversed-phase chromatography (RP)	20 ppm	Q Exactive HF-X	label free sample	"NT=Carbamidomethyl;AC=4;CF=H(3) C(2) N O;MM=57.021464;MT=Fixed;PP=Anywhere;TA=['C']"	"NT=Hydroxylation;AC=35;CF=O;MM=15.994915;MT=Variable;PP=Anywhere;TA=['M']"	20 ppm	1
Sample 1	Not available	Not available	1	Not applicable	Not available	normal	Not applicable	1	testis	Homo sapiens	M	GluC16	proteomic profiling by mass spectrometry	glutamyl endopeptidase	27 % NCE	GluC16.raw	 higher energy beam-type collision-induced dissociation	16	 Reversed-phase chromatography (RP)	20 ppm	Q Exactive HF-X	label free sample	"NT=Carbamidomethyl;AC=4;CF=H(3) C(2) N O;MM=57.021464;MT=Fixed;PP=Anywhere;TA=['C']"	"NT=Hydroxylation;AC=35;CF=O;MM=15.994915;MT=Variable;PP=Anywhere;TA=['M']"	20 ppm	1
Sample 1	Not available	Not available	1	Not applicable	Not available	normal	Not applicable	1	testis	Homo sapiens	M	GluC17	proteomic profiling by mass spectrometry	glutamyl endopeptidase	27 % NCE	GluC17.raw	 higher energy beam-type collision-induced dissociation	17	 Reversed-phase chromatography (RP)	20 ppm	Q Exactive HF-X	label free sample	"NT=Carbamidomethyl;AC=4;CF=H(3) C(2) N O;MM=57.021464;MT=Fixed;PP=Anywhere;TA=['C']"	"NT=Hydroxylation;AC=35;CF=O;MM=15.994915;MT=Variable;PP=Anywhere;TA=['M']"	20 ppm	1
Sample 1	Not available	Not available	1	Not applicable	Not available	normal	Not applicable	1	testis	Homo sapiens	M	GluC18	proteomic profiling by mass spectrometry	glutamyl endopeptidase	27 % NCE	GluC18.raw	 higher energy beam-type collision-induced dissociation	18	 Reversed-phase chromatography (RP)	20 ppm	Q Exactive HF-X	label free sample	"NT=Carbamidomethyl;AC=4;CF=H(3) C(2) N O;MM=57.021464;MT=Fixed;PP=Anywhere;TA=['C']"	"NT=Hydroxylation;AC=35;CF=O;MM=15.994915;MT=Variable;PP=Anywhere;TA=['M']"	20 ppm	1
Sample 1	Not available	Not available	1	Not applicable	Not available	normal	Not applicable	1	testis	Homo sapiens	M	GluC19	proteomic profiling by mass spectrometry	glutamyl endopeptidase	27 % NCE	GluC19.raw	 higher energy beam-type collision-induced dissociation	19	 Reversed-phase chromatography (RP)	20 ppm	Q Exactive HF-X	label free sample	"NT=Carbamidomethyl;AC=4;CF=H(3) C(2) N O;MM=57.021464;MT=Fixed;PP=Anywhere;TA=['C']"	"NT=Hydroxylation;AC=35;CF=O;MM=15.994915;MT=Variable;PP=Anywhere;TA=['M']"	20 ppm	1
Sample 1	Not available	Not available	1	Not applicable	Not available	normal	Not applicable	1	testis	Homo sapiens	M	GluC2	proteomic profiling by mass spectrometry	glutamyl endopeptidase	27 % NCE	GluC2.raw	 higher energy beam-type collision-induced dissociation	2	 Reversed-phase chromatography (RP)	20 ppm	Q Exactive HF-X	label free sample	"NT=Carbamidomethyl;AC=4;CF=H(3) C(2) N O;MM=57.021464;MT=Fixed;PP=Anywhere;TA=['C']"	"NT=Hydroxylation;AC=35;CF=O;MM=15.994915;MT=Variable;PP=Anywhere;TA=['M']"	20 ppm	1
Sample 1	Not available	Not available	1	Not applicable	Not available	normal	Not applicable	1	testis	Homo sapiens	M	GluC20	proteomic profiling by mass spectrometry	glutamyl endopeptidase	27 % NCE	GluC20.raw	 higher energy beam-type collision-induced dissociation	20	 Reversed-phase chromatography (RP)	20 ppm	Q Exactive HF-X	label free sample	"NT=Carbamidomethyl;AC=4;CF=H(3) C(2) N O;MM=57.021464;MT=Fixed;PP=Anywhere;TA=['C']"	"NT=Hydroxylation;AC=35;CF=O;MM=15.994915;MT=Variable;PP=Anywhere;TA=['M']"	20 ppm	1
Sample 1	Not available	Not available	1	Not applicable	Not available	normal	Not applicable	1	testis	Homo sapiens	M	GluC21	proteomic profiling by mass spectrometry	glutamyl endopeptidase	27 % NCE	GluC21.raw	 higher energy beam-type collision-induced dissociation	21	 Reversed-phase chromatography (RP)	20 ppm	Q Exactive HF-X	label free sample	"NT=Carbamidomethyl;AC=4;CF=H(3) C(2) N O;MM=57.021464;MT=Fixed;PP=Anywhere;TA=['C']"	"NT=Hydroxylation;AC=35;CF=O;MM=15.994915;MT=Variable;PP=Anywhere;TA=['M']"	20 ppm	1
Sample 1	Not available	Not available	1	Not applicable	Not available	normal	Not applicable	1	testis	Homo sapiens	M	GluC22	proteomic profiling by mass spectrometry	glutamyl endopeptidase	27 % NCE	GluC22.raw	 higher energy beam-type collision-induced dissociation	22	 Reversed-phase chromatography (RP)	20 ppm	Q Exactive HF-X	label free sample	"NT=Carbamidomethyl;AC=4;CF=H(3) C(2) N O;MM=57.021464;MT=Fixed;PP=Anywhere;TA=['C']"	"NT=Hydroxylation;AC=35;CF=O;MM=15.994915;MT=Variable;PP=Anywhere;TA=['M']"	20 ppm	1
Sample 1	Not available	Not available	1	Not applicable	Not available	normal	Not applicable	1	testis	Homo sapiens	M	GluC23	proteomic profiling by mass spectrometry	glutamyl endopeptidase	27 % NCE	GluC23.raw	 higher energy beam-type collision-induced dissociation	23	 Reversed-phase chromatography (RP)	20 ppm	Q Exactive HF-X	label free sample	"NT=Carbamidomethyl;AC=4;CF=H(3) C(2) N O;MM=57.021464;MT=Fixed;PP=Anywhere;TA=['C']"	"NT=Hydroxylation;AC=35;CF=O;MM=15.994915;MT=Variable;PP=Anywhere;TA=['M']"	20 ppm	1
Sample 1	Not available	Not available	1	Not applicable	Not available	normal	Not applicable	1	testis	Homo sapiens	M	GluC24	proteomic profiling by mass spectrometry	glutamyl endopeptidase	27 % NCE	GluC24.raw	 higher energy beam-type collision-induced dissociation	24	 Reversed-phase chromatography (RP)	20 ppm	Q Exactive HF-X	label free sample	"NT=Carbamidomethyl;AC=4;CF=H(3) C(2) N O;MM=57.021464;MT=Fixed;PP=Anywhere;TA=['C']"	"NT=Hydroxylation;AC=35;CF=O;MM=15.994915;MT=Variable;PP=Anywhere;TA=['M']"	20 ppm	1
Sample 1	Not available	Not available	1	Not applicable	Not available	normal	Not applicable	1	testis	Homo sapiens	M	GluC25	proteomic profiling by mass spectrometry	glutamyl endopeptidase	27 % NCE	GluC25.raw	 higher energy beam-type collision-induced dissociation	25	 Reversed-phase chromatography (RP)	20 ppm	Q Exactive HF-X	label free sample	"NT=Carbamidomethyl;AC=4;CF=H(3) C(2) N O;MM=57.021464;MT=Fixed;PP=Anywhere;TA=['C']"	"NT=Hydroxylation;AC=35;CF=O;MM=15.994915;MT=Variable;PP=Anywhere;TA=['M']"	20 ppm	1
Sample 1	Not available	Not available	1	Not applicable	Not available	normal	Not applicable	1	testis	Homo sapiens	M	GluC26	proteomic profiling by mass spectrometry	glutamyl endopeptidase	27 % NCE	GluC26.raw	 higher energy beam-type collision-induced dissociation	26	 Reversed-phase chromatography (RP)	20 ppm	Q Exactive HF-X	label free sample	"NT=Carbamidomethyl;AC=4;CF=H(3) C(2) N O;MM=57.021464;MT=Fixed;PP=Anywhere;TA=['C']"	"NT=Hydroxylation;AC=35;CF=O;MM=15.994915;MT=Variable;PP=Anywhere;TA=['M']"	20 ppm	1
Sample 1	Not available	Not available	1	Not applicable	Not available	normal	Not applicable	1	testis	Homo sapiens	M	GluC27	proteomic profiling by mass spectrometry	glutamyl endopeptidase	27 % NCE	GluC27.raw	 higher energy beam-type collision-induced dissociation	27	 Reversed-phase chromatography (RP)	20 ppm	Q Exactive HF-X	label free sample	"NT=Carbamidomethyl;AC=4;CF=H(3) C(2) N O;MM=57.021464;MT=Fixed;PP=Anywhere;TA=['C']"	"NT=Hydroxylation;AC=35;CF=O;MM=15.994915;MT=Variable;PP=Anywhere;TA=['M']"	20 ppm	1
Sample 1	Not available	Not available	1	Not applicable	Not available	normal	Not applicable	1	testis	Homo sapiens	M	GluC28	proteomic profiling by mass spectrometry	glutamyl endopeptidase	27 % NCE	GluC28.raw	 higher energy beam-type collision-induced dissociation	28	 Reversed-phase chromatography (RP)	20 ppm	Q Exactive HF-X	label free sample	"NT=Carbamidomethyl;AC=4;CF=H(3) C(2) N O;MM=57.021464;MT=Fixed;PP=Anywhere;TA=['C']"	"NT=Hydroxylation;AC=35;CF=O;MM=15.994915;MT=Variable;PP=Anywhere;TA=['M']"	20 ppm	1
Sample 1	Not available	Not available	1	Not applicable	Not available	normal	Not applicable	1	testis	Homo sapiens	M	GluC29	proteomic profiling by mass spectrometry	glutamyl endopeptidase	27 % NCE	GluC29.raw	 higher energy beam-type collision-induced dissociation	29	 Reversed-phase chromatography (RP)	20 ppm	Q Exactive HF-X	label free sample	"NT=Carbamidomethyl;AC=4;CF=H(3) C(2) N O;MM=57.021464;MT=Fixed;PP=Anywhere;TA=['C']"	"NT=Hydroxylation;AC=35;CF=O;MM=15.994915;MT=Variable;PP=Anywhere;TA=['M']"	20 ppm	1
Sample 1	Not available	Not available	1	Not applicable	Not available	normal	Not applicable	1	testis	Homo sapiens	M	GluC3	proteomic profiling by mass spectrometry	glutamyl endopeptidase	27 % NCE	GluC3.raw	 higher energy beam-type collision-induced dissociation	3	 Reversed-phase chromatography (RP)	20 ppm	Q Exactive HF-X	label free sample	"NT=Carbamidomethyl;AC=4;CF=H(3) C(2) N O;MM=57.021464;MT=Fixed;PP=Anywhere;TA=['C']"	"NT=Hydroxylation;AC=35;CF=O;MM=15.994915;MT=Variable;PP=Anywhere;TA=['M']"	20 ppm	1
Sample 1	Not available	Not available	1	Not applicable	Not available	normal	Not applicable	1	testis	Homo sapiens	M	GluC30	proteomic profiling by mass spectrometry	glutamyl endopeptidase	27 % NCE	GluC30.raw	 higher energy beam-type collision-induced dissociation	30	 Reversed-phase chromatography (RP)	20 ppm	Q Exactive HF-X	label free sample	"NT=Carbamidomethyl;AC=4;CF=H(3) C(2) N O;MM=57.021464;MT=Fixed;PP=Anywhere;TA=['C']"	"NT=Hydroxylation;AC=35;CF=O;MM=15.994915;MT=Variable;PP=Anywhere;TA=['M']"	20 ppm	1
Sample 1	Not available	Not available	1	Not applicable	Not available	normal	Not applicable	1	testis	Homo sapiens	M	GluC31	proteomic profiling by mass spectrometry	glutamyl endopeptidase	27 % NCE	GluC31.raw	 higher energy beam-type collision-induced dissociation	31	 Reversed-phase chromatography (RP)	20 ppm	Q Exactive HF-X	label free sample	"NT=Carbamidomethyl;AC=4;CF=H(3) C(2) N O;MM=57.021464;MT=Fixed;PP=Anywhere;TA=['C']"	"NT=Hydroxylation;AC=35;CF=O;MM=15.994915;MT=Variable;PP=Anywhere;TA=['M']"	20 ppm	1
Sample 1	Not available	Not available	1	Not applicable	Not available	normal	Not applicable	1	testis	Homo sapiens	M	GluC32	proteomic profiling by mass spectrometry	glutamyl endopeptidase	27 % NCE	GluC32.raw	 higher energy beam-type collision-induced dissociation	32	 Reversed-phase chromatography (RP)	20 ppm	Q Exactive HF-X	label free sample	"NT=Carbamidomethyl;AC=4;CF=H(3) C(2) N O;MM=57.021464;MT=Fixed;PP=Anywhere;TA=['C']"	"NT=Hydroxylation;AC=35;CF=O;MM=15.994915;MT=Variable;PP=Anywhere;TA=['M']"	20 ppm	1
Sample 1	Not available	Not available	1	Not applicable	Not available	normal	Not applicable	1	testis	Homo sapiens	M	GluC33	proteomic profiling by mass spectrometry	glutamyl endopeptidase	27 % NCE	GluC33.raw	 higher energy beam-type collision-induced dissociation	33	 Reversed-phase chromatography (RP)	20 ppm	Q Exactive HF-X	label free sample	"NT=Carbamidomethyl;AC=4;CF=H(3) C(2) N O;MM=57.021464;MT=Fixed;PP=Anywhere;TA=['C']"	"NT=Hydroxylation;AC=35;CF=O;MM=15.994915;MT=Variable;PP=Anywhere;TA=['M']"	20 ppm	1
