#fileformat=SDRF
#version=v1.1.0
#template=default
#template_version=v1.1.0
source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[age]	characteristics[ancestry category]	characteristics[sex]	characteristics[disease]	characteristics[biological replicate]	characteristics[individual]	characteristics[proteomexchange accession number]	assay name	technology type	comment[proteomics data acquisition method]	comment[data file]	comment[file uri]	comment[technical replicate]	comment[fraction identifier]	comment[instrument]	comment[modification parameters]	comment[modification parameters].1	comment[modification parameters].2	comment[modification parameters].3	comment[cleavage agent details]	comment[cleavage agent details].1	comment[label]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	factor value[sex]
PXD011967-Sample-1	homo sapiens	Muscle	not applicable	81Y	Caucasian	male	Normal	1	1	PXD011967	run 1	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	ScltlMsclSet1BRPhsFr1.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2019/11/PXD011967/ScltlMsclSet1BRPhsFr1.raw	1	1	AC=MS:1002523;NT=Q Exactive HF	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=K;MT=Fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	AC=MS:1001309;NT=Lys-C	AC=MS:1001251;NT=Trypsin	TMT126	20 ppm	0.08 Da	male
PXD011967-Sample-2	homo sapiens	Muscle	not applicable	38Y	Caucasian	female	Normal	1	2	PXD011967	run 1	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	ScltlMsclSet1BRPhsFr1.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2019/11/PXD011967/ScltlMsclSet1BRPhsFr1.raw	1	1	AC=MS:1002523;NT=Q Exactive HF	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=K;MT=Fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	AC=MS:1001309;NT=Lys-C	AC=MS:1001251;NT=Trypsin	TMT127	20 ppm	0.08 Da	female
PXD011967-Sample-3	homo sapiens	Muscle	not applicable	72Y	Caucasian	male	Normal	1	3	PXD011967	run 1	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	ScltlMsclSet1BRPhsFr1.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2019/11/PXD011967/ScltlMsclSet1BRPhsFr1.raw	1	1	AC=MS:1002523;NT=Q Exactive HF	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=K;MT=Fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	AC=MS:1001309;NT=Lys-C	AC=MS:1001251;NT=Trypsin	TMT128	20 ppm	0.08 Da	male
PXD011967-Sample-4	homo sapiens	Muscle	not applicable	51Y	Caucasian	male	Normal	1	4	PXD011967	run 1	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	ScltlMsclSet1BRPhsFr1.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2019/11/PXD011967/ScltlMsclSet1BRPhsFr1.raw	1	1	AC=MS:1002523;NT=Q Exactive HF	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=K;MT=Fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	AC=MS:1001309;NT=Lys-C	AC=MS:1001251;NT=Trypsin	TMT129	20 ppm	0.08 Da	male
PXD011967-Sample-5	homo sapiens	Muscle	not applicable	23Y	Caucasian	male	Normal	1	5	PXD011967	run 1	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	ScltlMsclSet1BRPhsFr1.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2019/11/PXD011967/ScltlMsclSet1BRPhsFr1.raw	1	1	AC=MS:1002523;NT=Q Exactive HF	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=K;MT=Fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	AC=MS:1001309;NT=Lys-C	AC=MS:1001251;NT=Trypsin	TMT130	20 ppm	0.08 Da	male
PXD011967-Sample-6	homo sapiens	Muscle	not applicable	not available	not available	not available	Normal	1	6	PXD011967	run 1	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	ScltlMsclSet1BRPhsFr1.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2019/11/PXD011967/ScltlMsclSet1BRPhsFr1.raw	1	1	AC=MS:1002523;NT=Q Exactive HF	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=K;MT=Fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	AC=MS:1001309;NT=Lys-C	AC=MS:1001251;NT=Trypsin	TMT131	20 ppm	0.08 Da	not available
PXD011967-Sample-1	homo sapiens	Muscle	not applicable	81Y	Caucasian	male	Normal	1	1	PXD011967	run 2	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	ScltlMsclSet1BRPhsFr2.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2019/11/PXD011967/ScltlMsclSet1BRPhsFr2.raw	1	2	AC=MS:1002523;NT=Q Exactive HF	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=K;MT=Fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	AC=MS:1001309;NT=Lys-C	AC=MS:1001251;NT=Trypsin	TMT126	20 ppm	0.08 Da	male
PXD011967-Sample-2	homo sapiens	Muscle	not applicable	38Y	Caucasian	female	Normal	1	2	PXD011967	run 2	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	ScltlMsclSet1BRPhsFr2.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2019/11/PXD011967/ScltlMsclSet1BRPhsFr2.raw	1	2	AC=MS:1002523;NT=Q Exactive HF	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=K;MT=Fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	AC=MS:1001309;NT=Lys-C	AC=MS:1001251;NT=Trypsin	TMT127	20 ppm	0.08 Da	female
PXD011967-Sample-3	homo sapiens	Muscle	not applicable	72Y	Caucasian	male	Normal	1	3	PXD011967	run 2	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	ScltlMsclSet1BRPhsFr2.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2019/11/PXD011967/ScltlMsclSet1BRPhsFr2.raw	1	2	AC=MS:1002523;NT=Q Exactive HF	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=K;MT=Fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	AC=MS:1001309;NT=Lys-C	AC=MS:1001251;NT=Trypsin	TMT128	20 ppm	0.08 Da	male
PXD011967-Sample-4	homo sapiens	Muscle	not applicable	51Y	Caucasian	male	Normal	1	4	PXD011967	run 2	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	ScltlMsclSet1BRPhsFr2.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2019/11/PXD011967/ScltlMsclSet1BRPhsFr2.raw	1	2	AC=MS:1002523;NT=Q Exactive HF	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=K;MT=Fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	AC=MS:1001309;NT=Lys-C	AC=MS:1001251;NT=Trypsin	TMT129	20 ppm	0.08 Da	male
