source name	characteristics[organism]	characteristics[organism part]	characteristics[ancestry category]	characteristics[age]	characteristics[developmental stage]	characteristics[sex]	characteristics[cell line]	characteristics[disease]	characteristics[cell type]	characteristics[biological replicate]	characteristics[material type]	assay name	technology type	comment[fraction identifier]	comment[technical replicate]	comment[file uri]	comment[instrument]	comment[MS2 analyzer type]	comment[label]	comment[cleavage agent details]	comment[modification parameters]	comment[dissociation method]	comment[collision energy]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[proteomics data acquisition method]	comment[data file]	comment[sdrf version]	comment[sdrf template]
Sample 185	Anaerostipes caccae	not available	not available	not available	not available	not available	not available	not available	not available	1	bacterial strain	run 1	proteomic profiling by mass spectrometry	1	2	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/02/PXD017035/d12_24_hTT_II.raw	NT=Q Exactive HF;AC=MS:1002523	not available	NT=label free sample;AC=MS:1002038	NT=unspecific cleavage;AC=MS:1001956	not available	not available	not available	10 ppm	0.02 Da	NT=Data-dependent acquisition;AC=PRIDE:0000627	d12_24_hTT_II.raw	v1.1.0	NT=ms-proteomics;version=v1.1.0
Sample 1	Anaerostipes caccae	not available	not available	not available	not available	not available	not available	not available	not available	1	bacterial strain	run 2	proteomic profiling by mass spectrometry	1	1	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/02/PXD017035/d1_12_hTT_I.raw	NT=Q Exactive HF;AC=MS:1002523	not available	NT=label free sample;AC=MS:1002038	NT=unspecific cleavage;AC=MS:1001956	not available	not available	not available	10 ppm	0.02 Da	NT=Data-dependent acquisition;AC=PRIDE:0000627	d1_12_hTT_I.raw	v1.1.0	NT=ms-proteomics;version=v1.1.0
Sample 81	Anaerostipes caccae	not available	not available	not available	not available	not available	not available	not available	not available	1	bacterial strain	run 3	proteomic profiling by mass spectrometry	1	1	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/02/PXD017035/d6_12_hTT_I.raw	NT=Q Exactive HF;AC=MS:1002523	not available	NT=label free sample;AC=MS:1002038	NT=unspecific cleavage;AC=MS:1001956	not available	not available	not available	10 ppm	0.02 Da	NT=Data-dependent acquisition;AC=PRIDE:0000627	d6_12_hTT_I.raw	v1.1.0	NT=ms-proteomics;version=v1.1.0
Sample 97	Anaerostipes caccae	not available	not available	not available	not available	not available	not available	not available	not available	1	bacterial strain	run 4	proteomic profiling by mass spectrometry	1	1	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/02/PXD017035/d7_12_hTT_I.raw	NT=Q Exactive HF;AC=MS:1002523	not available	NT=label free sample;AC=MS:1002038	NT=unspecific cleavage;AC=MS:1001956	not available	not available	not available	10 ppm	0.02 Da	NT=Data-dependent acquisition;AC=PRIDE:0000627	d7_12_hTT_I.raw	v1.1.0	NT=ms-proteomics;version=v1.1.0
Sample 73	Anaerostipes caccae	not available	not available	not available	not available	not available	not available	not available	not available	1	bacterial strain	run 5	proteomic profiling by mass spectrometry	1	2	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/02/PXD017035/d5_24_hTT_II.raw	NT=Q Exactive HF;AC=MS:1002523	not available	NT=label free sample;AC=MS:1002038	NT=unspecific cleavage;AC=MS:1001956	not available	not available	not available	10 ppm	0.02 Da	NT=Data-dependent acquisition;AC=PRIDE:0000627	d5_24_hTT_II.raw	v1.1.0	NT=ms-proteomics;version=v1.1.0
Sample 105	Anaerostipes caccae	not available	not available	not available	not available	not available	not available	not available	not available	1	bacterial strain	run 6	proteomic profiling by mass spectrometry	1	2	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/02/PXD017035/d7_24_hTT_II.raw	NT=Q Exactive HF;AC=MS:1002523	not available	NT=label free sample;AC=MS:1002038	NT=unspecific cleavage;AC=MS:1001956	not available	not available	not available	10 ppm	0.02 Da	NT=Data-dependent acquisition;AC=PRIDE:0000627	d7_24_hTT_II.raw	v1.1.0	NT=ms-proteomics;version=v1.1.0
Sample 137	Anaerostipes caccae	not available	not available	not available	not available	not available	not available	not available	not available	1	bacterial strain	run 7	proteomic profiling by mass spectrometry	1	2	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/02/PXD017035/d9_24_hTT_II.raw	NT=Q Exactive HF;AC=MS:1002523	not available	NT=label free sample;AC=MS:1002038	NT=unspecific cleavage;AC=MS:1001956	not available	not available	not available	10 ppm	0.02 Da	NT=Data-dependent acquisition;AC=PRIDE:0000627	d9_24_hTT_II.raw	v1.1.0	NT=ms-proteomics;version=v1.1.0
Sample 145	Anaerostipes caccae	not available	not available	not available	not available	not available	not available	not available	not available	1	bacterial strain	run 8	proteomic profiling by mass spectrometry	1	1	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/02/PXD017035/d10_12_hTT_I.raw	NT=Q Exactive HF;AC=MS:1002523	not available	NT=label free sample;AC=MS:1002038	NT=unspecific cleavage;AC=MS:1001956	not available	not available	not available	10 ppm	0.02 Da	NT=Data-dependent acquisition;AC=PRIDE:0000627	d10_12_hTT_I.raw	v1.1.0	NT=ms-proteomics;version=v1.1.0
Sample 177	Anaerostipes caccae	not available	not available	not available	not available	not available	not available	not available	not available	1	bacterial strain	run 9	proteomic profiling by mass spectrometry	1	1	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/02/PXD017035/d12_12_hTT_I.raw	NT=Q Exactive HF;AC=MS:1002523	not available	NT=label free sample;AC=MS:1002038	NT=unspecific cleavage;AC=MS:1001956	not available	not available	not available	10 ppm	0.02 Da	NT=Data-dependent acquisition;AC=PRIDE:0000627	d12_12_hTT_I.raw	v1.1.0	NT=ms-proteomics;version=v1.1.0
Sample 193	Anaerostipes caccae	not available	not available	not available	not available	not available	not available	not available	not available	1	bacterial strain	run 10	proteomic profiling by mass spectrometry	1	1	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/02/PXD017035/d13_12_hTT_I.raw	NT=Q Exactive HF;AC=MS:1002523	not available	NT=label free sample;AC=MS:1002038	NT=unspecific cleavage;AC=MS:1001956	not available	not available	not available	10 ppm	0.02 Da	NT=Data-dependent acquisition;AC=PRIDE:0000627	d13_12_hTT_I.raw	v1.1.0	NT=ms-proteomics;version=v1.1.0
