source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[developmental stage]	characteristics[biological replicate]	characteristics[disease]	assay name	technology type	comment[data file]	comment[associated file uri]	comment[fractionation method]	comment[technical replicate]	comment[fraction identifier]	comment[sample volume]	comment[label]	comment[cleavage agent details]	comment[instrument]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]
iPRG2008-iTRAQ4plex-114	Mus musculus	not available	not available	not available	1	not available	1	proteomic profiling by mass spectrometry	01 CEX1 3uL DBS EMC.wiff	https://ftp.pride.ebi.ac.uk/pride/data/archive/2015/05/PXD000793/01 CEX1 3uL DBS EMC.wiff	NT=Strong cation-exchange chromatography (SCX);AC=PRIDE:0000561	1	CEX1	3 µl	AC=MS:1002624;NT=iTRAQ reagent 114	NT=Trypsin;AC=MS:1001251	NT=3200 QTRAP;AC=MS:1000651	0.45 Da	0.45 Da	NT=Acetyl; MT=variable; PP=Protein N-Term;AC=Unimod:1; TA=.; MM=42	NT=Oxidation; MT=variable; PP=Anywhere;AC=Unimod:35; TA=M; MM=15	NT=iTRAQ4plex; MT=fixed; PP=Anywhere;AC=Unimod:214; TA=K; MM=144	NT=iTRAQ4plex; MT=fixed; PP=Any N-Term;AC=Unimod:214; TA=.; MM=144	NT=Methylthio; MT=fixed; PP=Anywhere;AC=Unimod:39; TA=.; MM=45.98772
iPRG2008-iTRAQ4plex-115	Mus musculus	not available	not available	not available	1	not available	1	proteomic profiling by mass spectrometry	01 CEX1 3uL DBS EMC.wiff	https://ftp.pride.ebi.ac.uk/pride/data/archive/2015/05/PXD000793/01 CEX1 3uL DBS EMC.wiff	NT=Strong cation-exchange chromatography (SCX);AC=PRIDE:0000561	1	CEX1	3 µl	AC=MS:1002625;NT=iTRAQ reagent 115	NT=Trypsin;AC=MS:1001251	NT=3200 QTRAP;AC=MS:1000651	0.45 Da	0.45 Da	NT=Acetyl; MT=variable; PP=Protein N-Term;AC=Unimod:1; TA=.; MM=42	NT=Oxidation; MT=variable; PP=Anywhere;AC=Unimod:35; TA=M; MM=15	NT=iTRAQ4plex; MT=fixed; PP=Anywhere;AC=Unimod:214; TA=K; MM=144	NT=iTRAQ4plex; MT=fixed; PP=Any N-Term;AC=Unimod:214; TA=.; MM=144	NT=Methylthio; MT=fixed; PP=Anywhere;AC=Unimod:39; TA=.; MM=45.98772
iPRG2008-iTRAQ4plex-116	Mus musculus	not available	not available	not available	1	not available	1	proteomic profiling by mass spectrometry	01 CEX1 3uL DBS EMC.wiff	https://ftp.pride.ebi.ac.uk/pride/data/archive/2015/05/PXD000793/01 CEX1 3uL DBS EMC.wiff	NT=Strong cation-exchange chromatography (SCX);AC=PRIDE:0000561	1	CEX1	3 µl	AC=MS:1002626;NT=iTRAQ reagent 116	NT=Trypsin;AC=MS:1001251	NT=3200 QTRAP;AC=MS:1000651	0.45 Da	0.45 Da	NT=Acetyl; MT=variable; PP=Protein N-Term;AC=Unimod:1; TA=.; MM=42	NT=Oxidation; MT=variable; PP=Anywhere;AC=Unimod:35; TA=M; MM=15	NT=iTRAQ4plex; MT=fixed; PP=Anywhere;AC=Unimod:214; TA=K; MM=144	NT=iTRAQ4plex; MT=fixed; PP=Any N-Term;AC=Unimod:214; TA=.; MM=144	NT=Methylthio; MT=fixed; PP=Anywhere;AC=Unimod:39; TA=.; MM=45.98772
iPRG2008-iTRAQ4plex-117	Mus musculus	not available	not available	not available	1	not available	1	proteomic profiling by mass spectrometry	01 CEX1 3uL DBS EMC.wiff	https://ftp.pride.ebi.ac.uk/pride/data/archive/2015/05/PXD000793/01 CEX1 3uL DBS EMC.wiff	NT=Strong cation-exchange chromatography (SCX);AC=PRIDE:0000561	1	CEX1	3 µl	AC=MS:1002627;NT=iTRAQ reagent 117	NT=Trypsin;AC=MS:1001251	NT=3200 QTRAP;AC=MS:1000651	0.45 Da	0.45 Da	NT=Acetyl; MT=variable; PP=Protein N-Term;AC=Unimod:1; TA=.; MM=42	NT=Oxidation; MT=variable; PP=Anywhere;AC=Unimod:35; TA=M; MM=15	NT=iTRAQ4plex; MT=fixed; PP=Anywhere;AC=Unimod:214; TA=K; MM=144	NT=iTRAQ4plex; MT=fixed; PP=Any N-Term;AC=Unimod:214; TA=.; MM=144	NT=Methylthio; MT=fixed; PP=Anywhere;AC=Unimod:39; TA=.; MM=45.98772
iPRG2008-iTRAQ4plex-114	Mus musculus	not available	not available	not available	1	not available	2	proteomic profiling by mass spectrometry	02 CEX1 3uL DBS EMC 1ex.wiff	https://ftp.pride.ebi.ac.uk/pride/data/archive/2015/05/PXD000793/02 CEX1 3uL DBS EMC 1ex.wiff	NT=Strong cation-exchange chromatography (SCX);AC=PRIDE:0000561	1	CEX1	3 µl	AC=MS:1002624;NT=iTRAQ reagent 114	NT=Trypsin;AC=MS:1001251	NT=3200 QTRAP;AC=MS:1000651	0.45 Da	0.45 Da	NT=Acetyl; MT=variable; PP=Protein N-Term;AC=Unimod:1; TA=.; MM=42	NT=Oxidation; MT=variable; PP=Anywhere;AC=Unimod:35; TA=M; MM=15	NT=iTRAQ4plex; MT=fixed; PP=Anywhere;AC=Unimod:214; TA=K; MM=144	NT=iTRAQ4plex; MT=fixed; PP=Any N-Term;AC=Unimod:214; TA=.; MM=144	NT=Methylthio; MT=fixed; PP=Anywhere;AC=Unimod:39; TA=.; MM=45.98772
iPRG2008-iTRAQ4plex-115	Mus musculus	not available	not available	not available	1	not available	2	proteomic profiling by mass spectrometry	02 CEX1 3uL DBS EMC 1ex.wiff	https://ftp.pride.ebi.ac.uk/pride/data/archive/2015/05/PXD000793/02 CEX1 3uL DBS EMC 1ex.wiff	NT=Strong cation-exchange chromatography (SCX);AC=PRIDE:0000561	1	CEX1	3 µl	AC=MS:1002625;NT=iTRAQ reagent 115	NT=Trypsin;AC=MS:1001251	NT=3200 QTRAP;AC=MS:1000651	0.45 Da	0.45 Da	NT=Acetyl; MT=variable; PP=Protein N-Term;AC=Unimod:1; TA=.; MM=42	NT=Oxidation; MT=variable; PP=Anywhere;AC=Unimod:35; TA=M; MM=15	NT=iTRAQ4plex; MT=fixed; PP=Anywhere;AC=Unimod:214; TA=K; MM=144	NT=iTRAQ4plex; MT=fixed; PP=Any N-Term;AC=Unimod:214; TA=.; MM=144	NT=Methylthio; MT=fixed; PP=Anywhere;AC=Unimod:39; TA=.; MM=45.98772
iPRG2008-iTRAQ4plex-116	Mus musculus	not available	not available	not available	1	not available	2	proteomic profiling by mass spectrometry	02 CEX1 3uL DBS EMC 1ex.wiff	https://ftp.pride.ebi.ac.uk/pride/data/archive/2015/05/PXD000793/02 CEX1 3uL DBS EMC 1ex.wiff	NT=Strong cation-exchange chromatography (SCX);AC=PRIDE:0000561	1	CEX1	3 µl	AC=MS:1002626;NT=iTRAQ reagent 116	NT=Trypsin;AC=MS:1001251	NT=3200 QTRAP;AC=MS:1000651	0.45 Da	0.45 Da	NT=Acetyl; MT=variable; PP=Protein N-Term;AC=Unimod:1; TA=.; MM=42	NT=Oxidation; MT=variable; PP=Anywhere;AC=Unimod:35; TA=M; MM=15	NT=iTRAQ4plex; MT=fixed; PP=Anywhere;AC=Unimod:214; TA=K; MM=144	NT=iTRAQ4plex; MT=fixed; PP=Any N-Term;AC=Unimod:214; TA=.; MM=144	NT=Methylthio; MT=fixed; PP=Anywhere;AC=Unimod:39; TA=.; MM=45.98772
iPRG2008-iTRAQ4plex-117	Mus musculus	not available	not available	not available	1	not available	2	proteomic profiling by mass spectrometry	02 CEX1 3uL DBS EMC 1ex.wiff	https://ftp.pride.ebi.ac.uk/pride/data/archive/2015/05/PXD000793/02 CEX1 3uL DBS EMC 1ex.wiff	NT=Strong cation-exchange chromatography (SCX);AC=PRIDE:0000561	1	CEX1	3 µl	AC=MS:1002627;NT=iTRAQ reagent 117	NT=Trypsin;AC=MS:1001251	NT=3200 QTRAP;AC=MS:1000651	0.45 Da	0.45 Da	NT=Acetyl; MT=variable; PP=Protein N-Term;AC=Unimod:1; TA=.; MM=42	NT=Oxidation; MT=variable; PP=Anywhere;AC=Unimod:35; TA=M; MM=15	NT=iTRAQ4plex; MT=fixed; PP=Anywhere;AC=Unimod:214; TA=K; MM=144	NT=iTRAQ4plex; MT=fixed; PP=Any N-Term;AC=Unimod:214; TA=.; MM=144	NT=Methylthio; MT=fixed; PP=Anywhere;AC=Unimod:39; TA=.; MM=45.98772
iPRG2008-iTRAQ4plex-114	Mus musculus	not available	not available	not available	1	not available	3	proteomic profiling by mass spectrometry	03 CEX1 5uL DBS EMC 2ex.wiff	https://ftp.pride.ebi.ac.uk/pride/data/archive/2015/05/PXD000793/03 CEX1 5uL DBS EMC 2ex.wiff	NT=Strong cation-exchange chromatography (SCX);AC=PRIDE:0000561	1	CEX1	5 µl	AC=MS:1002624;NT=iTRAQ reagent 114	NT=Trypsin;AC=MS:1001251	NT=3200 QTRAP;AC=MS:1000651	0.45 Da	0.45 Da	NT=Acetyl; MT=variable; PP=Protein N-Term;AC=Unimod:1; TA=.; MM=42	NT=Oxidation; MT=variable; PP=Anywhere;AC=Unimod:35; TA=M; MM=15	NT=iTRAQ4plex; MT=fixed; PP=Anywhere;AC=Unimod:214; TA=K; MM=144	NT=iTRAQ4plex; MT=fixed; PP=Any N-Term;AC=Unimod:214; TA=.; MM=144	NT=Methylthio; MT=fixed; PP=Anywhere;AC=Unimod:39; TA=.; MM=45.98772
iPRG2008-iTRAQ4plex-115	Mus musculus	not available	not available	not available	1	not available	3	proteomic profiling by mass spectrometry	03 CEX1 5uL DBS EMC 2ex.wiff	https://ftp.pride.ebi.ac.uk/pride/data/archive/2015/05/PXD000793/03 CEX1 5uL DBS EMC 2ex.wiff	NT=Strong cation-exchange chromatography (SCX);AC=PRIDE:0000561	1	CEX1	5 µl	AC=MS:1002625;NT=iTRAQ reagent 115	NT=Trypsin;AC=MS:1001251	NT=3200 QTRAP;AC=MS:1000651	0.45 Da	0.45 Da	NT=Acetyl; MT=variable; PP=Protein N-Term;AC=Unimod:1; TA=.; MM=42	NT=Oxidation; MT=variable; PP=Anywhere;AC=Unimod:35; TA=M; MM=15	NT=iTRAQ4plex; MT=fixed; PP=Anywhere;AC=Unimod:214; TA=K; MM=144	NT=iTRAQ4plex; MT=fixed; PP=Any N-Term;AC=Unimod:214; TA=.; MM=144	NT=Methylthio; MT=fixed; PP=Anywhere;AC=Unimod:39; TA=.; MM=45.98772
