source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[developmental stage]	characteristics[disease]	characteristics[enrichment process]	characteristics[biological replicate]	characteristics[compound]	characteristics[concentration of]	characteristics[cell line]	assay name	technology type	comment[data file]	comment[technical replicate]	comment[fraction identifier]	comment[label]	comment[cleavage agent details]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[instrument]	comment[associated file uri]	factor value[compound]	factor value[concentration of]
E1S1	Mus musculus	immune system	B cell	not applicable	mercury poisoning	enrichment of phosphorylated protein	1	none	not applicable	CLO:0009575	run 1	proteomic profiling by mass spectrometry	1342_01.RAW	1	1	AC=MS:1002038;NT=label free sample	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	"NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21"	NT=LTQ;AC=MS:1000447	https://ftp.pride.ebi.ac.uk/pride/data/archive/2013/12/PXD000312/1342_01.RAW	none	not applicable
E1S2	Mus musculus	immune system	B cell	not applicable	mercury poisoning	enrichment of phosphorylated protein	1	none	not applicable	CLO:0009575	run 2	proteomic profiling by mass spectrometry	1342_02.RAW	1	1	AC=MS:1002038;NT=label free sample	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	"NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21"	NT=LTQ;AC=MS:1000447	https://ftp.pride.ebi.ac.uk/pride/data/archive/2013/12/PXD000312/1342_02.RAW	none	not applicable
E1S3	Mus musculus	immune system	B cell	not applicable	mercury poisoning	enrichment of phosphorylated protein	1	none	not applicable	CLO:0009575	run 3	proteomic profiling by mass spectrometry	1342_03.RAW	1	1	AC=MS:1002038;NT=label free sample	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	"NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21"	NT=LTQ;AC=MS:1000447	https://ftp.pride.ebi.ac.uk/pride/data/archive/2013/12/PXD000312/1342_03.RAW	none	not applicable
E1S4	Mus musculus	immune system	B cell	not applicable	mercury poisoning	enrichment of phosphorylated protein	1	none	not applicable	CLO:0009575	run 4	proteomic profiling by mass spectrometry	1342_04.RAW	1	1	AC=MS:1002038;NT=label free sample	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	"NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21"	NT=LTQ;AC=MS:1000447	https://ftp.pride.ebi.ac.uk/pride/data/archive/2013/12/PXD000312/1342_04.RAW	none	not applicable
E1S5	Mus musculus	immune system	B cell	not applicable	mercury poisoning	enrichment of phosphorylated protein	1	mercury dichloride	250 uM	CLO:0009575	run 5	proteomic profiling by mass spectrometry	1342_05.RAW	1	1	AC=MS:1002038;NT=label free sample	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	"NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21"	NT=LTQ;AC=MS:1000447	https://ftp.pride.ebi.ac.uk/pride/data/archive/2013/12/PXD000312/1342_05.RAW	mercury dichloride	250 uM
E1S6	Mus musculus	immune system	B cell	not applicable	mercury poisoning	enrichment of phosphorylated protein	1	mercury dichloride	250 uM	CLO:0009575	run 6	proteomic profiling by mass spectrometry	1342_06.RAW	1	1	AC=MS:1002038;NT=label free sample	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	"NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21"	NT=LTQ;AC=MS:1000447	https://ftp.pride.ebi.ac.uk/pride/data/archive/2013/12/PXD000312/1342_06.RAW	mercury dichloride	250 uM
E1S7	Mus musculus	immune system	B cell	not applicable	mercury poisoning	enrichment of phosphorylated protein	1	mercury dichloride	250 uM	CLO:0009575	run 7	proteomic profiling by mass spectrometry	1342_07.RAW	1	1	AC=MS:1002038;NT=label free sample	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	"NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21"	NT=LTQ;AC=MS:1000447	https://ftp.pride.ebi.ac.uk/pride/data/archive/2013/12/PXD000312/1342_07.RAW	mercury dichloride	250 uM
E1S8	Mus musculus	immune system	B cell	not applicable	mercury poisoning	enrichment of phosphorylated protein	1	mercury dichloride	250 uM	CLO:0009575	run 8	proteomic profiling by mass spectrometry	1342_08.RAW	1	1	AC=MS:1002038;NT=label free sample	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	"NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21"	NT=LTQ;AC=MS:1000447	https://ftp.pride.ebi.ac.uk/pride/data/archive/2013/12/PXD000312/1342_08.RAW	mercury dichloride	250 uM
E1S9	Mus musculus	immune system	B cell	not applicable	mercury poisoning	enrichment of phosphorylated protein	1	okadaic acid	0.1 uM	CLO:0009575	run 9	proteomic profiling by mass spectrometry	1342_09.RAW	1	1	AC=MS:1002038;NT=label free sample	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	"NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21"	NT=LTQ;AC=MS:1000447	https://ftp.pride.ebi.ac.uk/pride/data/archive/2013/12/PXD000312/1342_09.RAW	okadaic acid	0.1 uM
E1S10	Mus musculus	immune system	B cell	not applicable	mercury poisoning	enrichment of phosphorylated protein	1	okadaic acid	0.1 uM	CLO:0009575	run 10	proteomic profiling by mass spectrometry	1342_10.RAW	1	1	AC=MS:1002038;NT=label free sample	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	"NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21"	NT=LTQ;AC=MS:1000447	https://ftp.pride.ebi.ac.uk/pride/data/archive/2013/12/PXD000312/1342_10.RAW	okadaic acid	0.1 uM
