source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[compound]	characteristics[concentration of]	characteristics[concentration unit]	characteristics[enrichment process]	characteristics[cultured cell]	assay name	comment[data file]	comment[fraction identifier]	comment[label]	comment[cleavage agent details]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[instrument]	comment[associated file uri]	factor value[treatment]
E1S1	Mus musculus	immune system	B cell	mercury poisoning	none	not applicable	not applicable	enrichment of phosphorylated protein	CLO:0009575	1	1342_01.RAW	1	AC=MS:1002038;NT=label free sample	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	"NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21"	NT=LTQ;AC=MS:1000447	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2013/12/PXD000312/1342_01.RAW	none
E1S2	Mus musculus	immune system	B cell	mercury poisoning	none	not applicable	not applicable	enrichment of phosphorylated protein	CLO:0009575	2	1342_02.RAW	1	AC=MS:1002038;NT=label free sample	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:5	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:36	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	"NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:22"	NT=LTQ;AC=MS:1000447	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2013/12/PXD000312/1342_02.RAW	none
E1S3	Mus musculus	immune system	B cell	mercury poisoning	none	not applicable	not applicable	enrichment of phosphorylated protein	CLO:0009575	3	1342_03.RAW	1	AC=MS:1002038;NT=label free sample	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:6	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:37	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	"NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:23"	NT=LTQ;AC=MS:1000447	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2013/12/PXD000312/1342_03.RAW	none
E1S4	Mus musculus	immune system	B cell	mercury poisoning	none	not applicable	not applicable	enrichment of phosphorylated protein	CLO:0009575	4	1342_04.RAW	1	AC=MS:1002038;NT=label free sample	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:7	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:38	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	"NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:24"	NT=LTQ;AC=MS:1000447	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2013/12/PXD000312/1342_04.RAW	none
E1S5	Mus musculus	immune system	B cell	mercury poisoning	mercury dichloride	250	micromolar	enrichment of phosphorylated protein	CLO:0009575	5	1342_05.RAW	1	AC=MS:1002038;NT=label free sample	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:8	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:39	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	"NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:25"	NT=LTQ;AC=MS:1000447	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2013/12/PXD000312/1342_05.RAW	mercury dichloride 250
E1S6	Mus musculus	immune system	B cell	mercury poisoning	mercury dichloride	250	micromolar	enrichment of phosphorylated protein	CLO:0009575	6	1342_06.RAW	1	AC=MS:1002038;NT=label free sample	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:9	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:40	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	"NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:26"	NT=LTQ;AC=MS:1000447	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2013/12/PXD000312/1342_06.RAW	mercury dichloride 250
E1S7	Mus musculus	immune system	B cell	mercury poisoning	mercury dichloride	250	micromolar	enrichment of phosphorylated protein	CLO:0009575	7	1342_07.RAW	1	AC=MS:1002038;NT=label free sample	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:10	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:41	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	"NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:27"	NT=LTQ;AC=MS:1000447	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2013/12/PXD000312/1342_07.RAW	mercury dichloride 250
E1S8	Mus musculus	immune system	B cell	mercury poisoning	mercury dichloride	250	micromolar	enrichment of phosphorylated protein	CLO:0009575	8	1342_08.RAW	1	AC=MS:1002038;NT=label free sample	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:11	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:42	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	"NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:28"	NT=LTQ;AC=MS:1000447	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2013/12/PXD000312/1342_08.RAW	mercury dichloride 250
E1S9	Mus musculus	immune system	B cell	mercury poisoning	okadaic acid	100	nanomolar	enrichment of phosphorylated protein	CLO:0009575	9	1342_09.RAW	1	AC=MS:1002038;NT=label free sample	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:12	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:43	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	"NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:29"	NT=LTQ;AC=MS:1000447	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2013/12/PXD000312/1342_09.RAW	okadaic acid
E1S10	Mus musculus	immune system	B cell	mercury poisoning	okadaic acid	100	nanomolar	enrichment of phosphorylated protein	CLO:0009575	10	1342_10.RAW	1	AC=MS:1002038;NT=label free sample	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:13	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:44	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	"NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:30"	NT=LTQ;AC=MS:1000447	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2013/12/PXD000312/1342_10.RAW	okadaic acid
