term	type	ontology_term_accession	usage	values	description	allow_not_available	allow_not_applicable	allow_pooled
source name	anchor column	PRIDE:0000623	base, ms-proteomics, affinity-proteomics, human, cell-lines, single-cell, immunopeptidomics, crosslinking, metaproteomics, dia-acquisition	free text	Unique identifier for the biological sample	false	false	false
assay name	anchor column	NCIT:C178857	base, ms-proteomics, affinity-proteomics, human, cell-lines, single-cell, immunopeptidomics, crosslinking, metaproteomics, dia-acquisition	free text	Unique identifier for the assay or sample within a study (e.g. MS run name for mass spectrometry, sample ID from platform data file for affinity proteomics)	false	false	false
technology type	anchor column	PRIDE:0000663	base, ms-proteomics, affinity-proteomics, human, cell-lines, single-cell, immunopeptidomics, crosslinking, metaproteomics, dia-acquisition	fixed: proteomic profiling by mass spectrometry, protein expression profiling by antibody array, protein expression profiling by aptamer array	Type of technology used	false	false	false
organism	characteristics	COB:0000022	base, ms-proteomics, human, cell-lines, single-cell, immunopeptidomics, crosslinking, dia-acquisition	NCBITaxon	Species of the sample	false	true	false
organism part	characteristics	EFO:0000635	base, ms-proteomics, human, cell-lines, single-cell, immunopeptidomics, crosslinking, dia-acquisition	UBERON, BTO	Main normalized anatomical term for the sample; use the clearest ontology-backed anatomy term available for integration across datasets	true	true	false
disease	characteristics	EFO:0000408	sample-metadata, ms-proteomics, human, vertebrates, invertebrates, plants, clinical-metadata, oncology-metadata, cell-lines, single-cell, immunopeptidomics, crosslinking, dia-acquisition	MONDO, EFO, DOID, PATO	Disease state of the sample (use 'normal' from PATO for healthy samples)	true	true	false
cell type	characteristics	EFO:0000324	base, ms-proteomics, human, cell-lines, single-cell, immunopeptidomics, crosslinking, dia-acquisition	CL, BTO, CLO	Cell type of the sample	true	true	false
material type	characteristics	PRIDE:0000837	base, ms-proteomics, human, cell-lines, single-cell, immunopeptidomics, crosslinking, dia-acquisition, clinical-metadata	fixed: tissue, cell, cell line, organism part, whole organism, synthetic	Type of biological material being analyzed (derived from MAGE-TAB specification)	true	true	false
biological replicate	characteristics	MS:1001809	base, ms-proteomics, human, cell-lines, single-cell, immunopeptidomics, crosslinking, dia-acquisition	integer or pooled	Identifier for the biological replicate	false	false	true
ancestry category	characteristics	HANCESTRO:0004	human, cell-lines	HANCESTRO	Ancestry or ethnic background of the donor	true	true	false
age	characteristics	EFO:0000246	human	pattern: {Number}{Unit} (Y/M/W/D), anonymized, or pooled	Age of the donor at sample collection	true	false	true
sex	characteristics	PATO:0000047	human, vertebrates	fixed: male, female, intersex, hermaphrodite, anonymized, not available, not applicable, pooled	Biological sex of the donor	true	true	true
developmental stage	characteristics	EFO:0000399	human, vertebrates, invertebrates, plants, cell-lines	EFO	Developmental stage of the organism or donor	true	true	false
individual	characteristics	EFO:0000542	human	free text pattern or pooled	Unique identifier for the donor individual	true	true	true
cell line	characteristics	CLO:0000031	cell-lines	CLO, BTO, EFO	Name of the cell line	false	false	false
cellosaurus accession	characteristics	PRIDE:0000835	cell-lines	Cellosaurus (CVCL_XXXX)	Cellosaurus accession number for the cell line	true	false	false
cellosaurus name	characteristics	PRIDE:0000836	cell-lines	Cellosaurus	Official Cellosaurus name for the cell line	true	false	false
sampling site	characteristics	EFO:0000688	clinical-metadata, cell-lines	UBERON, BTO	Local sampling context, provenance, or original source label relative to the organism part. May be equal to the organism part or provide finer context (e.g., normal tissue adjacent to tumor, apex of left ventricle).	true	true	false
disease staging	characteristics	EFO:0000410	oncology-metadata	NCIT, EFO	Disease progression stage (stage I-IV, chronic phase, end stage). Distinct from tumor-specific staging.	true	true	false
tumor grading	characteristics	OBI:0600002	oncology-metadata	NCIT	Histological tumor grade (grade 1-4). Describes how abnormal cells look.	true	true	false
tumor stage	characteristics	EFO:0004925	oncology-metadata	NCIT	TNM staging notation (T0-4, N0-3, M0-1). Describes extent of cancer spread.	true	true	false
clinical data	characteristics	EFO:0030083	oncology-metadata	free text	Free-text clinical details (receptor status, treatment history, surgical details). Use for context not captured in structured fields.	true	true	false
