source name	characteristics[organism]	characteristics[organism part]	characteristics[disease]	characteristics[cell type]	characteristics[biological replicate]	assay name	comment[fraction identifier]	comment[technical replicate]	comment[Instrument]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[dissociation method]	comment[data file]	comment[cleavage agent details]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]
PXD017269_Adenom/ Colorectal adenoma/ -/ -/ FFPE/ Macrodissection (scraping)	Homo sapiens	Tissue Colorectal adenoma	not avalaible	not avalaible	1	not avalaible	not avalaible	not avalaible	not avalaible	4.5 ppm	20 ppm	NT=HCD	20171117_QX4_SoDo_SA_Fullslice_FFPE_157Adenom_TFE.mgf	NT=Trypsin/P;AC=MS:1001313;CS=(?<=[KR])	NT=Oxidation;AC=UNIMOD:35;CF=O(1);MT=Fixed;TA=M;MM=15.994915	NT=Acetyl;AC=UNIMOD:1;CF=C(2)H(2)O(1);MT=Fixed;TA=N-term;MM=42.010565	NT=Methyl;AC=UNIMOD:34;CF=C(1)H(2);MT=Fixed;TA=K;MM=14.01565	NT=Oxidation;AC=UNIMOD:35;CF=O(1);MT=Variable;TA=M;MM=15.994915	NT=Acetyl;AC=UNIMOD:1;CF=C(2)H(2)O(1);MT=Variable;TA=N-term;MM=42.010565	NT=Methyl;AC=UNIMOD:34;CF=C(1)H(2);MT=Variable;TA=K;MM=14.01565
PXD017269_Urachus/ Urachal cancer/ -/ -/ FFPE/ Macrodissection (scraping)	Homo sapiens	Tissue Urachal cancer	not avalaible	not avalaible	2	not avalaible	not avalaible	not avalaible	not avalaible	4.5 ppm	20 ppm	NT=HCD	20171117_QX4_SoDo_SA_Fullslice_FFPE_255Urachal_TFE.mgf	NT=Trypsin/P;AC=MS:1001313;CS=(?<=[KR])	NT=Oxidation;AC=UNIMOD:35;CF=O(1);MT=Fixed;TA=M;MM=15.994915	NT=Acetyl;AC=UNIMOD:1;CF=C(2)H(2)O(1);MT=Fixed;TA=N-term;MM=42.010565	NT=Methyl;AC=UNIMOD:34;CF=C(1)H(2);MT=Fixed;TA=K;MM=14.01565	NT=Oxidation;AC=UNIMOD:35;CF=O(1);MT=Variable;TA=M;MM=15.994915	NT=Acetyl;AC=UNIMOD:1;CF=C(2)H(2)O(1);MT=Variable;TA=N-term;MM=42.010565	NT=Methyl;AC=UNIMOD:34;CF=C(1)H(2);MT=Variable;TA=K;MM=14.01565
PXD017269_GBM1/ Glioma/ -/ -/ FFPE/ Macrodissection (scraping)	Homo sapiens	Tissue Glioma	not avalaible	not avalaible	3	not avalaible	not avalaible	not avalaible	not avalaible	4.5 ppm	20 ppm	NT=HCD	20171117_QX4_SoDo_SA_Fullslice_FFPE_GBM1_TFE.mgf	NT=Trypsin/P;AC=MS:1001313;CS=(?<=[KR])	NT=Oxidation;AC=UNIMOD:35;CF=O(1);MT=Fixed;TA=M;MM=15.994915	NT=Acetyl;AC=UNIMOD:1;CF=C(2)H(2)O(1);MT=Fixed;TA=N-term;MM=42.010565	NT=Methyl;AC=UNIMOD:34;CF=C(1)H(2);MT=Fixed;TA=K;MM=14.01565	NT=Oxidation;AC=UNIMOD:35;CF=O(1);MT=Variable;TA=M;MM=15.994915	NT=Acetyl;AC=UNIMOD:1;CF=C(2)H(2)O(1);MT=Variable;TA=N-term;MM=42.010565	NT=Methyl;AC=UNIMOD:34;CF=C(1)H(2);MT=Variable;TA=K;MM=14.01565
PXD017269_GBM4/ Glioma/ -/ -/ FFPE/ Macrodissection (scraping)	Homo sapiens	Tissue Glioma	not avalaible	not avalaible	4	not avalaible	not avalaible	not avalaible	not avalaible	4.5 ppm	20 ppm	NT=HCD	20171117_QX4_SoDo_SA_Fullslice_FFPE_GBM4_TFE.mgf	NT=Trypsin/P;AC=MS:1001313;CS=(?<=[KR])	NT=Oxidation;AC=UNIMOD:35;CF=O(1);MT=Fixed;TA=M;MM=15.994915	NT=Acetyl;AC=UNIMOD:1;CF=C(2)H(2)O(1);MT=Fixed;TA=N-term;MM=42.010565	NT=Methyl;AC=UNIMOD:34;CF=C(1)H(2);MT=Fixed;TA=K;MM=14.01565	NT=Oxidation;AC=UNIMOD:35;CF=O(1);MT=Variable;TA=M;MM=15.994915	NT=Acetyl;AC=UNIMOD:1;CF=C(2)H(2)O(1);MT=Variable;TA=N-term;MM=42.010565	NT=Methyl;AC=UNIMOD:34;CF=C(1)H(2);MT=Variable;TA=K;MM=14.01565
PXD017269_GBM5/ Glioma/ -/ -/ FFPE/ Macrodissection (scraping)	Homo sapiens	Tissue Glioma	not avalaible	not avalaible	5	not avalaible	not avalaible	not avalaible	not avalaible	4.5 ppm	20 ppm	NT=HCD	20171117_QX4_SoDo_SA_Fullslice_FFPE_GBM5_TFE.mgf	NT=Trypsin/P;AC=MS:1001313;CS=(?<=[KR])	NT=Oxidation;AC=UNIMOD:35;CF=O(1);MT=Fixed;TA=M;MM=15.994915	NT=Acetyl;AC=UNIMOD:1;CF=C(2)H(2)O(1);MT=Fixed;TA=N-term;MM=42.010565	NT=Methyl;AC=UNIMOD:34;CF=C(1)H(2);MT=Fixed;TA=K;MM=14.01565	NT=Oxidation;AC=UNIMOD:35;CF=O(1);MT=Variable;TA=M;MM=15.994915	NT=Acetyl;AC=UNIMOD:1;CF=C(2)H(2)O(1);MT=Variable;TA=N-term;MM=42.010565	NT=Methyl;AC=UNIMOD:34;CF=C(1)H(2);MT=Variable;TA=K;MM=14.01565
PXD017269_21463_FT/ High-grade serous ovarian cancer, fallopian tube/ -/ -/ FFPE/ Laser-capture microdissection	Homo sapiens	Tissue High-grade serous ovarian cancer, fallopian tube	not avalaible	not avalaible	6	not avalaible	not avalaible	not avalaible	not avalaible	4.5 ppm	20 ppm	NT=HCD	20171117_QX4_SoDo_SA_LCM_21463_FT_TFE.mgf	NT=Trypsin/P;AC=MS:1001313;CS=(?<=[KR])	NT=Oxidation;AC=UNIMOD:35;CF=O(1);MT=Fixed;TA=M;MM=15.994915	NT=Acetyl;AC=UNIMOD:1;CF=C(2)H(2)O(1);MT=Fixed;TA=N-term;MM=42.010565	NT=Methyl;AC=UNIMOD:34;CF=C(1)H(2);MT=Fixed;TA=K;MM=14.01565	NT=Oxidation;AC=UNIMOD:35;CF=O(1);MT=Variable;TA=M;MM=15.994915	NT=Acetyl;AC=UNIMOD:1;CF=C(2)H(2)O(1);MT=Variable;TA=N-term;MM=42.010565	NT=Methyl;AC=UNIMOD:34;CF=C(1)H(2);MT=Variable;TA=K;MM=14.01565
PXD017269_7208_OM/ High-grade serous ovarian cancer, omental metatstasis, replictae 1/ -/ -/ FFPE/ Laser-capture microdissection	Homo sapiens	Tissue High-grade serous ovarian cancer, omental metatstasis	not avalaible	not avalaible	7	not avalaible	not avalaible	not avalaible	not avalaible	4.5 ppm	20 ppm	NT=HCD	20171117_QX4_SoDo_SA_LCM_7208_OM_TFE.mgf	NT=Trypsin/P;AC=MS:1001313;CS=(?<=[KR])	NT=Oxidation;AC=UNIMOD:35;CF=O(1);MT=Fixed;TA=M;MM=15.994915	NT=Acetyl;AC=UNIMOD:1;CF=C(2)H(2)O(1);MT=Fixed;TA=N-term;MM=42.010565	NT=Methyl;AC=UNIMOD:34;CF=C(1)H(2);MT=Fixed;TA=K;MM=14.01565	NT=Oxidation;AC=UNIMOD:35;CF=O(1);MT=Variable;TA=M;MM=15.994915	NT=Acetyl;AC=UNIMOD:1;CF=C(2)H(2)O(1);MT=Variable;TA=N-term;MM=42.010565	NT=Methyl;AC=UNIMOD:34;CF=C(1)H(2);MT=Variable;TA=K;MM=14.01565
PXD017269_7208_OM_2/ High-grade serous ovarian cancer, omental metatstasis, replicate 2/ -/ -/ FFPE/ Laser-capture microdissection	Homo sapiens	Tissue High-grade serous ovarian cancer, omental metatstasis	not avalaible	not avalaible	7	not avalaible	not avalaible	not avalaible	not avalaible	4.5 ppm	20 ppm	NT=HCD	20171117_QX4_SoDo_SA_LCM_7208_OM_TFE_171119032729.mgf	NT=Trypsin/P;AC=MS:1001313;CS=(?<=[KR])	NT=Oxidation;AC=UNIMOD:35;CF=O(1);MT=Fixed;TA=M;MM=15.994915	NT=Acetyl;AC=UNIMOD:1;CF=C(2)H(2)O(1);MT=Fixed;TA=N-term;MM=42.010565	NT=Methyl;AC=UNIMOD:34;CF=C(1)H(2);MT=Fixed;TA=K;MM=14.01565	NT=Oxidation;AC=UNIMOD:35;CF=O(1);MT=Variable;TA=M;MM=15.994915	NT=Acetyl;AC=UNIMOD:1;CF=C(2)H(2)O(1);MT=Variable;TA=N-term;MM=42.010565	NT=Methyl;AC=UNIMOD:34;CF=C(1)H(2);MT=Variable;TA=K;MM=14.01565
PXD017269_7208_OV/ High-grade serous ovarian cancer, ovary, replicate 1/ -/ -/ FFPE/ Laser-capture microdissection	Homo sapiens	Tissue High-grade serous ovarian cancer, ovary	not avalaible	not avalaible	8	not avalaible	not avalaible	not avalaible	not avalaible	4.5 ppm	20 ppm	NT=HCD	20171117_QX4_SoDo_SA_LCM_7208_OV_TFE.mgf	NT=Trypsin/P;AC=MS:1001313;CS=(?<=[KR])	NT=Oxidation;AC=UNIMOD:35;CF=O(1);MT=Fixed;TA=M;MM=15.994915	NT=Acetyl;AC=UNIMOD:1;CF=C(2)H(2)O(1);MT=Fixed;TA=N-term;MM=42.010565	NT=Methyl;AC=UNIMOD:34;CF=C(1)H(2);MT=Fixed;TA=K;MM=14.01565	NT=Oxidation;AC=UNIMOD:35;CF=O(1);MT=Variable;TA=M;MM=15.994915	NT=Acetyl;AC=UNIMOD:1;CF=C(2)H(2)O(1);MT=Variable;TA=N-term;MM=42.010565	NT=Methyl;AC=UNIMOD:34;CF=C(1)H(2);MT=Variable;TA=K;MM=14.01565
PXD017269_7208_OV_2/ High-grade serous ovarian cancer, ovary, replicate 2/ -/ -/ FFPE/ Laser-capture microdissection	Homo sapiens	Tissue High-grade serous ovarian cancer, ovary	not avalaible	not avalaible	8	not avalaible	not avalaible	not avalaible	not avalaible	4.5 ppm	20 ppm	NT=HCD	20171117_QX4_SoDo_SA_LCM_7208_OV_TFE_rep2.mgf	NT=Trypsin/P;AC=MS:1001313;CS=(?<=[KR])	NT=Oxidation;AC=UNIMOD:35;CF=O(1);MT=Fixed;TA=M;MM=15.994915	NT=Acetyl;AC=UNIMOD:1;CF=C(2)H(2)O(1);MT=Fixed;TA=N-term;MM=42.010565	NT=Methyl;AC=UNIMOD:34;CF=C(1)H(2);MT=Fixed;TA=K;MM=14.01565	NT=Oxidation;AC=UNIMOD:35;CF=O(1);MT=Variable;TA=M;MM=15.994915	NT=Acetyl;AC=UNIMOD:1;CF=C(2)H(2)O(1);MT=Variable;TA=N-term;MM=42.010565	NT=Methyl;AC=UNIMOD:34;CF=C(1)H(2);MT=Variable;TA=K;MM=14.01565
PXD017269_SDS1/ High-grade serous ovarian cancer/ A/ 4% SDS, 300mM Tris/HCl pH 8/ FFPE/ -	Homo sapiens	Tissue High-grade serous ovarian cancer	not avalaible	not avalaible	9	not avalaible	not avalaible	not avalaible	not avalaible	4.5 ppm	20 ppm	NT=HCD	20190129_QE8_nLC14_FaCo_SA_DDA_100min_ProtocolTest_SDS_1.mgf	NT=Trypsin/P;AC=MS:1001313;CS=(?<=[KR])	NT=Oxidation;AC=UNIMOD:35;CF=O(1);MT=Fixed;TA=M;MM=15.994915	NT=Acetyl;AC=UNIMOD:1;CF=C(2)H(2)O(1);MT=Fixed;TA=N-term;MM=42.010565	NT=Methyl;AC=UNIMOD:34;CF=C(1)H(2);MT=Fixed;TA=K;MM=14.01565	NT=Oxidation;AC=UNIMOD:35;CF=O(1);MT=Variable;TA=M;MM=15.994915	NT=Acetyl;AC=UNIMOD:1;CF=C(2)H(2)O(1);MT=Variable;TA=N-term;MM=42.010565	NT=Methyl;AC=UNIMOD:34;CF=C(1)H(2);MT=Variable;TA=K;MM=14.01565
