source name	characteristics[organism]	characteristics[organism part]	characteristics[cell line]	characteristics[cell type]	characteristics[developmental stage]	characteristics[sex]	characteristics[disease]	material type	characteristics[biological replicate]	characteristics[infect]	assay name	technology type	comment[technical replicate]	comment[fraction identifier]	comment[technical replcate]	comment[file uri]	comment[data file]	comment[instrument]	comment[label]	comment[cleavage agent details]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	factor value[infect]
Sample 1	Cercopithecus	kidney	Vero C1008	epithelial cell	adult	female	not applicable	cell	1	Severe acute respiratory syndrome coronavirus 2	run 1	proteomic profiling by mass spectrometry	1	1	1	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/03/PXD018241/020320_Total_1.raw	020320_Total_1.raw	NT=Orbitrap Fusion Lumos;AC=MS:1002732	AC=MS:1002038;NT=label free sample	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=Met-loss+Acetyl;AC=UNIMOD:766;PP=Protein N-term;MT=variable	10 ppm	0.6 Da	Severe acute respiratory syndrome coronavirus 2
Sample 1	Cercopithecus	kidney	Vero C1008	epithelial cell	adult	female	not applicable	cell	1	Severe acute respiratory syndrome coronavirus 2	run 2	proteomic profiling by mass spectrometry	1	2	1	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/03/PXD018241/020320_Total_2.raw	020320_Total_2.raw	NT=Orbitrap Fusion Lumos;AC=MS:1002732	AC=MS:1002038;NT=label free sample	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=Met-loss+Acetyl;AC=UNIMOD:766;PP=Protein N-term;MT=variable	10 ppm	0.6 Da	Severe acute respiratory syndrome coronavirus 2
Sample 1	Cercopithecus	kidney	Vero C1008	epithelial cell	adult	female	not applicable	cell	1	Severe acute respiratory syndrome coronavirus 2	run 3	proteomic profiling by mass spectrometry	1	3	1	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/03/PXD018241/020320_Total_3.raw	020320_Total_3.raw	NT=Orbitrap Fusion Lumos;AC=MS:1002732	AC=MS:1002038;NT=label free sample	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=Met-loss+Acetyl;AC=UNIMOD:766;PP=Protein N-term;MT=variable	10 ppm	0.6 Da	Severe acute respiratory syndrome coronavirus 2
Sample 1	Cercopithecus	kidney	Vero C1008	epithelial cell	adult	female	not applicable	cell	1	Severe acute respiratory syndrome coronavirus 2	run 4	proteomic profiling by mass spectrometry	1	4	1	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/03/PXD018241/020320_Total_4.raw	020320_Total_4.raw	NT=Orbitrap Fusion Lumos;AC=MS:1002732	AC=MS:1002038;NT=label free sample	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=Met-loss+Acetyl;AC=UNIMOD:766;PP=Protein N-term;MT=variable	10 ppm	0.6 Da	Severe acute respiratory syndrome coronavirus 2
Sample 1	Cercopithecus	kidney	Vero C1008	epithelial cell	adult	female	not applicable	cell	1	Severe acute respiratory syndrome coronavirus 2	run 5	proteomic profiling by mass spectrometry	1	5	1	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/03/PXD018241/020320_Total_5.raw	020320_Total_5.raw	NT=Orbitrap Fusion Lumos;AC=MS:1002732	AC=MS:1002038;NT=label free sample	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=Met-loss+Acetyl;AC=UNIMOD:766;PP=Protein N-term;MT=variable	10 ppm	0.6 Da	Severe acute respiratory syndrome coronavirus 2
Sample 1	Cercopithecus	kidney	Vero C1008	epithelial cell	adult	female	not applicable	cell	1	Severe acute respiratory syndrome coronavirus 2	run 6	proteomic profiling by mass spectrometry	1	6	1	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/03/PXD018241/020320_Total_6.raw	020320_Total_6.raw	NT=Orbitrap Fusion Lumos;AC=MS:1002732	AC=MS:1002038;NT=label free sample	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=Met-loss+Acetyl;AC=UNIMOD:766;PP=Protein N-term;MT=variable	10 ppm	0.6 Da	Severe acute respiratory syndrome coronavirus 2
Sample 1	Cercopithecus	kidney	Vero C1008	epithelial cell	adult	female	not applicable	cell	1	Severe acute respiratory syndrome coronavirus 2	run 7	proteomic profiling by mass spectrometry	1	7	1	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/03/PXD018241/020320_Total_7.raw	020320_Total_7.raw	NT=Orbitrap Fusion Lumos;AC=MS:1002732	AC=MS:1002038;NT=label free sample	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=Met-loss+Acetyl;AC=UNIMOD:766;PP=Protein N-term;MT=variable	10 ppm	0.6 Da	Severe acute respiratory syndrome coronavirus 2
Sample 1	Cercopithecus	kidney	Vero C1008	epithelial cell	adult	female	not applicable	cell	1	Severe acute respiratory syndrome coronavirus 2	run 8	proteomic profiling by mass spectrometry	1	8	1	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/03/PXD018241/020320_Total_8.raw	020320_Total_8.raw	NT=Orbitrap Fusion Lumos;AC=MS:1002732	AC=MS:1002038;NT=label free sample	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=Met-loss+Acetyl;AC=UNIMOD:766;PP=Protein N-term;MT=variable	10 ppm	0.6 Da	Severe acute respiratory syndrome coronavirus 2
Sample 1	Cercopithecus	kidney	Vero C1008	epithelial cell	adult	female	not applicable	cell	1	Severe acute respiratory syndrome coronavirus 2	run 9	proteomic profiling by mass spectrometry	1	9	1	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/03/PXD018241/020320_Total_9.raw	020320_Total_9.raw	NT=Orbitrap Fusion Lumos;AC=MS:1002732	AC=MS:1002038;NT=label free sample	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=Met-loss+Acetyl;AC=UNIMOD:766;PP=Protein N-term;MT=variable	10 ppm	0.6 Da	Severe acute respiratory syndrome coronavirus 2
Sample 1	Cercopithecus	kidney	Vero C1008	epithelial cell	adult	female	not applicable	cell	1	Severe acute respiratory syndrome coronavirus 2	run 10	proteomic profiling by mass spectrometry	1	10	1	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/03/PXD018241/020320_Total_10.raw	020320_Total_10.raw	NT=Orbitrap Fusion Lumos;AC=MS:1002732	AC=MS:1002038;NT=label free sample	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=Met-loss+Acetyl;AC=UNIMOD:766;PP=Protein N-term;MT=variable	10 ppm	0.6 Da	Severe acute respiratory syndrome coronavirus 2
