source name	characteristics[organism]	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[cultured cell]	characteristics[disease]	characteristics[biological replicate]	assay name	comment[technical replicate]	comment[fraction identifier]	comment[label]	comment[data file]	comment[instrument]	comment[cleavage agent details]	comment[cleavage agent details]	factor value[bait]
MCP_ky_0000136_TPX2_1	Homo sapiens	Mus musculus	not applicable	epithelial cell	HeLa	not applicable	1	MCP_ky_0000136	0	0	Label free	MCP_ky_0000136_0167_38_JBA.RAW	orbitrap	NT=Trypsin	NT=Lys-C	LAP-A2APB8
MCP_ky_0000136_TPX2_2	Homo sapiens	Mus musculus	not applicable	epithelial cell	HeLa	not applicable	2	MCP_ky_0000136	0	0	Label free	MCP_ky_0000136_0168_01_JBA.RAW	orbitrap	NT=Trypsin	NT=Lys-C	LAP-A2APB8
MCP_ky_0000136_TPX2_3	Homo sapiens	Mus musculus	not applicable	epithelial cell	HeLa	not applicable	3	MCP_ky_0000136	0	0	Label free	MCP_ky_0000136_0172_20_JBA.RAW	orbitrap	NT=Trypsin	NT=Lys-C	LAP-A2APB8
MCP_ky_0000155_CEP135_1	Homo sapiens	Mus musculus	not applicable	epithelial cell	HeLa	not applicable	1	MCP_ky_0000155	0	0	Label free	MCP_ky_0000155_0167_12_JBA.RAW	orbitrap	NT=Trypsin	NT=Lys-C	LAP-Q6P5D4
MCP_ky_0000155_CEP135_2	Homo sapiens	Mus musculus	not applicable	epithelial cell	HeLa	not applicable	2	MCP_ky_0000155	0	0	Label free	MCP_ky_0000155_0168_03_JBA.RAW	orbitrap	NT=Trypsin	NT=Lys-C	LAP-Q6P5D4
MCP_ky_0000155_CEP135_3	Homo sapiens	Mus musculus	not applicable	epithelial cell	HeLa	not applicable	3	MCP_ky_0000155	0	0	Label free	MCP_ky_0000155_0172_31_JBA.RAW	orbitrap	NT=Trypsin	NT=Lys-C	LAP-Q6P5D4
MCP_ky_0000179_TACC3_1	Homo sapiens	Homo sapiens	not applicable	epithelial cell	HeLa	not applicable	1	MCP_ky_0000179	0	0	Label free	MCP_ky_0000179_0097_16_JBA.RAW	orbitrap	NT=Trypsin	NT=Lys-C	LAP-Q9Y6A5
MCP_ky_0000179_TACC3_2	Homo sapiens	Homo sapiens	not applicable	epithelial cell	HeLa	not applicable	2	MCP_ky_0000179	0	0	Label free	MCP_ky_0000179_0098_14_JBA.RAW	orbitrap	NT=Trypsin	NT=Lys-C	LAP-Q9Y6A5
MCP_ky_0000179_TACC3_3	Homo sapiens	Homo sapiens	not applicable	epithelial cell	HeLa	not applicable	3	MCP_ky_0000179	0	0	Label free	MCP_ky_0000179_0122_24_JBA.RAW	orbitrap	NT=Trypsin	NT=Lys-C	LAP-Q9Y6A5
MCP_ky_0000269_NotAvailable_1	Homo sapiens	not available	not applicable	epithelial cell	HeLa	not applicable	1	MCP_ky_0000269	0	0	Label free	MCP_ky_0000269_0173_29_JBA.RAW	orbitrap	NT=Trypsin	NT=Lys-C	not applicable
MCP_ky_0000269_NotAvailable_2	Homo sapiens	not available	not applicable	epithelial cell	HeLa	not applicable	2	MCP_ky_0000269	0	0	Label free	MCP_ky_0000269_0174_04_JBA.RAW	orbitrap	NT=Trypsin	NT=Lys-C	not applicable
MCP_ky_0000269_NotAvailable_3	Homo sapiens	not available	not applicable	epithelial cell	HeLa	not applicable	3	MCP_ky_0000269	0	0	Label free	MCP_ky_0000269_0178_45_JBA.RAW	orbitrap	NT=Trypsin	NT=Lys-C	not applicable
MCP_ky_0000270_DCTN2_1	Homo sapiens	Mus musculus	not applicable	epithelial cell	HeLa	not applicable	1	MCP_ky_0000270	0	0	Label free	MCP_ky_0000270_0215_21_JBA.RAW	orbitrap	NT=Trypsin	NT=Lys-C	LAP-Q99KJ8
MCP_ky_0000270_DCTN2_2	Homo sapiens	Mus musculus	not applicable	epithelial cell	HeLa	not applicable	2	MCP_ky_0000270	0	0	Label free	MCP_ky_0000270_0216_22_JBA.RAW	orbitrap	NT=Trypsin	NT=Lys-C	LAP-Q99KJ8
MCP_ky_0000270_DCTN2_3	Homo sapiens	Mus musculus	not applicable	epithelial cell	HeLa	not applicable	3	MCP_ky_0000270	0	0	Label free	MCP_ky_0000270_0222_06_JBA.RAW	orbitrap	NT=Trypsin	NT=Lys-C	LAP-Q99KJ8
MCP_ky_0000271_NME7_1	Homo sapiens	Mus musculus	not applicable	epithelial cell	HeLa	not applicable	1	MCP_ky_0000271	0	0	Label free	MCP_ky_0000271_0215_23_JBA.RAW	orbitrap	NT=Trypsin	NT=Lys-C	LAP-Q8BUH2
MCP_ky_0000271_NME7_2	Homo sapiens	Mus musculus	not applicable	epithelial cell	HeLa	not applicable	2	MCP_ky_0000271	0	0	Label free	MCP_ky_0000271_0216_36_JBA.RAW	orbitrap	NT=Trypsin	NT=Lys-C	LAP-Q8BUH2
MCP_ky_0000271_NME7_3	Homo sapiens	Mus musculus	not applicable	epithelial cell	HeLa	not applicable	3	MCP_ky_0000271	0	0	Label free	MCP_ky_0000271_0222_37_JBA.RAW	orbitrap	NT=Trypsin	NT=Lys-C	LAP-Q8BUH2
MCP_ky_0000284_PPP2R1A_1	Homo sapiens	Mus musculus	not applicable	epithelial cell	HeLa	not applicable	1	MCP_ky_0000284	0	0	Label free	MCP_ky_0000284_0186_12_JBA.RAW	orbitrap	NT=Trypsin	NT=Lys-C	LAP-Q76MZ3
MCP_ky_0000284_PPP2R1A_2	Homo sapiens	Mus musculus	not applicable	epithelial cell	HeLa	not applicable	2	MCP_ky_0000284	0	0	Label free	MCP_ky_0000284_0187_03_JBA.RAW	orbitrap	NT=Trypsin	NT=Lys-C	LAP-Q76MZ3
MCP_ky_0000284_PPP2R1A_3	Homo sapiens	Mus musculus	not applicable	epithelial cell	HeLa	not applicable	3	MCP_ky_0000284	0	0	Label free	MCP_ky_0000284_0188_41_JBA.RAW	orbitrap	NT=Trypsin	NT=Lys-C	LAP-Q76MZ3
MCP_ky_0000286_TUBG1_1	Homo sapiens	Mus musculus	not applicable	epithelial cell	HeLa	not applicable	1	MCP_ky_0000286	0	0	Label free	MCP_ky_0000286_0039_10_JBA.RAW	orbitrap	NT=Trypsin	NT=Lys-C	LAP-P83887
MCP_ky_0000286_TUBG1_2	Homo sapiens	Mus musculus	not applicable	epithelial cell	HeLa	not applicable	2	MCP_ky_0000286	0	0	Label free	MCP_ky_0000286_0073_47_JBA.RAW	orbitrap	NT=Trypsin	NT=Lys-C	LAP-P83887
MCP_ky_0000286_TUBG1_3	Homo sapiens	Mus musculus	not applicable	epithelial cell	HeLa	not applicable	3	MCP_ky_0000286	0	0	Label free	MCP_ky_0000286_0074_36_JBA.RAW	orbitrap	NT=Trypsin	NT=Lys-C	LAP-P83887
MCP_ky_0000288_DCTN3_1	Homo sapiens	Mus musculus	not applicable	epithelial cell	HeLa	not applicable	1	MCP_ky_0000288	0	0	Label free	MCP_ky_0000288_0124_44_JBA.RAW	orbitrap	NT=Trypsin	NT=Lys-C	LAP-Q9Z0Y1
MCP_ky_0000288_DCTN3_2	Homo sapiens	Mus musculus	not applicable	epithelial cell	HeLa	not applicable	2	MCP_ky_0000288	0	0	Label free	MCP_ky_0000288_0126_48_JBA.RAW	orbitrap	NT=Trypsin	NT=Lys-C	LAP-Q9Z0Y1
MCP_ky_0000288_DCTN3_3	Homo sapiens	Mus musculus	not applicable	epithelial cell	HeLa	not applicable	3	MCP_ky_0000288	0	0	Label free	MCP_ky_0000288_0127_27_JBA.RAW	orbitrap	NT=Trypsin	NT=Lys-C	LAP-Q9Z0Y1
MCP_ky_0000297_TUBA3C;TUBA3E_1	Homo sapiens	Mus musculus	not applicable	epithelial cell	HeLa	not applicable	1	MCP_ky_0000297	0	0	Label free	MCP_ky_0000297_0169_27_JBA.RAW	orbitrap	NT=Trypsin	NT=Lys-C	LAP-P05214
MCP_ky_0000297_TUBA3C;TUBA3E_2	Homo sapiens	Mus musculus	not applicable	epithelial cell	HeLa	not applicable	2	MCP_ky_0000297	0	0	Label free	MCP_ky_0000297_0170_19_JBA.RAW	orbitrap	NT=Trypsin	NT=Lys-C	LAP-P05214
MCP_ky_0000297_TUBA3C;TUBA3E_3	Homo sapiens	Mus musculus	not applicable	epithelial cell	HeLa	not applicable	3	MCP_ky_0000297	0	0	Label free	MCP_ky_0000297_0171_06_JBA.RAW	orbitrap	NT=Trypsin	NT=Lys-C	LAP-P05214
MCP_ky_0000305_CKAP5_1	Homo sapiens	Mus musculus	not applicable	epithelial cell	HeLa	not applicable	1	MCP_ky_0000305	0	0	Label free	MCP_ky_0000305_0215_31_JBA.RAW	orbitrap	NT=Trypsin	NT=Lys-C	LAP-A2AGT5
MCP_ky_0000305_CKAP5_2	Homo sapiens	Mus musculus	not applicable	epithelial cell	HeLa	not applicable	2	MCP_ky_0000305	0	0	Label free	MCP_ky_0000305_0216_08_JBA.RAW	orbitrap	NT=Trypsin	NT=Lys-C	LAP-A2AGT5
MCP_ky_0000305_CKAP5_3	Homo sapiens	Mus musculus	not applicable	epithelial cell	HeLa	not applicable	3	MCP_ky_0000305	0	0	Label free	MCP_ky_0000305_0222_03_JBA.RAW	orbitrap	NT=Trypsin	NT=Lys-C	LAP-A2AGT5
MCP_ky_0000307_HAUS4_1	Homo sapiens	Mus musculus	not applicable	epithelial cell	HeLa	not applicable	1	MCP_ky_0000307	0	0	Label free	MCP_ky_0000307_0240_07_JBA.RAW	orbitrap	NT=Trypsin	NT=Lys-C	LAP-Q8BFT2
MCP_ky_0000307_HAUS4_2	Homo sapiens	Mus musculus	not applicable	epithelial cell	HeLa	not applicable	2	MCP_ky_0000307	0	0	Label free	MCP_ky_0000307_0241_39_JBA.RAW	orbitrap	NT=Trypsin	NT=Lys-C	LAP-Q8BFT2
MCP_ky_0000307_HAUS4_3	Homo sapiens	Mus musculus	not applicable	epithelial cell	HeLa	not applicable	3	MCP_ky_0000307	0	0	Label free	MCP_ky_0000307_0242_13_JBA.RAW	orbitrap	NT=Trypsin	NT=Lys-C	LAP-Q8BFT2
MCP_ky_0000311_NEDD1_1	Homo sapiens	Mus musculus	not applicable	epithelial cell	HeLa	not applicable	1	MCP_ky_0000311	0	0	Label free	MCP_ky_0000311_0124_46_JBA.RAW	orbitrap	NT=Trypsin	NT=Lys-C	LAP-P33215
MCP_ky_0000311_NEDD1_2	Homo sapiens	Mus musculus	not applicable	epithelial cell	HeLa	not applicable	2	MCP_ky_0000311	0	0	Label free	MCP_ky_0000311_0126_47_JBA.RAW	orbitrap	NT=Trypsin	NT=Lys-C	LAP-P33215
MCP_ky_0000311_NEDD1_3	Homo sapiens	Mus musculus	not applicable	epithelial cell	HeLa	not applicable	3	MCP_ky_0000311	0	0	Label free	MCP_ky_0000311_0127_29_JBA.RAW	orbitrap	NT=Trypsin	NT=Lys-C	LAP-P33215
MCP_ky_0000313_CDK1_1	Homo sapiens	Mus musculus	not applicable	epithelial cell	HeLa	not applicable	1	MCP_ky_0000313	0	0	Label free	MCP_ky_0000313_0074_21_JBA.RAW	orbitrap	NT=Trypsin	NT=Lys-C	LAP-P11440
