#fileformat=SDRF
#version=v1.1.0
#template=default
#template_version=v1.1.0
source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[ancestry category]	characteristics[age]	characteristics[sex]	characteristics[disease]	characteristics[individual]	characteristics[biological replicate]	assay name	technology type	comment[technical replicate]	comment[proteomics data acquisition method]	comment[data file]	comment[file uri]	comment[fraction identifier]	comment[label]	comment[instrument]	comment[cleavage agent details]	comment[modification parameters]
bubh_3	Homo sapiens	not applicable	hiPSC	not applicable	not applicable	not applicable	not applicable	not applicable	1	F1.	proteomic profiling by mass spectrometry	not applicable	NT=Data-dependent acquisition;AC=PRIDE:0000627	PT-10244-1.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2021/11/PXD014502/PT10244-1.raw	1	TMT126	NT=Orbitrap Fusion	NT=trypsin	NT=TMT
H01	Homo sapiens	not applicable	hESC	not applicable	not applicable	not applicable	not applicable	not applicable	1	F1.	proteomic profiling by mass spectrometry	not applicable	NT=Data-dependent acquisition;AC=PRIDE:0000627	PT-10244-1.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2021/11/PXD014502/PT10244-1.raw	1	TMT127N	NT=Orbitrap Fusion	NT=trypsin	NT=TMT
kucg_2	Homo sapiens	not applicable	hiPSC	not applicable	not applicable	not applicable	not applicable	not applicable	2	F1.	proteomic profiling by mass spectrometry	not applicable	NT=Data-dependent acquisition;AC=PRIDE:0000627	PT-10244-1.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2021/11/PXD014502/PT10244-1.raw	1	TMT127C	NT=Orbitrap Fusion	NT=trypsin	NT=TMT
H09	Homo sapiens	not applicable	hESC	not applicable	not applicable	not applicable	not applicable	not applicable	2	F1.	proteomic profiling by mass spectrometry	not applicable	NT=Data-dependent acquisition;AC=PRIDE:0000627	PT-10244-1.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2021/11/PXD014502/PT10244-1.raw	1	TMT128N	NT=Orbitrap Fusion	NT=trypsin	NT=TMT
oaqd_3	Homo sapiens	not applicable	hiPSC	not applicable	not applicable	not applicable	not applicable	not applicable	3	F1.	proteomic profiling by mass spectrometry	not applicable	NT=Data-dependent acquisition;AC=PRIDE:0000627	PT-10244-1.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2021/11/PXD014502/PT10244-1.raw	1	TMT128C	NT=Orbitrap Fusion	NT=trypsin	NT=TMT
SA121	Homo sapiens	not applicable	hESC	not applicable	not applicable	not applicable	not applicable	not applicable	3	F1.	proteomic profiling by mass spectrometry	not applicable	NT=Data-dependent acquisition;AC=PRIDE:0000627	PT-10244-1.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2021/11/PXD014502/PT10244-1.raw	1	TMT129N	NT=Orbitrap Fusion	NT=trypsin	NT=TMT
wibj_2	Homo sapiens	not applicable	hiPSC	not applicable	not applicable	not applicable	not applicable	not applicable	4	F1.	proteomic profiling by mass spectrometry	not applicable	NT=Data-dependent acquisition;AC=PRIDE:0000627	PT-10244-1.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2021/11/PXD014502/PT10244-1.raw	1	TMT129C	NT=Orbitrap Fusion	NT=trypsin	NT=TMT
SA181	Homo sapiens	not applicable	hESC	not applicable	not applicable	not applicable	not applicable	not applicable	4	F1.	proteomic profiling by mass spectrometry	not applicable	NT=Data-dependent acquisition;AC=PRIDE:0000627	PT-10244-1.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2021/11/PXD014502/PT10244-1.raw	1	TMT130N	NT=Orbitrap Fusion	NT=trypsin	NT=TMT
blank	Homo sapiens	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	F1.	proteomic profiling by mass spectrometry	not applicable	NT=Data-dependent acquisition;AC=PRIDE:0000627	PT-10244-1.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2021/11/PXD014502/PT10244-1.raw	1	TMT130C	NT=Orbitrap Fusion	NT=trypsin	NT=TMT
blank	Homo sapiens	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	F1.	proteomic profiling by mass spectrometry	not applicable	NT=Data-dependent acquisition;AC=PRIDE:0000627	PT-10244-1.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2021/11/PXD014502/PT10244-1.raw	1	TMT131N	NT=Orbitrap Fusion	NT=trypsin	NT=TMT
bubh_3	Homo sapiens	not applicable	hiPSC	not applicable	not applicable	not applicable	not applicable	not applicable	1	F2.	proteomic profiling by mass spectrometry	not applicable	NT=Data-dependent acquisition;AC=PRIDE:0000627	PT-10244-2.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2021/11/PXD014502/PT10244-2.raw	2	TMT126	NT=Orbitrap Fusion	NT=trypsin	NT=TMT
H01	Homo sapiens	not applicable	hESC	not applicable	not applicable	not applicable	not applicable	not applicable	1	F2.	proteomic profiling by mass spectrometry	not applicable	NT=Data-dependent acquisition;AC=PRIDE:0000627	PT-10244-2.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2021/11/PXD014502/PT10244-2.raw	2	TMT127N	NT=Orbitrap Fusion	NT=trypsin	NT=TMT
kucg_2	Homo sapiens	not applicable	hiPSC	not applicable	not applicable	not applicable	not applicable	not applicable	2	F2.	proteomic profiling by mass spectrometry	not applicable	NT=Data-dependent acquisition;AC=PRIDE:0000627	PT-10244-2.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2021/11/PXD014502/PT10244-2.raw	2	TMT127C	NT=Orbitrap Fusion	NT=trypsin	NT=TMT
H09	Homo sapiens	not applicable	hESC	not applicable	not applicable	not applicable	not applicable	not applicable	2	F2.	proteomic profiling by mass spectrometry	not applicable	NT=Data-dependent acquisition;AC=PRIDE:0000627	PT-10244-2.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2021/11/PXD014502/PT10244-2.raw	2	TMT128N	NT=Orbitrap Fusion	NT=trypsin	NT=TMT
oaqd_3	Homo sapiens	not applicable	hiPSC	not applicable	not applicable	not applicable	not applicable	not applicable	3	F2.	proteomic profiling by mass spectrometry	not applicable	NT=Data-dependent acquisition;AC=PRIDE:0000627	PT-10244-2.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2021/11/PXD014502/PT10244-2.raw	2	TMT128C	NT=Orbitrap Fusion	NT=trypsin	NT=TMT
SA121	Homo sapiens	not applicable	hESC	not applicable	not applicable	not applicable	not applicable	not applicable	3	F2.	proteomic profiling by mass spectrometry	not applicable	NT=Data-dependent acquisition;AC=PRIDE:0000627	PT-10244-2.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2021/11/PXD014502/PT10244-2.raw	2	TMT129N	NT=Orbitrap Fusion	NT=trypsin	NT=TMT
wibj_2	Homo sapiens	not applicable	hiPSC	not applicable	not applicable	not applicable	not applicable	not applicable	4	F2.	proteomic profiling by mass spectrometry	not applicable	NT=Data-dependent acquisition;AC=PRIDE:0000627	PT-10244-2.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2021/11/PXD014502/PT10244-2.raw	2	TMT129C	NT=Orbitrap Fusion	NT=trypsin	NT=TMT
SA181	Homo sapiens	not applicable	hESC	not applicable	not applicable	not applicable	not applicable	not applicable	4	F2.	proteomic profiling by mass spectrometry	not applicable	NT=Data-dependent acquisition;AC=PRIDE:0000627	PT-10244-2.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2021/11/PXD014502/PT10244-2.raw	2	TMT130N	NT=Orbitrap Fusion	NT=trypsin	NT=TMT
blank	Homo sapiens	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	F2.	proteomic profiling by mass spectrometry	not applicable	NT=Data-dependent acquisition;AC=PRIDE:0000627	PT-10244-2.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2021/11/PXD014502/PT10244-2.raw	2	TMT130C	NT=Orbitrap Fusion	NT=trypsin	NT=TMT
blank	Homo sapiens	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	F2.	proteomic profiling by mass spectrometry	not applicable	NT=Data-dependent acquisition;AC=PRIDE:0000627	PT-10244-2.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2021/11/PXD014502/PT10244-2.raw	2	TMT131N	NT=Orbitrap Fusion	NT=trypsin	NT=TMT
bubh_3	Homo sapiens	not applicable	hiPSC	not applicable	not applicable	not applicable	not applicable	not applicable	1	F3.	proteomic profiling by mass spectrometry	not applicable	NT=Data-dependent acquisition;AC=PRIDE:0000627	PT-10244-3.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2021/11/PXD014502/PT10244-3.raw	3	TMT126	NT=Orbitrap Fusion	NT=trypsin	NT=TMT
H01	Homo sapiens	not applicable	hESC	not applicable	not applicable	not applicable	not applicable	not applicable	1	F3.	proteomic profiling by mass spectrometry	not applicable	NT=Data-dependent acquisition;AC=PRIDE:0000627	PT-10244-3.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2021/11/PXD014502/PT10244-3.raw	3	TMT127N	NT=Orbitrap Fusion	NT=trypsin	NT=TMT
kucg_2	Homo sapiens	not applicable	hiPSC	not applicable	not applicable	not applicable	not applicable	not applicable	2	F3.	proteomic profiling by mass spectrometry	not applicable	NT=Data-dependent acquisition;AC=PRIDE:0000627	PT-10244-3.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2021/11/PXD014502/PT10244-3.raw	3	TMT127C	NT=Orbitrap Fusion	NT=trypsin	NT=TMT
H09	Homo sapiens	not applicable	hESC	not applicable	not applicable	not applicable	not applicable	not applicable	2	F3.	proteomic profiling by mass spectrometry	not applicable	NT=Data-dependent acquisition;AC=PRIDE:0000627	PT-10244-3.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2021/11/PXD014502/PT10244-3.raw	3	TMT128N	NT=Orbitrap Fusion	NT=trypsin	NT=TMT
oaqd_3	Homo sapiens	not applicable	hiPSC	not applicable	not applicable	not applicable	not applicable	not applicable	3	F3.	proteomic profiling by mass spectrometry	not applicable	NT=Data-dependent acquisition;AC=PRIDE:0000627	PT-10244-3.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2021/11/PXD014502/PT10244-3.raw	3	TMT128C	NT=Orbitrap Fusion	NT=trypsin	NT=TMT
