source name	characteristics[organism]	characteristics[organism part]	characteristics[age]	characteristics[sex]	characteristics[disease]	characteristics[individual]	characteristics[developmental stage]	characteristics[cell type]	characteristics[ancestry category]	characteristics[biological replicate]	material type	assay name	technology type	comment[label]	comment[instrument]	comment[fraction identifier]	comment[technical replicate]	comment[dissociation method]	comment[cleavage agent details]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[file uri]	comment[data file]	factor value[organism part]
Sample 1	Homo sapiens	axillary metastatic lymph nodes tissues	not available	not available	Breast cancer	not available	not available	not available	not available	1	tissue	run 1	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	AC=MS:1000639;NT=LTQ Orbitrap XL ETD	1	1	AC=MS:1000133;NT=CID	AC=MS:1001251;NT=Trypsin	AC=UNIMOD:35;NT=Oxidation;TA=M;MT=Variable	AC=UNIMOD:1;NT=Acetyl;PP=Protein N-term;MT=Variable	AC=UNIMOD:4;NT=Carbamidomethyl;TA=C;MT=Fixed	20 ppm	4.0 Da	https://ftp.pride.ebi.ac.uk/pride/data/archive/2019/07/PXD012431/P1_LN_1.RAW	P1_LN_1.RAW	axillary metastatic lymph nodes tissues
Sample 1	Homo sapiens	axillary metastatic lymph nodes tissues	not available	not available	Breast cancer	not available	not available	not available	not available	1	tissue	run 2	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	AC=MS:1000639;NT=LTQ Orbitrap XL ETD	1	2	AC=MS:1000133;NT=CID	AC=MS:1001251;NT=Trypsin	AC=UNIMOD:35;NT=Oxidation;TA=M;MT=Variable	AC=UNIMOD:1;NT=Acetyl;PP=Protein N-term;MT=Variable	AC=UNIMOD:4;NT=Carbamidomethyl;TA=C;MT=Fixed	20 ppm	4.0 Da	https://ftp.pride.ebi.ac.uk/pride/data/archive/2019/07/PXD012431/P1_LN_2.RAW	P1_LN_2.RAW	axillary metastatic lymph nodes tissues
Sample 1	Homo sapiens	axillary metastatic lymph nodes tissues	not available	not available	Breast cancer	not available	not available	not available	not available	1	tissue	run 3	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	AC=MS:1000639;NT=LTQ Orbitrap XL ETD	1	3	AC=MS:1000133;NT=CID	AC=MS:1001251;NT=Trypsin	AC=UNIMOD:35;NT=Oxidation;TA=M;MT=Variable	AC=UNIMOD:1;NT=Acetyl;PP=Protein N-term;MT=Variable	AC=UNIMOD:4;NT=Carbamidomethyl;TA=C;MT=Fixed	20 ppm	4.0 Da	https://ftp.pride.ebi.ac.uk/pride/data/archive/2019/07/PXD012431/P1_LN_3.RAW	P1_LN_3.RAW	axillary metastatic lymph nodes tissues
Sample 2	Homo sapiens	primary breast tumor tissues	not available	not available	Breast cancer	not available	not available	not available	not available	1	tissue	run 4	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	AC=MS:1000639;NT=LTQ Orbitrap XL ETD	1	1	AC=MS:1000133;NT=CID	AC=MS:1001251;NT=Trypsin	AC=UNIMOD:35;NT=Oxidation;TA=M;MT=Variable	AC=UNIMOD:1;NT=Acetyl;PP=Protein N-term;MT=Variable	AC=UNIMOD:4;NT=Carbamidomethyl;TA=C;MT=Fixed	20 ppm	4.0 Da	https://ftp.pride.ebi.ac.uk/pride/data/archive/2019/07/PXD012431/P1_PT_1.RAW	P1_PT_1.RAW	primary breast tumor tissues
Sample 2	Homo sapiens	primary breast tumor tissues	not available	not available	Breast cancer	not available	not available	not available	not available	1	tissue	run 5	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	AC=MS:1000639;NT=LTQ Orbitrap XL ETD	1	2	AC=MS:1000133;NT=CID	AC=MS:1001251;NT=Trypsin	AC=UNIMOD:35;NT=Oxidation;TA=M;MT=Variable	AC=UNIMOD:1;NT=Acetyl;PP=Protein N-term;MT=Variable	AC=UNIMOD:4;NT=Carbamidomethyl;TA=C;MT=Fixed	20 ppm	4.0 Da	https://ftp.pride.ebi.ac.uk/pride/data/archive/2019/07/PXD012431/P1_PT_2.RAW	P1_PT_2.RAW	primary breast tumor tissues
Sample 2	Homo sapiens	primary breast tumor tissues	not available	not available	Breast cancer	not available	not available	not available	not available	1	tissue	run 6	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	AC=MS:1000639;NT=LTQ Orbitrap XL ETD	1	3	AC=MS:1000133;NT=CID	AC=MS:1001251;NT=Trypsin	AC=UNIMOD:35;NT=Oxidation;TA=M;MT=Variable	AC=UNIMOD:1;NT=Acetyl;PP=Protein N-term;MT=Variable	AC=UNIMOD:4;NT=Carbamidomethyl;TA=C;MT=Fixed	20 ppm	4.0 Da	https://ftp.pride.ebi.ac.uk/pride/data/archive/2019/07/PXD012431/P1_PT_3.RAW	P1_PT_3.RAW	primary breast tumor tissues
Sample 3	Homo sapiens	adjacent breast tissues	not available	not available	Breast cancer	not available	not available	not available	not available	1	tissue	run 7	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	AC=MS:1000639;NT=LTQ Orbitrap XL ETD	1	1	AC=MS:1000133;NT=CID	AC=MS:1001251;NT=Trypsin	AC=UNIMOD:35;NT=Oxidation;TA=M;MT=Variable	AC=UNIMOD:1;NT=Acetyl;PP=Protein N-term;MT=Variable	AC=UNIMOD:4;NT=Carbamidomethyl;TA=C;MT=Fixed	20 ppm	4.0 Da	https://ftp.pride.ebi.ac.uk/pride/data/archive/2019/07/PXD012431/P2_ANT_1.RAW	P2_ANT_1.RAW	adjacent breast tissues
Sample 3	Homo sapiens	adjacent breast tissues	not available	not available	Breast cancer	not available	not available	not available	not available	1	tissue	run 8	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	AC=MS:1000639;NT=LTQ Orbitrap XL ETD	1	2	AC=MS:1000133;NT=CID	AC=MS:1001251;NT=Trypsin	AC=UNIMOD:35;NT=Oxidation;TA=M;MT=Variable	AC=UNIMOD:1;NT=Acetyl;PP=Protein N-term;MT=Variable	AC=UNIMOD:4;NT=Carbamidomethyl;TA=C;MT=Fixed	20 ppm	4.0 Da	https://ftp.pride.ebi.ac.uk/pride/data/archive/2019/07/PXD012431/P2_ANT_2.RAW	P2_ANT_2.RAW	adjacent breast tissues
Sample 3	Homo sapiens	adjacent breast tissues	not available	not available	Breast cancer	not available	not available	not available	not available	1	tissue	run 9	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	AC=MS:1000639;NT=LTQ Orbitrap XL ETD	1	3	AC=MS:1000133;NT=CID	AC=MS:1001251;NT=Trypsin	AC=UNIMOD:35;NT=Oxidation;TA=M;MT=Variable	AC=UNIMOD:1;NT=Acetyl;PP=Protein N-term;MT=Variable	AC=UNIMOD:4;NT=Carbamidomethyl;TA=C;MT=Fixed	20 ppm	4.0 Da	https://ftp.pride.ebi.ac.uk/pride/data/archive/2019/07/PXD012431/P2_ANT_3.RAW	P2_ANT_3.RAW	adjacent breast tissues
Sample 4	Homo sapiens	non-tumor contralateral breast tissues	not available	not available	Breast cancer	not available	not available	not available	not available	1	tissue	run 10	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	AC=MS:1000639;NT=LTQ Orbitrap XL ETD	1	1	AC=MS:1000133;NT=CID	AC=MS:1001251;NT=Trypsin	AC=UNIMOD:35;NT=Oxidation;TA=M;MT=Variable	AC=UNIMOD:1;NT=Acetyl;PP=Protein N-term;MT=Variable	AC=UNIMOD:4;NT=Carbamidomethyl;TA=C;MT=Fixed	20 ppm	4.0 Da	https://ftp.pride.ebi.ac.uk/pride/data/archive/2019/07/PXD012431/P2_NCT_1.RAW	P2_NCT_1.RAW	non-tumor contralateral breast tissues
