source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	Characteristics[age]	assay name	characteristics[ancestry category]	Characteristics[sex]	characteristics[disease]	characteristics[biological replicate]	characteristics[technical replicate]	Characteristics[individual]	comment[fraction identifier]	comment[proteomexchange accession number]	comment[data file]	comment[file url]	comment[PTM]	comment[Donor]	comment[label]	comment[instrument]	comment[fragment mass tolerance]	comment[precursor mass tolerance]	comment[cleavage agent details]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	Factor Value[individual]
Sample 1	homo sapiens	Human colon mucosa	not available	not available	run 1	not available	not available	Normal healthy	1	1	1	1	PXD002029	Colon_ParticipantA_DF_1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/11/PXD002029/Colon_ParticipantA_DF_1.raw	1	A	NT=label free sample	AC=MS:1001911;NT=Q Exactive	not available	not available	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-Term;MT=Variable	"NT=deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable"	NT=formylated residue;AC=PSI-MOD:00493;TA=N;MT=Variable	1
Sample 2	homo sapiens	Human colon mucosa	not available	not available	run 2	not available	not available	Normal healthy	1	1	1	1	PXD002029	Colon_ParticipantA_DF_2.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/11/PXD002029/Colon_ParticipantA_DF_2.raw	1	A	NT=label free sample	AC=MS:1001911;NT=Q Exactive	not available	not available	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-Term;MT=Variable	"NT=deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable"	NT=formylated residue;AC=PSI-MOD:00493;TA=N;MT=Variable	1
Sample 3	homo sapiens	Human colon mucosa	not available	not available	run 3	not available	not available	Normal healthy	1	1	1	1	PXD002029	Colon_ParticipantA_DF_3.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/11/PXD002029/Colon_ParticipantA_DF_3.raw	1	A	NT=label free sample	AC=MS:1001911;NT=Q Exactive	not available	not available	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-Term;MT=Variable	"NT=deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable"	NT=formylated residue;AC=PSI-MOD:00493;TA=N;MT=Variable	1
Sample 1	homo sapiens	Human colon mucosa	not available	not available	run 4	not available	not available	Normal healthy	1	2	1	2	PXD002029	Colon_ParticipantA_RNAlater_1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/11/PXD002029/Colon_ParticipantA_RNAlater_1.raw	1	A	NT=label free sample	AC=MS:1001911;NT=Q Exactive	not available	not available	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-Term;MT=Variable	"NT=deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable"	NT=formylated residue;AC=PSI-MOD:00493;TA=N;MT=Variable	1
Sample 2	homo sapiens	Human colon mucosa	not available	not available	run 5	not available	not available	Normal healthy	1	2	1	2	PXD002029	Colon_ParticipantA_RNAlater_2.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/11/PXD002029/Colon_ParticipantA_RNAlater_2.raw	1	A	NT=label free sample	AC=MS:1001911;NT=Q Exactive	not available	not available	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-Term;MT=Variable	"NT=deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable"	NT=formylated residue;AC=PSI-MOD:00493;TA=N;MT=Variable	1
Sample 3	homo sapiens	Human colon mucosa	not available	not available	run 6	not available	not available	Normal healthy	1	2	1	2	PXD002029	Colon_ParticipantA_RNAlater_3.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/11/PXD002029/Colon_ParticipantA_RNAlater_3.raw	1	A	NT=label free sample	AC=MS:1001911;NT=Q Exactive	not available	not available	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-Term;MT=Variable	"NT=deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable"	NT=formylated residue;AC=PSI-MOD:00493;TA=N;MT=Variable	1
Sample 1	homo sapiens	Human colon mucosa	not available	not available	run 7	not available	not available	Normal healthy	1	3	1	3	PXD002029	Colon_ParticipantA_iFFPE_1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/11/PXD002029/Colon_ParticipantA_iFFPE_1.raw	1	A	NT=label free sample	AC=MS:1001911;NT=Q Exactive	not available	not available	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-Term;MT=Variable	"NT=deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable"	NT=formylated residue;AC=PSI-MOD:00493;TA=N;MT=Variable	1
Sample 2	homo sapiens	Human colon mucosa	not available	not available	run 8	not available	not available	Normal healthy	1	3	1	3	PXD002029	Colon_ParticipantA_iFFPE_2.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/11/PXD002029/Colon_ParticipantA_iFFPE_2.raw	1	A	NT=label free sample	AC=MS:1001911;NT=Q Exactive	not available	not available	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-Term;MT=Variable	"NT=deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable"	NT=formylated residue;AC=PSI-MOD:00493;TA=N;MT=Variable	1
Sample 3	homo sapiens	Human colon mucosa	not available	not available	run 9	not available	not available	Normal healthy	1	3	1	3	PXD002029	Colon_ParticipantA_iFFPE_3.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/11/PXD002029/Colon_ParticipantA_iFFPE_3.raw	1	A	NT=label free sample	AC=MS:1001911;NT=Q Exactive	not available	not available	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-Term;MT=Variable	"NT=deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable"	NT=formylated residue;AC=PSI-MOD:00493;TA=N;MT=Variable	1
Sample 1	homo sapiens	Human colon mucosa	not available	not available	run 10	not available	not available	Normal healthy	1	4	1	4	PXD002029	Colon_ParticipantA_sFFPE_1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/11/PXD002029/Colon_ParticipantA_sFFPE_1.raw	1	A	NT=label free sample	AC=MS:1001911;NT=Q Exactive	not available	not available	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-Term;MT=Variable	"NT=deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable"	NT=formylated residue;AC=PSI-MOD:00493;TA=N;MT=Variable	1
