source name	characteristics[organism]	characteristics[organism part]	characteristics[age]	characteristics[cell type]	characteristics[developmental stage]	characteristics[disposition]	characteristics[biological replicate]	characteristics[disease]	assay name	technology type	comment[data file]	comment[technical replicate]	comment[fraction identifier]	comment[label]	comment[cleavage agent details]	comment[instrument]	comment[dissociation method]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[fragment mass tolerance]	comment[precursor mass tolerance]	comment[file uri]	factor value[organism part]	factor value[age]
Sample 1	Mus musculus	brain	10M	not applicable	adult	uninfected	1	not applicable	Run 1	proteomic profiling by mass spectrometry	brain_10mo_1_1-results.raw	1	1	AC=MS:1002038;NT=label free sample	AC=MS:1001917;NT=glutamyl endopeptidase	AC=MS:1002417;NT=Orbitrap Fusion ETD	AC=MS:1000598;NT=electron transfer dissociation	NT=Acetyl;AC=UNIMOD:1;TA=K;MT=Variable	NT=Methyl;AC=UNIMOD:34;TA=K,R;MT=Variable	NT=Dimethyl;AC=UNIMOD:36;TA=K,R;MT=Variable	NT=Trimethyl;AC=UNIMOD:37;TA=K;MT=Variable	0.02 Da	1.05 Da	https://ftp.pride.ebi.ac.uk/pride/data/archive/2017/07/PXD005300/brain_10mo_1_1-results.raw	brain	10M
Sample 1	Mus musculus	brain	10M	not applicable	adult	uninfected	1	not applicable	Run 2	proteomic profiling by mass spectrometry	brain_10mo_1_2-results.raw	1	1	AC=MS:1002038;NT=label free sample	AC=MS:1001917;NT=glutamyl endopeptidase	AC=MS:1002417;NT=Orbitrap Fusion ETD	AC=MS:1000598;NT=electron transfer dissociation	NT=Acetyl;AC=UNIMOD:1;TA=K;MT=Variable	NT=Methyl;AC=UNIMOD:34;TA=K,R;MT=Variable	NT=Dimethyl;AC=UNIMOD:36;TA=K,R;MT=Variable	NT=Trimethyl;AC=UNIMOD:37;TA=K;MT=Variable	0.02 Da	1.05 Da	https://ftp.pride.ebi.ac.uk/pride/data/archive/2017/07/PXD005300/brain_10mo_1_2-results.raw	brain	10M
Sample 2	Mus musculus	brain	10M	not applicable	adult	uninfected	1	not applicable	Run 3	proteomic profiling by mass spectrometry	brain_10mo_2_1-results.raw	1	1	AC=MS:1002038;NT=label free sample	AC=MS:1001917;NT=glutamyl endopeptidase	AC=MS:1002417;NT=Orbitrap Fusion ETD	AC=MS:1000598;NT=electron transfer dissociation	NT=Acetyl;AC=UNIMOD:1;TA=K;MT=Variable	NT=Methyl;AC=UNIMOD:34;TA=K,R;MT=Variable	NT=Dimethyl;AC=UNIMOD:36;TA=K,R;MT=Variable	NT=Trimethyl;AC=UNIMOD:37;TA=K;MT=Variable	0.02 Da	1.05 Da	https://ftp.pride.ebi.ac.uk/pride/data/archive/2017/07/PXD005300/brain_10mo_2_1-results.raw	brain	10M
Sample 2	Mus musculus	brain	10M	not applicable	adult	uninfected	1	not applicable	Run 4	proteomic profiling by mass spectrometry	brain_10mo_2_2-results.raw	1	1	AC=MS:1002038;NT=label free sample	AC=MS:1001917;NT=glutamyl endopeptidase	AC=MS:1002417;NT=Orbitrap Fusion ETD	AC=MS:1000598;NT=electron transfer dissociation	NT=Acetyl;AC=UNIMOD:1;TA=K;MT=Variable	NT=Methyl;AC=UNIMOD:34;TA=K,R;MT=Variable	NT=Dimethyl;AC=UNIMOD:36;TA=K,R;MT=Variable	NT=Trimethyl;AC=UNIMOD:37;TA=K;MT=Variable	0.02 Da	1.05 Da	https://ftp.pride.ebi.ac.uk/pride/data/archive/2017/07/PXD005300/brain_10mo_2_2-results.raw	brain	10M
Sample 3	Mus musculus	brain	10M	not applicable	adult	uninfected	1	not applicable	Run 5	proteomic profiling by mass spectrometry	brain_10mo_3_1-results.raw	1	1	AC=MS:1002038;NT=label free sample	AC=MS:1001917;NT=glutamyl endopeptidase	AC=MS:1002417;NT=Orbitrap Fusion ETD	AC=MS:1000598;NT=electron transfer dissociation	NT=Acetyl;AC=UNIMOD:1;TA=K;MT=Variable	NT=Methyl;AC=UNIMOD:34;TA=K,R;MT=Variable	NT=Dimethyl;AC=UNIMOD:36;TA=K,R;MT=Variable	NT=Trimethyl;AC=UNIMOD:37;TA=K;MT=Variable	0.02 Da	1.05 Da	https://ftp.pride.ebi.ac.uk/pride/data/archive/2017/07/PXD005300/brain_10mo_3_1-results.raw	brain	10M
Sample 3	Mus musculus	brain	10M	not applicable	adult	uninfected	1	not applicable	Run 6	proteomic profiling by mass spectrometry	brain_10mo_3_2-results.raw	1	1	AC=MS:1002038;NT=label free sample	AC=MS:1001917;NT=glutamyl endopeptidase	AC=MS:1002417;NT=Orbitrap Fusion ETD	AC=MS:1000598;NT=electron transfer dissociation	NT=Acetyl;AC=UNIMOD:1;TA=K;MT=Variable	NT=Methyl;AC=UNIMOD:34;TA=K,R;MT=Variable	NT=Dimethyl;AC=UNIMOD:36;TA=K,R;MT=Variable	NT=Trimethyl;AC=UNIMOD:37;TA=K;MT=Variable	0.02 Da	1.05 Da	https://ftp.pride.ebi.ac.uk/pride/data/archive/2017/07/PXD005300/brain_10mo_3_2-results.raw	brain	10M
Sample 4	Mus musculus	brain	10M	not applicable	adult	uninfected	1	not applicable	Run 7	proteomic profiling by mass spectrometry	brain_10mo_4_1-results.raw	1	1	AC=MS:1002038;NT=label free sample	AC=MS:1001917;NT=glutamyl endopeptidase	AC=MS:1002417;NT=Orbitrap Fusion ETD	AC=MS:1000598;NT=electron transfer dissociation	NT=Acetyl;AC=UNIMOD:1;TA=K;MT=Variable	NT=Methyl;AC=UNIMOD:34;TA=K,R;MT=Variable	NT=Dimethyl;AC=UNIMOD:36;TA=K,R;MT=Variable	NT=Trimethyl;AC=UNIMOD:37;TA=K;MT=Variable	0.02 Da	1.05 Da	https://ftp.pride.ebi.ac.uk/pride/data/archive/2017/07/PXD005300/brain_10mo_4_1-results.raw	brain	10M
Sample 4	Mus musculus	brain	10M	not applicable	adult	uninfected	1	not applicable	Run 8	proteomic profiling by mass spectrometry	brain_10mo_4_2-results.raw	1	1	AC=MS:1002038;NT=label free sample	AC=MS:1001917;NT=glutamyl endopeptidase	AC=MS:1002417;NT=Orbitrap Fusion ETD	AC=MS:1000598;NT=electron transfer dissociation	NT=Acetyl;AC=UNIMOD:1;TA=K;MT=Variable	NT=Methyl;AC=UNIMOD:34;TA=K,R;MT=Variable	NT=Dimethyl;AC=UNIMOD:36;TA=K,R;MT=Variable	NT=Trimethyl;AC=UNIMOD:37;TA=K;MT=Variable	0.02 Da	1.05 Da	https://ftp.pride.ebi.ac.uk/pride/data/archive/2017/07/PXD005300/brain_10mo_4_2-results.raw	brain	10M
Sample 5	Mus musculus	brain	18M	not applicable	adult	uninfected	1	not applicable	Run 9	proteomic profiling by mass spectrometry	brain_18mo_1_1-results.raw	1	1	AC=MS:1002038;NT=label free sample	AC=MS:1001917;NT=glutamyl endopeptidase	AC=MS:1002417;NT=Orbitrap Fusion ETD	AC=MS:1000598;NT=electron transfer dissociation	NT=Acetyl;AC=UNIMOD:1;TA=K;MT=Variable	NT=Methyl;AC=UNIMOD:34;TA=K,R;MT=Variable	NT=Dimethyl;AC=UNIMOD:36;TA=K,R;MT=Variable	NT=Trimethyl;AC=UNIMOD:37;TA=K;MT=Variable	0.02 Da	1.05 Da	https://ftp.pride.ebi.ac.uk/pride/data/archive/2017/07/PXD005300/brain_18mo_1_1-results.raw	brain	18M
Sample 5	Mus musculus	brain	18M	not applicable	adult	uninfected	1	not applicable	Run 10	proteomic profiling by mass spectrometry	brain_18mo_1_2-results.raw	1	1	AC=MS:1002038;NT=label free sample	AC=MS:1001917;NT=glutamyl endopeptidase	AC=MS:1002417;NT=Orbitrap Fusion ETD	AC=MS:1000598;NT=electron transfer dissociation	NT=Acetyl;AC=UNIMOD:1;TA=K;MT=Variable	NT=Methyl;AC=UNIMOD:34;TA=K,R;MT=Variable	NT=Dimethyl;AC=UNIMOD:36;TA=K,R;MT=Variable	NT=Trimethyl;AC=UNIMOD:37;TA=K;MT=Variable	0.02 Da	1.05 Da	https://ftp.pride.ebi.ac.uk/pride/data/archive/2017/07/PXD005300/brain_18mo_1_2-results.raw	brain	18M
Sample 6	Mus musculus	brain	18M	not applicable	adult	uninfected	1	not applicable	Run 11	proteomic profiling by mass spectrometry	brain_18mo_2_1-results.raw	1	1	AC=MS:1002038;NT=label free sample	AC=MS:1001917;NT=glutamyl endopeptidase	AC=MS:1002417;NT=Orbitrap Fusion ETD	AC=MS:1000598;NT=electron transfer dissociation	NT=Acetyl;AC=UNIMOD:1;TA=K;MT=Variable	NT=Methyl;AC=UNIMOD:34;TA=K,R;MT=Variable	NT=Dimethyl;AC=UNIMOD:36;TA=K,R;MT=Variable	NT=Trimethyl;AC=UNIMOD:37;TA=K;MT=Variable	0.02 Da	1.05 Da	https://ftp.pride.ebi.ac.uk/pride/data/archive/2017/07/PXD005300/brain_18mo_2_1-results.raw	brain	18M
Sample 6	Mus musculus	brain	18M	not applicable	adult	uninfected	1	not applicable	Run 12	proteomic profiling by mass spectrometry	brain_18mo_2_2-results.raw	1	1	AC=MS:1002038;NT=label free sample	AC=MS:1001917;NT=glutamyl endopeptidase	AC=MS:1002417;NT=Orbitrap Fusion ETD	AC=MS:1000598;NT=electron transfer dissociation	NT=Acetyl;AC=UNIMOD:1;TA=K;MT=Variable	NT=Methyl;AC=UNIMOD:34;TA=K,R;MT=Variable	NT=Dimethyl;AC=UNIMOD:36;TA=K,R;MT=Variable	NT=Trimethyl;AC=UNIMOD:37;TA=K;MT=Variable	0.02 Da	1.05 Da	https://ftp.pride.ebi.ac.uk/pride/data/archive/2017/07/PXD005300/brain_18mo_2_2-results.raw	brain	18M
Sample 7	Mus musculus	brain	24M	not applicable	adult	uninfected	1	not applicable	Run 13	proteomic profiling by mass spectrometry	brain_24mo_1_1-results.raw	1	1	AC=MS:1002038;NT=label free sample	AC=MS:1001917;NT=glutamyl endopeptidase	AC=MS:1002417;NT=Orbitrap Fusion ETD	AC=MS:1000598;NT=electron transfer dissociation	NT=Acetyl;AC=UNIMOD:1;TA=K;MT=Variable	NT=Methyl;AC=UNIMOD:34;TA=K,R;MT=Variable	NT=Dimethyl;AC=UNIMOD:36;TA=K,R;MT=Variable	NT=Trimethyl;AC=UNIMOD:37;TA=K;MT=Variable	0.02 Da	1.05 Da	https://ftp.pride.ebi.ac.uk/pride/data/archive/2017/07/PXD005300/brain_24mo_1_1-results.raw	brain	24M
Sample 7	Mus musculus	brain	24M	not applicable	adult	uninfected	1	not applicable	Run 14	proteomic profiling by mass spectrometry	brain_24mo_1_2-results.raw	1	1	AC=MS:1002038;NT=label free sample	AC=MS:1001917;NT=glutamyl endopeptidase	AC=MS:1002417;NT=Orbitrap Fusion ETD	AC=MS:1000598;NT=electron transfer dissociation	NT=Acetyl;AC=UNIMOD:1;TA=K;MT=Variable	NT=Methyl;AC=UNIMOD:34;TA=K,R;MT=Variable	NT=Dimethyl;AC=UNIMOD:36;TA=K,R;MT=Variable	NT=Trimethyl;AC=UNIMOD:37;TA=K;MT=Variable	0.02 Da	1.05 Da	https://ftp.pride.ebi.ac.uk/pride/data/archive/2017/07/PXD005300/brain_24mo_1_2-results.raw	brain	24M
Sample 8	Mus musculus	brain	24M	not applicable	adult	uninfected	1	not applicable	Run 15	proteomic profiling by mass spectrometry	brain_24mo_2_1-results.raw	1	1	AC=MS:1002038;NT=label free sample	AC=MS:1001917;NT=glutamyl endopeptidase	AC=MS:1002417;NT=Orbitrap Fusion ETD	AC=MS:1000598;NT=electron transfer dissociation	NT=Acetyl;AC=UNIMOD:1;TA=K;MT=Variable	NT=Methyl;AC=UNIMOD:34;TA=K,R;MT=Variable	NT=Dimethyl;AC=UNIMOD:36;TA=K,R;MT=Variable	NT=Trimethyl;AC=UNIMOD:37;TA=K;MT=Variable	0.02 Da	1.05 Da	https://ftp.pride.ebi.ac.uk/pride/data/archive/2017/07/PXD005300/brain_24mo_2_1-results.raw	brain	24M
Sample 8	Mus musculus	brain	24M	not applicable	adult	uninfected	1	not applicable	Run 16	proteomic profiling by mass spectrometry	brain_24mo_2_2-results.raw	1	1	AC=MS:1002038;NT=label free sample	AC=MS:1001917;NT=glutamyl endopeptidase	AC=MS:1002417;NT=Orbitrap Fusion ETD	AC=MS:1000598;NT=electron transfer dissociation	NT=Acetyl;AC=UNIMOD:1;TA=K;MT=Variable	NT=Methyl;AC=UNIMOD:34;TA=K,R;MT=Variable	NT=Dimethyl;AC=UNIMOD:36;TA=K,R;MT=Variable	NT=Trimethyl;AC=UNIMOD:37;TA=K;MT=Variable	0.02 Da	1.05 Da	https://ftp.pride.ebi.ac.uk/pride/data/archive/2017/07/PXD005300/brain_24mo_2_2-results.raw	brain	24M
Sample 9	Mus musculus	brain	3M	not applicable	adult	uninfected	1	not applicable	Run 17	proteomic profiling by mass spectrometry	brain_3mo_1_1-results.raw	1	1	AC=MS:1002038;NT=label free sample	AC=MS:1001917;NT=glutamyl endopeptidase	AC=MS:1002417;NT=Orbitrap Fusion ETD	AC=MS:1000598;NT=electron transfer dissociation	NT=Acetyl;AC=UNIMOD:1;TA=K;MT=Variable	NT=Methyl;AC=UNIMOD:34;TA=K,R;MT=Variable	NT=Dimethyl;AC=UNIMOD:36;TA=K,R;MT=Variable	NT=Trimethyl;AC=UNIMOD:37;TA=K;MT=Variable	0.02 Da	1.05 Da	https://ftp.pride.ebi.ac.uk/pride/data/archive/2017/07/PXD005300/brain_3mo_1_1-results.raw	brain	3M
