source name	characteristics[organism]	characteristics[organism part]	characteristics[disease]	characteristics[cell type]	characteristics[biological replicate]	assay name	comment[fraction identifier]	comment[technical replicate]	comment[Instrument]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[dissociation method]	comment[data file]	comment[cleavage agent details]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]
PXD011851_TMT6_P_F10	Caenorhabditis elegans	Whole organism	not avalaible	not avalaible	1	not avalaible	not avalaible	not avalaible	not avalaible	4.5 ppm	20 ppm	NT=HCD	3642_Fraction_10.mgf	NT=Trypsin/P;AC=MS:1001313;CS=(?<=[KR])	NT=Oxidation;AC=UNIMOD:35;CF=O(1);MT=Fixed;TA=M;MM=15.994915	NT=Acetyl;AC=UNIMOD:1;CF=C(2)H(2)O(1);MT=Fixed;TA=N-term;MM=42.010565	NT=Deamidated;AC=UNIMOD:7;CF=H(-1)N(-1)O(1);MT=Fixed;TA=N;MM=0.984016	NT=Deamidated;AC=UNIMOD:7;CF=H(-1)N(-1)O(1);MT=Fixed;TA=Q;MM=0.984016	NT=Gln->pyro-Glu;AC=UNIMOD:28;CF=H(-3)N(-1);MT=Fixed;TA=Q;MM=-17.026549	NT=Phospho;AC=UNIMOD:21;CF=H(1)O(3)P(1);MT=Fixed;TA=S;MM=79.966331	NT=Phospho;AC=UNIMOD:21;CF=H(1)O(3)P(1);MT=Fixed;TA=T;MM=79.966331	NT=Phospho;AC=UNIMOD:21;CF=H(1)O(3)P(1);MT=Fixed;TA=Y;MM=79.966331	NT=Oxidation;AC=UNIMOD:35;CF=O(1);MT=Variable;TA=M;MM=15.994915	NT=Acetyl;AC=UNIMOD:1;CF=C(2)H(2)O(1);MT=Variable;TA=N-term;MM=42.010565	NT=Deamidated;AC=UNIMOD:7;CF=H(-1)N(-1)O(1);MT=Variable;TA=N;MM=0.984016	NT=Deamidated;AC=UNIMOD:7;CF=H(-1)N(-1)O(1);MT=Variable;TA=Q;MM=0.984016	NT=Gln->pyro-Glu;AC=UNIMOD:28;CF=H(-3)N(-1);MT=Variable;TA=Q;MM=-17.026549	NT=Phospho;AC=UNIMOD:21;CF=H(1)O(3)P(1);MT=Variable;TA=S;MM=79.966331	NT=Phospho;AC=UNIMOD:21;CF=H(1)O(3)P(1);MT=Variable;TA=T;MM=79.966331	NT=Phospho;AC=UNIMOD:21;CF=H(1)O(3)P(1);MT=Variable;TA=Y;MM=79.966331
PXD011851_TMT6_P_F11	Caenorhabditis elegans	Whole organism	not avalaible	not avalaible	1	not avalaible	not avalaible	not avalaible	not avalaible	4.5 ppm	20 ppm	NT=HCD	3642_Fraction_11.mgf	NT=Trypsin/P;AC=MS:1001313;CS=(?<=[KR])	NT=Oxidation;AC=UNIMOD:35;CF=O(1);MT=Fixed;TA=M;MM=15.994915	NT=Acetyl;AC=UNIMOD:1;CF=C(2)H(2)O(1);MT=Fixed;TA=N-term;MM=42.010565	NT=Deamidated;AC=UNIMOD:7;CF=H(-1)N(-1)O(1);MT=Fixed;TA=N;MM=0.984016	NT=Deamidated;AC=UNIMOD:7;CF=H(-1)N(-1)O(1);MT=Fixed;TA=Q;MM=0.984016	NT=Gln->pyro-Glu;AC=UNIMOD:28;CF=H(-3)N(-1);MT=Fixed;TA=Q;MM=-17.026549	NT=Phospho;AC=UNIMOD:21;CF=H(1)O(3)P(1);MT=Fixed;TA=S;MM=79.966331	NT=Phospho;AC=UNIMOD:21;CF=H(1)O(3)P(1);MT=Fixed;TA=T;MM=79.966331	NT=Phospho;AC=UNIMOD:21;CF=H(1)O(3)P(1);MT=Fixed;TA=Y;MM=79.966331	NT=Oxidation;AC=UNIMOD:35;CF=O(1);MT=Variable;TA=M;MM=15.994915	NT=Acetyl;AC=UNIMOD:1;CF=C(2)H(2)O(1);MT=Variable;TA=N-term;MM=42.010565	NT=Deamidated;AC=UNIMOD:7;CF=H(-1)N(-1)O(1);MT=Variable;TA=N;MM=0.984016	NT=Deamidated;AC=UNIMOD:7;CF=H(-1)N(-1)O(1);MT=Variable;TA=Q;MM=0.984016	NT=Gln->pyro-Glu;AC=UNIMOD:28;CF=H(-3)N(-1);MT=Variable;TA=Q;MM=-17.026549	NT=Phospho;AC=UNIMOD:21;CF=H(1)O(3)P(1);MT=Variable;TA=S;MM=79.966331	NT=Phospho;AC=UNIMOD:21;CF=H(1)O(3)P(1);MT=Variable;TA=T;MM=79.966331	NT=Phospho;AC=UNIMOD:21;CF=H(1)O(3)P(1);MT=Variable;TA=Y;MM=79.966331
PXD011851_TMT6_P_F12	Caenorhabditis elegans	Whole organism	not avalaible	not avalaible	1	not avalaible	not avalaible	not avalaible	not avalaible	4.5 ppm	20 ppm	NT=HCD	3642_Fraction_12.mgf	NT=Trypsin/P;AC=MS:1001313;CS=(?<=[KR])	NT=Oxidation;AC=UNIMOD:35;CF=O(1);MT=Fixed;TA=M;MM=15.994915	NT=Acetyl;AC=UNIMOD:1;CF=C(2)H(2)O(1);MT=Fixed;TA=N-term;MM=42.010565	NT=Deamidated;AC=UNIMOD:7;CF=H(-1)N(-1)O(1);MT=Fixed;TA=N;MM=0.984016	NT=Deamidated;AC=UNIMOD:7;CF=H(-1)N(-1)O(1);MT=Fixed;TA=Q;MM=0.984016	NT=Gln->pyro-Glu;AC=UNIMOD:28;CF=H(-3)N(-1);MT=Fixed;TA=Q;MM=-17.026549	NT=Phospho;AC=UNIMOD:21;CF=H(1)O(3)P(1);MT=Fixed;TA=S;MM=79.966331	NT=Phospho;AC=UNIMOD:21;CF=H(1)O(3)P(1);MT=Fixed;TA=T;MM=79.966331	NT=Phospho;AC=UNIMOD:21;CF=H(1)O(3)P(1);MT=Fixed;TA=Y;MM=79.966331	NT=Oxidation;AC=UNIMOD:35;CF=O(1);MT=Variable;TA=M;MM=15.994915	NT=Acetyl;AC=UNIMOD:1;CF=C(2)H(2)O(1);MT=Variable;TA=N-term;MM=42.010565	NT=Deamidated;AC=UNIMOD:7;CF=H(-1)N(-1)O(1);MT=Variable;TA=N;MM=0.984016	NT=Deamidated;AC=UNIMOD:7;CF=H(-1)N(-1)O(1);MT=Variable;TA=Q;MM=0.984016	NT=Gln->pyro-Glu;AC=UNIMOD:28;CF=H(-3)N(-1);MT=Variable;TA=Q;MM=-17.026549	NT=Phospho;AC=UNIMOD:21;CF=H(1)O(3)P(1);MT=Variable;TA=S;MM=79.966331	NT=Phospho;AC=UNIMOD:21;CF=H(1)O(3)P(1);MT=Variable;TA=T;MM=79.966331	NT=Phospho;AC=UNIMOD:21;CF=H(1)O(3)P(1);MT=Variable;TA=Y;MM=79.966331
PXD011851_TMT6_P_F1	Caenorhabditis elegans	Whole organism	not avalaible	not avalaible	1	not avalaible	not avalaible	not avalaible	not avalaible	4.5 ppm	20 ppm	NT=HCD	3642_Fraction_1.mgf	NT=Trypsin/P;AC=MS:1001313;CS=(?<=[KR])	NT=Oxidation;AC=UNIMOD:35;CF=O(1);MT=Fixed;TA=M;MM=15.994915	NT=Acetyl;AC=UNIMOD:1;CF=C(2)H(2)O(1);MT=Fixed;TA=N-term;MM=42.010565	NT=Deamidated;AC=UNIMOD:7;CF=H(-1)N(-1)O(1);MT=Fixed;TA=N;MM=0.984016	NT=Deamidated;AC=UNIMOD:7;CF=H(-1)N(-1)O(1);MT=Fixed;TA=Q;MM=0.984016	NT=Gln->pyro-Glu;AC=UNIMOD:28;CF=H(-3)N(-1);MT=Fixed;TA=Q;MM=-17.026549	NT=Phospho;AC=UNIMOD:21;CF=H(1)O(3)P(1);MT=Fixed;TA=S;MM=79.966331	NT=Phospho;AC=UNIMOD:21;CF=H(1)O(3)P(1);MT=Fixed;TA=T;MM=79.966331	NT=Phospho;AC=UNIMOD:21;CF=H(1)O(3)P(1);MT=Fixed;TA=Y;MM=79.966331	NT=Oxidation;AC=UNIMOD:35;CF=O(1);MT=Variable;TA=M;MM=15.994915	NT=Acetyl;AC=UNIMOD:1;CF=C(2)H(2)O(1);MT=Variable;TA=N-term;MM=42.010565	NT=Deamidated;AC=UNIMOD:7;CF=H(-1)N(-1)O(1);MT=Variable;TA=N;MM=0.984016	NT=Deamidated;AC=UNIMOD:7;CF=H(-1)N(-1)O(1);MT=Variable;TA=Q;MM=0.984016	NT=Gln->pyro-Glu;AC=UNIMOD:28;CF=H(-3)N(-1);MT=Variable;TA=Q;MM=-17.026549	NT=Phospho;AC=UNIMOD:21;CF=H(1)O(3)P(1);MT=Variable;TA=S;MM=79.966331	NT=Phospho;AC=UNIMOD:21;CF=H(1)O(3)P(1);MT=Variable;TA=T;MM=79.966331	NT=Phospho;AC=UNIMOD:21;CF=H(1)O(3)P(1);MT=Variable;TA=Y;MM=79.966331
PXD011851_TMT6_P_F2	Caenorhabditis elegans	Whole organism	not avalaible	not avalaible	1	not avalaible	not avalaible	not avalaible	not avalaible	4.5 ppm	20 ppm	NT=HCD	3642_Fraction_2.mgf	NT=Trypsin/P;AC=MS:1001313;CS=(?<=[KR])	NT=Oxidation;AC=UNIMOD:35;CF=O(1);MT=Fixed;TA=M;MM=15.994915	NT=Acetyl;AC=UNIMOD:1;CF=C(2)H(2)O(1);MT=Fixed;TA=N-term;MM=42.010565	NT=Deamidated;AC=UNIMOD:7;CF=H(-1)N(-1)O(1);MT=Fixed;TA=N;MM=0.984016	NT=Deamidated;AC=UNIMOD:7;CF=H(-1)N(-1)O(1);MT=Fixed;TA=Q;MM=0.984016	NT=Gln->pyro-Glu;AC=UNIMOD:28;CF=H(-3)N(-1);MT=Fixed;TA=Q;MM=-17.026549	NT=Phospho;AC=UNIMOD:21;CF=H(1)O(3)P(1);MT=Fixed;TA=S;MM=79.966331	NT=Phospho;AC=UNIMOD:21;CF=H(1)O(3)P(1);MT=Fixed;TA=T;MM=79.966331	NT=Phospho;AC=UNIMOD:21;CF=H(1)O(3)P(1);MT=Fixed;TA=Y;MM=79.966331	NT=Oxidation;AC=UNIMOD:35;CF=O(1);MT=Variable;TA=M;MM=15.994915	NT=Acetyl;AC=UNIMOD:1;CF=C(2)H(2)O(1);MT=Variable;TA=N-term;MM=42.010565	NT=Deamidated;AC=UNIMOD:7;CF=H(-1)N(-1)O(1);MT=Variable;TA=N;MM=0.984016	NT=Deamidated;AC=UNIMOD:7;CF=H(-1)N(-1)O(1);MT=Variable;TA=Q;MM=0.984016	NT=Gln->pyro-Glu;AC=UNIMOD:28;CF=H(-3)N(-1);MT=Variable;TA=Q;MM=-17.026549	NT=Phospho;AC=UNIMOD:21;CF=H(1)O(3)P(1);MT=Variable;TA=S;MM=79.966331	NT=Phospho;AC=UNIMOD:21;CF=H(1)O(3)P(1);MT=Variable;TA=T;MM=79.966331	NT=Phospho;AC=UNIMOD:21;CF=H(1)O(3)P(1);MT=Variable;TA=Y;MM=79.966331
PXD011851_TMT6_P_F3	Caenorhabditis elegans	Whole organism	not avalaible	not avalaible	1	not avalaible	not avalaible	not avalaible	not avalaible	4.5 ppm	20 ppm	NT=HCD	3642_Fraction_3.mgf	NT=Trypsin/P;AC=MS:1001313;CS=(?<=[KR])	NT=Oxidation;AC=UNIMOD:35;CF=O(1);MT=Fixed;TA=M;MM=15.994915	NT=Acetyl;AC=UNIMOD:1;CF=C(2)H(2)O(1);MT=Fixed;TA=N-term;MM=42.010565	NT=Deamidated;AC=UNIMOD:7;CF=H(-1)N(-1)O(1);MT=Fixed;TA=N;MM=0.984016	NT=Deamidated;AC=UNIMOD:7;CF=H(-1)N(-1)O(1);MT=Fixed;TA=Q;MM=0.984016	NT=Gln->pyro-Glu;AC=UNIMOD:28;CF=H(-3)N(-1);MT=Fixed;TA=Q;MM=-17.026549	NT=Phospho;AC=UNIMOD:21;CF=H(1)O(3)P(1);MT=Fixed;TA=S;MM=79.966331	NT=Phospho;AC=UNIMOD:21;CF=H(1)O(3)P(1);MT=Fixed;TA=T;MM=79.966331	NT=Phospho;AC=UNIMOD:21;CF=H(1)O(3)P(1);MT=Fixed;TA=Y;MM=79.966331	NT=Oxidation;AC=UNIMOD:35;CF=O(1);MT=Variable;TA=M;MM=15.994915	NT=Acetyl;AC=UNIMOD:1;CF=C(2)H(2)O(1);MT=Variable;TA=N-term;MM=42.010565	NT=Deamidated;AC=UNIMOD:7;CF=H(-1)N(-1)O(1);MT=Variable;TA=N;MM=0.984016	NT=Deamidated;AC=UNIMOD:7;CF=H(-1)N(-1)O(1);MT=Variable;TA=Q;MM=0.984016	NT=Gln->pyro-Glu;AC=UNIMOD:28;CF=H(-3)N(-1);MT=Variable;TA=Q;MM=-17.026549	NT=Phospho;AC=UNIMOD:21;CF=H(1)O(3)P(1);MT=Variable;TA=S;MM=79.966331	NT=Phospho;AC=UNIMOD:21;CF=H(1)O(3)P(1);MT=Variable;TA=T;MM=79.966331	NT=Phospho;AC=UNIMOD:21;CF=H(1)O(3)P(1);MT=Variable;TA=Y;MM=79.966331
PXD011851_TMT6_P_F4	Caenorhabditis elegans	Whole organism	not avalaible	not avalaible	1	not avalaible	not avalaible	not avalaible	not avalaible	4.5 ppm	20 ppm	NT=HCD	3642_Fraction_4.mgf	NT=Trypsin/P;AC=MS:1001313;CS=(?<=[KR])	NT=Oxidation;AC=UNIMOD:35;CF=O(1);MT=Fixed;TA=M;MM=15.994915	NT=Acetyl;AC=UNIMOD:1;CF=C(2)H(2)O(1);MT=Fixed;TA=N-term;MM=42.010565	NT=Deamidated;AC=UNIMOD:7;CF=H(-1)N(-1)O(1);MT=Fixed;TA=N;MM=0.984016	NT=Deamidated;AC=UNIMOD:7;CF=H(-1)N(-1)O(1);MT=Fixed;TA=Q;MM=0.984016	NT=Gln->pyro-Glu;AC=UNIMOD:28;CF=H(-3)N(-1);MT=Fixed;TA=Q;MM=-17.026549	NT=Phospho;AC=UNIMOD:21;CF=H(1)O(3)P(1);MT=Fixed;TA=S;MM=79.966331	NT=Phospho;AC=UNIMOD:21;CF=H(1)O(3)P(1);MT=Fixed;TA=T;MM=79.966331	NT=Phospho;AC=UNIMOD:21;CF=H(1)O(3)P(1);MT=Fixed;TA=Y;MM=79.966331	NT=Oxidation;AC=UNIMOD:35;CF=O(1);MT=Variable;TA=M;MM=15.994915	NT=Acetyl;AC=UNIMOD:1;CF=C(2)H(2)O(1);MT=Variable;TA=N-term;MM=42.010565	NT=Deamidated;AC=UNIMOD:7;CF=H(-1)N(-1)O(1);MT=Variable;TA=N;MM=0.984016	NT=Deamidated;AC=UNIMOD:7;CF=H(-1)N(-1)O(1);MT=Variable;TA=Q;MM=0.984016	NT=Gln->pyro-Glu;AC=UNIMOD:28;CF=H(-3)N(-1);MT=Variable;TA=Q;MM=-17.026549	NT=Phospho;AC=UNIMOD:21;CF=H(1)O(3)P(1);MT=Variable;TA=S;MM=79.966331	NT=Phospho;AC=UNIMOD:21;CF=H(1)O(3)P(1);MT=Variable;TA=T;MM=79.966331	NT=Phospho;AC=UNIMOD:21;CF=H(1)O(3)P(1);MT=Variable;TA=Y;MM=79.966331
PXD011851_TMT6_P_F5	Caenorhabditis elegans	Whole organism	not avalaible	not avalaible	1	not avalaible	not avalaible	not avalaible	not avalaible	4.5 ppm	20 ppm	NT=HCD	3642_Fraction_5.mgf	NT=Trypsin/P;AC=MS:1001313;CS=(?<=[KR])	NT=Oxidation;AC=UNIMOD:35;CF=O(1);MT=Fixed;TA=M;MM=15.994915	NT=Acetyl;AC=UNIMOD:1;CF=C(2)H(2)O(1);MT=Fixed;TA=N-term;MM=42.010565	NT=Deamidated;AC=UNIMOD:7;CF=H(-1)N(-1)O(1);MT=Fixed;TA=N;MM=0.984016	NT=Deamidated;AC=UNIMOD:7;CF=H(-1)N(-1)O(1);MT=Fixed;TA=Q;MM=0.984016	NT=Gln->pyro-Glu;AC=UNIMOD:28;CF=H(-3)N(-1);MT=Fixed;TA=Q;MM=-17.026549	NT=Phospho;AC=UNIMOD:21;CF=H(1)O(3)P(1);MT=Fixed;TA=S;MM=79.966331	NT=Phospho;AC=UNIMOD:21;CF=H(1)O(3)P(1);MT=Fixed;TA=T;MM=79.966331	NT=Phospho;AC=UNIMOD:21;CF=H(1)O(3)P(1);MT=Fixed;TA=Y;MM=79.966331	NT=Oxidation;AC=UNIMOD:35;CF=O(1);MT=Variable;TA=M;MM=15.994915	NT=Acetyl;AC=UNIMOD:1;CF=C(2)H(2)O(1);MT=Variable;TA=N-term;MM=42.010565	NT=Deamidated;AC=UNIMOD:7;CF=H(-1)N(-1)O(1);MT=Variable;TA=N;MM=0.984016	NT=Deamidated;AC=UNIMOD:7;CF=H(-1)N(-1)O(1);MT=Variable;TA=Q;MM=0.984016	NT=Gln->pyro-Glu;AC=UNIMOD:28;CF=H(-3)N(-1);MT=Variable;TA=Q;MM=-17.026549	NT=Phospho;AC=UNIMOD:21;CF=H(1)O(3)P(1);MT=Variable;TA=S;MM=79.966331	NT=Phospho;AC=UNIMOD:21;CF=H(1)O(3)P(1);MT=Variable;TA=T;MM=79.966331	NT=Phospho;AC=UNIMOD:21;CF=H(1)O(3)P(1);MT=Variable;TA=Y;MM=79.966331
PXD011851_TMT6_P_F6	Caenorhabditis elegans	Whole organism	not avalaible	not avalaible	1	not avalaible	not avalaible	not avalaible	not avalaible	4.5 ppm	20 ppm	NT=HCD	3642_Fraction_6.mgf	NT=Trypsin/P;AC=MS:1001313;CS=(?<=[KR])	NT=Oxidation;AC=UNIMOD:35;CF=O(1);MT=Fixed;TA=M;MM=15.994915	NT=Acetyl;AC=UNIMOD:1;CF=C(2)H(2)O(1);MT=Fixed;TA=N-term;MM=42.010565	NT=Deamidated;AC=UNIMOD:7;CF=H(-1)N(-1)O(1);MT=Fixed;TA=N;MM=0.984016	NT=Deamidated;AC=UNIMOD:7;CF=H(-1)N(-1)O(1);MT=Fixed;TA=Q;MM=0.984016	NT=Gln->pyro-Glu;AC=UNIMOD:28;CF=H(-3)N(-1);MT=Fixed;TA=Q;MM=-17.026549	NT=Phospho;AC=UNIMOD:21;CF=H(1)O(3)P(1);MT=Fixed;TA=S;MM=79.966331	NT=Phospho;AC=UNIMOD:21;CF=H(1)O(3)P(1);MT=Fixed;TA=T;MM=79.966331	NT=Phospho;AC=UNIMOD:21;CF=H(1)O(3)P(1);MT=Fixed;TA=Y;MM=79.966331	NT=Oxidation;AC=UNIMOD:35;CF=O(1);MT=Variable;TA=M;MM=15.994915	NT=Acetyl;AC=UNIMOD:1;CF=C(2)H(2)O(1);MT=Variable;TA=N-term;MM=42.010565	NT=Deamidated;AC=UNIMOD:7;CF=H(-1)N(-1)O(1);MT=Variable;TA=N;MM=0.984016	NT=Deamidated;AC=UNIMOD:7;CF=H(-1)N(-1)O(1);MT=Variable;TA=Q;MM=0.984016	NT=Gln->pyro-Glu;AC=UNIMOD:28;CF=H(-3)N(-1);MT=Variable;TA=Q;MM=-17.026549	NT=Phospho;AC=UNIMOD:21;CF=H(1)O(3)P(1);MT=Variable;TA=S;MM=79.966331	NT=Phospho;AC=UNIMOD:21;CF=H(1)O(3)P(1);MT=Variable;TA=T;MM=79.966331	NT=Phospho;AC=UNIMOD:21;CF=H(1)O(3)P(1);MT=Variable;TA=Y;MM=79.966331
PXD011851_TMT6_P_F7	Caenorhabditis elegans	Whole organism	not avalaible	not avalaible	1	not avalaible	not avalaible	not avalaible	not avalaible	4.5 ppm	20 ppm	NT=HCD	3642_Fraction_7.mgf	NT=Trypsin/P;AC=MS:1001313;CS=(?<=[KR])	NT=Oxidation;AC=UNIMOD:35;CF=O(1);MT=Fixed;TA=M;MM=15.994915	NT=Acetyl;AC=UNIMOD:1;CF=C(2)H(2)O(1);MT=Fixed;TA=N-term;MM=42.010565	NT=Deamidated;AC=UNIMOD:7;CF=H(-1)N(-1)O(1);MT=Fixed;TA=N;MM=0.984016	NT=Deamidated;AC=UNIMOD:7;CF=H(-1)N(-1)O(1);MT=Fixed;TA=Q;MM=0.984016	NT=Gln->pyro-Glu;AC=UNIMOD:28;CF=H(-3)N(-1);MT=Fixed;TA=Q;MM=-17.026549	NT=Phospho;AC=UNIMOD:21;CF=H(1)O(3)P(1);MT=Fixed;TA=S;MM=79.966331	NT=Phospho;AC=UNIMOD:21;CF=H(1)O(3)P(1);MT=Fixed;TA=T;MM=79.966331	NT=Phospho;AC=UNIMOD:21;CF=H(1)O(3)P(1);MT=Fixed;TA=Y;MM=79.966331	NT=Oxidation;AC=UNIMOD:35;CF=O(1);MT=Variable;TA=M;MM=15.994915	NT=Acetyl;AC=UNIMOD:1;CF=C(2)H(2)O(1);MT=Variable;TA=N-term;MM=42.010565	NT=Deamidated;AC=UNIMOD:7;CF=H(-1)N(-1)O(1);MT=Variable;TA=N;MM=0.984016	NT=Deamidated;AC=UNIMOD:7;CF=H(-1)N(-1)O(1);MT=Variable;TA=Q;MM=0.984016	NT=Gln->pyro-Glu;AC=UNIMOD:28;CF=H(-3)N(-1);MT=Variable;TA=Q;MM=-17.026549	NT=Phospho;AC=UNIMOD:21;CF=H(1)O(3)P(1);MT=Variable;TA=S;MM=79.966331	NT=Phospho;AC=UNIMOD:21;CF=H(1)O(3)P(1);MT=Variable;TA=T;MM=79.966331	NT=Phospho;AC=UNIMOD:21;CF=H(1)O(3)P(1);MT=Variable;TA=Y;MM=79.966331
