source name	assay name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[ancestry category]	characteristics[age]	characteristics[sex]	characteristics[disease]	characteristics[developmental stage]	characteristics[individual]	comment[proteomexchange accession number]	comment[data file]	comment[file uri]	comment[fraction identifier]	comment[instrument]	comment[modification parameters]	comment[cleavage agent details]	material type	comment[label]	comment[fragment mass tolerance]	comment[precursor mass tolerance]	comment[biological replicate]	comment[technical replicate]	factor value[protocol]	factor value[staining]
Sample 1	run 1	mus musculus	kidney	not applicable	not applicable	6 month	male	not available	not available	1	PXD006401	1_DTR1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2018/08/PXD006401/1_DTR1.raw	1	AC=MS:1002634;NT=Q Exactive Plus	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	AC=MS:1001251;NT=Trypsin	Formalin-fixed paraffin-embedded tissue	AC=MS:1002038;NT=label free sample	20 ppm	4.5 ppm	mouse 1	1	DTR	unstained
Sample 1	run 2	mus musculus	kidney	not applicable	not applicable	6 month	male	not available	not available	1	PXD006401	2_DTR2.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2018/08/PXD006401/2_DTR2.raw	1	AC=MS:1002634;NT=Q Exactive Plus	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	AC=MS:1001251;NT=Trypsin	Formalin-fixed paraffin-embedded tissue	AC=MS:1002038;NT=label free sample	20 ppm	4.5 ppm	mouse 1	2	DTR	unstained
Sample 1	run 3	mus musculus	kidney	not applicable	not applicable	6 month	male	not available	not available	1	PXD006401	3_DTR3.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2018/08/PXD006401/3_DTR3.raw	1	AC=MS:1002634;NT=Q Exactive Plus	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	AC=MS:1001251;NT=Trypsin	Formalin-fixed paraffin-embedded tissue	AC=MS:1002038;NT=label free sample	20 ppm	4.5 ppm	mouse 1	3	DTR	unstained
Sample 1	run 4	mus musculus	kidney	not applicable	not applicable	6 month	male	not available	not available	1	PXD006401	4_DTR4.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2018/08/PXD006401/4_DTR4.raw	1	AC=MS:1002634;NT=Q Exactive Plus	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	AC=MS:1001251;NT=Trypsin	Formalin-fixed paraffin-embedded tissue	AC=MS:1002038;NT=label free sample	20 ppm	4.5 ppm	mouse 1	4	DTR	unstained
Sample 1	run 5	mus musculus	kidney	not applicable	not applicable	6 month	male	not available	not available	1	PXD006401	5_FASP10k_1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2018/08/PXD006401/5_FASP10k_1.raw	1	AC=MS:1002634;NT=Q Exactive Plus	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	AC=MS:1001251;NT=Trypsin	Formalin-fixed paraffin-embedded tissue	AC=MS:1002038;NT=label free sample	20 ppm	4.5 ppm	mouse 1	5	FASP 10k	unstained
Sample 1	run 6	mus musculus	kidney	not applicable	not applicable	6 month	male	not available	not available	1	PXD006401	6_FASP10k_2.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2018/08/PXD006401/6_FASP10k_2.raw	1	AC=MS:1002634;NT=Q Exactive Plus	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	AC=MS:1001251;NT=Trypsin	Formalin-fixed paraffin-embedded tissue	AC=MS:1002038;NT=label free sample	20 ppm	4.5 ppm	mouse 1	6	FASP 10k	unstained
Sample 1	run 7	mus musculus	kidney	not applicable	not applicable	6 month	male	not available	not available	1	PXD006401	7_FASP10k_3.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2018/08/PXD006401/7_FASP10k_3.raw	1	AC=MS:1002634;NT=Q Exactive Plus	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	AC=MS:1001251;NT=Trypsin	Formalin-fixed paraffin-embedded tissue	AC=MS:1002038;NT=label free sample	20 ppm	4.5 ppm	mouse 1	7	FASP 10k	unstained
Sample 1	run 8	mus musculus	kidney	not applicable	not applicable	6 month	male	not available	not available	1	PXD006401	8_FASP10k_4.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2018/08/PXD006401/8_FASP10k_4.raw	1	AC=MS:1002634;NT=Q Exactive Plus	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	AC=MS:1001251;NT=Trypsin	Formalin-fixed paraffin-embedded tissue	AC=MS:1002038;NT=label free sample	20 ppm	4.5 ppm	mouse 1	8	FASP 10k	unstained
Sample 1	run 9	mus musculus	kidney	not applicable	not applicable	6 month	male	not available	not available	1	PXD006401	9_FASP30k_1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2018/08/PXD006401/9_FASP30k_1.raw	1	AC=MS:1002634;NT=Q Exactive Plus	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	AC=MS:1001251;NT=Trypsin	Formalin-fixed paraffin-embedded tissue	AC=MS:1002038;NT=label free sample	20 ppm	4.5 ppm	mouse 1	9	FASP 30k	unstained
Sample 1	run 10	mus musculus	kidney	not applicable	not applicable	6 month	male	not available	not available	1	PXD006401	10_FASP30k_2.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2018/08/PXD006401/10_FASP30k_2.raw	1	AC=MS:1002634;NT=Q Exactive Plus	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	AC=MS:1001251;NT=Trypsin	Formalin-fixed paraffin-embedded tissue	AC=MS:1002038;NT=label free sample	20 ppm	4.5 ppm	mouse 1	10	FASP 30k	unstained
