source name	material type	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[ancestry category]	characteristics[age]	characteristics[sex]	characteristics[disease]	characteristics[protocol]	characteristics[staining]	characteristics[developmental stage]	characteristics[biological replicate]	characteristics[individual]	assay name	technology type	comment[proteomexchange accession number]	comment[data file]	comment[file uri]	comment[fraction identifier]	comment[instrument]	comment[modification parameters]	comment[cleavage agent details]	comment[label]	comment[fragment mass tolerance]	comment[precursor mass tolerance]	comment[technical replicate]	factor value[protocol]	factor value[staining]
Sample 1	Formalin-fixed paraffin-embedded tissue	mus musculus	kidney	not applicable	not applicable	6 month	male	not available	DTR	unstained	not available	mouse 1	1	run 1	proteomic profiling by mass spectrometry	PXD006401	1_DTR1.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2018/08/PXD006401/1_DTR1.raw	1	AC=MS:1002634;NT=Q Exactive Plus	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	AC=MS:1001251;NT=Trypsin	AC=MS:1002038;NT=label free sample	20 ppm	4.5 ppm	1	DTR	unstained
Sample 1	Formalin-fixed paraffin-embedded tissue	mus musculus	kidney	not applicable	not applicable	6 month	male	not available	DTR	unstained	not available	mouse 1	1	run 2	proteomic profiling by mass spectrometry	PXD006401	2_DTR2.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2018/08/PXD006401/2_DTR2.raw	1	AC=MS:1002634;NT=Q Exactive Plus	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	AC=MS:1001251;NT=Trypsin	AC=MS:1002038;NT=label free sample	20 ppm	4.5 ppm	2	DTR	unstained
Sample 1	Formalin-fixed paraffin-embedded tissue	mus musculus	kidney	not applicable	not applicable	6 month	male	not available	DTR	unstained	not available	mouse 1	1	run 3	proteomic profiling by mass spectrometry	PXD006401	3_DTR3.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2018/08/PXD006401/3_DTR3.raw	1	AC=MS:1002634;NT=Q Exactive Plus	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	AC=MS:1001251;NT=Trypsin	AC=MS:1002038;NT=label free sample	20 ppm	4.5 ppm	3	DTR	unstained
Sample 1	Formalin-fixed paraffin-embedded tissue	mus musculus	kidney	not applicable	not applicable	6 month	male	not available	DTR	unstained	not available	mouse 1	1	run 4	proteomic profiling by mass spectrometry	PXD006401	4_DTR4.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2018/08/PXD006401/4_DTR4.raw	1	AC=MS:1002634;NT=Q Exactive Plus	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	AC=MS:1001251;NT=Trypsin	AC=MS:1002038;NT=label free sample	20 ppm	4.5 ppm	4	DTR	unstained
Sample 1	Formalin-fixed paraffin-embedded tissue	mus musculus	kidney	not applicable	not applicable	6 month	male	not available	FASP 10k	unstained	not available	mouse 1	1	run 5	proteomic profiling by mass spectrometry	PXD006401	5_FASP10k_1.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2018/08/PXD006401/5_FASP10k_1.raw	1	AC=MS:1002634;NT=Q Exactive Plus	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	AC=MS:1001251;NT=Trypsin	AC=MS:1002038;NT=label free sample	20 ppm	4.5 ppm	5	FASP 10k	unstained
Sample 1	Formalin-fixed paraffin-embedded tissue	mus musculus	kidney	not applicable	not applicable	6 month	male	not available	FASP 10k	unstained	not available	mouse 1	1	run 6	proteomic profiling by mass spectrometry	PXD006401	6_FASP10k_2.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2018/08/PXD006401/6_FASP10k_2.raw	1	AC=MS:1002634;NT=Q Exactive Plus	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	AC=MS:1001251;NT=Trypsin	AC=MS:1002038;NT=label free sample	20 ppm	4.5 ppm	6	FASP 10k	unstained
Sample 1	Formalin-fixed paraffin-embedded tissue	mus musculus	kidney	not applicable	not applicable	6 month	male	not available	FASP 10k	unstained	not available	mouse 1	1	run 7	proteomic profiling by mass spectrometry	PXD006401	7_FASP10k_3.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2018/08/PXD006401/7_FASP10k_3.raw	1	AC=MS:1002634;NT=Q Exactive Plus	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	AC=MS:1001251;NT=Trypsin	AC=MS:1002038;NT=label free sample	20 ppm	4.5 ppm	7	FASP 10k	unstained
Sample 1	Formalin-fixed paraffin-embedded tissue	mus musculus	kidney	not applicable	not applicable	6 month	male	not available	FASP 10k	unstained	not available	mouse 1	1	run 8	proteomic profiling by mass spectrometry	PXD006401	8_FASP10k_4.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2018/08/PXD006401/8_FASP10k_4.raw	1	AC=MS:1002634;NT=Q Exactive Plus	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	AC=MS:1001251;NT=Trypsin	AC=MS:1002038;NT=label free sample	20 ppm	4.5 ppm	8	FASP 10k	unstained
Sample 1	Formalin-fixed paraffin-embedded tissue	mus musculus	kidney	not applicable	not applicable	6 month	male	not available	FASP 30k	unstained	not available	mouse 1	1	run 9	proteomic profiling by mass spectrometry	PXD006401	9_FASP30k_1.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2018/08/PXD006401/9_FASP30k_1.raw	1	AC=MS:1002634;NT=Q Exactive Plus	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	AC=MS:1001251;NT=Trypsin	AC=MS:1002038;NT=label free sample	20 ppm	4.5 ppm	9	FASP 30k	unstained
Sample 1	Formalin-fixed paraffin-embedded tissue	mus musculus	kidney	not applicable	not applicable	6 month	male	not available	FASP 30k	unstained	not available	mouse 1	1	run 10	proteomic profiling by mass spectrometry	PXD006401	10_FASP30k_2.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2018/08/PXD006401/10_FASP30k_2.raw	1	AC=MS:1002634;NT=Q Exactive Plus	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	AC=MS:1001251;NT=Trypsin	AC=MS:1002038;NT=label free sample	20 ppm	4.5 ppm	10	FASP 30k	unstained
