source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[biological replicate]	assay name	comment[rice strain]	comment[proteomexchange accession number]	comment[data file]	comment[file uri]	comment[fraction identifier]	comment[technical replicate]	comment[label]	comment[instrument]	comment[cleavage agent details]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[precursor mass tolerance]	comment[fragment mass tolerance]
Sample 1	Oryza sativa	Flower	not applicable	not applicable	1	run 1	GZ63S	PXD000923	LHY_T1.wiff	https://ftp.pride.ebi.ac.uk/pride/data/archive/2014/07/PXD000923/raw_data.zip	1	1	NT=label free sample	AC=MS:1000932;NT=TripleTOF 5600	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Phospho;AC=UNIMOD:21;TA=S;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=T;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=Y;MT=Variable	15 ppm	0.05 Da
Sample 1	Oryza sativa	Flower	not applicable	not applicable	1	run 3	GZ63S	PXD000923	LHY_T2.wiff	https://ftp.pride.ebi.ac.uk/pride/data/archive/2014/07/PXD000923/raw_data.zip	2	1	NT=label free sample	AC=MS:1000932;NT=TripleTOF 5600	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Phospho;AC=UNIMOD:21;TA=S;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=T;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=Y;MT=Variable	15 ppm	0.05 Da
Sample 1	Oryza sativa	Flower	not applicable	not applicable	1	run 5	GZ63S	PXD000923	LHY_T3.wiff	https://ftp.pride.ebi.ac.uk/pride/data/archive/2014/07/PXD000923/raw_data.zip	3	1	NT=label free sample	AC=MS:1000932;NT=TripleTOF 5600	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Phospho;AC=UNIMOD:21;TA=S;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=T;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=Y;MT=Variable	15 ppm	0.05 Da
Sample 1	Oryza sativa	Flower	not applicable	not applicable	1	run 7	GZ63S	PXD000923	LHY_T4.wiff	https://ftp.pride.ebi.ac.uk/pride/data/archive/2014/07/PXD000923/raw_data.zip	4	1	NT=label free sample	AC=MS:1000932;NT=TripleTOF 5600	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Phospho;AC=UNIMOD:21;TA=S;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=T;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=Y;MT=Variable	15 ppm	0.05 Da
Sample 1	Oryza sativa	Flower	not applicable	not applicable	1	run 9	GZ63S	PXD000923	LHY_T5.wiff	https://ftp.pride.ebi.ac.uk/pride/data/archive/2014/07/PXD000923/raw_data.zip	5	1	NT=label free sample	AC=MS:1000932;NT=TripleTOF 5600	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Phospho;AC=UNIMOD:21;TA=S;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=T;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=Y;MT=Variable	15 ppm	0.05 Da
Sample 2	Oryza sativa	Flower	not applicable	not applicable	2	run 11	GZ63S	PXD000923	LHY_T6.wiff	https://ftp.pride.ebi.ac.uk/pride/data/archive/2014/07/PXD000923/raw_data.zip	6	1	NT=label free sample	AC=MS:1000932;NT=TripleTOF 5600	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Phospho;AC=UNIMOD:21;TA=S;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=T;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=Y;MT=Variable	15 ppm	0.05 Da
Sample 2	Oryza sativa	Flower	not applicable	not applicable	2	run 13	GZ63S	PXD000923	LHY_T7.wiff	https://ftp.pride.ebi.ac.uk/pride/data/archive/2014/07/PXD000923/raw_data.zip	7	1	NT=label free sample	AC=MS:1000932;NT=TripleTOF 5600	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Phospho;AC=UNIMOD:21;TA=S;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=T;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=Y;MT=Variable	15 ppm	0.05 Da
Sample 2	Oryza sativa	Flower	not applicable	not applicable	2	run 15	GZ63S	PXD000923	LHY_T8.wiff	https://ftp.pride.ebi.ac.uk/pride/data/archive/2014/07/PXD000923/raw_data.zip	8	1	NT=label free sample	AC=MS:1000932;NT=TripleTOF 5600	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Phospho;AC=UNIMOD:21;TA=S;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=T;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=Y;MT=Variable	15 ppm	0.05 Da
Sample 2	Oryza sativa	Flower	not applicable	not applicable	2	run 17	GZ63S	PXD000923	LHY_T9.wiff	https://ftp.pride.ebi.ac.uk/pride/data/archive/2014/07/PXD000923/raw_data.zip	9	1	NT=label free sample	AC=MS:1000932;NT=TripleTOF 5600	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Phospho;AC=UNIMOD:21;TA=S;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=T;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=Y;MT=Variable	15 ppm	0.05 Da
Sample 2	Oryza sativa	Flower	not applicable	not applicable	2	run 19	GZ63S	PXD000923	LHY_T10.wiff	https://ftp.pride.ebi.ac.uk/pride/data/archive/2014/07/PXD000923/raw_data.zip	10	1	NT=label free sample	AC=MS:1000932;NT=TripleTOF 5600	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Phospho;AC=UNIMOD:21;TA=S;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=T;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=Y;MT=Variable	15 ppm	0.05 Da
