source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[cell line]	characteristics[developmental stage]	characteristics[disease]	characteristics[ancestry category]	characteristics[sex]	characteristics[age]	characteristics[biological replicate]	material type	assay name	technology type	comment[data file]	comment[file uri]	comment[technical replicate]	comment[fraction identifier]	comment[label]	comment[cleavage agent details]	comment[instrument]	comment[collision energy]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	factor value[cell line]	factor value[disease]
Sample 1	Homo sapiens	breast	epithelial	MCF 10A	adult	nontumorigenic	Caucasian	female	36Y	1	cell	run 1	proteomic profiling by mass spectrometer	MCF10_G1C1_1.RAW	https://ftp.pride.ebi.ac.uk/pride/data/archive/2019/07/PXD014458/MCF10_G1C1_1.RAW	1	1	AC=MS:1002038;NT=label free sample	AC=MS:1001251;NT=Trypsin	NT=LTQ;AC=MS:1000447	35% NCE	2 Da	1 Da	MCF 10A	nontumorigenic
Sample 1	Homo sapiens	breast	epithelial	MCF 10A	adult	nontumorigenic	Caucasian	female	36Y	1	cell	run 2	proteomic profiling by mass spectrometer	MCF10_G1C1_3.RAW	https://ftp.pride.ebi.ac.uk/pride/data/archive/2019/07/PXD014458/MCF10_G1C1_3.RAW	3	1	AC=MS:1002038;NT=label free sample	AC=MS:1001251;NT=Trypsin	NT=LTQ;AC=MS:1000447	35% NCE	2 Da	1 Da	MCF 10A	nontumorigenic
Sample 2	Homo sapiens	breast	epithelial	MCF 10A	adult	nontumorigenic	Caucasian	female	36Y	3	cell	run 3	proteomic profiling by mass spectrometer	MCF10_G1C3_5.RAW	https://ftp.pride.ebi.ac.uk/pride/data/archive/2019/07/PXD014458/MCF10_G1C3_5.RAW	5	1	AC=MS:1002038;NT=label free sample	AC=MS:1001251;NT=Trypsin	NT=LTQ;AC=MS:1000447	35% NCE	2 Da	1 Da	MCF 10A	nontumorigenic
Sample 3	Homo sapiens	breast	epithelial	MCF 10A	adult	nontumorigenic	Caucasian	female	36Y	1	cell	run 4	proteomic profiling by mass spectrometer	MCF10_G1N1_2.RAW	https://ftp.pride.ebi.ac.uk/pride/data/archive/2019/07/PXD014458/MCF10_G1N1_2.RAW	2	1	AC=MS:1002038;NT=label free sample	AC=MS:1001251;NT=Trypsin	NT=LTQ;AC=MS:1000447	35% NCE	2 Da	1 Da	MCF 10A	nontumorigenic
Sample 4	Homo sapiens	breast	epithelial	MCF 10A	adult	nontumorigenic	Caucasian	female	36Y	2	cell	run 5	proteomic profiling by mass spectrometer	MCF10_G1N2_5.RAW	https://ftp.pride.ebi.ac.uk/pride/data/archive/2019/07/PXD014458/MCF10_G1N2_5.RAW	5	1	AC=MS:1002038;NT=label free sample	AC=MS:1001251;NT=Trypsin	NT=LTQ;AC=MS:1000447	35% NCE	2 Da	1 Da	MCF 10A	nontumorigenic
Sample 5	Homo sapiens	breast	epithelial	MCF 10A	adult	nontumorigenic	Caucasian	female	36Y	3	cell	run 6	proteomic profiling by mass spectrometer	MCF10_G1N3_1.RAW	https://ftp.pride.ebi.ac.uk/pride/data/archive/2019/07/PXD014458/MCF10_G1N3_1.RAW	1	1	AC=MS:1002038;NT=label free sample	AC=MS:1001251;NT=Trypsin	NT=LTQ;AC=MS:1000447	35% NCE	2 Da	1 Da	MCF 10A	nontumorigenic
Sample 6	Homo sapiens	breast	epithelial	MCF 10A	adult	nontumorigenic	Caucasian	female	36Y	2	cell	run 7	proteomic profiling by mass spectrometer	MCF10_SC2_4.RAW	https://ftp.pride.ebi.ac.uk/pride/data/archive/2019/07/PXD014458/MCF10_SC2_4.RAW	4	1	AC=MS:1002038;NT=label free sample	AC=MS:1001251;NT=Trypsin	NT=LTQ;AC=MS:1000447	35% NCE	2 Da	1 Da	MCF 10A	nontumorigenic
Sample 7	Homo sapiens	breast	epithelial	MCF 10A	adult	nontumorigenic	Caucasian	female	36Y	3	cell	run 8	proteomic profiling by mass spectrometer	MCF10_SC3_1.RAW	https://ftp.pride.ebi.ac.uk/pride/data/archive/2019/07/PXD014458/MCF10_SC3_1.RAW	1	1	AC=MS:1002038;NT=label free sample	AC=MS:1001251;NT=Trypsin	NT=LTQ;AC=MS:1000447	35% NCE	2 Da	1 Da	MCF 10A	nontumorigenic
Sample 7	Homo sapiens	breast	epithelial	MCF 10A	adult	nontumorigenic	Caucasian	female	36Y	3	cell	run 9	proteomic profiling by mass spectrometer	MCF10_SC3_3.RAW	https://ftp.pride.ebi.ac.uk/pride/data/archive/2019/07/PXD014458/MCF10_SC3_3.RAW	3	1	AC=MS:1002038;NT=label free sample	AC=MS:1001251;NT=Trypsin	NT=LTQ;AC=MS:1000447	35% NCE	2 Da	1 Da	MCF 10A	nontumorigenic
Sample 7	Homo sapiens	breast	epithelial	MCF 10A	adult	nontumorigenic	Caucasian	female	36Y	3	cell	run 10	proteomic profiling by mass spectrometer	MCF10_SC3_4.RAW	https://ftp.pride.ebi.ac.uk/pride/data/archive/2019/07/PXD014458/MCF10_SC3_4.RAW	4	1	AC=MS:1002038;NT=label free sample	AC=MS:1001251;NT=Trypsin	NT=LTQ;AC=MS:1000447	35% NCE	2 Da	1 Da	MCF 10A	nontumorigenic
