source name	characteristics[organism]	characteristics[organism part]	characteristics[age]	characteristics[developmental stage]	characteristics[sex]	characteristics[disease]	characteristics[cell type]	characteristics[ancestry category]	characteristics[age]	characteristics[sex]	characteristics[biological replicate]	material type	assay name	technology type	comment[file uri]	comment[fractionation method]	comment[technical replicate]	comment[fraction identifier]	comment[label]	comment[ms2 mass analyzer]	comment[instrument]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[cleavage agent details]	comment[dissociation method]	comment[collision energy]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[data file]	factor value[organism part]
Sample 1	Homo sapiens	Adrenal gland	not available	Adult	not available	not available	not applicable	not available	not available	not available	1	organism part	run 1	proteomic profiling by mass spectrometry	https://ftp.pride.ebi.ac.uk/pride/data/archive/2014/04/PXD000561/Adult_Adrenalgland_bRP_Velos_1_f01.raw	NT=high pH RPLC;AC=PRIDE:0000564	1	1	AC=MS:1002038;NT=label free sample	AC=MS:1000484; NT=Orbitrap	AC=MS:1001742;NT=LTQ Orbitrap Velos	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=cyclization;AC=UNIMOD:28;PP=Any N-term;TA=Q;MT=Variable	AC=MS:1001251;NT=Trypsin	AC=MS:1000422;NT=HCD	not available	10 ppm	0.05 Da	Adult_Adrenalgland_bRP_Velos_1_f01.raw	Adrenal gland
Sample 1	Homo sapiens	Adrenal gland	not available	Adult	not available	not available	not applicable	not available	not available	not available	1	organism part	run 2	proteomic profiling by mass spectrometry	https://ftp.pride.ebi.ac.uk/pride/data/archive/2014/04/PXD000561/Adult_Adrenalgland_bRP_Velos_1_f02.raw	NT=high pH RPLC;AC=PRIDE:0000564	1	2	AC=MS:1002038;NT=label free sample	AC=MS:1000484; NT=Orbitrap	AC=MS:1001742;NT=LTQ Orbitrap Velos	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=cyclization;AC=UNIMOD:28;PP=Any N-term;TA=Q;MT=Variable	AC=MS:1001251;NT=Trypsin	AC=MS:1000422;NT=HCD	not available	10 ppm	0.05 Da	Adult_Adrenalgland_bRP_Velos_1_f02.raw	Adrenal gland
Sample 1	Homo sapiens	Adrenal gland	not available	Adult	not available	not available	not applicable	not available	not available	not available	1	organism part	run 3	proteomic profiling by mass spectrometry	https://ftp.pride.ebi.ac.uk/pride/data/archive/2014/04/PXD000561/Adult_Adrenalgland_bRP_Velos_1_f03.raw	NT=high pH RPLC;AC=PRIDE:0000564	1	3	AC=MS:1002038;NT=label free sample	AC=MS:1000484; NT=Orbitrap	AC=MS:1001742;NT=LTQ Orbitrap Velos	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=cyclization;AC=UNIMOD:28;PP=Any N-term;TA=Q;MT=Variable	AC=MS:1001251;NT=Trypsin	AC=MS:1000422;NT=HCD	not available	10 ppm	0.05 Da	Adult_Adrenalgland_bRP_Velos_1_f03.raw	Adrenal gland
Sample 1	Homo sapiens	Adrenal gland	not available	Adult	not available	not available	not applicable	not available	not available	not available	1	organism part	run 4	proteomic profiling by mass spectrometry	https://ftp.pride.ebi.ac.uk/pride/data/archive/2014/04/PXD000561/Adult_Adrenalgland_bRP_Velos_1_f04.raw	NT=high pH RPLC;AC=PRIDE:0000564	1	4	AC=MS:1002038;NT=label free sample	AC=MS:1000484; NT=Orbitrap	AC=MS:1001742;NT=LTQ Orbitrap Velos	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=cyclization;AC=UNIMOD:28;PP=Any N-term;TA=Q;MT=Variable	AC=MS:1001251;NT=Trypsin	AC=MS:1000422;NT=HCD	not available	10 ppm	0.05 Da	Adult_Adrenalgland_bRP_Velos_1_f04.raw	Adrenal gland
Sample 1	Homo sapiens	Adrenal gland	not available	Adult	not available	not available	not applicable	not available	not available	not available	1	organism part	run 5	proteomic profiling by mass spectrometry	https://ftp.pride.ebi.ac.uk/pride/data/archive/2014/04/PXD000561/Adult_Adrenalgland_bRP_Velos_1_f05.raw	NT=high pH RPLC;AC=PRIDE:0000564	1	5	AC=MS:1002038;NT=label free sample	AC=MS:1000484; NT=Orbitrap	AC=MS:1001742;NT=LTQ Orbitrap Velos	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=cyclization;AC=UNIMOD:28;PP=Any N-term;TA=Q;MT=Variable	AC=MS:1001251;NT=Trypsin	AC=MS:1000422;NT=HCD	not available	10 ppm	0.05 Da	Adult_Adrenalgland_bRP_Velos_1_f05.raw	Adrenal gland
Sample 1	Homo sapiens	Adrenal gland	not available	Adult	not available	not available	not applicable	not available	not available	not available	1	organism part	run 6	proteomic profiling by mass spectrometry	https://ftp.pride.ebi.ac.uk/pride/data/archive/2014/04/PXD000561/Adult_Adrenalgland_bRP_Velos_1_f06.raw	NT=high pH RPLC;AC=PRIDE:0000564	1	6	AC=MS:1002038;NT=label free sample	AC=MS:1000484; NT=Orbitrap	AC=MS:1001742;NT=LTQ Orbitrap Velos	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=cyclization;AC=UNIMOD:28;PP=Any N-term;TA=Q;MT=Variable	AC=MS:1001251;NT=Trypsin	AC=MS:1000422;NT=HCD	not available	10 ppm	0.05 Da	Adult_Adrenalgland_bRP_Velos_1_f06.raw	Adrenal gland
Sample 1	Homo sapiens	Adrenal gland	not available	Adult	not available	not available	not applicable	not available	not available	not available	1	organism part	run 7	proteomic profiling by mass spectrometry	https://ftp.pride.ebi.ac.uk/pride/data/archive/2014/04/PXD000561/Adult_Adrenalgland_bRP_Velos_1_f07.raw	NT=high pH RPLC;AC=PRIDE:0000564	1	7	AC=MS:1002038;NT=label free sample	AC=MS:1000484; NT=Orbitrap	AC=MS:1001742;NT=LTQ Orbitrap Velos	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=cyclization;AC=UNIMOD:28;PP=Any N-term;TA=Q;MT=Variable	AC=MS:1001251;NT=Trypsin	AC=MS:1000422;NT=HCD	not available	10 ppm	0.05 Da	Adult_Adrenalgland_bRP_Velos_1_f07.raw	Adrenal gland
Sample 1	Homo sapiens	Adrenal gland	not available	Adult	not available	not available	not applicable	not available	not available	not available	1	organism part	run 8	proteomic profiling by mass spectrometry	https://ftp.pride.ebi.ac.uk/pride/data/archive/2014/04/PXD000561/Adult_Adrenalgland_bRP_Velos_1_f08.raw	NT=high pH RPLC;AC=PRIDE:0000564	1	8	AC=MS:1002038;NT=label free sample	AC=MS:1000484; NT=Orbitrap	AC=MS:1001742;NT=LTQ Orbitrap Velos	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=cyclization;AC=UNIMOD:28;PP=Any N-term;TA=Q;MT=Variable	AC=MS:1001251;NT=Trypsin	AC=MS:1000422;NT=HCD	not available	10 ppm	0.05 Da	Adult_Adrenalgland_bRP_Velos_1_f08.raw	Adrenal gland
Sample 1	Homo sapiens	Adrenal gland	not available	Adult	not available	not available	not applicable	not available	not available	not available	1	organism part	run 9	proteomic profiling by mass spectrometry	https://ftp.pride.ebi.ac.uk/pride/data/archive/2014/04/PXD000561/Adult_Adrenalgland_bRP_Velos_1_f09.raw	NT=high pH RPLC;AC=PRIDE:0000564	1	9	AC=MS:1002038;NT=label free sample	AC=MS:1000484; NT=Orbitrap	AC=MS:1001742;NT=LTQ Orbitrap Velos	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=cyclization;AC=UNIMOD:28;PP=Any N-term;TA=Q;MT=Variable	AC=MS:1001251;NT=Trypsin	AC=MS:1000422;NT=HCD	not available	10 ppm	0.05 Da	Adult_Adrenalgland_bRP_Velos_1_f09.raw	Adrenal gland
Sample 1	Homo sapiens	Adrenal gland	not available	Adult	not available	not available	not applicable	not available	not available	not available	1	organism part	run 10	proteomic profiling by mass spectrometry	https://ftp.pride.ebi.ac.uk/pride/data/archive/2014/04/PXD000561/Adult_Adrenalgland_bRP_Velos_1_f10.raw	NT=high pH RPLC;AC=PRIDE:0000564	1	10	AC=MS:1002038;NT=label free sample	AC=MS:1000484; NT=Orbitrap	AC=MS:1001742;NT=LTQ Orbitrap Velos	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=cyclization;AC=UNIMOD:28;PP=Any N-term;TA=Q;MT=Variable	AC=MS:1001251;NT=Trypsin	AC=MS:1000422;NT=HCD	not available	10 ppm	0.05 Da	Adult_Adrenalgland_bRP_Velos_1_f10.raw	Adrenal gland
