#file_format=SDRF
#version=v1.1.0
#template=ms-proteomics,version=v1.1.0
source name	characteristics[biological replicate]	characteristics[cell type]	characteristics[disease]	characteristics[organism part]	characteristics[organism]	characteristics[strain/breed]	characteristics[time]	characteristics[growth condition]	characteristics[medium]	characteristics[growth phase]	characteristics[enrichment process]	assay name	technology type	comment[alkylation reagent]	comment[cleavage agent details]	comment[collision energy]	comment[proteomics data acquisition method]	comment[data file]	comment[dissociation method]	comment[file uri]	comment[fraction identifier]	comment[instrument]	comment[label]	comment[modification parameters]	comment[reduction reagent]	comment[technical replicate]	comment[tool metadata]	factor value[time]	factor value[growth condition]
Ecoli_UC_LB_H008_1	1	Prokaryotic cell	Not applicable	Cell lysate	Escherichia coli	Escherichia coli str. DSM 105380	8 hour	LB	LB medium	lag phase	Membrane Vesicles by Ultracentrifugation	run 18	Proteomic profiling by mass spectrometry	IAA	NT=Trypsin;AC=1001251	26 %	NT=Data-dependent acquisition;AC=PRIDE:0000627	BBM_669_P257_03_B_FRH_060.raw	NT=HCD; AC=MS:1002481	https://ftp.pride.ebi.ac.uk/pride/data/archive/2024/03/PXD041301/BBM_669_P257_03_B_FRH_060.raw	1	NT=Q Exactive HF-X	Label free sample	NT=Carbamidomethyl;AC=4;CF=H(3) C(2) N O;MM=57.021464;MT=Fixed;PP=Anywhere;TA=['C']	DTT	1	lesSDRF v0.1.0	8 hour	LB
Ecoli_UC_LB_H008_2	2	Prokaryotic cell	Not applicable	Cell lysate	Escherichia coli	Escherichia coli str. DSM 105380	8 hour	LB	LB medium	lag phase	Membrane Vesicles by Ultracentrifugation	run 16	Proteomic profiling by mass spectrometry	IAA	NT=Trypsin;AC=1001251	26 %	NT=Data-dependent acquisition;AC=PRIDE:0000627	BBM_669_P257_03_B_FRH_055.raw	NT=HCD; AC=MS:1002481	https://ftp.pride.ebi.ac.uk/pride/data/archive/2024/03/PXD041301/BBM_669_P257_03_B_FRH_055.raw	1	NT=Q Exactive HF-X	Label free sample	NT=Carbamidomethyl;AC=4;CF=H(3) C(2) N O;MM=57.021464;MT=Fixed;PP=Anywhere;TA=['C']	DTT	1	lesSDRF v0.1.0	8 hour	LB
Ecoli_UC_LB_H008_3	3	Prokaryotic cell	Not applicable	Cell lysate	Escherichia coli	Escherichia coli str. DSM 105380	8 hour	LB	LB medium	lag phase	Membrane Vesicles by Ultracentrifugation	run 5	Proteomic profiling by mass spectrometry	IAA	NT=Trypsin;AC=1001251	26 %	NT=Data-dependent acquisition;AC=PRIDE:0000627	BBM_669_P257_03_B_FRH_029.raw	NT=HCD; AC=MS:1002481	https://ftp.pride.ebi.ac.uk/pride/data/archive/2024/03/PXD041301/BBM_669_P257_03_B_FRH_029.raw	1	NT=Q Exactive HF-X	Label free sample	NT=Carbamidomethyl;AC=4;CF=H(3) C(2) N O;MM=57.021464;MT=Fixed;PP=Anywhere;TA=['C']	DTT	1	lesSDRF v0.1.0	8 hour	LB
Ecoli_UC_LB_H054_1	1	Prokaryotic cell	Not applicable	Cell lysate	Escherichia coli	Escherichia coli str. DSM 105380	54 hour	LB	LB medium	Exponential phase	Membrane Vesicles by Ultracentrifugation	run 8	Proteomic profiling by mass spectrometry	IAA	NT=Trypsin;AC=1001251	26 %	NT=Data-dependent acquisition;AC=PRIDE:0000627	BBM_669_P257_03_B_FRH_036.raw	NT=HCD; AC=MS:1002481	https://ftp.pride.ebi.ac.uk/pride/data/archive/2024/03/PXD041301/BBM_669_P257_03_B_FRH_036.raw	1	NT=Q Exactive HF-X	Label free sample	NT=Carbamidomethyl;AC=4;CF=H(3) C(2) N O;MM=57.021464;MT=Fixed;PP=Anywhere;TA=['C']	DTT	1	lesSDRF v0.1.0	54 hour	LB
Ecoli_UC_LB_H054_2	2	Prokaryotic cell	Not applicable	Cell lysate	Escherichia coli	Escherichia coli str. DSM 105380	54 hour	LB	LB medium	Exponential phase	Membrane Vesicles by Ultracentrifugation	run 14	Proteomic profiling by mass spectrometry	IAA	NT=Trypsin;AC=1001251	26 %	NT=Data-dependent acquisition;AC=PRIDE:0000627	BBM_669_P257_03_B_FRH_051.raw	NT=HCD; AC=MS:1002481	https://ftp.pride.ebi.ac.uk/pride/data/archive/2024/03/PXD041301/BBM_669_P257_03_B_FRH_051.raw	1	NT=Q Exactive HF-X	Label free sample	NT=Carbamidomethyl;AC=4;CF=H(3) C(2) N O;MM=57.021464;MT=Fixed;PP=Anywhere;TA=['C']	DTT	1	lesSDRF v0.1.0	54 hour	LB
Ecoli_UC_LB_H054_3	3	Prokaryotic cell	Not applicable	Cell lysate	Escherichia coli	Escherichia coli str. DSM 105380	54 hour	LB	LB medium	Exponential phase	Membrane Vesicles by Ultracentrifugation	run 10	Proteomic profiling by mass spectrometry	IAA	NT=Trypsin;AC=1001251	26 %	NT=Data-dependent acquisition;AC=PRIDE:0000627	BBM_669_P257_03_B_FRH_046.raw	NT=HCD; AC=MS:1002481	https://ftp.pride.ebi.ac.uk/pride/data/archive/2024/03/PXD041301/BBM_669_P257_03_B_FRH_046.raw	1	NT=Q Exactive HF-X	Label free sample	NT=Carbamidomethyl;AC=4;CF=H(3) C(2) N O;MM=57.021464;MT=Fixed;PP=Anywhere;TA=['C']	DTT	1	lesSDRF v0.1.0	54 hour	LB
Ecoli_UC_LB_H168_1	1	Prokaryotic cell	Not applicable	Cell lysate	Escherichia coli	Escherichia coli str. DSM 105380	168 hour	LB	LB medium	Stationary phase	Membrane Vesicles by Ultracentrifugation	run 3	Proteomic profiling by mass spectrometry	IAA	NT=Trypsin;AC=1001251	26 %	NT=Data-dependent acquisition;AC=PRIDE:0000627	BBM_669_P257_03_B_FRH_025.raw	NT=HCD; AC=MS:1002481	https://ftp.pride.ebi.ac.uk/pride/data/archive/2024/03/PXD041301/BBM_669_P257_03_B_FRH_025.raw	1	NT=Q Exactive HF-X	Label free sample	NT=Carbamidomethyl;AC=4;CF=H(3) C(2) N O;MM=57.021464;MT=Fixed;PP=Anywhere;TA=['C']	DTT	1	lesSDRF v0.1.0	168 hour	LB
Ecoli_UC_LB_H168_2	2	Prokaryotic cell	Not applicable	Cell lysate	Escherichia coli	Escherichia coli str. DSM 105380	168 hour	LB	LB medium	Stationary phase	Membrane Vesicles by Ultracentrifugation	run 1	Proteomic profiling by mass spectrometry	IAA	NT=Trypsin;AC=1001251	26 %	NT=Data-dependent acquisition;AC=PRIDE:0000627	BBM_669_P257_03_B_FRH_018.raw	NT=HCD; AC=MS:1002481	https://ftp.pride.ebi.ac.uk/pride/data/archive/2024/03/PXD041301/BBM_669_P257_03_B_FRH_018.raw	1	NT=Q Exactive HF-X	Label free sample	NT=Carbamidomethyl;AC=4;CF=H(3) C(2) N O;MM=57.021464;MT=Fixed;PP=Anywhere;TA=['C']	DTT	1	lesSDRF v0.1.0	168 hour	LB
Ecoli_UC_LB_H168_3	3	Prokaryotic cell	Not applicable	Cell lysate	Escherichia coli	Escherichia coli str. DSM 105380	168 hour	LB	LB medium	Stationary phase	Membrane Vesicles by Ultracentrifugation	run 15	Proteomic profiling by mass spectrometry	IAA	NT=Trypsin;AC=1001251	26 %	NT=Data-dependent acquisition;AC=PRIDE:0000627	BBM_669_P257_03_B_FRH_053.raw	NT=HCD; AC=MS:1002481	https://ftp.pride.ebi.ac.uk/pride/data/archive/2024/03/PXD041301/BBM_669_P257_03_B_FRH_053.raw	1	NT=Q Exactive HF-X	Label free sample	NT=Carbamidomethyl;AC=4;CF=H(3) C(2) N O;MM=57.021464;MT=Fixed;PP=Anywhere;TA=['C']	DTT	1	lesSDRF v0.1.0	168 hour	LB
Ecoli_UC_RPMI_H008_1	1	Prokaryotic cell	Not applicable	Cell lysate	Escherichia coli	Escherichia coli str. DSM 105380	8 hour	RPMI	RPMI	lag phase	Membrane Vesicles by Ultracentrifugation	run 6	Proteomic profiling by mass spectrometry	IAA	NT=Trypsin;AC=1001251	26 %	NT=Data-dependent acquisition;AC=PRIDE:0000627	BBM_669_P257_03_B_FRH_033.raw	NT=HCD; AC=MS:1002481	https://ftp.pride.ebi.ac.uk/pride/data/archive/2024/03/PXD041301/BBM_669_P257_03_B_FRH_033.raw	1	NT=Q Exactive HF-X	Label free sample	NT=Carbamidomethyl;AC=4;CF=H(3) C(2) N O;MM=57.021464;MT=Fixed;PP=Anywhere;TA=['C']	DTT	1	lesSDRF v0.1.0	8 hour	RPMI
