source name	characteristics[organism]	characteristics[organism part]	characteristics[age]	characteristics[developmental stage]	characteristics[sex]	characteristics[disease]	characteristics[cell type]	characteristics[cell line]	characteristics[individual]	characteristics[phenotype]	characteristics[specimen]	characteristics[biological replicate]	characteristics[ancestry category]	assay name	comment[file uri]	comment[fractionation method]	comment[fraction identifier]	comment[data file]	comment[label]	comment[technical replicate]	comment[instrument]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[cleavage agent details]	comment[dissociation method]	comment[collision energy]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	Material Type	Factor Value[Phenotype]
Sample 1	Homo sapiens	liver	not available	not available	not available	not available	Hepatic stem progenitor cells	pluripotent stem cell line	not available	Healthy	not available	1	not applicable	run 1	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/06/PXD013737/20170929_MT_Celine_90m_01.raw		1	20170929_MT_Celine_90m_01.raw	AC=MS:1002038;NT=label free sample	1	AC=MS:1002523;NT=Q Exactive HF	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Acetyl;AC=UNIMOD:1;PP=PP=Any N-term;MT=Variable	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	AC=MS:1001251;NT=Trypsin	AC=MS:1000422;NT=HCD	not available	6 ppm	20 ppm	Cell line	Control
Sample 1	Homo sapiens	liver	not available	not available	not available	not available	Hepatic stem progenitor cells	pluripotent stem cell line	not available	Healthy	not available	1	not applicable	run 2	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/06/PXD013737/20170929_MT_Celine_90m_02.raw		2	20170929_MT_Celine_90m_02.raw	AC=MS:1002038;NT=label free sample	1	AC=MS:1002523;NT=Q Exactive HF	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Acetyl;AC=UNIMOD:1;PP=PP=Any N-term;MT=Variable	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:36	AC=MS:1001251;NT=Trypsin	AC=MS:1000422;NT=HCD	not available	6  ppm	20 ppm	Cell line	Control
Sample 1	Homo sapiens	liver	not available	not available	not available	not available	Hepatic stem progenitor cells	pluripotent stem cell line	not available	Healthy	not available	1	not applicable	run 3	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/06/PXD013737/20170929_MT_Celine_90m_03.raw		3	20170929_MT_Celine_90m_03.raw	AC=MS:1002038;NT=label free sample	1	AC=MS:1002523;NT=Q Exactive HF	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Acetyl;AC=UNIMOD:1;PP=PP=Any N-term;MT=Variable	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:37	AC=MS:1001251;NT=Trypsin	AC=MS:1000422;NT=HCD	not available	6  ppm	20 ppm	Cell line	Control
Sample 1	Homo sapiens	liver	not available	not available	not available	not available	Hepatic stem progenitor cells	pluripotent stem cell line	not available	Healthy	not available	1	not applicable	run 4	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/06/PXD013737/20170929_MT_Celine_90m_04.raw		4	20170929_MT_Celine_90m_04.raw	AC=MS:1002038;NT=label free sample	1	AC=MS:1002523;NT=Q Exactive HF	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Acetyl;AC=UNIMOD:1;PP=PP=Any N-term;MT=Variable	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:38	AC=MS:1001251;NT=Trypsin	AC=MS:1000422;NT=HCD	not available	6 ppm	20 ppm	Cell line	Control
Sample 2	Homo sapiens	liver	not available	not available	not available	not available	Hepatic stem progenitor cells	pluripotent stem cell line	not available	Healthy	not available	1	not applicable	run 5	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/06/PXD013737/20170929_MT_Celine_90m_05.raw		1	20170929_MT_Celine_90m_05.raw	AC=MS:1002038;NT=label free sample	2	AC=MS:1002523;NT=Q Exactive HF	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Acetyl;AC=UNIMOD:1;PP=PP=Any N-term;MT=Variable	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:39	AC=MS:1001251;NT=Trypsin	AC=MS:1000422;NT=HCD	not available	6 ppm	20 ppm	Cell line	Control
Sample 2	Homo sapiens	liver	not available	not available	not available	not available	Hepatic stem progenitor cells	pluripotent stem cell line	not available	Healthy	not available	1	not applicable	run 6	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/06/PXD013737/20170929_MT_Celine_90m_06.raw		2	20170929_MT_Celine_90m_06.raw	AC=MS:1002038;NT=label free sample	2	AC=MS:1002523;NT=Q Exactive HF	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Acetyl;AC=UNIMOD:1;PP=PP=Any N-term;MT=Variable	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:40	AC=MS:1001251;NT=Trypsin	AC=MS:1000422;NT=HCD	not available	6 ppm	20 ppm	Cell line	Control
Sample 2	Homo sapiens	liver	not available	not available	not available	not available	Hepatic stem progenitor cells	pluripotent stem cell line	not available	Healthy	not available	1	not applicable	run 7	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/06/PXD013737/20170929_MT_Celine_90m_07.raw		3	20170929_MT_Celine_90m_07.raw	AC=MS:1002038;NT=label free sample	2	AC=MS:1002523;NT=Q Exactive HF	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Acetyl;AC=UNIMOD:1;PP=PP=Any N-term;MT=Variable	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:41	AC=MS:1001251;NT=Trypsin	AC=MS:1000422;NT=HCD	not available	6 ppm	20 ppm	Cell line	Control
Sample 2	Homo sapiens	liver	not available	not available	not available	not available	Hepatic stem progenitor cells	pluripotent stem cell line	not available	Healthy	not available	1	not applicable	run 8	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/06/PXD013737/20170929_MT_Celine_90m_08.raw		4	20170929_MT_Celine_90m_08.raw	AC=MS:1002038;NT=label free sample	2	AC=MS:1002523;NT=Q Exactive HF	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Acetyl;AC=UNIMOD:1;PP=PP=Any N-term;MT=Variable	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:42	AC=MS:1001251;NT=Trypsin	AC=MS:1000422;NT=HCD	not available	6 ppm	20 ppm	Cell line	Control
Sample 3	Homo sapiens	liver	not available	not available	not available	not available	Hepatic stem progenitor cells	pluripotent stem cell line	not available	Healthy	not available	1	not applicable	run 9	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/06/PXD013737/20170929_MT_Celine_90m_09.raw		1	20170929_MT_Celine_90m_09.raw	AC=MS:1002038;NT=label free sample	3	AC=MS:1002523;NT=Q Exactive HF	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Acetyl;AC=UNIMOD:1;PP=PP=Any N-term;MT=Variable	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:43	AC=MS:1001251;NT=Trypsin	AC=MS:1000422;NT=HCD	not available	6 ppm	20 ppm	Cell line	Control
Sample 3	Homo sapiens	liver	not available	not available	not available	not available	Hepatic stem progenitor cells	pluripotent stem cell line	not available	Healthy	not available	1	not applicable	run 10	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/06/PXD013737/20170929_MT_Celine_90m_10.raw		2	20170929_MT_Celine_90m_10.raw	AC=MS:1002038;NT=label free sample	3	AC=MS:1002523;NT=Q Exactive HF	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Acetyl;AC=UNIMOD:1;PP=PP=Any N-term;MT=Variable	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:44	AC=MS:1001251;NT=Trypsin	AC=MS:1000422;NT=HCD	not available	6 ppm	20 ppm	Cell line	Control
