source name	characteristics[organism]	characteristics[organism part]	characteristics[developmental stage]	characteristics[cell type]	characteristics[disease]	characteristics[biological replicate]	assay name	comment[rice ssp.]	comment[proteomexchange accession number]	comment[data file]	comment[file uri]	comment[fraction identifier]	comment[technical replicate]	comment[label]	comment[instrument]	comment[cleavage agent details]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[precursor mass tolerance]	comment[fragment mass tolerance]
Sample 1	Oryza sativa	Shoot	not available	not applicable	not applicable	1	run 1	 japonica	PXD005241	Rice_phos_ shoot meristem__TiO2_25per_F1_R1.raw	https://www.ebi.ac.uk/pride/archive/projects/PXD005241/Rice_phos_ shoot meristem__TiO2_25per_F1_R1.raw	1	1	NT=label free sample	AC=MS:1001911;NT=Q Exactive	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;MT=Variable;PP=Protein N-term;AC=UNIMOD:1	NT=Phospho;AC=UNIMOD:21;TA=S;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=T;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=Y;MT=Variable	not available	not available
Sample 2	Oryza sativa	Shoot	not available	not applicable	not applicable	2	run 2	 japonica	PXD005241	Rice_phos_ shoot meristem_TiO2_25per_F2_R1.raw.raw	https://www.ebi.ac.uk/pride/archive/projects/PXD005241/Rice_phos_ shoot meristem_TiO2_25per_F2_R1.raw.raw	1	1	NT=label free sample	AC=MS:1001911;NT=Q Exactive	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;MT=Variable;PP=Protein N-term;AC=UNIMOD:1	NT=Phospho;AC=UNIMOD:21;TA=S;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=T;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=Y;MT=Variable	not available	not available
Sample 3	Oryza sativa	Shoot	not available	not applicable	not applicable	3	run 3	 japonica	PXD005241	Rice_phos_ shoot meristem_TiO2_25per_F3_R1.raw.raw	https://www.ebi.ac.uk/pride/archive/projects/PXD005241/Rice_phos_ shoot meristem_TiO2_25per_F3_R1.raw.raw	1	1	NT=label free sample	AC=MS:1001911;NT=Q Exactive	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;MT=Variable;PP=Protein N-term;AC=UNIMOD:1	NT=Phospho;AC=UNIMOD:21;TA=S;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=T;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=Y;MT=Variable	not available	not available
Sample 4	Oryza sativa	Callus	not available	not applicable	not applicable	1	run 4	 japonica	PXD005241	Rice_phos_callus_TiO2_25per_F1_R1.raw.raw	https://www.ebi.ac.uk/pride/archive/projects/PXD005241/Rice_phos_callus_TiO2_25per_F1_R1.raw.raw	1	1	NT=label free sample	AC=MS:1001911;NT=Q Exactive	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:36	NT=Acetyl;MT=Variable;PP=Protein N-term;AC=UNIMOD:2	NT=Phospho;AC=UNIMOD:21;TA=S;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=T;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=Y;MT=Variable	not available	not available
Sample 5	Oryza sativa	Callus	not available	not applicable	not applicable	2	run 5	 japonica	PXD005241	Rice_phos_callus_TiO2_25per_F2_R1.raw.raw	https://www.ebi.ac.uk/pride/archive/projects/PXD005241/Rice_phos_callus_TiO2_25per_F2_R1.raw.raw	1	1	NT=label free sample	AC=MS:1001911;NT=Q Exactive	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:37	NT=Acetyl;MT=Variable;PP=Protein N-term;AC=UNIMOD:3	NT=Phospho;AC=UNIMOD:21;TA=S;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=T;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=Y;MT=Variable	not available	not available
Sample 6	Oryza sativa	Callus	not available	not applicable	not applicable	3	run 6	 japonica	PXD005241	Rice_phos_callus_TiO2_25per_F3_R1.raw.raw	https://www.ebi.ac.uk/pride/archive/projects/PXD005241/Rice_phos_callus_TiO2_25per_F3_R1.raw.raw	1	1	NT=label free sample	AC=MS:1001911;NT=Q Exactive	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:38	NT=Acetyl;MT=Variable;PP=Protein N-term;AC=UNIMOD:4	NT=Phospho;AC=UNIMOD:21;TA=S;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=T;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=Y;MT=Variable	not available	not available
Sample 7	Oryza sativa	Leaf	not available	not applicable	not applicable	1	run 7	 japonica	PXD005241	Rice_phos_leaf_TiO2_25per_F1_R1.raw.raw	https://www.ebi.ac.uk/pride/archive/projects/PXD005241/Rice_phos_leaf_TiO2_25per_F1_R1.raw.raw	1	1	NT=label free sample	AC=MS:1001911;NT=Q Exactive	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:39	NT=Acetyl;MT=Variable;PP=Protein N-term;AC=UNIMOD:5	NT=Phospho;AC=UNIMOD:21;TA=S;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=T;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=Y;MT=Variable	not available	not available
Sample 8	Oryza sativa	Leaf	not available	not applicable	not applicable	2	run 8	 japonica	PXD005241	Rice_phos_leaf_TiO2_25per_F2_R1.raw.raw	https://www.ebi.ac.uk/pride/archive/projects/PXD005241/Rice_phos_leaf_TiO2_25per_F2_R1.raw.raw	1	1	NT=label free sample	AC=MS:1001911;NT=Q Exactive	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:40	NT=Acetyl;MT=Variable;PP=Protein N-term;AC=UNIMOD:6	NT=Phospho;AC=UNIMOD:21;TA=S;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=T;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=Y;MT=Variable	not available	not available
Sample 9	Oryza sativa	Leaf	not available	not applicable	not applicable	3	run 9	 japonica	PXD005241	Rice_phos_leaf_TiO2_25per_F3_R1.raw.raw	https://www.ebi.ac.uk/pride/archive/projects/PXD005241/Rice_phos_leaf_TiO2_25per_F3_R1.raw.raw	1	1	NT=label free sample	AC=MS:1001911;NT=Q Exactive	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:41	NT=Acetyl;MT=Variable;PP=Protein N-term;AC=UNIMOD:7	NT=Phospho;AC=UNIMOD:21;TA=S;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=T;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=Y;MT=Variable	not available	not available
Sample 10	Oryza sativa	Panicles	Mature	not applicable	not applicable	1	run 10	 japonica	PXD005241	Rice_phos_mature panicles_TiO2_25per_F1_R1.raw.raw	https://www.ebi.ac.uk/pride/archive/projects/PXD005241/Rice_phos_mature panicles_TiO2_25per_F1_R1.raw.raw	1	1	NT=label free sample	AC=MS:1001911;NT=Q Exactive	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:42	NT=Acetyl;MT=Variable;PP=Protein N-term;AC=UNIMOD:8	NT=Phospho;AC=UNIMOD:21;TA=S;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=T;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=Y;MT=Variable	not available	not available
