source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[cell line]	characteristics[disease]	characteristics[mass]	characteristics[spiked compound]	characteristics[spiked compound]	characteristics[spiked compound]	characteristics[spiked compound]	characteristics[spiked compound]	characteristics[spiked compound]	characteristics[biological replicate]	material type	assay name	technology type	comment[data file]	comment[file uri]	comment[technical replicate]	comment[fraction identifier]	comment[label]	comment[cleavage agent details]	comment[instrument]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[dissociation method]	comment[collision energy]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	factor value[spiked compound]
Sample 1	Saccharomyces cerevisiae	not applicable	not available	not applicable	not available	200 ng	CT=Protein;QY=65 ng;AC=P01012;CN=Ovalbumin	CT=Protein;QY=55 ng;AC=P68082;CN=Myoglobin	CT=Protein;QY=15 ng;AC=PHKA1;CN=Phosphorylase b	CT=Protein;QY=2 ng;AC=P00722;CN=Beta-Galactosidase	CT=Protein;QY=11 ng;AC=P02769;CN=Bovine Serum Albumin	CT=Protein;QY=10 ng;AC=P00921;CN=Carbonic Anhydrase	1	lysate	run 1	proteomic profiling by mass spectrometry	JD_06232014_sample1-A.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2018/09/PXD010981/JD_06232014_sample1-A.raw	1	1	AC=MS:1002038;NT=label free sample	AC=MS:1001251;NT=Trypsin	AC=MS:1001911;NT=Q Exactive	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:67;PP=Protein N-term;MT=variable	NT=Cyclization;PP=Protein N-term;TA=Q,E;MT=variable	AC=MS:1000422;NT=HCD	27% NCE	10 ppm	0.01 Th	CT=Protein;QY=65 ng;AC=P01012;CN=Ovalbumin
Sample 1	Saccharomyces cerevisiae	not applicable	not available	not applicable	not available	200 ng	CT=Protein;QY=65 ng;AC=P01012;CN=Ovalbumin	CT=Protein;QY=55 ng;AC=P68082;CN=Myoglobin	CT=Protein;QY=15 ng;AC=PHKA1;CN=Phosphorylase b	CT=Protein;QY=2 ng;AC=P00722;CN=Beta-Galactosidase	CT=Protein;QY=11 ng;AC=P02769;CN=Bovine Serum Albumin	CT=Protein;QY=10 ng;AC=P00921;CN=Carbonic Anhydrase	1	lysate	run 2	proteomic profiling by mass spectrometry	JD_06232014_sample1_B.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2018/09/PXD010981/JD_06232014_sample1_B.raw	2	1	AC=MS:1002038;NT=label free sample	AC=MS:1001251;NT=Trypsin	AC=MS:1001911;NT=Q Exactive	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:67;PP=Protein N-term;MT=variable	NT=Cyclization;PP=Protein N-term;TA=Q,E;MT=variable	AC=MS:1000422;NT=HCD	27% NCE	10 ppm	0.01 Th	CT=Protein;QY=65 ng;AC=P01012;CN=Ovalbumin
Sample 1	Saccharomyces cerevisiae	not applicable	not available	not applicable	not available	200 ng	CT=Protein;QY=65 ng;AC=P01012;CN=Ovalbumin	CT=Protein;QY=55 ng;AC=P68082;CN=Myoglobin	CT=Protein;QY=15 ng;AC=PHKA1;CN=Phosphorylase b	CT=Protein;QY=2 ng;AC=P00722;CN=Beta-Galactosidase	CT=Protein;QY=11 ng;AC=P02769;CN=Bovine Serum Albumin	CT=Protein;QY=10 ng;AC=P00921;CN=Carbonic Anhydrase	1	lysate	run 3	proteomic profiling by mass spectrometry	JD_06232014_sample1_C.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2018/09/PXD010981/JD_06232014_sample1_C.raw	3	1	AC=MS:1002038;NT=label free sample	AC=MS:1001251;NT=Trypsin	AC=MS:1001911;NT=Q Exactive	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:67;PP=Protein N-term;MT=variable	NT=Cyclization;PP=Protein N-term;TA=Q,E;MT=variable	AC=MS:1000422;NT=HCD	27% NCE	10 ppm	0.01 Th	CT=Protein;QY=65 ng;AC=P01012;CN=Ovalbumin
Sample 2	Saccharomyces cerevisiae	not applicable	not available	not applicable	not available	200 ng	CT=Protein;QY=55 ng;AC=P01012;CN=Ovalbumin	CT=Protein;QY=15 ng;AC=P68082;CN=Myoglobin	CT=Protein;QY=2 ng;AC=PHKA1;CN=Phosphorylase b	CT=Protein;QY=65 ng;AC=P00722;CN=Beta-Galactosidase	CT=Protein;QY=0.6 ng;AC=P02769;CN=Bovine Serum Albumin	CT=Protein;QY=500 ng;AC=P00921;CN=Carbonic Anhydrase	1	lysate	run 4	proteomic profiling by mass spectrometry	JD_06232014_sample2_A.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2018/09/PXD010981/JD_06232014_sample2_A.raw	1	1	AC=MS:1002038;NT=label free sample	AC=MS:1001251;NT=Trypsin	AC=MS:1001911;NT=Q Exactive	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:67;PP=Protein N-term;MT=variable	NT=Cyclization;PP=Protein N-term;TA=Q,E;MT=variable	AC=MS:1000422;NT=HCD	27% NCE	10 ppm	0.01 Th	CT=Protein;QY=55 ng;AC=P01012;CN=Ovalbumin
Sample 2	Saccharomyces cerevisiae	not applicable	not available	not applicable	not available	200 ng	CT=Protein;QY=55 ng;AC=P01012;CN=Ovalbumin	CT=Protein;QY=15 ng;AC=P68082;CN=Myoglobin	CT=Protein;QY=2 ng;AC=PHKA1;CN=Phosphorylase b	CT=Protein;QY=65 ng;AC=P00722;CN=Beta-Galactosidase	CT=Protein;QY=0.6 ng;AC=P02769;CN=Bovine Serum Albumin	CT=Protein;QY=500 ng;AC=P00921;CN=Carbonic Anhydrase	1	lysate	run 5	proteomic profiling by mass spectrometry	JD_06232014_sample2_B.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2018/09/PXD010981/JD_06232014_sample2_B.raw	2	1	AC=MS:1002038;NT=label free sample	AC=MS:1001251;NT=Trypsin	AC=MS:1001911;NT=Q Exactive	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:67;PP=Protein N-term;MT=variable	NT=Cyclization;PP=Protein N-term;TA=Q,E;MT=variable	AC=MS:1000422;NT=HCD	27% NCE	10 ppm	0.01 Th	CT=Protein;QY=55 ng;AC=P01012;CN=Ovalbumin
Sample 2	Saccharomyces cerevisiae	not applicable	not available	not applicable	not available	200 ng	CT=Protein;QY=55 ng;AC=P01012;CN=Ovalbumin	CT=Protein;QY=15 ng;AC=P68082;CN=Myoglobin	CT=Protein;QY=2 ng;AC=PHKA1;CN=Phosphorylase b	CT=Protein;QY=65 ng;AC=P00722;CN=Beta-Galactosidase	CT=Protein;QY=0.6 ng;AC=P02769;CN=Bovine Serum Albumin	CT=Protein;QY=500 ng;AC=P00921;CN=Carbonic Anhydrase	1	lysate	run 6	proteomic profiling by mass spectrometry	JD_06232014_sample2_C.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2018/09/PXD010981/JD_06232014_sample2_C.raw	3	1	AC=MS:1002038;NT=label free sample	AC=MS:1001251;NT=Trypsin	AC=MS:1001911;NT=Q Exactive	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:67;PP=Protein N-term;MT=variable	NT=Cyclization;PP=Protein N-term;TA=Q,E;MT=variable	AC=MS:1000422;NT=HCD	27% NCE	10 ppm	0.01 Th	CT=Protein;QY=55 ng;AC=P01012;CN=Ovalbumin
Sample 3	Saccharomyces cerevisiae	not applicable	not available	not applicable	not available	200 ng	CT=Protein;QY=15 ng;AC=P01012;CN=Ovalbumin	CT=Protein;QY=2 ng;AC=P68082;CN=Myoglobin	CT=Protein;QY=65 ng;AC=PHKA1;CN=Phosphorylase b	CT=Protein;QY=55 ng;AC=P00722;CN=Beta-Galactosidase	CT=Protein;QY=10 ng;AC=P02769;CN=Bovine Serum Albumin	CT=Protein;QY=11 ng;AC=P00921;CN=Carbonic Anhydrase	1	lysate	run 7	proteomic profiling by mass spectrometry	JD_06232014_sample3_A.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2018/09/PXD010981/JD_06232014_sample3_A.raw	1	1	AC=MS:1002038;NT=label free sample	AC=MS:1001251;NT=Trypsin	AC=MS:1001911;NT=Q Exactive	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:67;PP=Protein N-term;MT=variable	NT=Cyclization;PP=Protein N-term;TA=Q,E;MT=variable	AC=MS:1000422;NT=HCD	27% NCE	10 ppm	0.01 Th	CT=Protein;QY=15 ng;AC=P01012;CN=Ovalbumin
Sample 3	Saccharomyces cerevisiae	not applicable	not available	not applicable	not available	200 ng	CT=Protein;QY=15 ng;AC=P01012;CN=Ovalbumin	CT=Protein;QY=2 ng;AC=P68082;CN=Myoglobin	CT=Protein;QY=65 ng;AC=PHKA1;CN=Phosphorylase b	CT=Protein;QY=55 ng;AC=P00722;CN=Beta-Galactosidase	CT=Protein;QY=10 ng;AC=P02769;CN=Bovine Serum Albumin	CT=Protein;QY=11 ng;AC=P00921;CN=Carbonic Anhydrase	1	lysate	run 8	proteomic profiling by mass spectrometry	JD_06232014_sample3_B.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2018/09/PXD010981/JD_06232014_sample3_B.raw	2	1	AC=MS:1002038;NT=label free sample	AC=MS:1001251;NT=Trypsin	AC=MS:1001911;NT=Q Exactive	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:67;PP=Protein N-term;MT=variable	NT=Cyclization;PP=Protein N-term;TA=Q,E;MT=variable	AC=MS:1000422;NT=HCD	27% NCE	10 ppm	0.01 Th	CT=Protein;QY=15 ng;AC=P01012;CN=Ovalbumin
Sample 3	Saccharomyces cerevisiae	not applicable	not available	not applicable	not available	200 ng	CT=Protein;QY=15 ng;AC=P01012;CN=Ovalbumin	CT=Protein;QY=2 ng;AC=P68082;CN=Myoglobin	CT=Protein;QY=65 ng;AC=PHKA1;CN=Phosphorylase b	CT=Protein;QY=55 ng;AC=P00722;CN=Beta-Galactosidase	CT=Protein;QY=10 ng;AC=P02769;CN=Bovine Serum Albumin	CT=Protein;QY=11 ng;AC=P00921;CN=Carbonic Anhydrase	1	lysate	run 9	proteomic profiling by mass spectrometry	JD_06232014_sample3_C.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2018/09/PXD010981/JD_06232014_sample3_C.raw	3	1	AC=MS:1002038;NT=label free sample	AC=MS:1001251;NT=Trypsin	AC=MS:1001911;NT=Q Exactive	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:67;PP=Protein N-term;MT=variable	NT=Cyclization;PP=Protein N-term;TA=Q,E;MT=variable	AC=MS:1000422;NT=HCD	27% NCE	10 ppm	0.01 Th	CT=Protein;QY=15 ng;AC=P01012;CN=Ovalbumin
Sample 4	Saccharomyces cerevisiae	not applicable	not available	not applicable	not available	200 ng	CT=Protein;QY=2 ng;AC=P01012;CN=Ovalbumin	CT=Protein;QY=65 ng;AC=P68082;CN=Myoglobin	CT=Protein;QY=55 ng;AC=PHKA1;CN=Phosphorylase b	CT=Protein;QY=15 ng;AC=P00722;CN=Beta-Galactosidase	CT=Protein;QY=500 ng;AC=P02769;CN=Bovine Serum Albumin	CT=Protein;QY=0.6 ng;AC=P00921;CN=Carbonic Anhydrase	1	lysate	run 10	proteomic profiling by mass spectrometry	JD_06232014_sample4-A.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2018/09/PXD010981/JD_06232014_sample4-A.raw	1	1	AC=MS:1002038;NT=label free sample	AC=MS:1001251;NT=Trypsin	AC=MS:1001911;NT=Q Exactive	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:67;PP=Protein N-term;MT=variable	NT=Cyclization;PP=Protein N-term;TA=Q,E;MT=variable	AC=MS:1000422;NT=HCD	27% NCE	10 ppm	0.01 Th	CT=Protein;QY=2 ng;AC=P01012;CN=Ovalbumin
