source name	characteristics[organism]	characteristics[organism part]	characteristics[ancestry category]	characteristics[age]	characteristics[developmental stage]	characteristics[sex]	characteristics[cell line]	characteristics[disease]	characteristics[enrichment process]	characteristics[cell type]	characteristics[biological replicate]	characteristics[material type]	assay name	technology type	comment[technical replicate]	comment[fraction identifier]	comment[file uri]	comment[instrument]	comment[MS2 analyzer type]	comment[label]	comment[cleavage agent details]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[dissociation method]	comment[collision energy]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[proteomics data acquisition method]	comment[data file]	comment[sdrf version]	comment[sdrf template]
Sample 1	Homo sapiens	Colon	not available	not available	not available	not available	CRC cell line DiFi	Colorectal Cancer	enrichment of phosphorylated Protein	not available	1	cell line	run 1	proteomic profiling by mass spectrometry	1	1	https://ftp.pride.ebi.ac.uk/pride/data/archive/2019/12/PXD014565/QEXI22082.raw	NT=Q Exactive;AC=MS:1001911	NT=Orbitrap;AC=MS:1000484	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;TA=M;AC=UNIMOD:35;MT=Variable	NT=Phospho;TA=S,T,Y;AC=UNIMOD:21;MT=variable	NT=HCD;AC=MS:1000422	27 NCE	not available	not available	NT=Data-dependent acquisition;AC=PRIDE:0000627	QEXI22082.raw	v1.1.0	NT=ms-proteomics;version=v1.1.0
Sample 2	Homo sapiens	Colon	not available	not available	not available	not available	CRC cell line DiFi	Colorectal Cancer	enrichment of phosphorylated Protein	not available	1	cell line	run 2	proteomic profiling by mass spectrometry	1	1	https://ftp.pride.ebi.ac.uk/pride/data/archive/2019/12/PXD014565/QEXI22084.raw	NT=Q Exactive;AC=MS:1001911	NT=Orbitrap;AC=MS:1000484	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;TA=M;AC=UNIMOD:35;MT=Variable	NT=Phospho;TA=S,T,Y;AC=UNIMOD:21;MT=variable	NT=HCD;AC=MS:1000422	27 NCE	not available	not available	NT=Data-dependent acquisition;AC=PRIDE:0000627	QEXI22084.raw	v1.1.0	NT=ms-proteomics;version=v1.1.0
Sample 3	Homo sapiens	Colon	not available	not available	not available	not available	CRC cell line DiFi	Colorectal Cancer	enrichment of phosphorylated Protein	not available	1	cell line	run 3	proteomic profiling by mass spectrometry	1	1	https://ftp.pride.ebi.ac.uk/pride/data/archive/2019/12/PXD014565/QEXI22086.raw	NT=Q Exactive;AC=MS:1001911	NT=Orbitrap;AC=MS:1000484	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;TA=M;AC=UNIMOD:35;MT=Variable	NT=Phospho;TA=S,T,Y;AC=UNIMOD:21;MT=variable	NT=HCD;AC=MS:1000422	27 NCE	not available	not available	NT=Data-dependent acquisition;AC=PRIDE:0000627	QEXI22086.raw	v1.1.0	NT=ms-proteomics;version=v1.1.0
Sample 4	Homo sapiens	Colon	not available	not available	not available	not available	CRC cell line DiFi	Colorectal Cancer	enrichment of phosphorylated Protein	not available	1	cell line	run 4	proteomic profiling by mass spectrometry	1	1	https://ftp.pride.ebi.ac.uk/pride/data/archive/2019/12/PXD014565/QEXI22088.raw	NT=Q Exactive;AC=MS:1001911	NT=Orbitrap;AC=MS:1000484	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;TA=M;AC=UNIMOD:35;MT=Variable	NT=Phospho;TA=S,T,Y;AC=UNIMOD:21;MT=variable	NT=HCD;AC=MS:1000422	27 NCE	not available	not available	NT=Data-dependent acquisition;AC=PRIDE:0000627	QEXI22088.raw	v1.1.0	NT=ms-proteomics;version=v1.1.0
Sample 5	Homo sapiens	Colon	not available	not available	not available	not available	CRC cell line DiFi	Colorectal Cancer	enrichment of phosphorylated Protein	not available	1	cell line	run 5	proteomic profiling by mass spectrometry	1	1	https://ftp.pride.ebi.ac.uk/pride/data/archive/2019/12/PXD014565/QEXI22090.raw	NT=Q Exactive;AC=MS:1001911	NT=Orbitrap;AC=MS:1000484	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;TA=M;AC=UNIMOD:35;MT=Variable	NT=Phospho;TA=S,T,Y;AC=UNIMOD:21;MT=variable	NT=HCD;AC=MS:1000422	27 NCE	not available	not available	NT=Data-dependent acquisition;AC=PRIDE:0000627	QEXI22090.raw	v1.1.0	NT=ms-proteomics;version=v1.1.0
Sample 6	Homo sapiens	Colon	not available	not available	not available	not available	CRC cell line DiFi	Colorectal Cancer	enrichment of phosphorylated Protein	not available	1	cell line	run 6	proteomic profiling by mass spectrometry	1	1	https://ftp.pride.ebi.ac.uk/pride/data/archive/2019/12/PXD014565/QEXI22092.raw	NT=Q Exactive;AC=MS:1001911	NT=Orbitrap;AC=MS:1000484	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;TA=M;AC=UNIMOD:35;MT=Variable	NT=Phospho;TA=S,T,Y;AC=UNIMOD:21;MT=variable	NT=HCD;AC=MS:1000422	27 NCE	not available	not available	NT=Data-dependent acquisition;AC=PRIDE:0000627	QEXI22092.raw	v1.1.0	NT=ms-proteomics;version=v1.1.0
Sample 7	Homo sapiens	Colon	not available	not available	not available	not available	CRC cell line DiFi	Colorectal Cancer	enrichment of phosphorylated Protein	not available	1	cell line	run 7	proteomic profiling by mass spectrometry	1	1	https://ftp.pride.ebi.ac.uk/pride/data/archive/2019/12/PXD014565/QEXI22094.raw	NT=Q Exactive;AC=MS:1001911	NT=Orbitrap;AC=MS:1000484	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;TA=M;AC=UNIMOD:35;MT=Variable	NT=Phospho;TA=S,T,Y;AC=UNIMOD:21;MT=variable	NT=HCD;AC=MS:1000422	27 NCE	not available	not available	NT=Data-dependent acquisition;AC=PRIDE:0000627	QEXI22094.raw	v1.1.0	NT=ms-proteomics;version=v1.1.0
Sample 8	Homo sapiens	Colon	not available	not available	not available	not available	CRC cell line DiFi	Colorectal Cancer	enrichment of phosphorylated Protein	not available	1	cell line	run 8	proteomic profiling by mass spectrometry	1	1	https://ftp.pride.ebi.ac.uk/pride/data/archive/2019/12/PXD014565/QEXI22096.raw	NT=Q Exactive;AC=MS:1001911	NT=Orbitrap;AC=MS:1000484	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;TA=M;AC=UNIMOD:35;MT=Variable	NT=Phospho;TA=S,T,Y;AC=UNIMOD:21;MT=variable	NT=HCD;AC=MS:1000422	27 NCE	not available	not available	NT=Data-dependent acquisition;AC=PRIDE:0000627	QEXI22096.raw	v1.1.0	NT=ms-proteomics;version=v1.1.0
Sample 9	Homo sapiens	Colon	not available	not available	not available	not available	CRC cell line DiFi	Colorectal Cancer	enrichment of phosphorylated Protein	not available	1	cell line	run 9	proteomic profiling by mass spectrometry	1	1	https://ftp.pride.ebi.ac.uk/pride/data/archive/2019/12/PXD014565/QEXI22098.raw	NT=Q Exactive;AC=MS:1001911	NT=Orbitrap;AC=MS:1000484	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;TA=M;AC=UNIMOD:35;MT=Variable	NT=Phospho;TA=S,T,Y;AC=UNIMOD:21;MT=variable	NT=HCD;AC=MS:1000422	27 NCE	not available	not available	NT=Data-dependent acquisition;AC=PRIDE:0000627	QEXI22098.raw	v1.1.0	NT=ms-proteomics;version=v1.1.0
Sample 10	Homo sapiens	Colon	not available	not available	not available	not available	CRC cell line DiFi	Colorectal Cancer	enrichment of phosphorylated Protein	not available	1	cell line	run 10	proteomic profiling by mass spectrometry	1	1	https://ftp.pride.ebi.ac.uk/pride/data/archive/2019/12/PXD014565/QEXI22100.raw	NT=Q Exactive;AC=MS:1001911	NT=Orbitrap;AC=MS:1000484	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;TA=M;AC=UNIMOD:35;MT=Variable	NT=Phospho;TA=S,T,Y;AC=UNIMOD:21;MT=variable	NT=HCD;AC=MS:1000422	27 NCE	not available	not available	NT=Data-dependent acquisition;AC=PRIDE:0000627	QEXI22100.raw	v1.1.0	NT=ms-proteomics;version=v1.1.0
Sample 11	Homo sapiens	Colon	not available	not available	not available	not available	CRC cell line DiFi	Colorectal Cancer	enrichment of phosphorylated Protein	not available	1	cell line	run 11	proteomic profiling by mass spectrometry	1	1	https://ftp.pride.ebi.ac.uk/pride/data/archive/2019/12/PXD014565/QEXI22102.raw	NT=Q Exactive;AC=MS:1001911	NT=Orbitrap;AC=MS:1000484	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;TA=M;AC=UNIMOD:35;MT=Variable	NT=Phospho;TA=S,T,Y;AC=UNIMOD:21;MT=variable	NT=HCD;AC=MS:1000422	27 NCE	not available	not available	NT=Data-dependent acquisition;AC=PRIDE:0000627	QEXI22102.raw	v1.1.0	NT=ms-proteomics;version=v1.1.0
Sample 12	Homo sapiens	Colon	not available	not available	not available	not available	CRC cell line DiFi	Colorectal Cancer	enrichment of phosphorylated Protein	not available	1	cell line	run 12	proteomic profiling by mass spectrometry	1	1	https://ftp.pride.ebi.ac.uk/pride/data/archive/2019/12/PXD014565/QEXI22104.raw	NT=Q Exactive;AC=MS:1001911	NT=Orbitrap;AC=MS:1000484	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;TA=M;AC=UNIMOD:35;MT=Variable	NT=Phospho;TA=S,T,Y;AC=UNIMOD:21;MT=variable	NT=HCD;AC=MS:1000422	27 NCE	not available	not available	NT=Data-dependent acquisition;AC=PRIDE:0000627	QEXI22104.raw	v1.1.0	NT=ms-proteomics;version=v1.1.0
Sample 13	Homo sapiens	Colon	not available	not available	not available	not available	CRC cell line DiFi	Colorectal Cancer	enrichment of phosphorylated Protein	not available	1	cell line	run 13	proteomic profiling by mass spectrometry	1	1	https://ftp.pride.ebi.ac.uk/pride/data/archive/2019/12/PXD014565/QEXI22108.raw	NT=Q Exactive;AC=MS:1001911	NT=Orbitrap;AC=MS:1000484	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;TA=M;AC=UNIMOD:35;MT=Variable	NT=Phospho;TA=S,T,Y;AC=UNIMOD:21;MT=variable	NT=HCD;AC=MS:1000422	27 NCE	not available	not available	NT=Data-dependent acquisition;AC=PRIDE:0000627	QEXI22108.raw	v1.1.0	NT=ms-proteomics;version=v1.1.0
Sample 14	Homo sapiens	Colon	not available	not available	not available	not available	CRC cell line DiFi	Colorectal Cancer	enrichment of phosphorylated Protein	not available	1	cell line	run 14	proteomic profiling by mass spectrometry	1	1	https://ftp.pride.ebi.ac.uk/pride/data/archive/2019/12/PXD014565/QEXI22110.raw	NT=Q Exactive;AC=MS:1001911	NT=Orbitrap;AC=MS:1000484	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;TA=M;AC=UNIMOD:35;MT=Variable	NT=Phospho;TA=S,T,Y;AC=UNIMOD:21;MT=variable	NT=HCD;AC=MS:1000422	27 NCE	not available	not available	NT=Data-dependent acquisition;AC=PRIDE:0000627	QEXI22110.raw	v1.1.0	NT=ms-proteomics;version=v1.1.0
Sample 15	Homo sapiens	Colon	not available	not available	not available	not available	CRC cell line DiFi	Colorectal Cancer	enrichment of phosphorylated Protein	not available	1	cell line	run 15	proteomic profiling by mass spectrometry	1	1	https://ftp.pride.ebi.ac.uk/pride/data/archive/2019/12/PXD014565/QEXI22112.raw	NT=Q Exactive;AC=MS:1001911	NT=Orbitrap;AC=MS:1000484	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;TA=M;AC=UNIMOD:35;MT=Variable	NT=Phospho;TA=S,T,Y;AC=UNIMOD:21;MT=variable	NT=HCD;AC=MS:1000422	27 NCE	not available	not available	NT=Data-dependent acquisition;AC=PRIDE:0000627	QEXI22112.raw	v1.1.0	NT=ms-proteomics;version=v1.1.0
Sample 16	Homo sapiens	Colon	not available	not available	not available	not available	CRC cell line DiFi	Colorectal Cancer	enrichment of phosphorylated Protein	not available	1	cell line	run 16	proteomic profiling by mass spectrometry	1	1	https://ftp.pride.ebi.ac.uk/pride/data/archive/2019/12/PXD014565/QEXI22114.raw	NT=Q Exactive;AC=MS:1001911	NT=Orbitrap;AC=MS:1000484	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;TA=M;AC=UNIMOD:35;MT=Variable	NT=Phospho;TA=S,T,Y;AC=UNIMOD:21;MT=variable	NT=HCD;AC=MS:1000422	27 NCE	not available	not available	NT=Data-dependent acquisition;AC=PRIDE:0000627	QEXI22114.raw	v1.1.0	NT=ms-proteomics;version=v1.1.0
Sample 17	Homo sapiens	Colon	not available	not available	not available	not available	CRC cell line DiFi	Colorectal Cancer	enrichment of phosphorylated Protein	not available	1	cell line	run 17	proteomic profiling by mass spectrometry	1	1	https://ftp.pride.ebi.ac.uk/pride/data/archive/2019/12/PXD014565/QEXI22116.raw	NT=Q Exactive;AC=MS:1001911	NT=Orbitrap;AC=MS:1000484	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;TA=M;AC=UNIMOD:35;MT=Variable	NT=Phospho;TA=S,T,Y;AC=UNIMOD:21;MT=variable	NT=HCD;AC=MS:1000422	27 NCE	not available	not available	NT=Data-dependent acquisition;AC=PRIDE:0000627	QEXI22116.raw	v1.1.0	NT=ms-proteomics;version=v1.1.0
Sample 18	Homo sapiens	Colon	not available	not available	not available	not available	CRC cell line DiFi	Colorectal Cancer	enrichment of phosphorylated Protein	not available	1	cell line	run 18	proteomic profiling by mass spectrometry	1	1	https://ftp.pride.ebi.ac.uk/pride/data/archive/2019/12/PXD014565/QEXI22118.raw	NT=Q Exactive;AC=MS:1001911	NT=Orbitrap;AC=MS:1000484	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;TA=M;AC=UNIMOD:35;MT=Variable	NT=Phospho;TA=S,T,Y;AC=UNIMOD:21;MT=variable	NT=HCD;AC=MS:1000422	27 NCE	not available	not available	NT=Data-dependent acquisition;AC=PRIDE:0000627	QEXI22118.raw	v1.1.0	NT=ms-proteomics;version=v1.1.0
Sample 19	Homo sapiens	Colon	not available	not available	not available	not available	CRC cell line DiFi	Colorectal Cancer	enrichment of phosphorylated Protein	not available	1	cell line	run 19	proteomic profiling by mass spectrometry	1	1	https://ftp.pride.ebi.ac.uk/pride/data/archive/2019/12/PXD014565/QEXI22120.raw	NT=Q Exactive;AC=MS:1001911	NT=Orbitrap;AC=MS:1000484	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;TA=M;AC=UNIMOD:35;MT=Variable	NT=Phospho;TA=S,T,Y;AC=UNIMOD:21;MT=variable	NT=HCD;AC=MS:1000422	27 NCE	not available	not available	NT=Data-dependent acquisition;AC=PRIDE:0000627	QEXI22120.raw	v1.1.0	NT=ms-proteomics;version=v1.1.0
Sample 20	Homo sapiens	Colon	not available	not available	not available	not available	CRC cell line DiFi	Colorectal Cancer	enrichment of phosphorylated Protein	not available	1	cell line	run 20	proteomic profiling by mass spectrometry	1	1	https://ftp.pride.ebi.ac.uk/pride/data/archive/2019/12/PXD014565/QEXI22122.raw	NT=Q Exactive;AC=MS:1001911	NT=Orbitrap;AC=MS:1000484	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;TA=M;AC=UNIMOD:35;MT=Variable	NT=Phospho;TA=S,T,Y;AC=UNIMOD:21;MT=variable	NT=HCD;AC=MS:1000422	27 NCE	not available	not available	NT=Data-dependent acquisition;AC=PRIDE:0000627	QEXI22122.raw	v1.1.0	NT=ms-proteomics;version=v1.1.0
Sample 21	Homo sapiens	Colon	not available	not available	not available	not available	CRC cell line DiFi	Colorectal Cancer	enrichment of phosphorylated Protein	not available	1	cell line	run 21	proteomic profiling by mass spectrometry	1	1	https://ftp.pride.ebi.ac.uk/pride/data/archive/2019/12/PXD014565/QEXI22124.raw	NT=Q Exactive;AC=MS:1001911	NT=Orbitrap;AC=MS:1000484	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;TA=M;AC=UNIMOD:35;MT=Variable	NT=Phospho;TA=S,T,Y;AC=UNIMOD:21;MT=variable	NT=HCD;AC=MS:1000422	27 NCE	not available	not available	NT=Data-dependent acquisition;AC=PRIDE:0000627	QEXI22124.raw	v1.1.0	NT=ms-proteomics;version=v1.1.0
Sample 22	Homo sapiens	Colon	not available	not available	not available	not available	CRC cell line DiFi	Colorectal Cancer	enrichment of phosphorylated Protein	not available	1	cell line	run 22	proteomic profiling by mass spectrometry	1	1	https://ftp.pride.ebi.ac.uk/pride/data/archive/2019/12/PXD014565/QEXI22126.raw	NT=Q Exactive;AC=MS:1001911	NT=Orbitrap;AC=MS:1000484	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;TA=M;AC=UNIMOD:35;MT=Variable	NT=Phospho;TA=S,T,Y;AC=UNIMOD:21;MT=variable	NT=HCD;AC=MS:1000422	27 NCE	not available	not available	NT=Data-dependent acquisition;AC=PRIDE:0000627	QEXI22126.raw	v1.1.0	NT=ms-proteomics;version=v1.1.0
