source name	characteristics[organism]	characteristics[organism part]	characteristics[disease]	characteristics[cell type]	characteristics[biological replicate]	assay name	comment[fraction identifier]	comment[technical replicate]	comment[Instrument]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[dissociation method]	comment[data file]	comment[cleavage agent details]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]
PXD004724_QEXI12219	Homo sapiens	Continuous cell line HepAD38 exosome	not avalaible	not avalaible	1	not avalaible	not avalaible	not avalaible	not avalaible	4.5 ppm	20 ppm	NT=HCD	QEXI12219.mgf	NT=Trypsin/P;AC=MS:1001313;CS=(?<=[KR])	NT=Oxidation;AC=UNIMOD:35;CF=O(1);MT=Fixed;TA=M;MM=15.994915	NT=Propionamide;AC=UNIMOD:24;CF=C(3)H(5)N(1)O(1);MT=Fixed;TA=C;MM=71.037114	NT=Oxidation;AC=UNIMOD:35;CF=O(1);MT=Variable;TA=M;MM=15.994915	NT=Propionamide;AC=UNIMOD:24;CF=C(3)H(5)N(1)O(1);MT=Variable;TA=C;MM=71.037114
PXD004724_QEXI12223	Homo sapiens	Continuous cell line HepAD38 exosome	not avalaible	not avalaible	1	not avalaible	not avalaible	not avalaible	not avalaible	4.5 ppm	20 ppm	NT=HCD	QEXI12223.mgf	NT=Trypsin/P;AC=MS:1001313;CS=(?<=[KR])	NT=Oxidation;AC=UNIMOD:35;CF=O(1);MT=Fixed;TA=M;MM=15.994915	NT=Propionamide;AC=UNIMOD:24;CF=C(3)H(5)N(1)O(1);MT=Fixed;TA=C;MM=71.037114	NT=Oxidation;AC=UNIMOD:35;CF=O(1);MT=Variable;TA=M;MM=15.994915	NT=Propionamide;AC=UNIMOD:24;CF=C(3)H(5)N(1)O(1);MT=Variable;TA=C;MM=71.037114
PXD004724_QEXI12227	Homo sapiens	Continuous cell line HepAD38 exosome	not avalaible	not avalaible	1	not avalaible	not avalaible	not avalaible	not avalaible	4.5 ppm	20 ppm	NT=HCD	QEXI12227.mgf	NT=Trypsin/P;AC=MS:1001313;CS=(?<=[KR])	NT=Oxidation;AC=UNIMOD:35;CF=O(1);MT=Fixed;TA=M;MM=15.994915	NT=Propionamide;AC=UNIMOD:24;CF=C(3)H(5)N(1)O(1);MT=Fixed;TA=C;MM=71.037114	NT=Oxidation;AC=UNIMOD:35;CF=O(1);MT=Variable;TA=M;MM=15.994915	NT=Propionamide;AC=UNIMOD:24;CF=C(3)H(5)N(1)O(1);MT=Variable;TA=C;MM=71.037114
PXD004724_QEXI12231	Homo sapiens	Continuous cell line HepAD38 exosome	not avalaible	not avalaible	1	not avalaible	not avalaible	not avalaible	not avalaible	4.5 ppm	20 ppm	NT=HCD	QEXI12231.mgf	NT=Trypsin/P;AC=MS:1001313;CS=(?<=[KR])	NT=Oxidation;AC=UNIMOD:35;CF=O(1);MT=Fixed;TA=M;MM=15.994915	NT=Propionamide;AC=UNIMOD:24;CF=C(3)H(5)N(1)O(1);MT=Fixed;TA=C;MM=71.037114	NT=Oxidation;AC=UNIMOD:35;CF=O(1);MT=Variable;TA=M;MM=15.994915	NT=Propionamide;AC=UNIMOD:24;CF=C(3)H(5)N(1)O(1);MT=Variable;TA=C;MM=71.037114
PXD004724_QEXI12235	Homo sapiens	Continuous cell line HepAD38 exosome	not avalaible	not avalaible	1	not avalaible	not avalaible	not avalaible	not avalaible	4.5 ppm	20 ppm	NT=HCD	QEXI12235.mgf	NT=Trypsin/P;AC=MS:1001313;CS=(?<=[KR])	NT=Oxidation;AC=UNIMOD:35;CF=O(1);MT=Fixed;TA=M;MM=15.994915	NT=Propionamide;AC=UNIMOD:24;CF=C(3)H(5)N(1)O(1);MT=Fixed;TA=C;MM=71.037114	NT=Oxidation;AC=UNIMOD:35;CF=O(1);MT=Variable;TA=M;MM=15.994915	NT=Propionamide;AC=UNIMOD:24;CF=C(3)H(5)N(1)O(1);MT=Variable;TA=C;MM=71.037114
PXD004724_QEXI12239	Homo sapiens	Continuous cell line HepAD38 exosome	not avalaible	not avalaible	1	not avalaible	not avalaible	not avalaible	not avalaible	4.5 ppm	20 ppm	NT=HCD	QEXI12239.mgf	NT=Trypsin/P;AC=MS:1001313;CS=(?<=[KR])	NT=Oxidation;AC=UNIMOD:35;CF=O(1);MT=Fixed;TA=M;MM=15.994915	NT=Propionamide;AC=UNIMOD:24;CF=C(3)H(5)N(1)O(1);MT=Fixed;TA=C;MM=71.037114	NT=Oxidation;AC=UNIMOD:35;CF=O(1);MT=Variable;TA=M;MM=15.994915	NT=Propionamide;AC=UNIMOD:24;CF=C(3)H(5)N(1)O(1);MT=Variable;TA=C;MM=71.037114
PXD004724_QEXI12243	Homo sapiens	Continuous cell line HepAD38 exosome	not avalaible	not avalaible	1	not avalaible	not avalaible	not avalaible	not avalaible	4.5 ppm	20 ppm	NT=HCD	QEXI12243.mgf	NT=Trypsin/P;AC=MS:1001313;CS=(?<=[KR])	NT=Oxidation;AC=UNIMOD:35;CF=O(1);MT=Fixed;TA=M;MM=15.994915	NT=Propionamide;AC=UNIMOD:24;CF=C(3)H(5)N(1)O(1);MT=Fixed;TA=C;MM=71.037114	NT=Oxidation;AC=UNIMOD:35;CF=O(1);MT=Variable;TA=M;MM=15.994915	NT=Propionamide;AC=UNIMOD:24;CF=C(3)H(5)N(1)O(1);MT=Variable;TA=C;MM=71.037114
PXD004724_QEXI12247	Homo sapiens	Continuous cell line HepAD38 exosome	not avalaible	not avalaible	1	not avalaible	not avalaible	not avalaible	not avalaible	4.5 ppm	20 ppm	NT=HCD	QEXI12247.mgf	NT=Trypsin/P;AC=MS:1001313;CS=(?<=[KR])	NT=Oxidation;AC=UNIMOD:35;CF=O(1);MT=Fixed;TA=M;MM=15.994915	NT=Propionamide;AC=UNIMOD:24;CF=C(3)H(5)N(1)O(1);MT=Fixed;TA=C;MM=71.037114	NT=Oxidation;AC=UNIMOD:35;CF=O(1);MT=Variable;TA=M;MM=15.994915	NT=Propionamide;AC=UNIMOD:24;CF=C(3)H(5)N(1)O(1);MT=Variable;TA=C;MM=71.037114
PXD004724_QEXI12251	Homo sapiens	Continuous cell line HepAD38 exosome	not avalaible	not avalaible	1	not avalaible	not avalaible	not avalaible	not avalaible	4.5 ppm	20 ppm	NT=HCD	QEXI12251.mgf	NT=Trypsin/P;AC=MS:1001313;CS=(?<=[KR])	NT=Oxidation;AC=UNIMOD:35;CF=O(1);MT=Fixed;TA=M;MM=15.994915	NT=Propionamide;AC=UNIMOD:24;CF=C(3)H(5)N(1)O(1);MT=Fixed;TA=C;MM=71.037114	NT=Oxidation;AC=UNIMOD:35;CF=O(1);MT=Variable;TA=M;MM=15.994915	NT=Propionamide;AC=UNIMOD:24;CF=C(3)H(5)N(1)O(1);MT=Variable;TA=C;MM=71.037114
PXD004724_QEXI12255	Homo sapiens	Continuous cell line HepAD38 exosome	not avalaible	not avalaible	1	not avalaible	not avalaible	not avalaible	not avalaible	4.5 ppm	20 ppm	NT=HCD	QEXI12255.mgf	NT=Trypsin/P;AC=MS:1001313;CS=(?<=[KR])	NT=Oxidation;AC=UNIMOD:35;CF=O(1);MT=Fixed;TA=M;MM=15.994915	NT=Propionamide;AC=UNIMOD:24;CF=C(3)H(5)N(1)O(1);MT=Fixed;TA=C;MM=71.037114	NT=Oxidation;AC=UNIMOD:35;CF=O(1);MT=Variable;TA=M;MM=15.994915	NT=Propionamide;AC=UNIMOD:24;CF=C(3)H(5)N(1)O(1);MT=Variable;TA=C;MM=71.037114
