Source Name	Characteristics[organism]	Characteristics[organism part]	Characteristics[age]	Characteristics[developmental stage]	Characteristics[ancestry category]	Characteristics[cell line]	Characteristics[cell type]	Characteristics[sex]	Characteristics[disease]	Characteristics[enrichment method]	Characteristics[enrichment process]	Characteristics[synthetic peptide]	assay name	comment[data file]	comment[file uri]	comment[fraction identifier]	comment[label]	comment[cleavage agent details]	comment[instrument]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[dissociation method]	comment[collision energy]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	Factor Value[enrichment method]	Factor Value[enrichment process]
Sample 1	Homo sapiens	membrane proteins	39Y	adult	Chinese	MHCC97L	not available	male	hepatocellular carcinoma (HCC)	ultracentrifugation	enrichment of membrane protein	not synthetic	run 1	ES_XP_Membrane_97L_214.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/07/PXD002255/ES_XP_Membrane_97L_214.raw	1	AC=MS:1002038;NT=label free sample	AC=MS:1001251;NT=Trypsin	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	"NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21"	AC=MS:1000422;NT=HCD	40% NCE	not available	not available	ultracentrifugation	enrichment of membrane protein
Sample 2	Homo sapiens	membrane proteins	39Y	adult	Chinese	MHCC97L	not available	male	hepatocellular carcinoma (HCC)	ultracentrifugation	enrichment of membrane protein	not synthetic	run 2	ES_XP_Membrane_97L_215.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/07/PXD002255/ES_XP_Membrane_97L_215.raw	1	AC=MS:1002038;NT=label free sample	AC=MS:1001251;NT=Trypsin	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	"NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21"	AC=MS:1000422;NT=HCD	40% NCE	not available	not available	ultracentrifugation	enrichment of membrane protein
Sample 3	Homo sapiens	membrane proteins	39Y	adult	Chinese	MHCC97L	not available	male	hepatocellular carcinoma (HCC)	ultracentrifugation	enrichment of membrane protein	not synthetic	run 3	ES_XP_Membrane_97L_216.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/07/PXD002255/ES_XP_Membrane_97L_216.raw	1	AC=MS:1002038;NT=label free sample	AC=MS:1001251;NT=Trypsin	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	"NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21"	AC=MS:1000422;NT=HCD	40% NCE	not available	not available	ultracentrifugation	enrichment of membrane protein
Sample 4	Homo sapiens	membrane proteins	39Y	adult	Chinese	MHCC97L	not available	male	hepatocellular carcinoma (HCC)	ultracentrifugation	enrichment of membrane protein	not synthetic	run 4	ES_XP_Membrane_97L_217.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/07/PXD002255/ES_XP_Membrane_97L_217.raw	1	AC=MS:1002038;NT=label free sample	AC=MS:1001251;NT=Trypsin	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	"NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21"	AC=MS:1000422;NT=HCD	40% NCE	not available	not available	ultracentrifugation	enrichment of membrane protein
Sample 5	Homo sapiens	membrane proteins	39Y	adult	Chinese	MHCC97L	not available	male	hepatocellular carcinoma (HCC)	ultracentrifugation	enrichment of membrane protein	not synthetic	run 5	ES_XP_Membrane_97L_218.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/07/PXD002255/ES_XP_Membrane_97L_218.raw	1	AC=MS:1002038;NT=label free sample	AC=MS:1001251;NT=Trypsin	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	"NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21"	AC=MS:1000422;NT=HCD	40% NCE	not available	not available	ultracentrifugation	enrichment of membrane protein
Sample 6	Homo sapiens	membrane proteins	39Y	adult	Chinese	MHCC97L	not available	male	hepatocellular carcinoma (HCC)	ultracentrifugation	enrichment of membrane protein	not synthetic	run 6	ES_XP_Membrane_97L_219.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/07/PXD002255/ES_XP_Membrane_97L_219.raw	1	AC=MS:1002038;NT=label free sample	AC=MS:1001251;NT=Trypsin	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	"NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21"	AC=MS:1000422;NT=HCD	40% NCE	not available	not available	ultracentrifugation	enrichment of membrane protein
Sample 7	Homo sapiens	membrane proteins	39Y	adult	Chinese	MHCC97L	not available	male	hepatocellular carcinoma (HCC)	ultracentrifugation	enrichment of membrane protein	not synthetic	run 7	ES_XP_Membrane_97L_220.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/07/PXD002255/ES_XP_Membrane_97L_220.raw	1	AC=MS:1002038;NT=label free sample	AC=MS:1001251;NT=Trypsin	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	"NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21"	AC=MS:1000422;NT=HCD	40% NCE	not available	not available	ultracentrifugation	enrichment of membrane protein
Sample 8	Homo sapiens	membrane proteins	39Y	adult	Chinese	MHCC97L	not available	male	hepatocellular carcinoma (HCC)	ultracentrifugation	enrichment of membrane protein	not synthetic	run 8	ES_XP_Membrane_97L_221.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/07/PXD002255/ES_XP_Membrane_97L_221.raw	1	AC=MS:1002038;NT=label free sample	AC=MS:1001251;NT=Trypsin	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	"NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21"	AC=MS:1000422;NT=HCD	40% NCE	not available	not available	ultracentrifugation	enrichment of membrane protein
Sample 9	Homo sapiens	membrane proteins	39Y	adult	Chinese	MHCC97L	not available	male	hepatocellular carcinoma (HCC)	ultracentrifugation	enrichment of membrane protein	not synthetic	run 9	ES_XP_Membrane_97L_222.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/07/PXD002255/ES_XP_Membrane_97L_222.raw	1	AC=MS:1002038;NT=label free sample	AC=MS:1001251;NT=Trypsin	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	"NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21"	AC=MS:1000422;NT=HCD	40% NCE	not available	not available	ultracentrifugation	enrichment of membrane protein
Sample 10	Homo sapiens	membrane proteins	39Y	adult	Chinese	MHCC97L	not available	male	hepatocellular carcinoma (HCC)	ultracentrifugation	enrichment of membrane protein	not synthetic	run 10	ES_XP_Membrane_97L_223.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/07/PXD002255/ES_XP_Membrane_97L_223.raw	1	AC=MS:1002038;NT=label free sample	AC=MS:1001251;NT=Trypsin	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	"NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21"	AC=MS:1000422;NT=HCD	40% NCE	not available	not available	ultracentrifugation	enrichment of membrane protein
