source name	characteristics[organism]	characteristics[organism part]	characteristics[disease]	characteristics[cell type]	characteristics[strain]	assay name	Technology Type	comment[data file]	comment[modification identifier]	comment[modification identifier]	comment[fraction identifier]	comment[label]	comment[technical replicate]	comment[instrument]	comment[proteomics data acquisition method]	comment[cleavage agent details]	comment[cleavage agent details]	comment[file uri]	factor value[strain]
Ecoli4ug	Escherichia coli	not available	not available	not available	BW25113	run1	proteomic profiling by mass spectrometry	3-091228-monolith350cm-long40h-Ecoli4ug-1.RAW	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	1	label free sample	1	AC=MS:1000639;NT=LTQ Orbitrap XL ETD	NT=Data-Dependent Acquisition;AC=NCIT:C161785	AC=MS:1001251;NT=Trypsin	NT=Lys-C;AC=MS:1001309	https://repository.jpostdb.org/data/JPST000059.0/3-091228-monolith350cm-long40h-Ecoli4ug-1.RAW	BW25113
Ecoli4ug	Escherichia coli	not available	not available	not available	BW25113	run2	proteomic profiling by mass spectrometry	3-091228-monolith350cm-long40h-Ecoli4ug-2.RAW	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	2	label free sample	1	AC=MS:1000639;NT=LTQ Orbitrap XL ETD	NT=Data-Dependent Acquisition;AC=NCIT:C161785	AC=MS:1001251;NT=Trypsin	NT=Lys-C;AC=MS:1001309	https://repository.jpostdb.org/data/JPST000059.0/3-091228-monolith350cm-long40h-Ecoli4ug-2.RAW	BW25113
Ecoli4ug	Escherichia coli	not available	not available	not available	BW25113	run3	proteomic profiling by mass spectrometry	3-091228-monolith350cm-long40h-Ecoli4ug-3.RAW	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	3	label free sample	1	AC=MS:1000639;NT=LTQ Orbitrap XL ETD	NT=Data-Dependent Acquisition;AC=NCIT:C161785	AC=MS:1001251;NT=Trypsin	NT=Lys-C;AC=MS:1001309	https://repository.jpostdb.org/data/JPST000059.0/3-091228-monolith350cm-long40h-Ecoli4ug-3.RAW	BW25113
Ecoli4ug	Escherichia coli	not available	not available	not available	BW25113	run4	proteomic profiling by mass spectrometry	3-091228-monolith350cm-long40h-Ecoli4ug-4.RAW	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	4	label free sample	1	AC=MS:1000639;NT=LTQ Orbitrap XL ETD	NT=Data-Dependent Acquisition;AC=NCIT:C161785	AC=MS:1001251;NT=Trypsin	NT=Lys-C;AC=MS:1001309	https://repository.jpostdb.org/data/JPST000059.0/3-091228-monolith350cm-long40h-Ecoli4ug-4.RAW	BW25113
Ecoli4ug	Escherichia coli	not available	not available	not available	BW25113	run5	proteomic profiling by mass spectrometry	3-091228-monolith350cm-long40h-Ecoli4ug-5.RAW	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	5	label free sample	1	AC=MS:1000639;NT=LTQ Orbitrap XL ETD	NT=Data-Dependent Acquisition;AC=NCIT:C161785	AC=MS:1001251;NT=Trypsin	NT=Lys-C;AC=MS:1001309	https://repository.jpostdb.org/data/JPST000059.0/3-091228-monolith350cm-long40h-Ecoli4ug-5.RAW	BW25113
Ecoli4ug	Escherichia coli	not available	not available	not available	BW25113	run6	proteomic profiling by mass spectrometry	3-091228-monolith350cm-long40h-Ecoli4ug-6.RAW	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	6	label free sample	1	AC=MS:1000639;NT=LTQ Orbitrap XL ETD	NT=Data-Dependent Acquisition;AC=NCIT:C161785	AC=MS:1001251;NT=Trypsin	NT=Lys-C;AC=MS:1001309	https://repository.jpostdb.org/data/JPST000059.0/3-091228-monolith350cm-long40h-Ecoli4ug-6.RAW	BW25113
Ecoli4ug	Escherichia coli	not available	not available	not available	BW25113	run7	proteomic profiling by mass spectrometry	3-091228-monolith350cm-long40h-Ecoli4ug-7.RAW	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	7	label free sample	1	AC=MS:1000639;NT=LTQ Orbitrap XL ETD	NT=Data-Dependent Acquisition;AC=NCIT:C161785	AC=MS:1001251;NT=Trypsin	NT=Lys-C;AC=MS:1001309	https://repository.jpostdb.org/data/JPST000059.0/3-091228-monolith350cm-long40h-Ecoli4ug-7.RAW	BW25113
Ecoli4ug	Escherichia coli	not available	not available	not available	BW25113	run8	proteomic profiling by mass spectrometry	3-091228-monolith350cm-long40h-Ecoli4ug-8.RAW	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	8	label free sample	1	AC=MS:1000639;NT=LTQ Orbitrap XL ETD	NT=Data-Dependent Acquisition;AC=NCIT:C161785	AC=MS:1001251;NT=Trypsin	NT=Lys-C;AC=MS:1001309	https://repository.jpostdb.org/data/JPST000059.0/3-091228-monolith350cm-long40h-Ecoli4ug-8.RAW	BW25113
Ecoli4ug	Escherichia coli	not available	not available	not available	BW25113	run9	proteomic profiling by mass spectrometry	3-091228-monolith350cm-long40h-Ecoli4ug-9.RAW	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	9	label free sample	1	AC=MS:1000639;NT=LTQ Orbitrap XL ETD	NT=Data-Dependent Acquisition;AC=NCIT:C161785	AC=MS:1001251;NT=Trypsin	NT=Lys-C;AC=MS:1001309	https://repository.jpostdb.org/data/JPST000059.0/3-091228-monolith350cm-long40h-Ecoli4ug-9.RAW	BW25113
Ecoli4ug	Escherichia coli	not available	not available	not available	BW25113	run10	proteomic profiling by mass spectrometry	3-091228-monolith350cm-long40h-Ecoli4ug-10.RAW	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	10	label free sample	1	AC=MS:1000639;NT=LTQ Orbitrap XL ETD	NT=Data-Dependent Acquisition;AC=NCIT:C161785	AC=MS:1001251;NT=Trypsin	NT=Lys-C;AC=MS:1001309	https://repository.jpostdb.org/data/JPST000059.0/3-091228-monolith350cm-long40h-Ecoli4ug-10.RAW	BW25113
