#fileformat=SDRF
#version=v1.1.0
#template=default
#template_version=v1.1.0
source name	characteristics[organism]	characteristics[organism part]	characteristics[strain/breed]	characteristics[disease]	characteristics[cell type]	characteristics[treatment]	characteristics[biological replicate]	characteristics[medium]	characteristics[medium supplements]	characteristics[optical density]	characteristics[growth phase]	assay name	technology type	comment[technical replicate]	comment[proteomics data acquisition method]	comment[data file]	comment[fraction identifier]	comment[label]	comment[instrument]	comment[cleavage agent details]	comment[fragment mass tolerance]	comment[precursor mass tolerance]	comment[reduction reagent]	comment[alkylation reagent]	comment[modification parameters]	comment[dissociation method]	comment[collision energy]	comment[file uri]	factor value[medium supplements]
Sample 1	Escherichia coli	Cell lysate	Escherichia coli str. W0153	Not applicable	Prokaryotic cell	Antibiotic stress	1	Not available	Antibiotics	0.5	Mid exponential phase	Run 1	Proteomic profiling by mass spectrometry	1	NT=Data-dependent acquisition;AC=PRIDE:0000627	1DLC110217QE_antiEcoli_#11_BR1_FASP1_tip1.raw	1	Label free sample	NT=Q Exactive	NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P)	20 ppm	5 ppm	DTT	IAA	NT=Carbamidomethyl;AC=4;CF=H(3) C(2) N O;MM=57.021464;MT=Fixed;PP=Anywhere;TA=['C']	NT=HCD; AC=MS:1002481	27% NCE	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/07/PXD016001/1DLC110217QE_antiEcoli_#11_BR1_FASP1_tip1.raw	Antibiotics
Sample 2	Escherichia coli	Cell lysate	Escherichia coli str. W0153	Not applicable	Prokaryotic cell	Antibiotic stress	1	Not available	Antibiotics	0.5	Mid exponential phase	Run 2	Proteomic profiling by mass spectrometry	1	NT=Data-dependent acquisition;AC=PRIDE:0000627	1DLC110217QE_antiEcoli_#11_BR1_FASP1_tip2.raw	1	Label free sample	NT=Q Exactive	NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P)	20 ppm	5 ppm	DTT	IAA	NT=Carbamidomethyl;AC=4;CF=H(3) C(2) N O;MM=57.021464;MT=Fixed;PP=Anywhere;TA=['C']	NT=HCD; AC=MS:1002481	27% NCE	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/07/PXD016001/1DLC110217QE_antiEcoli_#11_BR1_FASP1_tip2.raw	Antibiotics
Sample 3	Escherichia coli	Cell lysate	Escherichia coli str. W0153	Not applicable	Prokaryotic cell	Antibiotic stress	1	Not available	Antibiotics	0.5	Mid exponential phase	Run 3	Proteomic profiling by mass spectrometry	1	NT=Data-dependent acquisition;AC=PRIDE:0000627	1DLC110217QE_antiEcoli_#11_BR1_FASP2_tip1.raw	1	Label free sample	NT=Q Exactive	NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P)	20 ppm	5 ppm	DTT	IAA	NT=Carbamidomethyl;AC=4;CF=H(3) C(2) N O;MM=57.021464;MT=Fixed;PP=Anywhere;TA=['C']	NT=HCD; AC=MS:1002481	27% NCE	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/07/PXD016001/1DLC110217QE_antiEcoli_#11_BR1_FASP2_tip1.raw	Antibiotics
Sample 4	Escherichia coli	Cell lysate	Escherichia coli str. W0153	Not applicable	Prokaryotic cell	Antibiotic stress	1	Not available	Antibiotics	0.5	Mid exponential phase	Run 4	Proteomic profiling by mass spectrometry	1	NT=Data-dependent acquisition;AC=PRIDE:0000627	1DLC110217QE_antiEcoli_#11_BR1_FASP2_tip2.raw	1	Label free sample	NT=Q Exactive	NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P)	20 ppm	5 ppm	DTT	IAA	NT=Carbamidomethyl;AC=4;CF=H(3) C(2) N O;MM=57.021464;MT=Fixed;PP=Anywhere;TA=['C']	NT=HCD; AC=MS:1002481	27% NCE	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/07/PXD016001/1DLC110217QE_antiEcoli_#11_BR1_FASP2_tip2.raw	Antibiotics
Sample 5	Escherichia coli	Cell lysate	Escherichia coli str. W0153	Not applicable	Prokaryotic cell	Antibiotic stress	1	Not available	Antibiotics	0.5	Mid exponential phase	Run 5	Proteomic profiling by mass spectrometry	1	NT=Data-dependent acquisition;AC=PRIDE:0000627	1DLC110217QE_antiEcoli_#11_BR2_FASP1_tip1.raw	1	Label free sample	NT=Q Exactive	NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P)	20 ppm	5 ppm	DTT	IAA	NT=Carbamidomethyl;AC=4;CF=H(3) C(2) N O;MM=57.021464;MT=Fixed;PP=Anywhere;TA=['C']	NT=HCD; AC=MS:1002481	27% NCE	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/07/PXD016001/1DLC110217QE_antiEcoli_#11_BR2_FASP1_tip1.raw	Antibiotics
Sample 6	Escherichia coli	Cell lysate	Escherichia coli str. W0153	Not applicable	Prokaryotic cell	Antibiotic stress	1	Not available	Antibiotics	0.5	Mid exponential phase	Run 6	Proteomic profiling by mass spectrometry	1	NT=Data-dependent acquisition;AC=PRIDE:0000627	1DLC110217QE_antiEcoli_#11_BR2_FASP1_tip2.raw	1	Label free sample	NT=Q Exactive	NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P)	20 ppm	5 ppm	DTT	IAA	NT=Carbamidomethyl;AC=4;CF=H(3) C(2) N O;MM=57.021464;MT=Fixed;PP=Anywhere;TA=['C']	NT=HCD; AC=MS:1002481	27% NCE	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/07/PXD016001/1DLC110217QE_antiEcoli_#11_BR2_FASP1_tip2.raw	Antibiotics
Sample 7	Escherichia coli	Cell lysate	Escherichia coli str. W0153	Not applicable	Prokaryotic cell	Antibiotic stress	1	Not available	Antibiotics	0.5	Mid exponential phase	Run 7	Proteomic profiling by mass spectrometry	1	NT=Data-dependent acquisition;AC=PRIDE:0000627	1DLC110217QE_antiEcoli_#11_BR2_FASP2_tip1.raw	1	Label free sample	NT=Q Exactive	NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P)	20 ppm	5 ppm	DTT	IAA	NT=Carbamidomethyl;AC=4;CF=H(3) C(2) N O;MM=57.021464;MT=Fixed;PP=Anywhere;TA=['C']	NT=HCD; AC=MS:1002481	27% NCE	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/07/PXD016001/1DLC110217QE_antiEcoli_#11_BR2_FASP2_tip1.raw	Antibiotics
Sample 8	Escherichia coli	Cell lysate	Escherichia coli str. W0153	Not applicable	Prokaryotic cell	Antibiotic stress	1	Not available	Antibiotics	0.5	Mid exponential phase	Run 8	Proteomic profiling by mass spectrometry	1	NT=Data-dependent acquisition;AC=PRIDE:0000627	1DLC110217QE_antiEcoli_#11_BR2_FASP2_tip2.raw	1	Label free sample	NT=Q Exactive	NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P)	20 ppm	5 ppm	DTT	IAA	NT=Carbamidomethyl;AC=4;CF=H(3) C(2) N O;MM=57.021464;MT=Fixed;PP=Anywhere;TA=['C']	NT=HCD; AC=MS:1002481	27% NCE	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/07/PXD016001/1DLC110217QE_antiEcoli_#11_BR2_FASP2_tip2.raw	Antibiotics
Sample 9	Escherichia coli	Cell lysate	Escherichia coli str. W0153	Not applicable	Prokaryotic cell	Antibiotic stress	1	Not available	Antibiotics	0.5	Mid exponential phase	Run 9	Proteomic profiling by mass spectrometry	1	NT=Data-dependent acquisition;AC=PRIDE:0000627	1DLC110217QE_antiEcoli_#11_BR3_FASP1_tip1.raw	1	Label free sample	NT=Q Exactive	NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P)	20 ppm	5 ppm	DTT	IAA	NT=Carbamidomethyl;AC=4;CF=H(3) C(2) N O;MM=57.021464;MT=Fixed;PP=Anywhere;TA=['C']	NT=HCD; AC=MS:1002481	27% NCE	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/07/PXD016001/1DLC110217QE_antiEcoli_#11_BR3_FASP1_tip1.raw	Antibiotics
Sample 10	Escherichia coli	Cell lysate	Escherichia coli str. W0153	Not applicable	Prokaryotic cell	Antibiotic stress	1	Not available	Antibiotics	0.5	Mid exponential phase	Run 10	Proteomic profiling by mass spectrometry	1	NT=Data-dependent acquisition;AC=PRIDE:0000627	1DLC110217QE_antiEcoli_#11_BR3_FASP1_tip2.raw	1	Label free sample	NT=Q Exactive	NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P)	20 ppm	5 ppm	DTT	IAA	NT=Carbamidomethyl;AC=4;CF=H(3) C(2) N O;MM=57.021464;MT=Fixed;PP=Anywhere;TA=['C']	NT=HCD; AC=MS:1002481	27% NCE	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/07/PXD016001/1DLC110217QE_antiEcoli_#11_BR3_FASP1_tip2.raw	Antibiotics
