source name	characteristics[organism]	characteristics[organism part]	characteristics[developmental stage]	characteristics[disease]	characteristics[age]	characteristics[sex]	characteristics[ancestry category]	characteristics[cell type]	characteristics[cell line]	characteristics[compound]	characteristics[biological replicate]	characteristics[enrichment process]	characteristics[synthetic peptide]	characteristics[sample amount]	assay name	technology type	comment[data file]	comment[file uri]	comment[technical replicate]	comment[fraction identifier]	comment[proteomics data acquisition method]	comment[label]	comment[cleavage agent details]	comment[cleavage agent details]	comment[instrument]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[dissociation method]	comment[collision energy]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[sdrf version]	comment[sdrf template]
Sample 1	Homo sapiens	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	none	not applicable	enrichment of phosphorylated Protein	synthetic	1 μg	run 1	proteomic profiling by mass spectrometry	20181116_QE3_nLC3_AH_SA_PhosTest_DDA_1000xYeast-JPTstySig123_1.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/05/PXD014525/20181116_QE3_nLC3_AH_SA_PhosTest_DDA_1000xYeast-JPTstySig123_1.raw	1	1	NT=Data-dependent acquisition;AC=PRIDE:0000627	AC=MS:1002038;NT=label free sample	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251	AC=MS:1002877;NT=Q Exactive HF-X	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21	NT=Deamidated;MT=variable;TA=N,Q;AC=UNIMOD:7	NT=Gln->pyro-Glu;MT=variable;TA=Q;AC=UNIMOD:28	AC=MS:1000422;NT=HCD	25% NCE	not available	not available	v1.1.0	NT=ms-proteomics;version=v1.1.0
Sample 2	Saccharomyces cerevisiae	not applicable	not available	not available	not available	not available	not applicable	not applicable	not applicable	none	not applicable	enrichment of phosphorylated Protein	not synthetic	1000 μg	run 1	proteomic profiling by mass spectrometry	20181116_QE3_nLC3_AH_SA_PhosTest_DDA_1000xYeast-JPTstySig123_1.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/05/PXD014525/20181116_QE3_nLC3_AH_SA_PhosTest_DDA_1000xYeast-JPTstySig123_1.raw	1	1	NT=Data-dependent acquisition;AC=PRIDE:0000627	AC=MS:1002038;NT=label free sample	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251	AC=MS:1002877;NT=Q Exactive HF-X	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21	NT=Deamidated;MT=variable;TA=N,Q;AC=UNIMOD:7	NT=Gln->pyro-Glu;MT=variable;TA=Q;AC=UNIMOD:28	AC=MS:1000422;NT=HCD	25% NCE	not available	not available	v1.1.0	NT=ms-proteomics;version=v1.1.0
Sample 3	Homo sapiens	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	none	not applicable	enrichment of phosphorylated Protein	synthetic	1 μg	run 2	proteomic profiling by mass spectrometry	20181116_QE3_nLC3_AH_SA_PhosTest_DDA_1000xYeast-JPTstySig123_2.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/05/PXD014525/20181116_QE3_nLC3_AH_SA_PhosTest_DDA_1000xYeast-JPTstySig123_2.raw	2	1	NT=Data-dependent acquisition;AC=PRIDE:0000627	AC=MS:1002038;NT=label free sample	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251	AC=MS:1002877;NT=Q Exactive HF-X	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21	NT=Deamidated;MT=variable;TA=N,Q;AC=UNIMOD:7	NT=Gln->pyro-Glu;MT=variable;TA=Q;AC=UNIMOD:28	AC=MS:1000422;NT=HCD	25% NCE	not available	not available	v1.1.0	NT=ms-proteomics;version=v1.1.0
Sample 4	Saccharomyces cerevisiae	not applicable	not available	not available	not available	not available	not applicable	not applicable	not applicable	none	not applicable	enrichment of phosphorylated Protein	not synthetic	1000 μg	run 2	proteomic profiling by mass spectrometry	20181116_QE3_nLC3_AH_SA_PhosTest_DDA_1000xYeast-JPTstySig123_3.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/05/PXD014525/20181116_QE3_nLC3_AH_SA_PhosTest_DDA_1000xYeast-JPTstySig123_3.raw	2	1	NT=Data-dependent acquisition;AC=PRIDE:0000627	AC=MS:1002039;NT=label free sample	NT=Lys-C;AC=MS:1001310	NT=Trypsin;AC=MS:1001252	AC=MS:1002878;NT=Q Exactive HF-X	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21	NT=Deamidated;MT=variable;TA=N,Q;AC=UNIMOD:7	NT=Gln->pyro-Glu;MT=variable;TA=Q;AC=UNIMOD:28	AC=MS:1000423;NT=HCD	26% NCE	not available	not available	v1.1.0	NT=ms-proteomics;version=v1.1.0
Sample 5	Homo sapiens	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	none	not applicable	enrichment of phosphorylated Protein	synthetic	1 μg	run 3	proteomic profiling by mass spectrometry	20181116_QE3_nLC3_AH_SA_PhosTest_DDA_1000xYeast-JPTstySig123_3.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/05/PXD014525/20181116_QE3_nLC3_AH_SA_PhosTest_DDA_1000xYeast-JPTstySig123_3.raw	3	1	NT=Data-dependent acquisition;AC=PRIDE:0000627	AC=MS:1002038;NT=label free sample	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251	AC=MS:1002877;NT=Q Exactive HF-X	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21	NT=Deamidated;MT=variable;TA=N,Q;AC=UNIMOD:7	NT=Gln->pyro-Glu;MT=variable;TA=Q;AC=UNIMOD:28	AC=MS:1000422;NT=HCD	25% NCE	not available	not available	v1.1.0	NT=ms-proteomics;version=v1.1.0
Sample 6	Saccharomyces cerevisiae	not applicable	not available	not available	not available	not available	not applicable	not applicable	not applicable	none	not applicable	enrichment of phosphorylated Protein	not synthetic	1000 μg	run 3	proteomic profiling by mass spectrometry	20181116_QE3_nLC3_AH_SA_PhosTest_DDA_1000xYeast-JPTstySig123_3.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/05/PXD014525/20181116_QE3_nLC3_AH_SA_PhosTest_DDA_1000xYeast-JPTstySig123_3.raw	3	1	NT=Data-dependent acquisition;AC=PRIDE:0000627	AC=MS:1002038;NT=label free sample	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251	AC=MS:1002877;NT=Q Exactive HF-X	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21	NT=Deamidated;MT=variable;TA=N,Q;AC=UNIMOD:7	NT=Gln->pyro-Glu;MT=variable;TA=Q;AC=UNIMOD:28	AC=MS:1000422;NT=HCD	25% NCE	not available	not available	v1.1.0	NT=ms-proteomics;version=v1.1.0
Sample 7	Homo sapiens	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	none	not applicable	enrichment of phosphorylated Protein	synthetic	1 μg	run 4	proteomic profiling by mass spectrometry	20181116_QE3_nLC3_AH_SA_PhosTest_DDA_100xYeast-JPTstySig123_1.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/05/PXD014525/20181116_QE3_nLC3_AH_SA_PhosTest_DDA_100xYeast-JPTstySig123_1.raw	1	1	NT=Data-dependent acquisition;AC=PRIDE:0000627	AC=MS:1002038;NT=label free sample	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251	AC=MS:1002877;NT=Q Exactive HF-X	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21	NT=Deamidated;MT=variable;TA=N,Q;AC=UNIMOD:7	NT=Gln->pyro-Glu;MT=variable;TA=Q;AC=UNIMOD:28	AC=MS:1000422;NT=HCD	25% NCE	not available	not available	v1.1.0	NT=ms-proteomics;version=v1.1.0
Sample 8	Saccharomyces cerevisiae	not applicable	not available	not available	not available	not available	not applicable	not applicable	not applicable	none	not applicable	enrichment of phosphorylated Protein	not synthetic	100 μg	run 4	proteomic profiling by mass spectrometry	20181116_QE3_nLC3_AH_SA_PhosTest_DDA_100xYeast-JPTstySig123_1.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/05/PXD014525/20181116_QE3_nLC3_AH_SA_PhosTest_DDA_100xYeast-JPTstySig123_1.raw	1	1	NT=Data-dependent acquisition;AC=PRIDE:0000627	AC=MS:1002038;NT=label free sample	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251	AC=MS:1002877;NT=Q Exactive HF-X	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21	NT=Deamidated;MT=variable;TA=N,Q;AC=UNIMOD:7	NT=Gln->pyro-Glu;MT=variable;TA=Q;AC=UNIMOD:28	AC=MS:1000422;NT=HCD	25% NCE	not available	not available	v1.1.0	NT=ms-proteomics;version=v1.1.0
Sample 9	Homo sapiens	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	none	not applicable	enrichment of phosphorylated Protein	synthetic	1 μg	run 5	proteomic profiling by mass spectrometry	20181116_QE3_nLC3_AH_SA_PhosTest_DDA_100xYeast-JPTstySig123_2.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/05/PXD014525/20181116_QE3_nLC3_AH_SA_PhosTest_DDA_100xYeast-JPTstySig123_2.raw	2	1	NT=Data-dependent acquisition;AC=PRIDE:0000627	AC=MS:1002038;NT=label free sample	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251	AC=MS:1002877;NT=Q Exactive HF-X	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21	NT=Deamidated;MT=variable;TA=N,Q;AC=UNIMOD:7	NT=Gln->pyro-Glu;MT=variable;TA=Q;AC=UNIMOD:28	AC=MS:1000422;NT=HCD	25% NCE	not available	not available	v1.1.0	NT=ms-proteomics;version=v1.1.0
Sample 10	Saccharomyces cerevisiae	not applicable	not available	not available	not available	not available	not applicable	not applicable	not applicable	none	not applicable	enrichment of phosphorylated Protein	not synthetic	100 μg	run 5	proteomic profiling by mass spectrometry	20181116_QE3_nLC3_AH_SA_PhosTest_DDA_100xYeast-JPTstySig123_2.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/05/PXD014525/20181116_QE3_nLC3_AH_SA_PhosTest_DDA_100xYeast-JPTstySig123_2.raw	2	1	NT=Data-dependent acquisition;AC=PRIDE:0000627	AC=MS:1002038;NT=label free sample	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251	AC=MS:1002877;NT=Q Exactive HF-X	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21	NT=Deamidated;MT=variable;TA=N,Q;AC=UNIMOD:7	NT=Gln->pyro-Glu;MT=variable;TA=Q;AC=UNIMOD:28	AC=MS:1000422;NT=HCD	25% NCE	not available	not available	v1.1.0	NT=ms-proteomics;version=v1.1.0
