#file_format=SDRF
#version=v1.1.0
#template=default
#template_version=v1.1.0
source name	characteristics[organism]	characteristics[organism part]	characteristics[ancestry category]	characteristics[age]	characteristics[developmental stage]	characteristics[sex]	characteristics[cell line]	characteristics[disease]	characteristics[cell type]	characteristics[biological replicate]	material type	assay name	technology type	comment[fraction identifier]	comment[technical replicate]	comment[file uri]	comment[instrument]	comment[MS2 analyzer type]	comment[label]	comment[cleavage agent details]	comment[modification parameters]	comment[collision energy]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[proteomics data acquisition method]	comment[data file]
Sample 1	Homo sapiens	cervix	Black	31Y	adult	female	HeLa cells	adenocarcinoma	epithelial	1	cell line	run 1	proteomic profiling by mass spectrometry	1	1	https://ftp.pride.ebi.ac.uk/pride/data/archive/2016/01/PXD000895/120120_C1_CYT.raw	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Orbitrap;AC=MS:1000484	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	not available	not available	not available	not available	NT=Data-dependent acquisition;AC=PRIDE:0000627	120120_C1_CYT.raw
Sample 2	Homo sapiens	cervix	Black	31Y	adult	female	HeLa cells	adenocarcinoma	epithelial	1	cell line	run 2	proteomic profiling by mass spectrometry	1	1	https://ftp.pride.ebi.ac.uk/pride/data/archive/2016/01/PXD000895/120120_C1_NF.raw	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Orbitrap;AC=MS:1000484	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	not available	not available	not available	not available	NT=Data-dependent acquisition;AC=PRIDE:0000627	120120_C1_NF.raw
Sample 1	Homo sapiens	cervix	Black	31Y	adult	female	HeLa cells	adenocarcinoma	epithelial	1	cell line	run 3	proteomic profiling by mass spectrometry	1	2	https://ftp.pride.ebi.ac.uk/pride/data/archive/2016/01/PXD000895/120120_C2_CYT.raw	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Orbitrap;AC=MS:1000484	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	not available	not available	not available	not available	NT=Data-dependent acquisition;AC=PRIDE:0000627	120120_C2_CYT.raw
Sample 2	Homo sapiens	cervix	Black	31Y	adult	female	HeLa cells	adenocarcinoma	epithelial	1	cell line	run 4	proteomic profiling by mass spectrometry	1	2	https://ftp.pride.ebi.ac.uk/pride/data/archive/2016/01/PXD000895/120120_C2_NF.raw	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Orbitrap;AC=MS:1000484	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	not available	not available	not available	not available	NT=Data-dependent acquisition;AC=PRIDE:0000627	120120_C2_NF.raw
Sample 4	Homo sapiens	cervix	Black	31Y	adult	female	HeLa cells	adenocarcinoma	epithelial	1	cell line	run 5	proteomic profiling by mass spectrometry	1	1	https://ftp.pride.ebi.ac.uk/pride/data/archive/2016/01/PXD000895/120120_HNRNPH2_CYT.raw	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Orbitrap;AC=MS:1000484	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	not available	not available	not available	not available	NT=Data-dependent acquisition;AC=PRIDE:0000627	120120_HNRNPH2_CYT.raw
Sample 3	Homo sapiens	cervix	Black	31Y	adult	female	HeLa cells	adenocarcinoma	epithelial	1	cell line	run 6	proteomic profiling by mass spectrometry	1	1	https://ftp.pride.ebi.ac.uk/pride/data/archive/2016/01/PXD000895/120120_hnRNPH1_CYT.raw	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Orbitrap;AC=MS:1000484	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	not available	not available	not available	not available	NT=Data-dependent acquisition;AC=PRIDE:0000627	120120_hnRNPH1_CYT.raw
Sample 3	Homo sapiens	cervix	Black	31Y	adult	female	HeLa cells	adenocarcinoma	epithelial	1	cell line	run 7	proteomic profiling by mass spectrometry	1	2	https://ftp.pride.ebi.ac.uk/pride/data/archive/2016/01/PXD000895/120120_hnRNPH1_NF.raw	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Orbitrap;AC=MS:1000484	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	not available	not available	not available	not available	NT=Data-dependent acquisition;AC=PRIDE:0000627	120120_hnRNPH1_NF.raw
Sample 4	Homo sapiens	cervix	Black	31Y	adult	female	HeLa cells	adenocarcinoma	epithelial	1	cell line	run 8	proteomic profiling by mass spectrometry	1	2	https://ftp.pride.ebi.ac.uk/pride/data/archive/2016/01/PXD000895/120120_hnRNPH2_NF.raw	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Orbitrap;AC=MS:1000484	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	not available	not available	not available	not available	NT=Data-dependent acquisition;AC=PRIDE:0000627	120120_hnRNPH2_NF.raw
Sample 5	Homo sapiens	cervix	Black	31Y	adult	female	HeLa cells	adenocarcinoma	epithelial	1	cell line	run 9	proteomic profiling by mass spectrometry	1	1	https://ftp.pride.ebi.ac.uk/pride/data/archive/2016/01/PXD000895/120123_C1_CYT.raw	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Orbitrap;AC=MS:1000484	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	not available	not available	not available	not available	NT=Data-dependent acquisition;AC=PRIDE:0000627	120123_C1_CYT.raw
Sample 6	Homo sapiens	cervix	Black	31Y	adult	female	HeLa cells	adenocarcinoma	epithelial	1	cell line	run 10	proteomic profiling by mass spectrometry	1	1	https://ftp.pride.ebi.ac.uk/pride/data/archive/2016/01/PXD000895/120123_C1_NF.raw	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Orbitrap;AC=MS:1000484	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	not available	not available	not available	not available	NT=Data-dependent acquisition;AC=PRIDE:0000627	120123_C1_NF.raw
