Source Name	Characteristics[organism]	Characteristics[organism part]	Characteristics[ancestry category]	Characteristics[age]	Characteristics[developmental stage]	Characteristics[sex]	Characteristics[cell type]	Characteristics[disease]	Characteristics[phenotype]	Material Type	Assay Name	Technology Type	Comment[fraction identifier]	Comment[technical replicate]	Characteristics[biological replicate]	Comment[file uri]	Comment[Experiment Type]	Comment[instrument]	Comment[MS2 analyzer type]	Comment[MS2 analyzer type]	Comment[label]	Comment[cleavage agent details]	Comment[modification parameters]	Comment[dissociation method]	Comment[collision energy]	Comment[precursor mass tolerance]	Comment[fragment mass tolerance]	Comment[data file]
Sample 1	Homo sapiens	urine	not available	not available	adult	not available	not available	normal	healthy	tissue	run 1	proteomic profiling by mass spectrometry	1	1	23	http://download.iprox.org/IPX0002166000/IPX0002166001/0000_HF5_ZYH_20170508_NZ-20_H23_F5_R1.raw	Shotgun proteomics	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Orbitrap;AC=MS:1000484	NT=Ion Trap;AC=MS:1000264	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Oxidation;TA=M;AC=UNIMOD:35	not available	not available	20 ppm	0.5 Da	0000_HF5_ZYH_20170508_NZ-20_H23_F5_R1.raw
Sample 2	Homo sapiens	urine	not available	not available	adult	not available	not available	normal	healthy	tissue	run 2	proteomic profiling by mass spectrometry	1	1	24	http://download.iprox.org/IPX0002166000/IPX0002166001/0000_HF5_ZYH_20170525_NZ-21_H24_F1_R1.raw	Shotgun proteomics	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Orbitrap;AC=MS:1000484	NT=Ion Trap;AC=MS:1000264	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Oxidation;TA=M;AC=UNIMOD:35	not available	not available	20 ppm	0.5 Da	0000_HF5_ZYH_20170525_NZ-21_H24_F1_R1.raw
Sample 3	Homo sapiens	urine	not available	not available	adult	not available	not available	normal	healthy	tissue	run 3	proteomic profiling by mass spectrometry	1	1	25	http://download.iprox.org/IPX0002166000/IPX0002166001/0000_HF5_ZYH_20170525_NZ-22_H25_F1_R1.raw	Shotgun proteomics	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Orbitrap;AC=MS:1000484	NT=Ion Trap;AC=MS:1000264	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Oxidation;TA=M;AC=UNIMOD:35	not available	not available	20 ppm	0.5 Da	0000_HF5_ZYH_20170525_NZ-22_H25_F1_R1.raw
Sample 4	Homo sapiens	urine	not available	not available	adult	not available	not available	normal	healthy	tissue	run 4	proteomic profiling by mass spectrometry	1	1	20	http://download.iprox.org/IPX0002166000/IPX0002166001/0000_HF5_ZYH_20170527_NB-6_H20_F1_R1.raw	Shotgun proteomics	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Orbitrap;AC=MS:1000484	NT=Ion Trap;AC=MS:1000264	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Oxidation;TA=M;AC=UNIMOD:35	not available	not available	20 ppm	0.5 Da	0000_HF5_ZYH_20170527_NB-6_H20_F1_R1.raw
Sample 5	Homo sapiens	urine	not available	not available	adult	not available	not available	normal	healthy	tissue	run 5	proteomic profiling by mass spectrometry	1	1	21	http://download.iprox.org/IPX0002166000/IPX0002166001/0000_HF5_ZYH_20170624_NB6_H21_F1_R1.raw	Shotgun proteomics	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Orbitrap;AC=MS:1000484	NT=Ion Trap;AC=MS:1000264	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Oxidation;TA=M;AC=UNIMOD:35	not available	not available	20 ppm	0.5 Da	0000_HF5_ZYH_20170624_NB6_H21_F1_R1.raw
Sample 6	Homo sapiens	urine	not available	not available	adult	not available	not available	normal	healthy	tissue	run 6	proteomic profiling by mass spectrometry	1	1	26	http://download.iprox.org/IPX0002166000/IPX0002166001/0000_HF5_ZYH_20170701_NZ26_H26_F1_R1.raw	Shotgun proteomics	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Orbitrap;AC=MS:1000484	NT=Ion Trap;AC=MS:1000264	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Oxidation;TA=M;AC=UNIMOD:35	not available	not available	20 ppm	0.5 Da	0000_HF5_ZYH_20170701_NZ26_H26_F1_R1.raw
Sample 7	Homo sapiens	urine	not available	not available	adult	not available	not available	normal	healthy	tissue	run 7	proteomic profiling by mass spectrometry	1	1	27	http://download.iprox.org/IPX0002166000/IPX0002166001/0000_HF5_ZYH_20170707_NZ27_H27_F1_R1.raw	Shotgun proteomics	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Orbitrap;AC=MS:1000484	NT=Ion Trap;AC=MS:1000264	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Oxidation;TA=M;AC=UNIMOD:35	not available	not available	20 ppm	0.5 Da	0000_HF5_ZYH_20170707_NZ27_H27_F1_R1.raw
Sample 8	Homo sapiens	urine	not available	not available	adult	not available	not available	normal	healthy	tissue	run 8	proteomic profiling by mass spectrometry	1	1	28	http://download.iprox.org/IPX0002166000/IPX0002166001/0000_HF5_ZYH_20170707_NZ29_H28_F1_R1.raw	Shotgun proteomics	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Orbitrap;AC=MS:1000484	NT=Ion Trap;AC=MS:1000264	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Oxidation;TA=M;AC=UNIMOD:35	not available	not available	20 ppm	0.5 Da	0000_HF5_ZYH_20170707_NZ29_H28_F1_R1.raw
Sample 9	Homo sapiens	urine	not available	not available	adult	not available	not available	normal	healthy	tissue	run 9	proteomic profiling by mass spectrometry	1	1	9	http://download.iprox.org/IPX0002166000/IPX0002166001/0000_HF5_ZYH_20170723_NB1_H09_F1_R1.raw	Shotgun proteomics	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Orbitrap;AC=MS:1000484	NT=Ion Trap;AC=MS:1000264	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Oxidation;TA=M;AC=UNIMOD:35	not available	not available	20 ppm	0.5 Da	0000_HF5_ZYH_20170723_NB1_H09_F1_R1.raw
Sample 10	Homo sapiens	urine	not available	not available	adult	not available	not available	normal	healthy	tissue	run 10	proteomic profiling by mass spectrometry	1	1	29	http://download.iprox.org/IPX0002166000/IPX0002166001/0000_ZYH_NZ53_HF5_H29_20170823.raw	Shotgun proteomics	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Orbitrap;AC=MS:1000484	NT=Ion Trap;AC=MS:1000264	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Oxidation;TA=M;AC=UNIMOD:35	not available	not available	20 ppm	0.5 Da	0000_ZYH_NZ53_HF5_H29_20170823.raw
