Source Name	Characteristics[organism]	Characteristics[organism part]	Characteristics[developmental stage]	Characteristics[ancestry category]	Characteristics[disease]	Characteristics[age]	Characteristics[sex]	Characteristics[cell type]	Characteristics[treatment]	Characteristics[cell line]	Characteristics[biological replicate]	assay name	comment[data file]	comment[file uri]	comment[fraction identifier]	comment[label]	comment[cleavage agent details]	comment[ms2 mass analyzer]	comment[instrument]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[dissociation method]	comment[collision energy]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	Material Type	factor value[cell line]	factor value[treatment]
Sample 1	Homo sapiens	not applicable	not available	not available	Melanoma	not available	not available	not available	none	82	1	run 1	20161223_Qp2_53_82_T1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2018/12/PXD007662/20161223_Qp2_53_82_T1.raw	1	AC=MS:1002038;NT=label free sample	NT=Trypsin; AC=MS:1001251	AC=MS:1000484; NT=Orbitrap	AC=MS:1002634; NT=Q Exactive Plus	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	AC=MS:1000422;NT=HCD	not available	10 ppm	0.02 Da	cell	82	none
Sample 2	Homo sapiens	not applicable	not available	not available	Melanoma	not available	not available	not available	none	82	2	run 2	20161223_Qp2_49_82_T2.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2018/12/PXD007662/20161223_Qp2_49_82_T2.raw	1	AC=MS:1002038;NT=label free sample	NT=Trypsin; AC=MS:1001251	AC=MS:1000484; NT=Orbitrap	AC=MS:1002634; NT=Q Exactive Plus	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	AC=MS:1000422;NT=HCD	not available	10 ppm	0.02 Da	cell	82	none
Sample 3	Homo sapiens	not applicable	not available	not available	Melanoma	not available	not available	not available	none	82	3	run 3	20161223_Qp2_07_82_T3.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2018/12/PXD007662/20161223_Qp2_07_82_T3.raw	1	AC=MS:1002038;NT=label free sample	NT=Trypsin; AC=MS:1001251	AC=MS:1000484; NT=Orbitrap	AC=MS:1002634; NT=Q Exactive Plus	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	AC=MS:1000422;NT=HCD	not available	10 ppm	0.02 Da	cell	82	none
Sample 4	Homo sapiens	not applicable	not available	not available	Melanoma	not available	not available	not available	heat shock	82	4	run 4	20161223_Qp2_35_82_1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2018/12/PXD007662/20161223_Qp2_35_82_1.raw	1	AC=MS:1002038;NT=label free sample	NT=Trypsin; AC=MS:1001251	AC=MS:1000484; NT=Orbitrap	AC=MS:1002634; NT=Q Exactive Plus	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	AC=MS:1000422;NT=HCD	not available	10 ppm	0.02 Da	cell	82	heat shock
Sample 5	Homo sapiens	not applicable	not available	not available	Melanoma	not available	not available	not available	heat shock	82	5	run 5	20161223_Qp2_40_82_2.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2018/12/PXD007662/20161223_Qp2_40_82_2.raw	1	AC=MS:1002038;NT=label free sample	NT=Trypsin; AC=MS:1001251	AC=MS:1000484; NT=Orbitrap	AC=MS:1002634; NT=Q Exactive Plus	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	AC=MS:1000422;NT=HCD	not available	10 ppm	0.02 Da	cell	82	heat shock
Sample 6	Homo sapiens	not applicable	not available	not available	Melanoma	not available	not available	not available	heat shock	82	6	run 6	20161223_Qp2_64_82_3.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2018/12/PXD007662/20161223_Qp2_64_82_3.raw	1	AC=MS:1002038;NT=label free sample	NT=Trypsin; AC=MS:1001251	AC=MS:1000484; NT=Orbitrap	AC=MS:1002634; NT=Q Exactive Plus	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	AC=MS:1000422;NT=HCD	not available	10 ppm	0.02 Da	cell	82	heat shock
Sample 7	Homo sapiens	not applicable	not available	not available	Melanoma	not available	not available	not available	none	335	1	run 7	20161223_Qp2_42_335_1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2018/12/PXD007662/20161223_Qp2_42_335_1.raw	1	AC=MS:1002038;NT=label free sample	NT=Trypsin; AC=MS:1001251	AC=MS:1000484; NT=Orbitrap	AC=MS:1002634; NT=Q Exactive Plus	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	AC=MS:1000422;NT=HCD	not available	10 ppm	0.02 Da	cell	335	none
Sample 8	Homo sapiens	not applicable	not available	not available	Melanoma	not available	not available	not available	none	335	2	run 8	20161223_Qp2_24_335_2.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2018/12/PXD007662/20161223_Qp2_24_335_2.raw	1	AC=MS:1002038;NT=label free sample	NT=Trypsin; AC=MS:1001251	AC=MS:1000484; NT=Orbitrap	AC=MS:1002634; NT=Q Exactive Plus	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	AC=MS:1000422;NT=HCD	not available	10 ppm	0.02 Da	cell	335	none
Sample 9	Homo sapiens	not applicable	not available	not available	Melanoma	not available	not available	not available	none	335	3	run 9	20161223_Qp2_68_335_3.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2018/12/PXD007662/20161223_Qp2_68_335_3.raw	1	AC=MS:1002038;NT=label free sample	NT=Trypsin; AC=MS:1001251	AC=MS:1000484; NT=Orbitrap	AC=MS:1002634; NT=Q Exactive Plus	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	AC=MS:1000422;NT=HCD	not available	10 ppm	0.02 Da	cell	335	none
Sample 10	Homo sapiens	not applicable	not available	not available	Melanoma	not available	not available	not available	heat shock	335	4	run 10	20161223_Qp2_44_335_T1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2018/12/PXD007662/20161223_Qp2_44_335_T1.raw	1	AC=MS:1002038;NT=label free sample	NT=Trypsin; AC=MS:1001251	AC=MS:1000484; NT=Orbitrap	AC=MS:1002634; NT=Q Exactive Plus	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	AC=MS:1000422;NT=HCD	not available	10 ppm	0.02 Da	cell	335	heat shock
Sample 11	Homo sapiens	not applicable	not available	not available	Melanoma	not available	not available	not available	heat shock	335	5	run 11	20161223_Qp2_65_335_T2.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2018/12/PXD007662/20161223_Qp2_65_335_T2.raw	1	AC=MS:1002038;NT=label free sample	NT=Trypsin; AC=MS:1001251	AC=MS:1000484; NT=Orbitrap	AC=MS:1002634; NT=Q Exactive Plus	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	AC=MS:1000422;NT=HCD	not available	10 ppm	0.02 Da	cell	335	heat shock
