source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[developmental stage]	characteristics[disease]	characteristics[biological replicate]	characteristics[material type]	assay name	technology type	comment[proteomics data acquisition method]	comment[data file]	comment[fraction identifier]	comment[label]	comment[technical replicate]	comment[cleavage agent details]	comment[cleavage agent details]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[fractionation method]	comment[instrument]	comment[file uri]	factor value[material type]	comment[sdrf version]	comment[sdrf template]
06FFPE5s-1	Mus musculus	Liver	not available	not available	normal	1	Formalin-fixed paraffin-embedded tissue	run1	proteomic profiling by mass spectrometry	data-dependent acquisition	110630gen-06FFPE5s-1.wiff	1	label free sample	1	NT=Lys-C;AC=MS:1001309	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21	NT=hydroxy acid-modified metal oxide chromatography;AC=CHMO:0002257	NT=TripleTOF 5600;AC=MS:1000932	https://repository.jpostdb.org/data/JPST000084.0/110630gen-06FFPE5s-1.wiff	Formalin-fixed paraffin-embedded tissue	v1.1.0	NT=ms-proteomics;version=v1.1.0
07FFPE5s-2	Mus musculus	Liver	not available	not available	normal	1	Formalin-fixed paraffin-embedded tissue	run2	proteomic profiling by mass spectrometry	data-dependent acquisition	110630gen-07FFPE5s-2.wiff	2	label free sample	1	NT=Lys-C;AC=MS:1001309	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21	NT=hydroxy acid-modified metal oxide chromatography;AC=CHMO:0002257	NT=TripleTOF 5600;AC=MS:1000932	https://repository.jpostdb.org/data/JPST000084.0/110630gen-07FFPE5s-2.wiff	Formalin-fixed paraffin-embedded tissue	v1.1.0	NT=ms-proteomics;version=v1.1.0
04FFPE5s1-01	Mus musculus	Liver	not available	not available	normal	1	Formalin-fixed paraffin-embedded tissue	run3	proteomic profiling by mass spectrometry	data-dependent acquisition	110709gen-04FFPE5s1-01.wiff	1	label free sample	2	NT=Lys-C;AC=MS:1001309	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21	NT=hydroxy acid-modified metal oxide chromatography;AC=CHMO:0002257	NT=TripleTOF 5600;AC=MS:1000932	https://repository.jpostdb.org/data/JPST000084.0/110709gen-04FFPE5s1-01.wiff	Formalin-fixed paraffin-embedded tissue	v1.1.0	NT=ms-proteomics;version=v1.1.0
05FFPE5s1-02	Mus musculus	Liver	not available	not available	normal	1	Formalin-fixed paraffin-embedded tissue	run4	proteomic profiling by mass spectrometry	data-dependent acquisition	110709gen-05FFPE5s1-02.wiff	2	label free sample	2	NT=Lys-C;AC=MS:1001309	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21	NT=hydroxy acid-modified metal oxide chromatography;AC=CHMO:0002257	NT=TripleTOF 5600;AC=MS:1000932	https://repository.jpostdb.org/data/JPST000084.0/110709gen-05FFPE5s1-02.wiff	Formalin-fixed paraffin-embedded tissue	v1.1.0	NT=ms-proteomics;version=v1.1.0
06FFPE5s2-01	Mus musculus	Liver	not available	not available	normal	1	Formalin-fixed paraffin-embedded tissue	run5	proteomic profiling by mass spectrometry	data-dependent acquisition	110709gen-06FFPE5s2-01.wiff	1	label free sample	3	NT=Lys-C;AC=MS:1001309	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21	NT=hydroxy acid-modified metal oxide chromatography;AC=CHMO:0002257	NT=TripleTOF 5600;AC=MS:1000932	https://repository.jpostdb.org/data/JPST000084.0/110709gen-06FFPE5s2-01.wiff	Formalin-fixed paraffin-embedded tissue	v1.1.0	NT=ms-proteomics;version=v1.1.0
07FFPE5s2-02	Mus musculus	Liver	not available	not available	normal	1	Formalin-fixed paraffin-embedded tissue	run6	proteomic profiling by mass spectrometry	data-dependent acquisition	110709gen-07FFPE5s2-02.wiff	2	label free sample	3	NT=Lys-C;AC=MS:1001309	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21	NT=hydroxy acid-modified metal oxide chromatography;AC=CHMO:0002257	NT=TripleTOF 5600;AC=MS:1000932	https://repository.jpostdb.org/data/JPST000084.0/110709gen-07FFPE5s2-02.wiff	Formalin-fixed paraffin-embedded tissue	v1.1.0	NT=ms-proteomics;version=v1.1.0
04FFPE5s1-01	Mus musculus	Liver	not available	not available	normal	1	Formalin-fixed paraffin-embedded tissue	run7	proteomic profiling by mass spectrometry	data-dependent acquisition	110714gen-04FFPE5s1-01.wiff	1	label free sample	4	NT=Lys-C;AC=MS:1001309	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21	NT=hydroxy acid-modified metal oxide chromatography;AC=CHMO:0002257	NT=TripleTOF 5600;AC=MS:1000932	https://repository.jpostdb.org/data/JPST000084.0/110714gen-04FFPE5s1-01.wiff	Formalin-fixed paraffin-embedded tissue	v1.1.0	NT=ms-proteomics;version=v1.1.0
05FFPE5s1-02	Mus musculus	Liver	not available	not available	normal	1	Formalin-fixed paraffin-embedded tissue	run8	proteomic profiling by mass spectrometry	data-dependent acquisition	110714gen-05FFPE5s1-02.wiff	2	label free sample	4	NT=Lys-C;AC=MS:1001309	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21	NT=hydroxy acid-modified metal oxide chromatography;AC=CHMO:0002257	NT=TripleTOF 5600;AC=MS:1000932	https://repository.jpostdb.org/data/JPST000084.0/110714gen-05FFPE5s1-02.wiff	Formalin-fixed paraffin-embedded tissue	v1.1.0	NT=ms-proteomics;version=v1.1.0
06FFPE5s2-01	Mus musculus	Liver	not available	not available	normal	1	Formalin-fixed paraffin-embedded tissue	run9	proteomic profiling by mass spectrometry	data-dependent acquisition	110714gen-06FFPE5s2-01.wiff	1	label free sample	5	NT=Lys-C;AC=MS:1001309	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21	NT=hydroxy acid-modified metal oxide chromatography;AC=CHMO:0002257	NT=TripleTOF 5600;AC=MS:1000932	https://repository.jpostdb.org/data/JPST000084.0/110714gen-06FFPE5s2-01.wiff	Formalin-fixed paraffin-embedded tissue	v1.1.0	NT=ms-proteomics;version=v1.1.0
07FFPE5s2-02	Mus musculus	Liver	not available	not available	normal	1	Formalin-fixed paraffin-embedded tissue	run10	proteomic profiling by mass spectrometry	data-dependent acquisition	110714gen-07FFPE5s2-02.wiff	2	label free sample	5	NT=Lys-C;AC=MS:1001309	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21	NT=hydroxy acid-modified metal oxide chromatography;AC=CHMO:0002257	NT=TripleTOF 5600;AC=MS:1000932	https://repository.jpostdb.org/data/JPST000084.0/110714gen-07FFPE5s2-02.wiff	Formalin-fixed paraffin-embedded tissue	v1.1.0	NT=ms-proteomics;version=v1.1.0
