source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	assay name	comment[data file]	comment[fraction identifier]	comment[label]	comment[instrument]	comment[cleavage agent details]
sample 1	mus musculus	not applicatble	regulatory T cell	none	Treg_1_inj1	OEAGP120906_01.raw	1	label free sample	LTQ Velos	NT=Trypsin
sample 2	mus musculus	not applicatble	conventional T cell	none	Tconv_1_inj1	OEAGP120906_03.raw	1	label free sample	LTQ Velos	NT=Trypsin
sample 1	mus musculus	not applicatble	regulatory T cell	none	Treg_1_inj2	OEAGP120906_17.raw	1	label free sample	LTQ Velos	NT=Trypsin
sample 2	mus musculus	not applicatble	conventional T cell	none	Tconv_1_inj2	OEAGP120906_19.raw	1	label free sample	LTQ Velos	NT=Trypsin
sample 3	mus musculus	not applicatble	conventional T cell	none	Tconv_2_inj1	OEMMA121024_18.raw	1	label free sample	LTQ Velos	NT=Trypsin
sample 3	mus musculus	not applicatble	conventional T cell	none	Tconv_2_inj2	OEMMA121024_20.raw	1	label free sample	LTQ Velos	NT=Trypsin
sample 3	mus musculus	not applicatble	conventional T cell	none	Tconv_2_inj3	OEMMA121024_22.raw	1	label free sample	LTQ Velos	NT=Trypsin
sample 4	mus musculus	not applicatble	regulatory T cell	none	Treg_2_inj1	OEMMA121024_28.raw	1	label free sample	LTQ Velos	NT=Trypsin
sample 4	mus musculus	not applicatble	regulatory T cell	none	Treg_2_inj2	OEMMA121024_30.raw	1	label free sample	LTQ Velos	NT=Trypsin
sample 4	mus musculus	not applicatble	regulatory T cell	none	Treg_2_inj3	OEMMA121024_33.raw	1	label free sample	LTQ Velos	NT=Trypsin
sample 5	mus musculus	not applicatble	conventional T cell	none	Tconv_3_inj1	QEAGP140802_06.raw	1	label free sample	Q Exactive Plus	NT=Trypsin
sample 5	mus musculus	not applicatble	regulatory T cell	none	Treg_3_inj1	QEAGP140802_08.raw	1	label free sample	Q Exactive Plus	NT=Trypsin
sample 6	mus musculus	not applicatble	conventional T cell	none	Tconv_3_inj2	QEAGP140802_10.raw	1	label free sample	Q Exactive Plus	NT=Trypsin
sample 5	mus musculus	not applicatble	regulatory T cell	none	Treg_3_inj2	QEAGP140802_12.raw	1	label free sample	Q Exactive Plus	NT=Trypsin
sample 6	mus musculus	not applicatble	conventional T cell	none	Tconv_3_inj3	QEAGP140802_14.raw	1	label free sample	Q Exactive Plus	NT=Trypsin
sample 5	mus musculus	not applicatble	regulatory T cell	none	Treg_3_inj3	QEAGP140802_16.raw	1	label free sample	Q Exactive Plus	NT=Trypsin
sample 7	mus musculus	not applicatble	conventional T cell	none	Tconv_4_inj1	QEAGP140806_03.raw	1	label free sample	Q Exactive Plus	NT=Trypsin
sample 8	mus musculus	not applicatble	regulatory T cell	none	Treg_4_inj1	QEAGP140806_05.raw	1	label free sample	Q Exactive Plus	NT=Trypsin
sample 7	mus musculus	not applicatble	conventional T cell	none	Tconv_4_inj2	QEAGP140806_12.raw	1	label free sample	Q Exactive Plus	NT=Trypsin
sample 8	mus musculus	not applicatble	regulatory T cell	none	Treg_4_inj2	QEAGP140806_14.raw	1	label free sample	Q Exactive Plus	NT=Trypsin
sample 7	mus musculus	not applicatble	conventional T cell	none	Tconv_4_inj3	QEAGP140806_20.raw	1	label free sample	Q Exactive Plus	NT=Trypsin
sample 9	mus musculus	not applicatble	conventional T cell	none	Tconv_5_inj1	QEAGP141203_10.raw	1	label free sample	Q Exactive Plus	NT=Trypsin
sample 10	mus musculus	not applicatble	regulatory T cell	none	Treg_5_inj1	QEAGP141203_12.raw	1	label free sample	Q Exactive Plus	NT=Trypsin
sample 11	mus musculus	not applicatble	conventional T cell	none	Tconv_6_inj1	QEAGP141203_14.raw	1	label free sample	Q Exactive Plus	NT=Trypsin
sample 12	mus musculus	not applicatble	regulatory T cell	none	Treg_6_inj1	QEAGP141203_16.raw	1	label free sample	Q Exactive Plus	NT=Trypsin
sample 13	mus musculus	not applicatble	conventional T cell	none	Tconv_7_inj1	QEAGP141203_18.raw	1	label free sample	Q Exactive Plus	NT=Trypsin
sample 14	mus musculus	not applicatble	regulatory T cell	none	Treg_7_inj1	QEAGP141203_20.raw	1	label free sample	Q Exactive Plus	NT=Trypsin
