source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[cell line]	characteristics[disease]	characteristics[developmental stage]	characteristics[biological replicate]	assay name	Technology Type	comment[data file]	comment[technical replicate]	comment[fraction identifier]	comment[label]	comment[instrument]	comment[cleavage agent details]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[precursor mass tolerance]	factor value[cell type]
sample 1	mus musculus	not applicatble	regulatory T cell	not applicable	none	not available	1	Treg_1_inj1	proteomic profiling by mass spectrometry	OEAGP120906_01.raw	1	1	AC=MS:1002038;NT=label free sample	NT=LTQ Velos;AC=MS:1000855	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;TA=K;MT=variable	20 ppm	regulatory T cell
sample 2	mus musculus	not applicatble	conventional T cell	not applicable	none	not available	1	Tconv_1_inj1	proteomic profiling by mass spectrometry	OEAGP120906_03.raw	1	1	AC=MS:1002038;NT=label free sample	NT=LTQ Velos;AC=MS:1000855	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;TA=K;MT=variable	20 ppm	conventional T cell
sample 1	mus musculus	not applicatble	regulatory T cell	not applicable	none	not available	1	Treg_1_inj2	proteomic profiling by mass spectrometry	OEAGP120906_17.raw	2	1	AC=MS:1002038;NT=label free sample	NT=LTQ Velos;AC=MS:1000855	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;TA=K;MT=variable	20 ppm	regulatory T cell
sample 2	mus musculus	not applicatble	conventional T cell	not applicable	none	not available	1	Tconv_1_inj2	proteomic profiling by mass spectrometry	OEAGP120906_19.raw	2	1	AC=MS:1002038;NT=label free sample	NT=LTQ Velos;AC=MS:1000855	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;TA=K;MT=variable	20 ppm	conventional T cell
sample 3	mus musculus	not applicatble	conventional T cell	not applicable	none	not available	2	Tconv_2_inj1	proteomic profiling by mass spectrometry	OEMMA121024_18.raw	1	1	AC=MS:1002038;NT=label free sample	NT=LTQ Velos;AC=MS:1000855	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;TA=K;MT=variable	20 ppm	conventional T cell
sample 3	mus musculus	not applicatble	conventional T cell	not applicable	none	not available	2	Tconv_2_inj2	proteomic profiling by mass spectrometry	OEMMA121024_20.raw	2	1	AC=MS:1002038;NT=label free sample	NT=LTQ Velos;AC=MS:1000855	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;TA=K;MT=variable	20 ppm	conventional T cell
sample 3	mus musculus	not applicatble	conventional T cell	not applicable	none	not available	2	Tconv_2_inj3	proteomic profiling by mass spectrometry	OEMMA121024_22.raw	3	1	AC=MS:1002038;NT=label free sample	NT=LTQ Velos;AC=MS:1000855	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;TA=K;MT=variable	20 ppm	conventional T cell
sample 4	mus musculus	not applicatble	regulatory T cell	not applicable	none	not available	2	Treg_2_inj1	proteomic profiling by mass spectrometry	OEMMA121024_28.raw	1	1	AC=MS:1002038;NT=label free sample	NT=LTQ Velos;AC=MS:1000855	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;TA=K;MT=variable	20 ppm	regulatory T cell
sample 4	mus musculus	not applicatble	regulatory T cell	not applicable	none	not available	2	Treg_2_inj2	proteomic profiling by mass spectrometry	OEMMA121024_30.raw	2	1	AC=MS:1002038;NT=label free sample	NT=LTQ Velos;AC=MS:1000855	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;TA=K;MT=variable	20 ppm	regulatory T cell
sample 4	mus musculus	not applicatble	regulatory T cell	not applicable	none	not available	2	Treg_2_inj3	proteomic profiling by mass spectrometry	OEMMA121024_33.raw	3	1	AC=MS:1002038;NT=label free sample	NT=LTQ Velos;AC=MS:1000855	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;TA=K;MT=variable	20 ppm	regulatory T cell
sample 5	mus musculus	not applicatble	conventional T cell	not applicable	none	not available	3	Tconv_3_inj1	proteomic profiling by mass spectrometry	QEAGP140802_06.raw	1	1	AC=MS:1002038;NT=label free sample	NT=Q Exactive Plus;AC=MS:1002634	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;TA=K;MT=variable	20 ppm	conventional T cell
sample 6	mus musculus	not applicatble	regulatory T cell	not applicable	none	not available	3	Treg_3_inj1	proteomic profiling by mass spectrometry	QEAGP140802_08.raw	1	1	AC=MS:1002038;NT=label free sample	NT=Q Exactive Plus;AC=MS:1002634	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;TA=K;MT=variable	20 ppm	regulatory T cell
sample 5	mus musculus	not applicatble	conventional T cell	not applicable	none	not available	3	Tconv_3_inj2	proteomic profiling by mass spectrometry	QEAGP140802_10.raw	2	1	AC=MS:1002038;NT=label free sample	NT=Q Exactive Plus;AC=MS:1002634	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;TA=K;MT=variable	20 ppm	conventional T cell
sample 6	mus musculus	not applicatble	regulatory T cell	not applicable	none	not available	3	Treg_3_inj2	proteomic profiling by mass spectrometry	QEAGP140802_12.raw	2	1	AC=MS:1002038;NT=label free sample	NT=Q Exactive Plus;AC=MS:1002634	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;TA=K;MT=variable	20 ppm	regulatory T cell
sample 5	mus musculus	not applicatble	conventional T cell	not applicable	none	not available	3	Tconv_3_inj3	proteomic profiling by mass spectrometry	QEAGP140802_14.raw	3	1	AC=MS:1002038;NT=label free sample	NT=Q Exactive Plus;AC=MS:1002634	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;TA=K;MT=variable	20 ppm	conventional T cell
sample 6	mus musculus	not applicatble	regulatory T cell	not applicable	none	not available	3	Treg_3_inj3	proteomic profiling by mass spectrometry	QEAGP140802_16.raw	3	1	AC=MS:1002038;NT=label free sample	NT=Q Exactive Plus;AC=MS:1002634	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;TA=K;MT=variable	20 ppm	regulatory T cell
sample 7	mus musculus	not applicatble	conventional T cell	not applicable	none	not available	4	Tconv_4_inj1	proteomic profiling by mass spectrometry	QEAGP140806_03.raw	1	1	AC=MS:1002038;NT=label free sample	NT=Q Exactive Plus;AC=MS:1002634	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;TA=K;MT=variable	20 ppm	conventional T cell
sample 8	mus musculus	not applicatble	regulatory T cell	not applicable	none	not available	4	Treg_4_inj1	proteomic profiling by mass spectrometry	QEAGP140806_05.raw	1	1	AC=MS:1002038;NT=label free sample	NT=Q Exactive Plus;AC=MS:1002634	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;TA=K;MT=variable	20 ppm	regulatory T cell
sample 7	mus musculus	not applicatble	conventional T cell	not applicable	none	not available	4	Tconv_4_inj2	proteomic profiling by mass spectrometry	QEAGP140806_12.raw	2	1	AC=MS:1002038;NT=label free sample	NT=Q Exactive Plus;AC=MS:1002634	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;TA=K;MT=variable	20 ppm	conventional T cell
sample 8	mus musculus	not applicatble	regulatory T cell	not applicable	none	not available	4	Treg_4_inj2	proteomic profiling by mass spectrometry	QEAGP140806_14.raw	2	1	AC=MS:1002038;NT=label free sample	NT=Q Exactive Plus;AC=MS:1002634	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;TA=K;MT=variable	20 ppm	regulatory T cell
sample 7	mus musculus	not applicatble	conventional T cell	not applicable	none	not available	4	Tconv_4_inj3	proteomic profiling by mass spectrometry	QEAGP140806_20.raw	3	1	AC=MS:1002038;NT=label free sample	NT=Q Exactive Plus;AC=MS:1002634	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;TA=K;MT=variable	20 ppm	conventional T cell
sample 9	mus musculus	not applicatble	conventional T cell	not applicable	none	not available	5	Tconv_5_inj1	proteomic profiling by mass spectrometry	QEAGP141203_10.raw	1	1	AC=MS:1002038;NT=label free sample	NT=Q Exactive Plus;AC=MS:1002634	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;TA=K;MT=variable	20 ppm	conventional T cell
