source name	characteristics[organism]	characteristics[organism part]	characteristics[sex]	characteristics[biological replicate]	characteristics[disease]	characteristics[cell type]	assay name	technology type	comment[acquisition method]	comment[technical replicate]	comment[chromatography type]	comment[scan polarity]	comment[instrument]	comment[ion source]	comment[data file]	comment[metabolite assignment file]	factor value[gene]
X501f	Mus musculus	liver	female	1	not applicable	not available	X20180910_501F_neg_040	LC-MS-based metabolomics	full scan	1	"NT=hydrophilic interaction chromatography;AC=CHMO:0002262"	negative scan	"NT=Q Exactive;AC=MS:1001911"	"NT=electrospray ionization;AC=MS:1000073"	FILES/20180910_501F_neg_040.mzXML	m_MTBLS1903_LC-MS_negative_hilic_metabolite_profiling_liver_v2_maf.tsv	Mx2
X501f	Mus musculus	blood plasma	female	1	not applicable	not available	X20180910_501P_neg_040	LC-MS-based metabolomics	full scan	1	"NT=hydrophilic interaction chromatography;AC=CHMO:0002262"	negative scan	"NT=Q Exactive;AC=MS:1001911"	"NT=electrospray ionization;AC=MS:1000073"	FILES/20180910_501P_neg_040.mzXML	m_MTBLS1903_LC-MS_negative_hilic_metabolite_profiling_plasma_v2_maf.tsv	Mx2
X502m	Mus musculus	liver	male	2	not applicable	not available	X20180910_502F_neg_057	LC-MS-based metabolomics	full scan	1	"NT=hydrophilic interaction chromatography;AC=CHMO:0002262"	negative scan	"NT=Q Exactive;AC=MS:1001911"	"NT=electrospray ionization;AC=MS:1000073"	FILES/20180910_502F_neg_057.mzXML	m_MTBLS1903_LC-MS_negative_hilic_metabolite_profiling_liver_v2_maf.tsv	Mx2
X502m	Mus musculus	blood plasma	male	2	not applicable	not available	X20180910_502P_neg_057	LC-MS-based metabolomics	full scan	1	"NT=hydrophilic interaction chromatography;AC=CHMO:0002262"	negative scan	"NT=Q Exactive;AC=MS:1001911"	"NT=electrospray ionization;AC=MS:1000073"	FILES/20180910_502P_neg_057.mzXML	m_MTBLS1903_LC-MS_negative_hilic_metabolite_profiling_plasma_v2_maf.tsv	Mx2
X503m	Mus musculus	liver	male	3	not applicable	not available	X20180910_503F_neg_046	LC-MS-based metabolomics	full scan	1	"NT=hydrophilic interaction chromatography;AC=CHMO:0002262"	negative scan	"NT=Q Exactive;AC=MS:1001911"	"NT=electrospray ionization;AC=MS:1000073"	FILES/20180910_503F_neg_046.mzXML	m_MTBLS1903_LC-MS_negative_hilic_metabolite_profiling_liver_v2_maf.tsv	Mx2
X503m	Mus musculus	blood plasma	male	3	not applicable	not available	X20180910_503P_neg_046	LC-MS-based metabolomics	full scan	1	"NT=hydrophilic interaction chromatography;AC=CHMO:0002262"	negative scan	"NT=Q Exactive;AC=MS:1001911"	"NT=electrospray ionization;AC=MS:1000073"	FILES/20180910_503P_neg_046.mzXML	m_MTBLS1903_LC-MS_negative_hilic_metabolite_profiling_plasma_v2_maf.tsv	Mx2
X506m	Mus musculus	liver	male	4	not applicable	not available	X20180910_506F_neg_066	LC-MS-based metabolomics	full scan	1	"NT=hydrophilic interaction chromatography;AC=CHMO:0002262"	negative scan	"NT=Q Exactive;AC=MS:1001911"	"NT=electrospray ionization;AC=MS:1000073"	FILES/20180910_506F_neg_066.mzXML	m_MTBLS1903_LC-MS_negative_hilic_metabolite_profiling_liver_v2_maf.tsv	Mx2
X506m	Mus musculus	blood plasma	male	4	not applicable	not available	X20180910_506P_neg_066	LC-MS-based metabolomics	full scan	1	"NT=hydrophilic interaction chromatography;AC=CHMO:0002262"	negative scan	"NT=Q Exactive;AC=MS:1001911"	"NT=electrospray ionization;AC=MS:1000073"	FILES/20180910_506P_neg_066.mzXML	m_MTBLS1903_LC-MS_negative_hilic_metabolite_profiling_plasma_v2_maf.tsv	Mx2
X508f	Mus musculus	liver	female	5	not applicable	not available	X20180910_508F_neg_067	LC-MS-based metabolomics	full scan	1	"NT=hydrophilic interaction chromatography;AC=CHMO:0002262"	negative scan	"NT=Q Exactive;AC=MS:1001911"	"NT=electrospray ionization;AC=MS:1000073"	FILES/20180910_508F_neg_067.mzXML	m_MTBLS1903_LC-MS_negative_hilic_metabolite_profiling_liver_v2_maf.tsv	Mx2
X508f	Mus musculus	blood plasma	female	5	not applicable	not available	X20180910_508P_neg_067	LC-MS-based metabolomics	full scan	1	"NT=hydrophilic interaction chromatography;AC=CHMO:0002262"	negative scan	"NT=Q Exactive;AC=MS:1001911"	"NT=electrospray ionization;AC=MS:1000073"	FILES/20180910_508P_neg_067.mzXML	m_MTBLS1903_LC-MS_negative_hilic_metabolite_profiling_plasma_v2_maf.tsv	Mx2
