Source Name	Characteristics[organism]	Characteristics[disease]	Characteristics[organism part]	Characteristics[organism part]	Characteristics[cell line]	Comment[proteomexchange accession number]	Comment[data file]	Comment[Associated file URI]	Comment[instrument]	Comment[modification parameters]	Comment[modification parameters]	Comment[modification parameters]	Comment[cleavage agent details]	Material Type	Description	Comment[Label]	Comment[fragment mass tolerance]	Comment[precursor mass tolerance]
Sample 780	Homo sapiens	colon adenocarcinoma	colon	colorectum	COLO205	PXD005940	00522_G03_P003811_B0W_A00_R1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/03/PXD005940/00522_G03_P003811_B0W_A00_R1.raw	AC=MS:1001910;NM=LTQ Orbitrap Elite	NM=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NM=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Fixed	NM=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	AC=MS:1001251;NM=Trypsin	cell	deep proteome of 9 cell lines	AC=MS:1002038;NM=label free sample	20 ppm	20 ppm
Sample 781	Homo sapiens	colon adenocarcinoma	colon	colorectum	COLO205	PXD005940	00522_B03_P003811_B0R_A00_R1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/03/PXD005940/00522_B03_P003811_B0R_A00_R1.raw	AC=MS:1001910;NM=LTQ Orbitrap Elite	NM=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NM=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Fixed	NM=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	AC=MS:1001251;NM=Trypsin	cell	deep proteome of 9 cell lines	AC=MS:1002038;NM=label free sample	20 ppm	20 ppm
Sample 782	Homo sapiens	colon adenocarcinoma	colon	colorectum	COLO205	PXD005940	00522_F03_P003811_B0V_A00_R1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/03/PXD005940/00522_F03_P003811_B0V_A00_R1.raw	AC=MS:1001910;NM=LTQ Orbitrap Elite	NM=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NM=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Fixed	NM=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	AC=MS:1001251;NM=Trypsin	cell	deep proteome of 9 cell lines	AC=MS:1002038;NM=label free sample	20 ppm	20 ppm
Sample 783	Homo sapiens	colon adenocarcinoma	colon	colorectum	COLO205	PXD005940	00522_B01_P003811_B0B_A00_R1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/03/PXD005940/00522_B01_P003811_B0B_A00_R1.raw	AC=MS:1001910;NM=LTQ Orbitrap Elite	NM=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NM=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Fixed	NM=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	AC=MS:1001251;NM=Trypsin	cell	deep proteome of 9 cell lines	AC=MS:1002038;NM=label free sample	20 ppm	20 ppm
Sample 784	Homo sapiens	colon adenocarcinoma	colon	colorectum	COLO205	PXD005940	00522_H01_P003811_B0H_A00_R1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/03/PXD005940/00522_H01_P003811_B0H_A00_R1.raw	AC=MS:1001910;NM=LTQ Orbitrap Elite	NM=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NM=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Fixed	NM=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	AC=MS:1001251;NM=Trypsin	cell	deep proteome of 9 cell lines	AC=MS:1002038;NM=label free sample	20 ppm	20 ppm
Sample 785	Homo sapiens	colon adenocarcinoma	colon	colorectum	COLO205	PXD005940	00522_H02_P003811_B0P_A00_R1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/03/PXD005940/00522_H02_P003811_B0P_A00_R1.raw	AC=MS:1001910;NM=LTQ Orbitrap Elite	NM=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NM=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Fixed	NM=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	AC=MS:1001251;NM=Trypsin	cell	deep proteome of 9 cell lines	AC=MS:1002038;NM=label free sample	20 ppm	20 ppm
Sample 786	Homo sapiens	colon adenocarcinoma	colon	colorectum	COLO205	PXD005940	00522_E02_P003811_B0M_A00_R1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/03/PXD005940/00522_E02_P003811_B0M_A00_R1.raw	AC=MS:1001910;NM=LTQ Orbitrap Elite	NM=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NM=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Fixed	NM=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	AC=MS:1001251;NM=Trypsin	cell	deep proteome of 9 cell lines	AC=MS:1002038;NM=label free sample	20 ppm	20 ppm
Sample 787	Homo sapiens	colon adenocarcinoma	colon	colorectum	COLO205	PXD005940	00522_G01_P003811_B0G_A00_R1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/03/PXD005940/00522_G01_P003811_B0G_A00_R1.raw	AC=MS:1001910;NM=LTQ Orbitrap Elite	NM=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NM=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Fixed	NM=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	AC=MS:1001251;NM=Trypsin	cell	deep proteome of 9 cell lines	AC=MS:1002038;NM=label free sample	20 ppm	20 ppm
Sample 788	Homo sapiens	colon adenocarcinoma	colon	colorectum	COLO205	PXD005940	00522_C03_P003811_B0S_A00_R1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/03/PXD005940/00522_C03_P003811_B0S_A00_R1.raw	AC=MS:1001910;NM=LTQ Orbitrap Elite	NM=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NM=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Fixed	NM=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	AC=MS:1001251;NM=Trypsin	cell	deep proteome of 9 cell lines	AC=MS:1002038;NM=label free sample	20 ppm	20 ppm
Sample 789	Homo sapiens	colon adenocarcinoma	colon	colorectum	COLO205	PXD005940	00522_D01_P003811_B0D_A00_R1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/03/PXD005940/00522_D01_P003811_B0D_A00_R1.raw	AC=MS:1001910;NM=LTQ Orbitrap Elite	NM=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NM=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Fixed	NM=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	AC=MS:1001251;NM=Trypsin	cell	deep proteome of 9 cell lines	AC=MS:1002038;NM=label free sample	20 ppm	20 ppm
