Source Name	Characteristics[organism]	Characteristics[organism part]	Characteristics[ancestry category]	Characteristics[age]	Characteristics[developmental stage]	Characteristics[sex]	Characteristics[cell type]	Characteristics[disease]	Characteristics[biological replicate]	Assay Name	Comment[fraction identifier]	Comment[file uri]	Comment[instrument]	Comment[MS2 analyzer type]	Comment[label]	Comment[cleavage agent details]	Comment[modification parameters]	Comment[modification parameters]	Comment[dissociation method]	Comment[collision energy]	Comment[precursor mass tolerance]	Comment[fragment mass tolerance]	Comment[data file]	Material Type
Sample 1	Homo sapiens	liver	not available	not available	not available	not available	epithelial cells of bile ducts	normal	not applicable	run 1	1	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/07/PXD000534/OEI00066.raw	NT=LTQ Orbitrap Elite;AC=MS:1001910	NT=orbitrap;AC=MS:1000484	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=propionamide;MT=variable;TA=C;AC=UNIMOD:24	NT=oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=collision-induced dissociation;AC=MS:1000133	not applicable	5 ppm	0.4 Da	OEI00066.raw	non-tumorous liver tissue 
Sample 2	Homo sapiens	liver	not available	not available	not available	not available	epithelial cells of bile ducts	cholangiocellular carcinoma	not applicable	run 2	1	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/07/PXD000534/OEI00068.raw	NT=LTQ Orbitrap Elite;AC=MS:1001910	NT=orbitrap;AC=MS:1000484	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=propionamide;MT=variable;TA=C;AC=UNIMOD:24	NT=oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=collision-induced dissociation;AC=MS:1000133	not applicable	5 ppm	0.4 Da	OEI00068.raw	CCC tumor tissue
Sample 3	Homo sapiens	liver	not available	not available	not available	not available	epithelial cells of bile ducts	normal	not applicable	run 3	1	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/07/PXD000534/OEI00070.raw	NT=LTQ Orbitrap Elite;AC=MS:1001910	NT=orbitrap;AC=MS:1000484	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=propionamide;MT=variable;TA=C;AC=UNIMOD:24	NT=oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=collision-induced dissociation;AC=MS:1000133	not applicable	5 ppm	0.4 Da	OEI00070.raw	non-tumorous liver tissue 
Sample 4	Homo sapiens	liver	not available	not available	not available	not available	epithelial cells of bile ducts	cholangiocellular carcinoma	not applicable	run 4	1	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/07/PXD000534/OEI00072.raw	NT=LTQ Orbitrap Elite;AC=MS:1001910	NT=orbitrap;AC=MS:1000484	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=propionamide;MT=variable;TA=C;AC=UNIMOD:24	NT=oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=collision-induced dissociation;AC=MS:1000133	not applicable	5 ppm	0.4 Da	OEI00072.raw	CCC tumor tissue
Sample 5	Homo sapiens	liver	not available	not available	not available	not available	epithelial cells of bile ducts	normal	not applicable	run 5	1	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/07/PXD000534/OEI00074.raw	NT=LTQ Orbitrap Elite;AC=MS:1001910	NT=orbitrap;AC=MS:1000484	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=propionamide;MT=variable;TA=C;AC=UNIMOD:24	NT=oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=collision-induced dissociation;AC=MS:1000133	not applicable	5 ppm	0.4 Da	OEI00074.raw	non-tumorous liver tissue 
Sample 6	Homo sapiens	liver	not available	not available	not available	not available	epithelial cells of bile ducts	cholangiocellular carcinoma	not applicable	run 6	1	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/07/PXD000534/OEI00076.raw	NT=LTQ Orbitrap Elite;AC=MS:1001910	NT=orbitrap;AC=MS:1000484	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=propionamide;MT=variable;TA=C;AC=UNIMOD:24	NT=oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=collision-induced dissociation;AC=MS:1000133	not applicable	5 ppm	0.4 Da	OEI00076.raw	CCC tumor tissue
Sample 7	Homo sapiens	liver	not available	not available	not available	not available	epithelial cells of bile ducts	normal	not applicable	run 7	1	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/07/PXD000534/OEI00078.raw	NT=LTQ Orbitrap Elite;AC=MS:1001910	NT=orbitrap;AC=MS:1000484	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=propionamide;MT=variable;TA=C;AC=UNIMOD:24	NT=oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=collision-induced dissociation;AC=MS:1000133	not applicable	5 ppm	0.4 Da	OEI00078.raw	non-tumorous liver tissue 
Sample 8	Homo sapiens	liver	not available	not available	not available	not available	epithelial cells of bile ducts	cholangiocellular carcinoma	not applicable	run 8	1	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/07/PXD000534/OEI00080.raw	NT=LTQ Orbitrap Elite;AC=MS:1001910	NT=orbitrap;AC=MS:1000484	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=propionamide;MT=variable;TA=C;AC=UNIMOD:24	NT=oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=collision-induced dissociation;AC=MS:1000133	not applicable	5 ppm	0.4 Da	OEI00080.raw	CCC tumor tissue
Sample 9	Homo sapiens	liver	not available	not available	not available	not available	epithelial cells of bile ducts	cholangiocellular carcinoma	not applicable	run 9	1	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/07/PXD000534/OEI00082.raw	NT=LTQ Orbitrap Elite;AC=MS:1001910	NT=orbitrap;AC=MS:1000484	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=propionamide;MT=variable;TA=C;AC=UNIMOD:24	NT=oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=collision-induced dissociation;AC=MS:1000133	not applicable	5 ppm	0.4 Da	OEI00082.raw	CCC tumor tissue and non-tumorous liver tissue 
Sample 10	Homo sapiens	liver	not available	not available	not available	not available	epithelial cells of bile ducts	normal	not applicable	run 10	1	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/07/PXD000534/OEI00084.raw	NT=LTQ Orbitrap Elite;AC=MS:1001910	NT=orbitrap;AC=MS:1000484	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=propionamide;MT=variable;TA=C;AC=UNIMOD:24	NT=oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=collision-induced dissociation;AC=MS:1000133	not applicable	5 ppm	0.4 Da	OEI00084.raw	non-tumorous liver tissue 
