source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[age]	characteristics[ancestry category]	characteristics[sex]	characteristics[disease]	characteristics[developmental stage]	characteristics[biological replicate]	characteristics[technical replicate]	assay name	technology type	comment[Parameter group]	comment[proteomexchange accession number]	comment[data file]	comment[file url]	comment[technical replicate]	comment[fraction identifier]	comment[Experiment]	comment[PTM]	comment[label]	comment[instrument]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[cleavage agent details]	comment[modification parameters]	comment[modification parameters]	factor value[Experiment]
Sample 1	homo sapiens	pineal gland	not applicable	not available	not applicable	not available	Normal	not applicable	1	1	run 1	proteomic profiling by mass spectrometry	Group 0	PXD004332	PG_Ingel_1.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2017/02/PXD004332/PG_Ingel_1.raw	1	1	In gel digestion	1	NT=label free sample	AC=MS:1000639;NT=Orbitrap Fusion	10 ppm	0.05 Da	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-Term;MT=Variable	In gel digestion
Sample 1	homo sapiens	pineal gland	not applicable	not available	not applicable	not available	Normal	not applicable	1	1	run 2	proteomic profiling by mass spectrometry	Group 0	PXD004332	PG_Ingel_2.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2017/02/PXD004332/PG_Ingel_2.raw	1	2	In gel digestion	1	NT=label free sample	AC=MS:1000639;NT=Orbitrap Fusion	10 ppm	0.05 Da	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-Term;MT=Variable	In gel digestion
Sample 1	homo sapiens	pineal gland	not applicable	not available	not applicable	not available	Normal	not applicable	1	1	run 3	proteomic profiling by mass spectrometry	Group 0	PXD004332	PG_Ingel_3.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2017/02/PXD004332/PG_Ingel_3.raw	1	3	In gel digestion	1	NT=label free sample	AC=MS:1000639;NT=Orbitrap Fusion	10 ppm	0.05 Da	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-Term;MT=Variable	In gel digestion
Sample 1	homo sapiens	pineal gland	not applicable	not available	not applicable	not available	Normal	not applicable	1	1	run 4	proteomic profiling by mass spectrometry	Group 0	PXD004332	PG_Ingel_4.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2017/02/PXD004332/PG_Ingel_4.raw	1	4	In gel digestion	1	NT=label free sample	AC=MS:1000639;NT=Orbitrap Fusion	10 ppm	0.05 Da	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-Term;MT=Variable	In gel digestion
Sample 1	homo sapiens	pineal gland	not applicable	not available	not applicable	not available	Normal	not applicable	1	1	run 5	proteomic profiling by mass spectrometry	Group 0	PXD004332	PG_Ingel_5.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2017/02/PXD004332/PG_Ingel_5.raw	1	5	In gel digestion	1	NT=label free sample	AC=MS:1000639;NT=Orbitrap Fusion	10 ppm	0.05 Da	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-Term;MT=Variable	In gel digestion
Sample 1	homo sapiens	pineal gland	not applicable	not available	not applicable	not available	Normal	not applicable	1	1	run 6	proteomic profiling by mass spectrometry	Group 0	PXD004332	PG_Ingel_6.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2017/02/PXD004332/PG_Ingel_6.raw	1	6	In gel digestion	1	NT=label free sample	AC=MS:1000639;NT=Orbitrap Fusion	10 ppm	0.05 Da	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-Term;MT=Variable	In gel digestion
Sample 1	homo sapiens	pineal gland	not applicable	not available	not applicable	not available	Normal	not applicable	1	1	run 7	proteomic profiling by mass spectrometry	Group 0	PXD004332	PG_Ingel_7.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2017/02/PXD004332/PG_Ingel_7.raw	1	7	In gel digestion	1	NT=label free sample	AC=MS:1000639;NT=Orbitrap Fusion	10 ppm	0.05 Da	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-Term;MT=Variable	In gel digestion
Sample 1	homo sapiens	pineal gland	not applicable	not available	not applicable	not available	Normal	not applicable	1	1	run 8	proteomic profiling by mass spectrometry	Group 0	PXD004332	PG_Ingel_8.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2017/02/PXD004332/PG_Ingel_8.raw	1	8	In gel digestion	1	NT=label free sample	AC=MS:1000639;NT=Orbitrap Fusion	10 ppm	0.05 Da	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-Term;MT=Variable	In gel digestion
Sample 1	homo sapiens	pineal gland	not applicable	not available	not applicable	not available	Normal	not applicable	1	1	run 9	proteomic profiling by mass spectrometry	Group 0	PXD004332	PG_Ingel_9.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2017/02/PXD004332/PG_Ingel_9.raw	1	9	In gel digestion	1	NT=label free sample	AC=MS:1000639;NT=Orbitrap Fusion	10 ppm	0.05 Da	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-Term;MT=Variable	In gel digestion
Sample 1	homo sapiens	pineal gland	not applicable	not available	not applicable	not available	Normal	not applicable	1	1	run 10	proteomic profiling by mass spectrometry	Group 0	PXD004332	PG_Ingel_10.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2017/02/PXD004332/PG_Ingel_10.raw	1	10	In gel digestion	1	NT=label free sample	AC=MS:1000639;NT=Orbitrap Fusion	10 ppm	0.05 Da	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-Term;MT=Variable	In gel digestion
