source name	assay name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[age]	characteristics[ancestry category]	characteristics[sex]	characteristics[disease]	characteristics[developmental stage]	characteristics[biological replicate]	characteristics[technical replicate]	comment[Parameter group]	comment[proteomexchange accession number]	comment[data file]	comment[file uri]	comment[fraction identifier]	comment[Experiment]	comment[PTM]	comment[label]	comment[instrument]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[cleavage agent details]	comment[modification parameters]	comment[modification parameters]
Sample 1	run 1	homo sapiens	pineal gland	not applicable	not available	not applicable	not available	Normal	not applicable	1	1	Group 0	PXD004332	PG_Ingel_1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/02/PXD004332/PG_Ingel_1.raw	1	In gel digestion	1	label free	AC=MS:1000639;NT=Orbitrap Fusion	10 ppm	0.05 Da	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-Term;MT=Variable
Sample 1	run 2	homo sapiens	pineal gland	not applicable	not available	not applicable	not available	Normal	not applicable	1	1	Group 0	PXD004332	PG_Ingel_2.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/02/PXD004332/PG_Ingel_2.raw	2	In gel digestion	1	label free	AC=MS:1000639;NT=Orbitrap Fusion	10 ppm	0.05 Da	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-Term;MT=Variable
Sample 1	run 3	homo sapiens	pineal gland	not applicable	not available	not applicable	not available	Normal	not applicable	1	1	Group 0	PXD004332	PG_Ingel_3.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/02/PXD004332/PG_Ingel_3.raw	3	In gel digestion	1	label free	AC=MS:1000639;NT=Orbitrap Fusion	10 ppm	0.05 Da	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-Term;MT=Variable
Sample 1	run 4	homo sapiens	pineal gland	not applicable	not available	not applicable	not available	Normal	not applicable	1	1	Group 0	PXD004332	PG_Ingel_4.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/02/PXD004332/PG_Ingel_4.raw	4	In gel digestion	1	label free	AC=MS:1000639;NT=Orbitrap Fusion	10 ppm	0.05 Da	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-Term;MT=Variable
Sample 1	run 5	homo sapiens	pineal gland	not applicable	not available	not applicable	not available	Normal	not applicable	1	1	Group 0	PXD004332	PG_Ingel_5.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/02/PXD004332/PG_Ingel_5.raw	5	In gel digestion	1	label free	AC=MS:1000639;NT=Orbitrap Fusion	10 ppm	0.05 Da	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-Term;MT=Variable
Sample 1	run 6	homo sapiens	pineal gland	not applicable	not available	not applicable	not available	Normal	not applicable	1	1	Group 0	PXD004332	PG_Ingel_6.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/02/PXD004332/PG_Ingel_6.raw	6	In gel digestion	1	label free	AC=MS:1000639;NT=Orbitrap Fusion	10 ppm	0.05 Da	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-Term;MT=Variable
Sample 1	run 7	homo sapiens	pineal gland	not applicable	not available	not applicable	not available	Normal	not applicable	1	1	Group 0	PXD004332	PG_Ingel_7.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/02/PXD004332/PG_Ingel_7.raw	7	In gel digestion	1	label free	AC=MS:1000639;NT=Orbitrap Fusion	10 ppm	0.05 Da	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-Term;MT=Variable
Sample 1	run 8	homo sapiens	pineal gland	not applicable	not available	not applicable	not available	Normal	not applicable	1	1	Group 0	PXD004332	PG_Ingel_8.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/02/PXD004332/PG_Ingel_8.raw	8	In gel digestion	1	label free	AC=MS:1000639;NT=Orbitrap Fusion	10 ppm	0.05 Da	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-Term;MT=Variable
Sample 1	run 9	homo sapiens	pineal gland	not applicable	not available	not applicable	not available	Normal	not applicable	1	1	Group 0	PXD004332	PG_Ingel_9.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/02/PXD004332/PG_Ingel_9.raw	9	In gel digestion	1	label free	AC=MS:1000639;NT=Orbitrap Fusion	10 ppm	0.05 Da	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-Term;MT=Variable
Sample 1	run 10	homo sapiens	pineal gland	not applicable	not available	not applicable	not available	Normal	not applicable	1	1	Group 0	PXD004332	PG_Ingel_10.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/02/PXD004332/PG_Ingel_10.raw	10	In gel digestion	1	label free	AC=MS:1000639;NT=Orbitrap Fusion	10 ppm	0.05 Da	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-Term;MT=Variable
Sample 1	run 11	homo sapiens	pineal gland	not applicable	not available	not applicable	not available	Normal	not applicable	1	1	Group 0	PXD004332	PG_Ingel_11.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/02/PXD004332/PG_Ingel_11.raw	11	In gel digestion	1	label free	AC=MS:1000639;NT=Orbitrap Fusion	10 ppm	0.05 Da	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-Term;MT=Variable
Sample 1	run 12	homo sapiens	pineal gland	not applicable	not available	not applicable	not available	Normal	not applicable	1	1	Group 0	PXD004332	PG_Ingel_12.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/02/PXD004332/PG_Ingel_12.raw	12	In gel digestion	1	label free	AC=MS:1000639;NT=Orbitrap Fusion	10 ppm	0.05 Da	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-Term;MT=Variable
Sample 1	run 13	homo sapiens	pineal gland	not applicable	not available	not applicable	not available	Normal	not applicable	1	1	Group 0	PXD004332	PG_Ingel_13_150219231949.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/02/PXD004332/PG_Ingel_13_150219231949.raw	13	In gel digestion	1	label free	AC=MS:1000639;NT=Orbitrap Fusion	10 ppm	0.05 Da	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-Term;MT=Variable
Sample 1	run 14	homo sapiens	pineal gland	not applicable	not available	not applicable	not available	Normal	not applicable	1	1	Group 0	PXD004332	PG_Ingel_14.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/02/PXD004332/PG_Ingel_14.raw	14	In gel digestion	1	label free	AC=MS:1000639;NT=Orbitrap Fusion	10 ppm	0.05 Da	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-Term;MT=Variable
Sample 1	run 15	homo sapiens	pineal gland	not applicable	not available	not applicable	not available	Normal	not applicable	1	1	Group 0	PXD004332	PG_Ingel_15.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/02/PXD004332/PG_Ingel_15.raw	15	In gel digestion	1	label free	AC=MS:1000639;NT=Orbitrap Fusion	10 ppm	0.05 Da	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-Term;MT=Variable
Sample 1	run 16	homo sapiens	pineal gland	not applicable	not available	not applicable	not available	Normal	not applicable	1	1	Group 0	PXD004332	PG_Ingel_16.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/02/PXD004332/PG_Ingel_16.raw	16	In gel digestion	1	label free	AC=MS:1000639;NT=Orbitrap Fusion	10 ppm	0.05 Da	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-Term;MT=Variable
Sample 1	run 17	homo sapiens	pineal gland	not applicable	not available	not applicable	not available	Normal	not applicable	1	1	Group 0	PXD004332	PG_Ingel_17.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/02/PXD004332/PG_Ingel_17.raw	17	In gel digestion	1	label free	AC=MS:1000639;NT=Orbitrap Fusion	10 ppm	0.05 Da	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-Term;MT=Variable
Sample 1	run 18	homo sapiens	pineal gland	not applicable	not available	not applicable	not available	Normal	not applicable	1	1	Group 0	PXD004332	PG_Ingel_18.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/02/PXD004332/PG_Ingel_18.raw	18	In gel digestion	1	label free	AC=MS:1000639;NT=Orbitrap Fusion	10 ppm	0.05 Da	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-Term;MT=Variable
Sample 1	run 19	homo sapiens	pineal gland	not applicable	not available	not applicable	not available	Normal	not applicable	1	1	Group 0	PXD004332	PG_Ingel_19.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/02/PXD004332/PG_Ingel_19.raw	19	In gel digestion	1	label free	AC=MS:1000639;NT=Orbitrap Fusion	10 ppm	0.05 Da	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-Term;MT=Variable
Sample 1	run 20	homo sapiens	pineal gland	not applicable	not available	not applicable	not available	Normal	not applicable	1	1	Group 0	PXD004332	PG_Ingel_20.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/02/PXD004332/PG_Ingel_20.raw	20	In gel digestion	1	label free	AC=MS:1000639;NT=Orbitrap Fusion	10 ppm	0.05 Da	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-Term;MT=Variable
Sample 1	run 21	homo sapiens	pineal gland	not applicable	not available	not applicable	not available	Normal	not applicable	1	1	Group 0	PXD004332	PG_Ingel_21.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/02/PXD004332/PG_Ingel_21.raw	21	In gel digestion	1	label free	AC=MS:1000639;NT=Orbitrap Fusion	10 ppm	0.05 Da	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-Term;MT=Variable
Sample 1	run 22	homo sapiens	pineal gland	not applicable	not available	not applicable	not available	Normal	not applicable	1	1	Group 0	PXD004332	PG_Ingel_22_Re.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/02/PXD004332/PG_Ingel_22_Re.raw	22	In gel digestion	1	label free	AC=MS:1000639;NT=Orbitrap Fusion	10 ppm	0.05 Da	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-Term;MT=Variable
