source name	characteristics[organism]	characteristics[organism part]	characteristics[cell line]	characteristics[cell type]	characteristics[ancestry category]	characteristics[age]	characteristics[sex]	characteristics[disease]	characteristics[individual]	characteristics[biological replicate]	characteristics[phenotype]	assay name	technology type	comment[data file]	comment[fraction identifier]	comment[label]	comment[technical replicate]	comment[instrument]	comment[proteomics data acquisition method]	comment[cleavage agent details]	comment[cleavage agent details].1	comment[modification parameters]	comment[modification parameters].1	comment[file uri]	factor value[cell line]
585A1-55_1	Homo sapiens	not available	585A1-P55	induced pluripotent stem cell	not available	not available	not available	not available	not available	1	not available	run1	proteomic profiling by mass spectrometry	120126ry_585A1-55_1_1.wiff	1	label free sample	1	NT=TripleTOF 5600;AC=MS:1000932	NT=Data-Dependent Acquisition;AC=NCIT:C161785	AC=MS:1001251;NT=Trypsin	NT=Lys-C;AC=MS:1001309	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	https://repository.jpostdb.org/data/JPST000085.0/120126ry_585A1-55_1_1.wiff	585A1-P55
585A1-55_1	Homo sapiens	not available	585A1-P55	induced pluripotent stem cell	not available	not available	not available	not available	not available	1	not available	run2	proteomic profiling by mass spectrometry	120126ry_585A1-55_1_2.wiff	2	label free sample	1	NT=TripleTOF 5600;AC=MS:1000932	NT=Data-Dependent Acquisition;AC=NCIT:C161785	AC=MS:1001251;NT=Trypsin	NT=Lys-C;AC=MS:1001309	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	https://repository.jpostdb.org/data/JPST000085.0/120126ry_585A1-55_1_2.wiff	585A1-P55
585A1-55_1	Homo sapiens	not available	585A1-P55	induced pluripotent stem cell	not available	not available	not available	not available	not available	1	not available	run3	proteomic profiling by mass spectrometry	120126ry_585A1-55_1_3.wiff	3	label free sample	1	NT=TripleTOF 5600;AC=MS:1000932	NT=Data-Dependent Acquisition;AC=NCIT:C161785	AC=MS:1001251;NT=Trypsin	NT=Lys-C;AC=MS:1001309	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	https://repository.jpostdb.org/data/JPST000085.0/120126ry_585A1-55_1_3.wiff	585A1-P55
585A1-55_1	Homo sapiens	not available	585A1-P55	induced pluripotent stem cell	not available	not available	not available	not available	not available	1	not available	run4	proteomic profiling by mass spectrometry	120126ry_585A1-55_1_4.wiff	4	label free sample	1	NT=TripleTOF 5600;AC=MS:1000932	NT=Data-Dependent Acquisition;AC=NCIT:C161785	AC=MS:1001251;NT=Trypsin	NT=Lys-C;AC=MS:1001309	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	https://repository.jpostdb.org/data/JPST000085.0/120126ry_585A1-55_1_4.wiff	585A1-P55
585A1-55_1	Homo sapiens	not available	585A1-P55	induced pluripotent stem cell	not available	not available	not available	not available	not available	1	not available	run5	proteomic profiling by mass spectrometry	120126ry_585A1-55_1_5.wiff	5	label free sample	1	NT=TripleTOF 5600;AC=MS:1000932	NT=Data-Dependent Acquisition;AC=NCIT:C161785	AC=MS:1001251;NT=Trypsin	NT=Lys-C;AC=MS:1001309	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	https://repository.jpostdb.org/data/JPST000085.0/120126ry_585A1-55_1_5.wiff	585A1-P55
585A1-55_2	Homo sapiens	not available	585A1-P55	induced pluripotent stem cell	not available	not available	not available	not available	not available	1	not available	run6	proteomic profiling by mass spectrometry	120126ry_585A1-55_2_1.wiff	1	label free sample	2	NT=TripleTOF 5600;AC=MS:1000932	NT=Data-Dependent Acquisition;AC=NCIT:C161785	AC=MS:1001251;NT=Trypsin	NT=Lys-C;AC=MS:1001309	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	https://repository.jpostdb.org/data/JPST000085.0/120126ry_585A1-55_2_1.wiff	585A1-P55
585A1-55_2	Homo sapiens	not available	585A1-P55	induced pluripotent stem cell	not available	not available	not available	not available	not available	1	not available	run7	proteomic profiling by mass spectrometry	120126ry_585A1-55_2_2.wiff	2	label free sample	2	NT=TripleTOF 5600;AC=MS:1000932	NT=Data-Dependent Acquisition;AC=NCIT:C161785	AC=MS:1001251;NT=Trypsin	NT=Lys-C;AC=MS:1001309	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	https://repository.jpostdb.org/data/JPST000085.0/120126ry_585A1-55_2_2.wiff	585A1-P55
585A1-55_2	Homo sapiens	not available	585A1-P55	induced pluripotent stem cell	not available	not available	not available	not available	not available	1	not available	run8	proteomic profiling by mass spectrometry	120126ry_585A1-55_2_3.wiff	3	label free sample	2	NT=TripleTOF 5600;AC=MS:1000932	NT=Data-Dependent Acquisition;AC=NCIT:C161785	AC=MS:1001251;NT=Trypsin	NT=Lys-C;AC=MS:1001309	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	https://repository.jpostdb.org/data/JPST000085.0/120126ry_585A1-55_2_3.wiff	585A1-P55
585A1-55_2	Homo sapiens	not available	585A1-P55	induced pluripotent stem cell	not available	not available	not available	not available	not available	1	not available	run9	proteomic profiling by mass spectrometry	120126ry_585A1-55_2_4.wiff	4	label free sample	2	NT=TripleTOF 5600;AC=MS:1000932	NT=Data-Dependent Acquisition;AC=NCIT:C161785	AC=MS:1001251;NT=Trypsin	NT=Lys-C;AC=MS:1001309	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	https://repository.jpostdb.org/data/JPST000085.0/120126ry_585A1-55_2_4.wiff	585A1-P55
585A1-55_2	Homo sapiens	not available	585A1-P55	induced pluripotent stem cell	not available	not available	not available	not available	not available	1	not available	run10	proteomic profiling by mass spectrometry	120126ry_585A1-55_2_5.wiff	5	label free sample	2	NT=TripleTOF 5600;AC=MS:1000932	NT=Data-Dependent Acquisition;AC=NCIT:C161785	AC=MS:1001251;NT=Trypsin	NT=Lys-C;AC=MS:1001309	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	https://repository.jpostdb.org/data/JPST000085.0/120126ry_585A1-55_2_5.wiff	585A1-P55
585A1-55_3	Homo sapiens	not available	585A1-P55	induced pluripotent stem cell	not available	not available	not available	not available	not available	1	not available	run11	proteomic profiling by mass spectrometry	120210ry_585A1-55_3_1.wiff	1	label free sample	3	NT=TripleTOF 5600;AC=MS:1000932	NT=Data-Dependent Acquisition;AC=NCIT:C161785	AC=MS:1001251;NT=Trypsin	NT=Lys-C;AC=MS:1001309	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	https://repository.jpostdb.org/data/JPST000085.0/120210ry_585A1-55_3_1.wiff	585A1-P55
585A1-55_3	Homo sapiens	not available	585A1-P55	induced pluripotent stem cell	not available	not available	not available	not available	not available	1	not available	run12	proteomic profiling by mass spectrometry	120210ry_585A1-55_3_2.wiff	2	label free sample	3	NT=TripleTOF 5600;AC=MS:1000932	NT=Data-Dependent Acquisition;AC=NCIT:C161785	AC=MS:1001251;NT=Trypsin	NT=Lys-C;AC=MS:1001309	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	https://repository.jpostdb.org/data/JPST000085.0/120210ry_585A1-55_3_2.wiff	585A1-P55
