source name	characteristics[organism]	characteristics[organism part]	characteristics[age]	characteristics[developmental stage]	characteristics[sex]	characteristics[disease]	characteristics[cell type]	characteristics[cell line]	characteristics[individual]	characteristics[phenotype]	characteristics[specimen]	characteristics[biological replicate]	characteristics[ancestry category]	material type	assay name	technology type	comment[file uri]	comment[fraction identifier]	comment[data file]	comment[label]	comment[technical replicate]	comment[instrument]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[cleavage agent details]	comment[dissociation method]	comment[collision energy]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	factor value[phenotype]
Sample 1	Homo sapiens	kidney	not available	not available	not available	not available	Human Embryonic Kidney Cells	HEK293T	not available	Mutant	not available	not available	not available	Cell line	run 1	proteomic profiling by mass spectrometry	https://ftp.pride.ebi.ac.uk/pride/data/archive/2015/01/PXD001224/OR2_090902_BTrCP_R447A_IP_Band01.RAW	1	OR2_090902_BTrCP_R447A_IP_Band01.RAW	AC=MS:1002038;NT=label free sample	not available	AC=MS:1000449;NT=LTQ Orbitrap	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Acetyl;AC=UNIMOD:1;PP=PP=Any N-term;MT=Variable	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	AC=MS:1001251;NT=Trypsin	AC=MS:1000422;NT=HCD	not available	4.5 ppm	20 ppm	Mutant
Sample 1	Homo sapiens	kidney	not available	not available	not available	not available	Human Embryonic Kidney Cells	HEK293T	not available	Mutant	not available	not available	not available	Cell line	run 2	proteomic profiling by mass spectrometry	https://ftp.pride.ebi.ac.uk/pride/data/archive/2015/01/PXD001224/OR2_090902_BTrCP_R447A_IP_Band02.RAW	2	OR2_090902_BTrCP_R447A_IP_Band02.RAW	AC=MS:1002038;NT=label free sample	not available	AC=MS:1000449;NT=LTQ Orbitrap	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Acetyl;AC=UNIMOD:1;PP=PP=Any N-term;MT=Variable	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:36	AC=MS:1001251;NT=Trypsin	AC=MS:1000422;NT=HCD	not available	4.5 ppm	20 ppm	Mutant
Sample 1	Homo sapiens	kidney	not available	not available	not available	not available	Human Embryonic Kidney Cells	HEK293T	not available	Mutant	not available	not available	not available	Cell line	run 3	proteomic profiling by mass spectrometry	https://ftp.pride.ebi.ac.uk/pride/data/archive/2015/01/PXD001224/OR2_090902_BTrCP_R447A_IP_Band03.RAW	3	OR2_090902_BTrCP_R447A_IP_Band03.RAW	AC=MS:1002038;NT=label free sample	not available	AC=MS:1000449;NT=LTQ Orbitrap	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Acetyl;AC=UNIMOD:1;PP=PP=Any N-term;MT=Variable	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:37	AC=MS:1001251;NT=Trypsin	AC=MS:1000422;NT=HCD	not available	4.5 ppm	20 ppm	Mutant
Sample 1	Homo sapiens	kidney	not available	not available	not available	not available	Human Embryonic Kidney Cells	HEK293T	not available	Mutant	not available	not available	not available	Cell line	run 4	proteomic profiling by mass spectrometry	https://ftp.pride.ebi.ac.uk/pride/data/archive/2015/01/PXD001224/OR2_090902_BTrCP_R447A_IP_Band04.RAW	4	OR2_090902_BTrCP_R447A_IP_Band04.RAW	AC=MS:1002038;NT=label free sample	not available	AC=MS:1000449;NT=LTQ Orbitrap	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Acetyl;AC=UNIMOD:1;PP=PP=Any N-term;MT=Variable	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:38	AC=MS:1001251;NT=Trypsin	AC=MS:1000422;NT=HCD	not available	4.5 ppm	20 ppm	Mutant
Sample 1	Homo sapiens	kidney	not available	not available	not available	not available	Human Embryonic Kidney Cells	HEK293T	not available	Mutant	not available	not available	not available	Cell line	run 5	proteomic profiling by mass spectrometry	https://ftp.pride.ebi.ac.uk/pride/data/archive/2015/01/PXD001224/OR2_090902_BTrCP_R447A_IP_Band05.RAW	5	OR2_090902_BTrCP_R447A_IP_Band05.RAW	AC=MS:1002038;NT=label free sample	not available	AC=MS:1000449;NT=LTQ Orbitrap	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Acetyl;AC=UNIMOD:1;PP=PP=Any N-term;MT=Variable	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:39	AC=MS:1001251;NT=Trypsin	AC=MS:1000422;NT=HCD	not available	4.5 ppm	20 ppm	Mutant
Sample 1	Homo sapiens	kidney	not available	not available	not available	not available	Human Embryonic Kidney Cells	HEK293T	not available	Mutant	not available	not available	not available	Cell line	run 6	proteomic profiling by mass spectrometry	https://ftp.pride.ebi.ac.uk/pride/data/archive/2015/01/PXD001224/OR2_090902_BTrCP_R447A_IP_Band06.RAW	6	OR2_090902_BTrCP_R447A_IP_Band06.RAW	AC=MS:1002038;NT=label free sample	not available	AC=MS:1000449;NT=LTQ Orbitrap	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Acetyl;AC=UNIMOD:1;PP=PP=Any N-term;MT=Variable	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:40	AC=MS:1001251;NT=Trypsin	AC=MS:1000422;NT=HCD	not available	4.5 ppm	20 ppm	Mutant
Sample 1	Homo sapiens	kidney	not available	not available	not available	not available	Human Embryonic Kidney Cells	HEK293T	not available	Mutant	not available	not available	not available	Cell line	run 7	proteomic profiling by mass spectrometry	https://ftp.pride.ebi.ac.uk/pride/data/archive/2015/01/PXD001224/OR2_090902_BTrCP_R447A_IP_Band07.RAW	7	OR2_090902_BTrCP_R447A_IP_Band07.RAW	AC=MS:1002038;NT=label free sample	not available	AC=MS:1000449;NT=LTQ Orbitrap	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Acetyl;AC=UNIMOD:1;PP=PP=Any N-term;MT=Variable	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:41	AC=MS:1001251;NT=Trypsin	AC=MS:1000422;NT=HCD	not available	4.5 ppm	20 ppm	Mutant
Sample 1	Homo sapiens	kidney	not available	not available	not available	not available	Human Embryonic Kidney Cells	HEK293T	not available	Mutant	not available	not available	not available	Cell line	run 8	proteomic profiling by mass spectrometry	https://ftp.pride.ebi.ac.uk/pride/data/archive/2015/01/PXD001224/OR2_090902_BTrCP_R447A_IP_Band08.RAW	8	OR2_090902_BTrCP_R447A_IP_Band08.RAW	AC=MS:1002038;NT=label free sample	not available	AC=MS:1000449;NT=LTQ Orbitrap	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Acetyl;AC=UNIMOD:1;PP=PP=Any N-term;MT=Variable	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:42	AC=MS:1001251;NT=Trypsin	AC=MS:1000422;NT=HCD	not available	4.5 ppm	20 ppm	Mutant
Sample 1	Homo sapiens	kidney	not available	not available	not available	not available	Human Embryonic Kidney Cells	HEK293T	not available	Mutant	not available	not available	not available	Cell line	run 9	proteomic profiling by mass spectrometry	https://ftp.pride.ebi.ac.uk/pride/data/archive/2015/01/PXD001224/OR2_090902_BTrCP_R447A_IP_Band09.RAW	9	OR2_090902_BTrCP_R447A_IP_Band09.RAW	AC=MS:1002038;NT=label free sample	not available	AC=MS:1000449;NT=LTQ Orbitrap	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Acetyl;AC=UNIMOD:1;PP=PP=Any N-term;MT=Variable	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:43	AC=MS:1001251;NT=Trypsin	AC=MS:1000422;NT=HCD	not available	4.5 ppm	20 ppm	Mutant
Sample 1	Homo sapiens	kidney	not available	not available	not available	not available	Human Embryonic Kidney Cells	HEK293T	not available	Mutant	not available	not available	not available	Cell line	run 10	proteomic profiling by mass spectrometry	https://ftp.pride.ebi.ac.uk/pride/data/archive/2015/01/PXD001224/OR2_090902_BTrCP_R447A_IP_Band10.RAW	10	OR2_090902_BTrCP_R447A_IP_Band10.RAW	AC=MS:1002038;NT=label free sample	not available	AC=MS:1000449;NT=LTQ Orbitrap	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Acetyl;AC=UNIMOD:1;PP=PP=Any N-term;MT=Variable	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:44	AC=MS:1001251;NT=Trypsin	AC=MS:1000422;NT=HCD	not available	4.5 ppm	20 ppm	Mutant
