source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[cell line]	characteristics[developmental stage]	characteristics[disease]	characteristics[ancestry category]	characteristics[sex]	characteristics[age]	material type	characteristics[biological replicate]	assay name	technology type	comment[data file]	comment[file uri]	comment[proteomexchange accession number]	comment[technical replicate]	comment[fraction identifier]	comment[label]	comment[cleavage agent details]	comment[instrument]	comment[modification parameters]	comment[modification parameters]	comment[lowest observed m/z]	comment[highest observed m/z]	factor value[cell line]
LE_CCRFCEM_a	Homo sapiens	blood	not available	CCRFCEM	not available	acute lymphoblastic leukemia	caucasian	Female	3Y11M	cell	1	Run 1	proteomic profiling by mass spectrometer	guot_L130610_003_SW.wiff	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/06/PXD003539/guot_L130610_003_SW.wiff	PXD003539	1	1	AC=MS:1002038;NT=label free sample	AC=MS:1001251;NT=Trypsin	NT=TripleTOF 5600;AC=MS:1000932	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	400	1200	CCRFCEM
LC_EKVX_a	Homo sapiens	lung	not available	EKVX	not available	non-small cell lung carcinoma	caucasian	Male	not available	cell	1	Run 2	proteomic profiling by mass spectrometer	guot_L130610_004_SW.wiff	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/06/PXD003539/guot_L130610_004_SW.wiff	PXD003539	1	1	AC=MS:1002038;NT=label free sample	AC=MS:1001251;NT=Trypsin	NT=TripleTOF 5600;AC=MS:1000932	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	400	1200	EKVX
CO_HCT116_a	Homo sapiens	large intestine	not available	HCT116	not available	colon carcinoma	caucasian	Male	48Y	cell	1	Run 3	proteomic profiling by mass spectrometer	guot_L130610_005_SW.wiff	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/06/PXD003539/guot_L130610_005_SW.wiff	PXD003539	1	1	AC=MS:1002038;NT=label free sample	AC=MS:1001251;NT=Trypsin	NT=TripleTOF 5600;AC=MS:1000932	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	400	1200	HCT116
OV_IGROV1_a	Homo sapiens	ovary	not available	IGROV-1	not available	ovarian carcinoma	caucasian	Female	47Y	cell	1	Run 4	proteomic profiling by mass spectrometer	guot_L130610_006_SW.wiff	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/06/PXD003539/guot_L130610_006_SW.wiff	PXD003539	1	1	AC=MS:1002038;NT=label free sample	AC=MS:1001251;NT=Trypsin	NT=TripleTOF 5600;AC=MS:1000932	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	400	1200	IGROV-1
RE_RXF393_a	Homo sapiens	kidney	not available	RXF393	not available	clear cell renal carcinoma	caucasian	Male	54Y	cell	1	Run 5	proteomic profiling by mass spectrometer	guot_L130611_007_SW.wiff	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/06/PXD003539/guot_L130611_007_SW.wiff	PXD003539	1	1	AC=MS:1002038;NT=label free sample	AC=MS:1001251;NT=Trypsin	NT=TripleTOF 5600;AC=MS:1000932	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	400	1200	RXF393
RE_CAKI1_a	Homo sapiens	kidney	not available	CAKI-1	not available	renal clear cell adenocarcinoma	caucasian	Male	49Y	cell	1	Run 6	proteomic profiling by mass spectrometer	guot_L130611_010_SW.wiff	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/06/PXD003539/guot_L130611_010_SW.wiff	PXD003539	1	1	AC=MS:1002038;NT=label free sample	AC=MS:1001251;NT=Trypsin	NT=TripleTOF 5600;AC=MS:1000932	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	400	1200	CAKI-1
CO_KM12_a	Homo sapiens	large intestine	not available	KM12	not available	colon adenocarcinoma	caucasian	not available	not available	cell	1	Run 7	proteomic profiling by mass spectrometer	guot_L130611_011_SW.wiff	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/06/PXD003539/guot_L130611_011_SW.wiff	PXD003539	1	1	AC=MS:1002038;NT=label free sample	AC=MS:1001251;NT=Trypsin	NT=TripleTOF 5600;AC=MS:1000932	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	400	1200	KM12
CNS_SF539_a	Homo sapiens	brain	not available	SF539	not available	glioma	caucasian	Female	34Y	cell	1	Run 8	proteomic profiling by mass spectrometer	guot_L130611_012_SW.wiff	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/06/PXD003539/guot_L130611_012_SW.wiff	PXD003539	1	1	AC=MS:1002038;NT=label free sample	AC=MS:1001251;NT=Trypsin	NT=TripleTOF 5600;AC=MS:1000932	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	400	1200	SF539
ME_SKMEL2_a	Homo sapiens	skin	not available	SK-MEL-2	not available	malignant melanoma	caucasian	Male	60Y	cell	1	Run 9	proteomic profiling by mass spectrometer	guot_L130611_013_SW.wiff	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/06/PXD003539/guot_L130611_013_SW.wiff	PXD003539	1	1	AC=MS:1002038;NT=label free sample	AC=MS:1001251;NT=Trypsin	NT=TripleTOF 5600;AC=MS:1000932	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	400	1200	SK-MEL-2
OV_SKOV3_a	Homo sapiens	ovary	not available	SKOV3	not available	ovarian carcinoma	caucasian	Female	64Y	cell	1	Run 10	proteomic profiling by mass spectrometer	guot_L130611_014_SW.wiff	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/06/PXD003539/guot_L130611_014_SW.wiff	PXD003539	1	1	AC=MS:1002038;NT=label free sample	AC=MS:1001251;NT=Trypsin	NT=TripleTOF 5600;AC=MS:1000932	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	400	1200	SKOV3
RE_7860_a	Homo sapiens	kidney	not available	786-O	not available	renal cell adenocarcinoma	caucasian	Male	58Y	cell	1	Run 11	proteomic profiling by mass spectrometer	guot_L130612_002_SW.wiff	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/06/PXD003539/guot_L130612_002_SW.wiff	PXD003539	1	1	AC=MS:1002038;NT=label free sample	AC=MS:1001251;NT=Trypsin	NT=TripleTOF 5600;AC=MS:1000932	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	400	1200	786-O
CO_HT29_a	Homo sapiens	large intestine	not available	HT-29	not available	colon adenocarcinoma	caucasian	Female	44Y	cell	1	Run 12	proteomic profiling by mass spectrometer	guot_L130612_003_SW.wiff	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/06/PXD003539/guot_L130612_003_SW.wiff	PXD003539	1	1	AC=MS:1002038;NT=label free sample	AC=MS:1001251;NT=Trypsin	NT=TripleTOF 5600;AC=MS:1000932	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	400	1200	HT-29
LE_K562_a	Homo sapiens	blood	not available	K-562	not available	chronic myelogenic leukemia	caucasian	Female	53Y	cell	1	Run 13	proteomic profiling by mass spectrometer	guot_L130612_004_SW.wiff	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/06/PXD003539/guot_L130612_004_SW.wiff	PXD003539	1	1	AC=MS:1002038;NT=label free sample	AC=MS:1001251;NT=Trypsin	NT=TripleTOF 5600;AC=MS:1000932	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	400	1200	K-562
BR_MDAMB231_a	Homo sapiens	breast	not available	MDAMB231	not available	breast adenocarcinoma	caucasian	Female	51Y	cell	1	Run 14	proteomic profiling by mass spectrometer	guot_L130612_005_SW.wiff	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/06/PXD003539/guot_L130612_005_SW.wiff	PXD003539	1	1	AC=MS:1002038;NT=label free sample	AC=MS:1001251;NT=Trypsin	NT=TripleTOF 5600;AC=MS:1000932	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	400	1200	MDAMB231
ME_SKMEL5_a	Homo sapiens	skin	not available	SK-MEL-5	not available	malignant melanoma	caucasian	Female	24Y	cell	1	Run 15	proteomic profiling by mass spectrometer	guot_L130612_006_SW.wiff	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/06/PXD003539/guot_L130612_006_SW.wiff	PXD003539	1	1	AC=MS:1002038;NT=label free sample	AC=MS:1001251;NT=Trypsin	NT=TripleTOF 5600;AC=MS:1000932	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	400	1200	SK-MEL-5
LE_HL60_a	Homo sapiens	blood	not available	HL-60	not available	promyelocytic leukemia	caucasian	Female	35Y	cell	1	Run 16	proteomic profiling by mass spectrometer	guot_L130613_002_SW.wiff	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/06/PXD003539/guot_L130613_002_SW.wiff	PXD003539	1	1	AC=MS:1002038;NT=label free sample	AC=MS:1001251;NT=Trypsin	NT=TripleTOF 5600;AC=MS:1000932	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	400	1200	HL-60
BR_MCF7_a	Homo sapiens	breast	not available	MCF-7	not available	breast adenocarcinoma	caucasian	Female	69Y	cell	1	Run 17	proteomic profiling by mass spectrometer	guot_L130613_003_SW.wiff	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/06/PXD003539/guot_L130613_003_SW.wiff	PXD003539	1	1	AC=MS:1002038;NT=label free sample	AC=MS:1001251;NT=Trypsin	NT=TripleTOF 5600;AC=MS:1000932	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	400	1200	MCF-7
