source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[cultured cell]	assay name	comment[data file]	comment[file uri]	comment[fraction identifier]	comment[label]	comment[instrument]	comment[MS2 analyzer type]	comment[depletion]	comment[collision energy]	comment[dissociation method]	comment[cleavage agent details]	comment[modification parameters]	comment[modification parameters]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[number of missed cleavages]	factor value[disease]	material type
sample1	homo sapiens	"NT=Liver;AC=NCIT:C12392"	epithelial cell	"NT=hepatocellular carcinoma;AC=DOID:684"	"NT=HepG2;AC=EFO:0001187"	OEII15639	OEII15639.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/05/PXD005507/OEII15639.raw	1	label free sample	"NT=LTQ Orbitrap Elite;AC=MS:1001910"	linear ion trap		35% NCE	collision-induced dissociation	"NT=Trypsin; AC=MS:1001251; CS=(??[KR])(?!P)"	"NT=Oxidation; MT=Variable; AC=Unimod:35; TA=M"	"NT=Carbamidomethyl; MT=Fixed; AC=Unimod:4; TA=C"	5 ppm	0.4 Da	1	Mn complex	cell
sample1	homo sapiens	"NT=Liver;AC=NCIT:C12392"	epithelial cell	"NT=hepatocellular carcinoma;AC=DOID:684"	"NT=HepG2;AC=EFO:0001187"	OEII15637	OEII15637.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/05/PXD005507/OEII15637.raw	1	label free sample	"NT=LTQ Orbitrap Elite;AC=MS:1001910"	linear ion trap		35% NCE	collision-induced dissociation	"NT=Trypsin; AC=MS:1001251; CS=(??[KR])(?!P)"	"NT=Oxidation; MT=Variable; AC=Unimod:35; TA=M"	"NT=Carbamidomethyl; MT=Fixed; AC=Unimod:4; TA=C"	5 ppm	0.4 Da	1	Cu complex	cell
sample1	homo sapiens	"NT=Liver;AC=NCIT:C12392"	epithelial cell	"NT=hepatocellular carcinoma;AC=DOID:684"	"NT=HepG2;AC=EFO:0001187"	OEII15635	OEII15635.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/05/PXD005507/OEII15635.raw	1	label free sample	"NT=LTQ Orbitrap Elite;AC=MS:1001910"	linear ion trap		35% NCE	collision-induced dissociation	"NT=Trypsin; AC=MS:1001251; CS=(??[KR])(?!P)"	"NT=Oxidation; MT=Variable; AC=Unimod:35; TA=M"	"NT=Carbamidomethyl; MT=Fixed; AC=Unimod:4; TA=C"	5 ppm	0.4 Da	1	Cu complex	cell
sample1	homo sapiens	"NT=Liver;AC=NCIT:C12392"	epithelial cell	"NT=hepatocellular carcinoma;AC=DOID:684"	"NT=HepG2;AC=EFO:0001187"	OEII15633	OEII15633.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/05/PXD005507/OEII15633.raw	1	label free sample	"NT=LTQ Orbitrap Elite;AC=MS:1001910"	linear ion trap		35% NCE	collision-induced dissociation	"NT=Trypsin; AC=MS:1001251; CS=(??[KR])(?!P)"	"NT=Oxidation; MT=Variable; AC=Unimod:35; TA=M"	"NT=Carbamidomethyl; MT=Fixed; AC=Unimod:4; TA=C"	5 ppm	0.4 Da	1	Mn complex	cell
sample1	homo sapiens	"NT=Liver;AC=NCIT:C12392"	epithelial cell	"NT=hepatocellular carcinoma;AC=DOID:684"	"NT=HepG2;AC=EFO:0001187"	OEII15631	OEII15631.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/05/PXD005507/OEII15631.raw	1	label free sample	"NT=LTQ Orbitrap Elite;AC=MS:1001910"	linear ion trap		35% NCE	collision-induced dissociation	"NT=Trypsin; AC=MS:1001251; CS=(??[KR])(?!P)"	"NT=Oxidation; MT=Variable; AC=Unimod:35; TA=M"	"NT=Carbamidomethyl; MT=Fixed; AC=Unimod:4; TA=C"	5 ppm	0.4 Da	1	DMSO	cell
sample1	homo sapiens	"NT=Liver;AC=NCIT:C12392"	epithelial cell	"NT=hepatocellular carcinoma;AC=DOID:684"	"NT=HepG2;AC=EFO:0001187"	OEII15601	OEII15601.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/05/PXD005507/OEII15601.raw	1	label free sample	"NT=LTQ Orbitrap Elite;AC=MS:1001910"	linear ion trap		35% NCE	collision-induced dissociation	"NT=Trypsin; AC=MS:1001251; CS=(??[KR])(?!P)"	"NT=Oxidation; MT=Variable; AC=Unimod:35; TA=M"	"NT=Carbamidomethyl; MT=Fixed; AC=Unimod:4; TA=C"	5 ppm	0.4 Da	1	Cu complex	cell
sample1	homo sapiens	"NT=Liver;AC=NCIT:C12392"	epithelial cell	"NT=hepatocellular carcinoma;AC=DOID:684"	"NT=HepG2;AC=EFO:0001187"	OEII15629	OEII15629.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/05/PXD005507/OEII15629.raw	1	label free sample	"NT=LTQ Orbitrap Elite;AC=MS:1001910"	linear ion trap		35% NCE	collision-induced dissociation	"NT=Trypsin; AC=MS:1001251; CS=(??[KR])(?!P)"	"NT=Oxidation; MT=Variable; AC=Unimod:35; TA=M"	"NT=Carbamidomethyl; MT=Fixed; AC=Unimod:4; TA=C"	5 ppm	0.4 Da	1	Cu complex	cell
sample1	homo sapiens	"NT=Liver;AC=NCIT:C12392"	epithelial cell	"NT=hepatocellular carcinoma;AC=DOID:684"	"NT=HepG2;AC=EFO:0001187"	OEII15625	OEII15625.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/05/PXD005507/OEII15625.raw	1	label free sample	"NT=LTQ Orbitrap Elite;AC=MS:1001910"	linear ion trap		35% NCE	collision-induced dissociation	"NT=Trypsin; AC=MS:1001251; CS=(??[KR])(?!P)"	"NT=Oxidation; MT=Variable; AC=Unimod:35; TA=M"	"NT=Carbamidomethyl; MT=Fixed; AC=Unimod:4; TA=C"	5 ppm	0.4 Da	1	Mn complex	cell
sample1	homo sapiens	"NT=Liver;AC=NCIT:C12392"	epithelial cell	"NT=hepatocellular carcinoma;AC=DOID:684"	"NT=HepG2;AC=EFO:0001187"	OEII15623	OEII15623.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/05/PXD005507/OEII15623.raw	1	label free sample	"NT=LTQ Orbitrap Elite;AC=MS:1001910"	linear ion trap		35% NCE	collision-induced dissociation	"NT=Trypsin; AC=MS:1001251; CS=(??[KR])(?!P)"	"NT=Oxidation; MT=Variable; AC=Unimod:35; TA=M"	"NT=Carbamidomethyl; MT=Fixed; AC=Unimod:4; TA=C"	5 ppm	0.4 Da	1	DMSO	cell
sample1	homo sapiens	"NT=Liver;AC=NCIT:C12392"	epithelial cell	"NT=hepatocellular carcinoma;AC=DOID:684"	"NT=HepG2;AC=EFO:0001187"	OEII15621	OEII15621.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/05/PXD005507/OEII15621.raw	1	label free sample	"NT=LTQ Orbitrap Elite;AC=MS:1001910"	linear ion trap		35% NCE	collision-induced dissociation	"NT=Trypsin; AC=MS:1001251; CS=(??[KR])(?!P)"	"NT=Oxidation; MT=Variable; AC=Unimod:35; TA=M"	"NT=Carbamidomethyl; MT=Fixed; AC=Unimod:4; TA=C"	5 ppm	0.4 Da	1	Mn complex	cell
