#file_format=SDRF
#version=v1.1.0
#template=ms-proteomics,version=v1.1.0
source name	characteristics[organism]	characteristics[organism part]	characteristics[strain/breed]	characteristics[disease]	characteristics[cell type]	characteristics[growth condition]	characteristics[biological replicate]	characteristics[medium]	characteristics[medium supplements]	characteristics[aeration]	characteristics[temperature]	characteristics[pH]	characteristics[growth phase]	characteristics[growth rate]	assay name	technology type	comment[technical replicate]	comment[proteomics data acquisition method]	comment[data file]	comment[fraction identifier]	comment[label]	comment[instrument]	comment[cleavage agent details]	comment[cleavage agent details]	comment[fragment mass tolerance]	comment[precursor mass tolerance]	comment[reduction reagent]	comment[alkylation reagent]	comment[modification parameters]	comment[modification parameters]	comment[dissociation method]	comment[file uri]	factor value[strain/breed]	factor value[growth condition]
Sample 1	Escherichia coli	Cell lysate	Escherichia coli str. K-12 substr. MG1655	Not applicable	Prokaryotic cell	LB medium	1	LB medium	Not applicable	Not available	37°C	7	Steady state growth	1,78	Run 1	Proteomic profiling by mass spectrometry	1	NT=Data-dependent acquisition;AC=PRIDE:0000627	A14-07016.raw	1	Label free sample	NT=Orbitrap Elite	NT=Trypsin;AC=1001251	NT=LysC; AC=1001309	0.02 Da	10 ppm	TCEP	IAA	NT=Carbamidomethyl;AC=4;CF=H(3) C(2) N O;MM=57.021464;MT=Fixed;PP=Anywhere;TA=['C']	NT=Oxidation; MT=Variable; TA=M	NT=HCD; AC=MS:1002481	https://ftp.pride.ebi.ac.uk/pride/data/archive/2015/10/PXD000498/A14-07016.raw	Escherichia coli str. K-12 substr. MG1655	LB medium
Sample 2	Escherichia coli	Cell lysate	Escherichia coli str. K-12 substr. MG1655	Not applicable	Prokaryotic cell	LB medium	2	LB medium	Not applicable	Not available	37°C	7	Steady state growth	1,78	Run 2	Proteomic profiling by mass spectrometry	1	NT=Data-dependent acquisition;AC=PRIDE:0000627	A14-07017.raw	1	Label free sample	NT=Orbitrap Elite	NT=Trypsin;AC=1001251	NT=LysC; AC=1001309	0.02 Da	10 ppm	TCEP	IAA	NT=Carbamidomethyl;AC=4;CF=H(3) C(2) N O;MM=57.021464;MT=Fixed;PP=Anywhere;TA=['C']	NT=Oxidation; MT=Variable; TA=M	NT=HCD; AC=MS:1002481	https://ftp.pride.ebi.ac.uk/pride/data/archive/2015/10/PXD000498/A14-07017.raw	Escherichia coli str. K-12 substr. MG1655	LB medium
Sample 3	Escherichia coli	Cell lysate	Escherichia coli str. K-12 substr. MG1655	Not applicable	Prokaryotic cell	LB medium	3	LB medium	Not applicable	Not available	37°C	7	Steady state growth	1,78	Run 3	Proteomic profiling by mass spectrometry	1	NT=Data-dependent acquisition;AC=PRIDE:0000627	A14-07018.raw	1	Label free sample	NT=Orbitrap Elite	NT=Trypsin;AC=1001251	NT=LysC; AC=1001309	0.02 Da	10 ppm	TCEP	IAA	NT=Carbamidomethyl;AC=4;CF=H(3) C(2) N O;MM=57.021464;MT=Fixed;PP=Anywhere;TA=['C']	NT=Oxidation; MT=Variable; TA=M	NT=HCD; AC=MS:1002481	https://ftp.pride.ebi.ac.uk/pride/data/archive/2015/10/PXD000498/A14-07018.raw	Escherichia coli str. K-12 substr. MG1655	LB medium
Sample 4	Escherichia coli	Cell lysate	Escherichia coli str. K-12 substr. NCM3722	Not applicable	Prokaryotic cell	LB medium	1	LB medium	Not applicable	Not available	37°C	7	Steady state growth	2,3	Run 4	Proteomic profiling by mass spectrometry	1	NT=Data-dependent acquisition;AC=PRIDE:0000627	A14-07020.raw	1	Label free sample	NT=Orbitrap Elite	NT=Trypsin;AC=1001251	NT=LysC; AC=1001310	0.02 Da	10 ppm	TCEP	IAA	NT=Carbamidomethyl;AC=4;CF=H(3) C(2) N O;MM=57.021464;MT=Fixed;PP=Anywhere;TA=['C']	NT=Oxidation; MT=Variable; TA=M	NT=HCD; AC=MS:1002481	https://ftp.pride.ebi.ac.uk/pride/data/archive/2015/10/PXD000498/A14-07020.raw	Escherichia coli str. K-12 substr. NCM3722	LB medium
Sample 5	Escherichia coli	Cell lysate	Escherichia coli str. K-12 substr. NCM3722	Not applicable	Prokaryotic cell	LB medium	2	LB medium	Not applicable	Not available	37°C	7	Steady state growth	2,3	Run 5	Proteomic profiling by mass spectrometry	1	NT=Data-dependent acquisition;AC=PRIDE:0000627	A14-07021.raw	1	Label free sample	NT=Orbitrap Elite	NT=Trypsin;AC=1001251	NT=LysC; AC=1001311	0.02 Da	10 ppm	TCEP	IAA	NT=Carbamidomethyl;AC=4;CF=H(3) C(2) N O;MM=57.021464;MT=Fixed;PP=Anywhere;TA=['C']	NT=Oxidation; MT=Variable; TA=M	NT=HCD; AC=MS:1002481	https://ftp.pride.ebi.ac.uk/pride/data/archive/2015/10/PXD000498/A14-07021.raw	Escherichia coli str. K-12 substr. NCM3722	LB medium
Sample 6	Escherichia coli	Cell lysate	Escherichia coli str. K-12 substr. NCM3722	Not applicable	Prokaryotic cell	LB medium	3	LB medium	Not applicable	Not available	37°C	7	Steady state growth	2,3	Run 6	Proteomic profiling by mass spectrometry	1	NT=Data-dependent acquisition;AC=PRIDE:0000627	A14-07022.raw	1	Label free sample	NT=Orbitrap Elite	NT=Trypsin;AC=1001251	NT=LysC; AC=1001312	0.02 Da	10 ppm	TCEP	IAA	NT=Carbamidomethyl;AC=4;CF=H(3) C(2) N O;MM=57.021464;MT=Fixed;PP=Anywhere;TA=['C']	NT=Oxidation; MT=Variable; TA=M	NT=HCD; AC=MS:1002481	https://ftp.pride.ebi.ac.uk/pride/data/archive/2015/10/PXD000498/A14-07022.raw	Escherichia coli str. K-12 substr. NCM3722	LB medium
Sample 7	Escherichia coli	Cell lysate	Escherichia coli str. K-12 substr. MG1655	Not applicable	Prokaryotic cell	Glucose	1	M9 minimal medium	Glucose	Not available	37°C	7	Steady state growth	0,67	Run 7	Proteomic profiling by mass spectrometry	1	NT=Data-dependent acquisition;AC=PRIDE:0000627	A14-07024.raw	1	Label free sample	NT=Orbitrap Elite	NT=Trypsin;AC=1001251	NT=LysC; AC=1001313	0.02 Da	10 ppm	TCEP	IAA	NT=Carbamidomethyl;AC=4;CF=H(3) C(2) N O;MM=57.021464;MT=Fixed;PP=Anywhere;TA=['C']	NT=Oxidation; MT=Variable; TA=M	NT=HCD; AC=MS:1002481	https://ftp.pride.ebi.ac.uk/pride/data/archive/2015/10/PXD000498/A14-07024.raw	Escherichia coli str. K-12 substr. MG1655	Glucose
Sample 8	Escherichia coli	Cell lysate	Escherichia coli str. K-12 substr. MG1655	Not applicable	Prokaryotic cell	Glucose	2	M9 minimal medium	Glucose	Not available	37°C	7	Steady state growth	0,67	Run 8	Proteomic profiling by mass spectrometry	1	NT=Data-dependent acquisition;AC=PRIDE:0000627	A14-07025.raw	1	Label free sample	NT=Orbitrap Elite	NT=Trypsin;AC=1001251	NT=LysC; AC=1001314	0.02 Da	10 ppm	TCEP	IAA	NT=Carbamidomethyl;AC=4;CF=H(3) C(2) N O;MM=57.021464;MT=Fixed;PP=Anywhere;TA=['C']	NT=Oxidation; MT=Variable; TA=M	NT=HCD; AC=MS:1002481	https://ftp.pride.ebi.ac.uk/pride/data/archive/2015/10/PXD000498/A14-07025.raw	Escherichia coli str. K-12 substr. MG1655	Glucose
Sample 9	Escherichia coli	Cell lysate	Escherichia coli str. K-12 substr. MG1655	Not applicable	Prokaryotic cell	Glucose	3	M9 minimal medium	Glucose	Not available	37°C	7	Steady state growth	0,67	Run 9	Proteomic profiling by mass spectrometry	1	NT=Data-dependent acquisition;AC=PRIDE:0000627	A14-07026.raw	1	Label free sample	NT=Orbitrap Elite	NT=Trypsin;AC=1001251	NT=LysC; AC=1001315	0.02 Da	10 ppm	TCEP	IAA	NT=Carbamidomethyl;AC=4;CF=H(3) C(2) N O;MM=57.021464;MT=Fixed;PP=Anywhere;TA=['C']	NT=Oxidation; MT=Variable; TA=M	NT=HCD; AC=MS:1002481	https://ftp.pride.ebi.ac.uk/pride/data/archive/2015/10/PXD000498/A14-07026.raw	Escherichia coli str. K-12 substr. MG1655	Glucose
Sample 10	Escherichia coli	Cell lysate	Escherichia coli str. K-12 substr. NCM3722	Not applicable	Prokaryotic cell	Glucose	1	M9 minimal medium	Glucose	Not available	37°C	7	Steady state growth	1,03	Run 10	Proteomic profiling by mass spectrometry	1	NT=Data-dependent acquisition;AC=PRIDE:0000627	A14-07028.raw	1	Label free sample	NT=Orbitrap Elite	NT=Trypsin;AC=1001251	NT=LysC; AC=1001316	0.02 Da	10 ppm	TCEP	IAA	NT=Carbamidomethyl;AC=4;CF=H(3) C(2) N O;MM=57.021464;MT=Fixed;PP=Anywhere;TA=['C']	NT=Oxidation; MT=Variable; TA=M	NT=HCD; AC=MS:1002481	https://ftp.pride.ebi.ac.uk/pride/data/archive/2015/10/PXD000498/A14-07028.raw	Escherichia coli str. K-12 substr. NCM3722	Glucose
