source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[cell line]	characteristics[ancestry category]	characteristics[age]	characteristics[sex]	characteristics[disease]	characteristics[individual]	assay name	comment[data file]	comment[fraction identifier]	comment[label]	comment[technical replicate]	comment[instrument]	comment[proteomics data acquisition method]	comment[cleavage agent details]	comment[cleavage agent details]	comment[modification parameters]	comment[modification parameters]	comment[file uri]	factor value[cell line]
32R1-32	Homo sapiens	not available	not available	32R1-P32	not available	not available	not available	not available	not available	run 1	120210ry_32R1-32_2_1.wiff	1	label free sample	1	NT=TripleTOF 5600;AC=MS:1000932	NT=Data-Dependent Acquisition;AC=NCIT:C161785	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	https://repository.jpostdb.org/data/JPST000082.0/120210ry_32R1-32_2_1.wiff	32R1-P32
32R1-32	Homo sapiens	not available	not available	32R1-P32	not available	not available	not available	not available	not available	run 2	120210ry_32R1-32_2_2.wiff	2	label free sample	1	NT=TripleTOF 5600;AC=MS:1000932	NT=Data-Dependent Acquisition;AC=NCIT:C161785	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	https://repository.jpostdb.org/data/JPST000082.0/120210ry_32R1-32_2_2.wiff	32R1-P32
32R1-32	Homo sapiens	not available	not available	32R1-P32	not available	not available	not available	not available	not available	run 3	120210ry_32R1-32_2_3.wiff	3	label free sample	1	NT=TripleTOF 5600;AC=MS:1000932	NT=Data-Dependent Acquisition;AC=NCIT:C161785	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	https://repository.jpostdb.org/data/JPST000082.0/120210ry_32R1-32_2_3.wiff	32R1-P32
32R1-32	Homo sapiens	not available	not available	32R1-P32	not available	not available	not available	not available	not available	run 4	120210ry_32R1-32_2_4.wiff	4	label free sample	1	NT=TripleTOF 5600;AC=MS:1000932	NT=Data-Dependent Acquisition;AC=NCIT:C161785	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	https://repository.jpostdb.org/data/JPST000082.0/120210ry_32R1-32_2_4.wiff	32R1-P32
32R1-32	Homo sapiens	not available	not available	32R1-P32	not available	not available	not available	not available	not available	run 5	120210ry_32R1-32_2_5.wiff	5	label free sample	1	NT=TripleTOF 5600;AC=MS:1000932	NT=Data-Dependent Acquisition;AC=NCIT:C161785	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	https://repository.jpostdb.org/data/JPST000082.0/120210ry_32R1-32_2_5.wiff	32R1-P32
32R1-32	Homo sapiens	not available	not available	32R1-P32	not available	not available	not available	not available	not available	run 6	120210ry_32R1-32_3_1.wiff	1	label free sample	2	NT=TripleTOF 5600;AC=MS:1000932	NT=Data-Dependent Acquisition;AC=NCIT:C161785	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	https://repository.jpostdb.org/data/JPST000082.0/120210ry_32R1-32_3_1.wiff	32R1-P32
32R1-32	Homo sapiens	not available	not available	32R1-P32	not available	not available	not available	not available	not available	run 7	120210ry_32R1-32_3_2.wiff	2	label free sample	2	NT=TripleTOF 5600;AC=MS:1000932	NT=Data-Dependent Acquisition;AC=NCIT:C161785	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	https://repository.jpostdb.org/data/JPST000082.0/120210ry_32R1-32_3_2.wiff	32R1-P32
32R1-32	Homo sapiens	not available	not available	32R1-P32	not available	not available	not available	not available	not available	run 8	120210ry_32R1-32_3_3.wiff	3	label free sample	2	NT=TripleTOF 5600;AC=MS:1000932	NT=Data-Dependent Acquisition;AC=NCIT:C161785	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	https://repository.jpostdb.org/data/JPST000082.0/120210ry_32R1-32_3_3.wiff	32R1-P32
32R1-32	Homo sapiens	not available	not available	32R1-P32	not available	not available	not available	not available	not available	run 9	120210ry_32R1-32_3_4.wiff	4	label free sample	2	NT=TripleTOF 5600;AC=MS:1000932	NT=Data-Dependent Acquisition;AC=NCIT:C161785	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	https://repository.jpostdb.org/data/JPST000082.0/120210ry_32R1-32_3_4.wiff	32R1-P32
32R1-32	Homo sapiens	not available	not available	32R1-P32	not available	not available	not available	not available	not available	run 10	120210ry_32R1-32_3_5.wiff	5	label free sample	2	NT=TripleTOF 5600;AC=MS:1000932	NT=Data-Dependent Acquisition;AC=NCIT:C161785	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	https://repository.jpostdb.org/data/JPST000082.0/120210ry_32R1-32_3_5.wiff	32R1-P32
32R1-32	Homo sapiens	not available	not available	32R1-P32	not available	not available	not available	not available	not available	run 11	120214ry_32R1-32_4_1.wiff	1	label free sample	3	NT=TripleTOF 5600;AC=MS:1000932	NT=Data-Dependent Acquisition;AC=NCIT:C161785	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	https://repository.jpostdb.org/data/JPST000082.0/120214ry_32R1-32_4_1.wiff	32R1-P32
32R1-32	Homo sapiens	not available	not available	32R1-P32	not available	not available	not available	not available	not available	run 12	120214ry_32R1-32_4_2.wiff	2	label free sample	3	NT=TripleTOF 5600;AC=MS:1000932	NT=Data-Dependent Acquisition;AC=NCIT:C161785	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	https://repository.jpostdb.org/data/JPST000082.0/120214ry_32R1-32_4_2.wiff	32R1-P32
32R1-32	Homo sapiens	not available	not available	32R1-P32	not available	not available	not available	not available	not available	run 13	120214ry_32R1-32_4_3.wiff	3	label free sample	3	NT=TripleTOF 5600;AC=MS:1000932	NT=Data-Dependent Acquisition;AC=NCIT:C161785	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	https://repository.jpostdb.org/data/JPST000082.0/120214ry_32R1-32_4_3.wiff	32R1-P32
32R1-32	Homo sapiens	not available	not available	32R1-P32	not available	not available	not available	not available	not available	run 14	120214ry_32R1-32_4_4.wiff	4	label free sample	3	NT=TripleTOF 5600;AC=MS:1000932	NT=Data-Dependent Acquisition;AC=NCIT:C161785	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	https://repository.jpostdb.org/data/JPST000082.0/120214ry_32R1-32_4_4.wiff	32R1-P32
32R1-32	Homo sapiens	not available	not available	32R1-P32	not available	not available	not available	not available	not available	run 15	120214ry_32R1-32_4_5.wiff	5	label free sample	3	NT=TripleTOF 5600;AC=MS:1000932	NT=Data-Dependent Acquisition;AC=NCIT:C161785	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	https://repository.jpostdb.org/data/JPST000082.0/120214ry_32R1-32_4_5.wiff	32R1-P32
