source name	characteristics[organism]	characteristics[organism part]	characteristics[disease]	characteristics[cell type]	characteristics[biological replicate]	assay name	comment[fraction identifier]	comment[technical replicate]	comment[Instrument]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[dissociation method]	comment[data file]	comment[cleavage agent details]	comment[modification parameters]	comment[modification parameters]
PXD010138_FC_B164-3_REP1	Homo sapiens	Tissue Brain	not avalaible	not avalaible	1	not avalaible	not avalaible	not avalaible	not avalaible	4.5 ppm	20 ppm	NT=HCD	160922_B164-3_R1.mgf	NT=Trypsin;AC=MS:1001251;CS=(?<=[KR])(?!P)	NT=Oxidation;AC=UNIMOD:35;CF=O(1);MT=Fixed;TA=M;MM=15.994915	NT=Oxidation;AC=UNIMOD:35;CF=O(1);MT=Variable;TA=M;MM=15.994915
PXD010138_FC_B164-3_REP2	Homo sapiens	Tissue Brain	not avalaible	not avalaible	2	not avalaible	not avalaible	not avalaible	not avalaible	4.5 ppm	20 ppm	NT=HCD	160922_B164-3_R2.mgf	NT=Trypsin;AC=MS:1001251;CS=(?<=[KR])(?!P)	NT=Oxidation;AC=UNIMOD:35;CF=O(1);MT=Fixed;TA=M;MM=15.994915	NT=Oxidation;AC=UNIMOD:35;CF=O(1);MT=Variable;TA=M;MM=15.994915
PXD010138_FC_B164-3_REP3	Homo sapiens	Tissue Brain	not avalaible	not avalaible	3	not avalaible	not avalaible	not avalaible	not avalaible	4.5 ppm	20 ppm	NT=HCD	160922_B164-3_R3.mgf	NT=Trypsin;AC=MS:1001251;CS=(?<=[KR])(?!P)	NT=Oxidation;AC=UNIMOD:35;CF=O(1);MT=Fixed;TA=M;MM=15.994915	NT=Oxidation;AC=UNIMOD:35;CF=O(1);MT=Variable;TA=M;MM=15.994915
PXD010138_FC_BL333-3_REP1	Homo sapiens	Tissue Brain	not avalaible	not avalaible	1	not avalaible	not avalaible	not avalaible	not avalaible	4.5 ppm	20 ppm	NT=HCD	160922_BL333-3_R1.mgf	NT=Trypsin;AC=MS:1001251;CS=(?<=[KR])(?!P)	NT=Oxidation;AC=UNIMOD:35;CF=O(1);MT=Fixed;TA=M;MM=15.994915	NT=Oxidation;AC=UNIMOD:35;CF=O(1);MT=Variable;TA=M;MM=15.994915
PXD010138_FC_BL333-3_REP2	Homo sapiens	Tissue Brain	not avalaible	not avalaible	2	not avalaible	not avalaible	not avalaible	not avalaible	4.5 ppm	20 ppm	NT=HCD	160922_BL333-3_R2.mgf	NT=Trypsin;AC=MS:1001251;CS=(?<=[KR])(?!P)	NT=Oxidation;AC=UNIMOD:35;CF=O(1);MT=Fixed;TA=M;MM=15.994915	NT=Oxidation;AC=UNIMOD:35;CF=O(1);MT=Variable;TA=M;MM=15.994915
PXD010138_FC_BL333-3_REP3	Homo sapiens	Tissue Brain	not avalaible	not avalaible	3	not avalaible	not avalaible	not avalaible	not avalaible	4.5 ppm	20 ppm	NT=HCD	160922_BL333-3_R3.mgf	NT=Trypsin;AC=MS:1001251;CS=(?<=[KR])(?!P)	NT=Oxidation;AC=UNIMOD:35;CF=O(1);MT=Fixed;TA=M;MM=15.994915	NT=Oxidation;AC=UNIMOD:35;CF=O(1);MT=Variable;TA=M;MM=15.994915
PXD010138_FC_BL501-3_REP1	Homo sapiens	Tissue Brain	not avalaible	not avalaible	1	not avalaible	not avalaible	not avalaible	not avalaible	4.5 ppm	20 ppm	NT=HCD	160922_BL501-3_R1.mgf	NT=Trypsin;AC=MS:1001251;CS=(?<=[KR])(?!P)	NT=Oxidation;AC=UNIMOD:35;CF=O(1);MT=Fixed;TA=M;MM=15.994915	NT=Oxidation;AC=UNIMOD:35;CF=O(1);MT=Variable;TA=M;MM=15.994915
PXD010138_FC_BL501-3_REP2	Homo sapiens	Tissue Brain	not avalaible	not avalaible	2	not avalaible	not avalaible	not avalaible	not avalaible	4.5 ppm	20 ppm	NT=HCD	160922_BL501-3_R2.mgf	NT=Trypsin;AC=MS:1001251;CS=(?<=[KR])(?!P)	NT=Oxidation;AC=UNIMOD:35;CF=O(1);MT=Fixed;TA=M;MM=15.994915	NT=Oxidation;AC=UNIMOD:35;CF=O(1);MT=Variable;TA=M;MM=15.994915
PXD010138_FC_BL501-3_REP3	Homo sapiens	Tissue Brain	not avalaible	not avalaible	3	not avalaible	not avalaible	not avalaible	not avalaible	4.5 ppm	20 ppm	NT=HCD	160922_BL501-3_R3.mgf	NT=Trypsin;AC=MS:1001251;CS=(?<=[KR])(?!P)	NT=Oxidation;AC=UNIMOD:35;CF=O(1);MT=Fixed;TA=M;MM=15.994915	NT=Oxidation;AC=UNIMOD:35;CF=O(1);MT=Variable;TA=M;MM=15.994915
PXD010138_FC_BL709-3_REP1	Homo sapiens	Tissue Brain	not avalaible	not avalaible	1	not avalaible	not avalaible	not avalaible	not avalaible	4.5 ppm	20 ppm	NT=HCD	160922_BL709-3_R1.mgf	NT=Trypsin;AC=MS:1001251;CS=(?<=[KR])(?!P)	NT=Oxidation;AC=UNIMOD:35;CF=O(1);MT=Fixed;TA=M;MM=15.994915	NT=Oxidation;AC=UNIMOD:35;CF=O(1);MT=Variable;TA=M;MM=15.994915
PXD010138_FC_BL709-3_REP2	Homo sapiens	Tissue Brain	not avalaible	not avalaible	2	not avalaible	not avalaible	not avalaible	not avalaible	4.5 ppm	20 ppm	NT=HCD	160922_BL709-3_R2.mgf	NT=Trypsin;AC=MS:1001251;CS=(?<=[KR])(?!P)	NT=Oxidation;AC=UNIMOD:35;CF=O(1);MT=Fixed;TA=M;MM=15.994915	NT=Oxidation;AC=UNIMOD:35;CF=O(1);MT=Variable;TA=M;MM=15.994915
PXD010138_FC_BL709-3_REP3	Homo sapiens	Tissue Brain	not avalaible	not avalaible	3	not avalaible	not avalaible	not avalaible	not avalaible	4.5 ppm	20 ppm	NT=HCD	160922_BL709-3_R3.mgf	NT=Trypsin;AC=MS:1001251;CS=(?<=[KR])(?!P)	NT=Oxidation;AC=UNIMOD:35;CF=O(1);MT=Fixed;TA=M;MM=15.994915	NT=Oxidation;AC=UNIMOD:35;CF=O(1);MT=Variable;TA=M;MM=15.994915
PXD010138_FC_BL994-3_REP1	Homo sapiens	Tissue Brain	not avalaible	not avalaible	1	not avalaible	not avalaible	not avalaible	not avalaible	4.5 ppm	20 ppm	NT=HCD	160922_BL994-3_R1.mgf	NT=Trypsin;AC=MS:1001251;CS=(?<=[KR])(?!P)	NT=Oxidation;AC=UNIMOD:35;CF=O(1);MT=Fixed;TA=M;MM=15.994915	NT=Oxidation;AC=UNIMOD:35;CF=O(1);MT=Variable;TA=M;MM=15.994915
