#file_format=SDRF
#version=v1.1.0
#template=default
#template_version=v1.1.0
source name	characteristics[organism]	characteristics[organism part]	characteristics[strain/breed]	characteristics[plasmid]	characteristics[disease]	characteristics[cell type]	characteristics[treatment]	characteristics[biological replicate]	characteristics[genetic background]	characteristics[medium]	characteristics[temperature]	characteristics[pressure]	characteristics[optical density]	assay name	technology type	comment[technical replicate]	comment[proteomics data acquisition method]	comment[data file]	comment[fraction identifier]	comment[label]	comment[instrument]	comment[cleavage agent details]	comment[fragment mass tolerance]	comment[precursor mass tolerance]	comment[reduction reagent]	comment[alkylation reagent]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[dissociation method]	comment[collision energy]	Factor value[plasmid]	Factor value[treatment]
prk_highpress_whole_repl1	Escherichia coli	Cell lysate	Escherichia coli str. K-12 substr. MG1655	pRK767	Not applicable	Prokaryotic cell	Pressure treatment	1	Plasmid RK767	LB medium	37°C	Increased pressure	1.0	Run 1	Proteomic profiling by mass spectrometry	1	NT=Data-dependent acquisition;AC=PRIDE:0000627	BBM_006_P021_SH_001.raw	1	Label free sample	AC=MS:1001742;NT=LTQ Orbitrap Velos	NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P)	20 ppm	4.5 ppm	DTT	Chloroacetamide	NT=Carbamidomethyl;AC=4;CF=H(3) C(2) N O;MM=57.021464;MT=Fixed;PP=Anywhere;TA=['C']	NT=Oxidation; MT=Variable; TA=M	NT=Acetyl; MT=Variable; PP=Protein N-term	NT=HCD; AC=MS:1002481	30% NCE	pRK767	Pressure treatment
plhr_highpress_whole_repl1	Escherichia coli	Cell lysate	Escherichia coli str. K-12 substr. MG1655	Plasmid LHR	Not applicable	Prokaryotic cell	Pressure treatment	1	Plasmid LHR	LB medium	37°C	Increased pressure	1.0	Run 2	Proteomic profiling by mass spectrometry	1	NT=Data-dependent acquisition;AC=PRIDE:0000627	BBM_006_P021_SH_002.raw	1	Label free sample	AC=MS:1001742;NT=LTQ Orbitrap Velos	NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P)	20 ppm	4.5 ppm	DTT	Chloroacetamide	NT=Carbamidomethyl;AC=4;CF=H(3) C(2) N O;MM=57.021464;MT=Fixed;PP=Anywhere;TA=['C']	NT=Oxidation; MT=Variable; TA=M	NT=Acetyl; MT=Variable; PP=Protein N-term	NT=HCD; AC=MS:1002481	30% NCE	Plasmid LHR	Pressure treatment
prk_highpress_whole_repl2	Escherichia coli	Cell lysate	Escherichia coli str. K-12 substr. MG1655	pRK767	Not applicable	Prokaryotic cell	Pressure treatment	2	Plasmid RK767	LB medium	37°C	Increased pressure	1.0	Run 3	Proteomic profiling by mass spectrometry	1	NT=Data-dependent acquisition;AC=PRIDE:0000627	BBM_006_P021_SH_003.raw	1	Label free sample	AC=MS:1001742;NT=LTQ Orbitrap Velos	NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P)	20 ppm	4.5 ppm	DTT	Chloroacetamide	NT=Carbamidomethyl;AC=4;CF=H(3) C(2) N O;MM=57.021464;MT=Fixed;PP=Anywhere;TA=['C']	NT=Oxidation; MT=Variable; TA=M	NT=Acetyl; MT=Variable; PP=Protein N-term	NT=HCD; AC=MS:1002481	30% NCE	pRK767	Pressure treatment
plhr_highpress_whole_repl2	Escherichia coli	Cell lysate	Escherichia coli str. K-12 substr. MG1655	Plasmid LHR	Not applicable	Prokaryotic cell	Pressure treatment	2	Plasmid LHR	LB medium	37°C	Increased pressure	1.0	Run 4	Proteomic profiling by mass spectrometry	1	NT=Data-dependent acquisition;AC=PRIDE:0000627	BBM_006_P021_SH_004.raw	1	Label free sample	AC=MS:1001742;NT=LTQ Orbitrap Velos	NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P)	20 ppm	4.5 ppm	DTT	Chloroacetamide	NT=Carbamidomethyl;AC=4;CF=H(3) C(2) N O;MM=57.021464;MT=Fixed;PP=Anywhere;TA=['C']	NT=Oxidation; MT=Variable; TA=M	NT=Acetyl; MT=Variable; PP=Protein N-term	NT=HCD; AC=MS:1002481	30% NCE	Plasmid LHR	Pressure treatment
prk_highpress_whole_repl3	Escherichia coli	Cell lysate	Escherichia coli str. K-12 substr. MG1655	pRK767	Not applicable	Prokaryotic cell	Pressure treatment	3	Plasmid RK767	LB medium	37°C	Increased pressure	1.0	Run 5	Proteomic profiling by mass spectrometry	1	NT=Data-dependent acquisition;AC=PRIDE:0000627	BBM_006_P021_SH_005.raw	1	Label free sample	AC=MS:1001742;NT=LTQ Orbitrap Velos	NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P)	20 ppm	4.5 ppm	DTT	Chloroacetamide	NT=Carbamidomethyl;AC=4;CF=H(3) C(2) N O;MM=57.021464;MT=Fixed;PP=Anywhere;TA=['C']	NT=Oxidation; MT=Variable; TA=M	NT=Acetyl; MT=Variable; PP=Protein N-term	NT=HCD; AC=MS:1002481	30% NCE	pRK767	Pressure treatment
plhr_highpress_whole_repl3	Escherichia coli	Cell lysate	Escherichia coli str. K-12 substr. MG1655	Plasmid LHR	Not applicable	Prokaryotic cell	Pressure treatment	3	Plasmid LHR	LB medium	37°C	Increased pressure	1.0	Run 6	Proteomic profiling by mass spectrometry	1	NT=Data-dependent acquisition;AC=PRIDE:0000627	BBM_006_P021_SH_006.raw	1	Label free sample	AC=MS:1001742;NT=LTQ Orbitrap Velos	NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P)	20 ppm	4.5 ppm	DTT	Chloroacetamide	NT=Carbamidomethyl;AC=4;CF=H(3) C(2) N O;MM=57.021464;MT=Fixed;PP=Anywhere;TA=['C']	NT=Oxidation; MT=Variable; TA=M	NT=Acetyl; MT=Variable; PP=Protein N-term	NT=HCD; AC=MS:1002481	30% NCE	Plasmid LHR	Pressure treatment
prk_highpress_whole_repl4	Escherichia coli	Cell lysate	Escherichia coli str. K-12 substr. MG1655	pRK767	Not applicable	Prokaryotic cell	Pressure treatment	4	Plasmid RK767	LB medium	37°C	Increased pressure	1.0	Run 7	Proteomic profiling by mass spectrometry	1	NT=Data-dependent acquisition;AC=PRIDE:0000627	BBM_006_P021_SH_007.raw	1	Label free sample	AC=MS:1001742;NT=LTQ Orbitrap Velos	NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P)	20 ppm	4.5 ppm	DTT	Chloroacetamide	NT=Carbamidomethyl;AC=4;CF=H(3) C(2) N O;MM=57.021464;MT=Fixed;PP=Anywhere;TA=['C']	NT=Oxidation; MT=Variable; TA=M	NT=Acetyl; MT=Variable; PP=Protein N-term	NT=HCD; AC=MS:1002481	30% NCE	pRK767	Pressure treatment
plhr_highpress_whole_repl4	Escherichia coli	Cell lysate	Escherichia coli str. K-12 substr. MG1655	Plasmid LHR	Not applicable	Prokaryotic cell	Pressure treatment	4	Plasmid LHR	LB medium	37°C	Increased pressure	1.0	Run 8	Proteomic profiling by mass spectrometry	1	NT=Data-dependent acquisition;AC=PRIDE:0000627	BBM_006_P021_SH_008.raw	1	Label free sample	AC=MS:1001742;NT=LTQ Orbitrap Velos	NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P)	20 ppm	4.5 ppm	DTT	Chloroacetamide	NT=Carbamidomethyl;AC=4;CF=H(3) C(2) N O;MM=57.021464;MT=Fixed;PP=Anywhere;TA=['C']	NT=Oxidation; MT=Variable; TA=M	NT=Acetyl; MT=Variable; PP=Protein N-term	NT=HCD; AC=MS:1002481	30% NCE	Plasmid LHR	Pressure treatment
prk_highpress_incl_repl1	Escherichia coli	Inclusion Body	Escherichia coli str. K-12 substr. MG1655	pRK767	Not applicable	Prokaryotic cell	Pressure treatment	1	Plasmid RK767	LB medium	37°C	Increased pressure	1.0	Run 9	Proteomic profiling by mass spectrometry	1	NT=Data-dependent acquisition;AC=PRIDE:0000627	BBM_006_P021_SH_009.raw	1	Label free sample	AC=MS:1001742;NT=LTQ Orbitrap Velos	NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P)	20 ppm	4.5 ppm	DTT	Chloroacetamide	NT=Carbamidomethyl;AC=4;CF=H(3) C(2) N O;MM=57.021464;MT=Fixed;PP=Anywhere;TA=['C']	NT=Oxidation; MT=Variable; TA=M	NT=Acetyl; MT=Variable; PP=Protein N-term	NT=HCD; AC=MS:1002481	30% NCE	pRK767	Pressure treatment
plhr_highpress_incl_repl1	Escherichia coli	Inclusion Body	Escherichia coli str. K-12 substr. MG1655	Plasmid LHR	Not applicable	Prokaryotic cell	Pressure treatment	1	Plasmid LHR	LB medium	37°C	Increased pressure	1.0	Run 10	Proteomic profiling by mass spectrometry	1	NT=Data-dependent acquisition;AC=PRIDE:0000627	BBM_006_P021_SH_010.raw	1	Label free sample	AC=MS:1001742;NT=LTQ Orbitrap Velos	NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P)	20 ppm	4.5 ppm	DTT	Chloroacetamide	NT=Carbamidomethyl;AC=4;CF=H(3) C(2) N O;MM=57.021464;MT=Fixed;PP=Anywhere;TA=['C']	NT=Oxidation; MT=Variable; TA=M	NT=Acetyl; MT=Variable; PP=Protein N-term	NT=HCD; AC=MS:1002481	30% NCE	Plasmid LHR	Pressure treatment
