source name	characteristics[organism]	characteristics[organism part]	characteristics[disease]	characteristics[cell line]	characteristics[enrichment process]	characteristics[enrichment method]	characteristics[technical replicate]	assay name	comment[fraction identifier]	comment[label]	comment[instrument]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[cleavage agent details]	comment[cleavage agent details]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[file uri]	comment[data file]	factor value[phenotype]
HeLa sample	homo sapiens	not applicable	adenocarcinoma	HeLa cell	none	none	1	HeLa_1ug_isow2_1hgradient_datasetA_rep1	1	label free sample	Q Exactive	10ppm	0.02Da	NT=Trypsin	NT=Lys-C	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=CarbamidomethylDTT;AC=UNIMOD:893;TA=C;MT=fixed	none	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2018/06/PXD007750/HeLa_1ug_isow2_1hgradient_datasetA_rep1.msf	HeLa_1ug_isow2_1hgradient_datasetA_rep1.raw	"1 h gradient , 2 m/z isolation width, 1 _g"
HeLa sample	homo sapiens	not applicable	adenocarcinoma	HeLa cell	none	none	2	HeLa_1ug_isow2_1hgradient_datasetA_rep2	1	label free sample	Q Exactive	10ppm	0.02Da	NT=Trypsin	NT=Lys-C	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:36	NT=CarbamidomethylDTT;AC=UNIMOD:893;TA=C;MT=fixed	none	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2018/06/PXD007750/HeLa_1ug_isow2_1hgradient_datasetA_rep2.msf	HeLa_1ug_isow2_1hgradient_datasetA_rep2.raw	"1 h gradient , 2 m/z isolation width, 1 _g"
HeLa sample	homo sapiens	not applicable	adenocarcinoma	HeLa cell	none	none	3	HeLa_1ug_isow2_1hgradient_datasetA_rep3	1	label free sample	Q Exactive	10ppm	0.02Da	NT=Trypsin	NT=Lys-C	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:37	NT=CarbamidomethylDTT;AC=UNIMOD:893;TA=C;MT=fixed	none	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2018/06/PXD007750/HeLa_1ug_isow2_1hgradient_datasetA_rep3.msf	HeLa_1ug_isow2_1hgradient_datasetA_rep3.raw	"1 h gradient , 2 m/z isolation width, 1 _g"
HeLa sample	homo sapiens	not applicable	adenocarcinoma	HeLa cell	none	none	1	HeLa_1ug_isow2_3hgradient_datasetB_rep1	1	label free sample	Q Exactive	10ppm	0.02Da	NT=Trypsin	NT=Lys-C	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:38	NT=CarbamidomethylDTT;AC=UNIMOD:893;TA=C;MT=fixed	none	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2018/06/PXD007750/HeLa_1ug_isow2_3hgradient_datasetB_rep1.msf	HeLa_1ug_isow2_3hgradient_datasetB_rep1.raw	"3 h gradient, 2 m/z isolation width, 1 _g"
HeLa sample	homo sapiens	not applicable	adenocarcinoma	HeLa cell	none	none	2	HeLa_1ug_isow2_3hgradient_datasetB_rep2	1	label free sample	Q Exactive	10ppm	0.02Da	NT=Trypsin	NT=Lys-C	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:39	NT=CarbamidomethylDTT;AC=UNIMOD:893;TA=C;MT=fixed	none	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2018/06/PXD007750/HeLa_1ug_isow2_3hgradient_datasetB_rep2.msf	HeLa_1ug_isow2_3hgradient_datasetB_rep2.raw	"3 h gradient, 2 m/z isolation width, 1 _g"
HeLa sample	homo sapiens	not applicable	adenocarcinoma	HeLa cell	none	none	3	HeLa_1ug_isow2_3hgradient_datasetB_rep3	1	label free sample	Q Exactive	10ppm	0.02Da	NT=Trypsin	NT=Lys-C	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:40	NT=CarbamidomethylDTT;AC=UNIMOD:893;TA=C;MT=fixed	none	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2018/06/PXD007750/HeLa_1ug_isow2_3hgradient_datasetB_rep3.msf	HeLa_1ug_isow2_3hgradient_datasetB_rep3.raw	"3 h gradient, 2 m/z isolation width, 1 _g"
HeLa sample	homo sapiens	not applicable	adenocarcinoma	HeLa cell	none	none	1	HeLa_1ug_isow4_1hgradient_datasetC_rep1	1	label free sample	Q Exactive	10ppm	0.02Da	NT=Trypsin	NT=Lys-C	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:41	NT=CarbamidomethylDTT;AC=UNIMOD:893;TA=C;MT=fixed	none	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2018/06/PXD007750/HeLa_1ug_isow4_1hgradient_datasetC_rep1.msf	HeLa_1ug_isow4_1hgradient_datasetC_rep1.raw	"1 h gradient, 4 m/z isolation width, 1 _g"
HeLa sample	homo sapiens	not applicable	adenocarcinoma	HeLa cell	none	none	2	HeLa_1ug_isow4_1hgradient_datasetC_rep2	1	label free sample	Q Exactive	10ppm	0.02Da	NT=Trypsin	NT=Lys-C	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:42	NT=CarbamidomethylDTT;AC=UNIMOD:893;TA=C;MT=fixed	none	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2018/06/PXD007750/HeLa_1ug_isow4_1hgradient_datasetC_rep2.msf	HeLa_1ug_isow4_1hgradient_datasetC_rep2.raw	"1 h gradient, 4 m/z isolation width, 1 _g"
HeLa sample	homo sapiens	not applicable	adenocarcinoma	HeLa cell	none	none	3	HeLa_1ug_isow4_1hgradient_datasetC_rep3	1	label free sample	Q Exactive	10ppm	0.02Da	NT=Trypsin	NT=Lys-C	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:43	NT=CarbamidomethylDTT;AC=UNIMOD:893;TA=C;MT=fixed	none	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2018/06/PXD007750/HeLa_1ug_isow4_1hgradient_datasetC_rep3.msf	HeLa_1ug_isow4_1hgradient_datasetC_rep3.raw	"1 h gradient, 4 m/z isolation width, 1 _g"
HeLa sample	homo sapiens	not applicable	adenocarcinoma	HeLa cell	none	none	1	HeLa_1ug_isow4_3hgradient_datasetD_rep1	1	label free sample	Q Exactive	10ppm	0.02Da	NT=Trypsin	NT=Lys-C	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:44	NT=CarbamidomethylDTT;AC=UNIMOD:893;TA=C;MT=fixed	none	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2018/06/PXD007750/HeLa_1ug_isow4_3hgradient_datasetD_rep1.msf	HeLa_1ug_isow4_3hgradient_datasetD_rep1.raw	"3 h gradient, 4 m/z isolation width, 1 _g"
