source name	characteristics[organism]	characteristics[organism part]	characteristics[disease]	characteristics[cell type]	characteristics[cell line]	characteristics[biological replicate]	characteristics[spiked compound]	characteristics[spiked compound]	characteristics[spiked compound]	characteristics[spiked compound]	characteristics[spiked compound]	characteristics[spiked compound]	characteristics[spiked compound]	characteristics[spiked compound]	characteristics[spiked compound]	characteristics[spiked compound]	characteristics[spiked compound]	characteristics[spiked compound]	characteristics[spiked compound]	assay name	technology type	comment[fraction identifier]	comment[label]	comment[instrument]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[dissociation method]	comment[cleavage agent details]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[file uri]	comment[proteomics data acquisition method]	comment[data file]	comment[technical replicate]	comment[sdrf version]	comment[sdrf template]	factor value[phenotype]
PXD012986-Sample-1	Mus musculus	not applicable	not available	Myoblast	C2C12	1	CT=protein;SP=Homo sapiens;QY=1 pmol;AC=P37840	CT=protein;SP=Bos taurus;QY=0.5 pmol;AC=P02754	CT=protein;SP=Homo sapiens;QY=10 pmol;AC=P02671	CT=protein;SP=Homo sapiens;QY=10 pmol;AC=P02675	CT=protein;SP=Homo sapiens;QY=10 pmol;AC=P02679	CT=protein;SP=Aspergillus niger;QY=0.1 pmol;AC=P13006	CT=protein;SP=Homo sapiens;QY=0.5 pmol;AC=P69905	CT=protein;SP=Homo sapiens;QY=0.5 pmol;AC=P68871	CT=protein;SP=Diutina rugosa;QY=0.1 pmol;AC=P20261	CT=protein;SP=Diutina rugosa;QY=0.1 pmol;AC=P32946	CT=protein;SP=Diutina rugosa;QY=0.1 pmol;AC=P32947	CT=protein;SP=Gallus gallus;QY=5 pmol;AC=P00698	CT=protein;SP=Equus caballus;QY=1 pmol;AC=P68082	run 1	proteomic profiling by mass spectrometry	1	AC=MS:1002038;NT=label free sample	AC=MS:1002523;NT=Q Exactive HF	5 ppm	0.02 Da	AC=MS:1000422;NT=HCD	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Deamidated;TA=N,Q;AC=UNIMOD:7;MT=variable	NT=Glu->pyro-Glu;MT=variable;PP=Any N-term;TA=Q;AC=Unimod:27	NT=Ammonium;TA=D,E;AC=UNIMOD:989;MT=variable	NT=Ammonia-loss;TA=C;PP=Any N-term;AC=UNIMOD:385;MT=variable	NT=Ammonia-loss;TA=N;AC=UNIMOD:385;MT=variable	https://ftp.pride.ebi.ac.uk/pride/data/archive/2019/11/PXD012986/QExHF04026.raw	NT=Data-dependent acquisition;AC=PRIDE:0000627	QExHF04026.raw	1	v1.1.0	NT=ms-proteomics;VV=v1.1.0	normal
PXD012986-Sample-1	Mus musculus	not applicable	not available	Myoblast	C2C12	1	CT=protein;SP=Homo sapiens;QY=1 pmol;AC=P37840	CT=protein;SP=Bos taurus;QY=0.5 pmol;AC=P02754	CT=protein;SP=Homo sapiens;QY=10 pmol;AC=P02671	CT=protein;SP=Homo sapiens;QY=10 pmol;AC=P02675	CT=protein;SP=Homo sapiens;QY=10 pmol;AC=P02679	CT=protein;SP=Aspergillus niger;QY=0.1 pmol;AC=P13006	CT=protein;SP=Homo sapiens;QY=0.5 pmol;AC=P69905	CT=protein;SP=Homo sapiens;QY=0.5 pmol;AC=P68871	CT=protein;SP=Diutina rugosa;QY=0.1 pmol;AC=P20261	CT=protein;SP=Diutina rugosa;QY=0.1 pmol;AC=P32946	CT=protein;SP=Diutina rugosa;QY=0.1 pmol;AC=P32947	CT=protein;SP=Gallus gallus;QY=5 pmol;AC=P00698	CT=protein;SP=Equus caballus;QY=1 pmol;AC=P68082	run 2	proteomic profiling by mass spectrometry	1	AC=MS:1002038;NT=label free sample	AC=MS:1002523;NT=Q Exactive HF	5 ppm	0.02 Da	AC=MS:1000422;NT=HCD	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Deamidated;TA=N,Q;AC=UNIMOD:7;MT=variable	NT=Glu->pyro-Glu;MT=variable;PP=Any N-term;TA=Q;AC=Unimod:27	NT=Ammonium;TA=D,E;AC=UNIMOD:989;MT=variable	NT=Ammonia-loss;TA=C;PP=Any N-term;AC=UNIMOD:385;MT=variable	NT=Ammonia-loss;TA=N;AC=UNIMOD:385;MT=variable	https://ftp.pride.ebi.ac.uk/pride/data/archive/2019/11/PXD012986/QExHF04036.raw	NT=Data-dependent acquisition;AC=PRIDE:0000627	QExHF04036.raw	2	v1.1.0	NT=ms-proteomics;VV=v1.1.0	normal
PXD012986-Sample-1	Mus musculus	not applicable	not available	Myoblast	C2C12	1	CT=protein;SP=Homo sapiens;QY=1 pmol;AC=P37840	CT=protein;SP=Bos taurus;QY=0.5 pmol;AC=P02754	CT=protein;SP=Homo sapiens;QY=10 pmol;AC=P02671	CT=protein;SP=Homo sapiens;QY=10 pmol;AC=P02675	CT=protein;SP=Homo sapiens;QY=10 pmol;AC=P02679	CT=protein;SP=Aspergillus niger;QY=0.1 pmol;AC=P13006	CT=protein;SP=Homo sapiens;QY=0.5 pmol;AC=P69905	CT=protein;SP=Homo sapiens;QY=0.5 pmol;AC=P68871	CT=protein;SP=Diutina rugosa;QY=0.1 pmol;AC=P20261	CT=protein;SP=Diutina rugosa;QY=0.1 pmol;AC=P32946	CT=protein;SP=Diutina rugosa;QY=0.1 pmol;AC=P32947	CT=protein;SP=Gallus gallus;QY=5 pmol;AC=P00698	CT=protein;SP=Equus caballus;QY=1 pmol;AC=P68082	run 3	proteomic profiling by mass spectrometry	1	AC=MS:1002038;NT=label free sample	AC=MS:1002523;NT=Q Exactive HF	5 ppm	0.02 Da	AC=MS:1000422;NT=HCD	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Deamidated;TA=N,Q;AC=UNIMOD:7;MT=variable	NT=Glu->pyro-Glu;MT=variable;PP=Any N-term;TA=Q;AC=Unimod:27	NT=Ammonium;TA=D,E;AC=UNIMOD:989;MT=variable	NT=Ammonia-loss;TA=C;PP=Any N-term;AC=UNIMOD:385;MT=variable	NT=Ammonia-loss;TA=N;AC=UNIMOD:385;MT=variable	https://ftp.pride.ebi.ac.uk/pride/data/archive/2019/11/PXD012986/QExHF04046.raw	NT=Data-dependent acquisition;AC=PRIDE:0000627	QExHF04046.raw	3	v1.1.0	NT=ms-proteomics;VV=v1.1.0	normal
PXD012986-Sample-2	Mus musculus	not applicable	not available	Myoblast	C2C12	1	CT=protein;SP=Homo sapiens;QY=10 pmol;AC=P37840	CT=protein;SP=Bos taurus;QY=0.1 pmol;AC=P02754	CT=protein;SP=Homo sapiens;QY=5 pmol;AC=P02671	CT=protein;SP=Homo sapiens;QY=5 pmol;AC=P02675	CT=protein;SP=Homo sapiens;QY=5 pmol;AC=P02679	CT=protein;SP=Aspergillus niger;QY=1 pmol;AC=P13006	CT=protein;SP=Homo sapiens;QY=5 pmol;AC=P69905	CT=protein;SP=Homo sapiens;QY=5 pmol;AC=P68871	CT=protein;SP=Diutina rugosa;QY=0.5 pmol;AC=P20261	CT=protein;SP=Diutina rugosa;QY=0.5 pmol;AC=P32946	CT=protein;SP=Diutina rugosa;QY=0.5 pmol;AC=P32947	CT=protein;SP=Gallus gallus;QY=10 pmol;AC=P00698	CT=protein;SP=Equus caballus;QY=0.1 pmol;AC=P68082	run 4	proteomic profiling by mass spectrometry	1	AC=MS:1002038;NT=label free sample	AC=MS:1002523;NT=Q Exactive HF	5 ppm	0.02 Da	AC=MS:1000422;NT=HCD	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Deamidated;TA=N,Q;AC=UNIMOD:7;MT=variable	NT=Glu->pyro-Glu;MT=variable;PP=Any N-term;TA=Q;AC=Unimod:27	NT=Ammonium;TA=D,E;AC=UNIMOD:989;MT=variable	NT=Ammonia-loss;TA=C;PP=Any N-term;AC=UNIMOD:385;MT=variable	NT=Ammonia-loss;TA=N;AC=UNIMOD:385;MT=variable	https://ftp.pride.ebi.ac.uk/pride/data/archive/2019/11/PXD012986/QExHF04028.raw	NT=Data-dependent acquisition;AC=PRIDE:0000627	QExHF04028.raw	1	v1.1.0	NT=ms-proteomics;VV=v1.1.0	normal
PXD012986-Sample-2	Mus musculus	not applicable	not available	Myoblast	C2C12	1	CT=protein;SP=Homo sapiens;QY=10 pmol;AC=P37840	CT=protein;SP=Bos taurus;QY=0.1 pmol;AC=P02754	CT=protein;SP=Homo sapiens;QY=5 pmol;AC=P02671	CT=protein;SP=Homo sapiens;QY=5 pmol;AC=P02675	CT=protein;SP=Homo sapiens;QY=5 pmol;AC=P02679	CT=protein;SP=Aspergillus niger;QY=1 pmol;AC=P13006	CT=protein;SP=Homo sapiens;QY=5 pmol;AC=P69905	CT=protein;SP=Homo sapiens;QY=5 pmol;AC=P68871	CT=protein;SP=Diutina rugosa;QY=0.5 pmol;AC=P20261	CT=protein;SP=Diutina rugosa;QY=0.5 pmol;AC=P32946	CT=protein;SP=Diutina rugosa;QY=0.5 pmol;AC=P32947	CT=protein;SP=Gallus gallus;QY=10 pmol;AC=P00698	CT=protein;SP=Equus caballus;QY=0.1 pmol;AC=P68082	run 5	proteomic profiling by mass spectrometry	1	AC=MS:1002038;NT=label free sample	AC=MS:1002523;NT=Q Exactive HF	5 ppm	0.02 Da	AC=MS:1000422;NT=HCD	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Deamidated;TA=N,Q;AC=UNIMOD:7;MT=variable	NT=Glu->pyro-Glu;MT=variable;PP=Any N-term;TA=Q;AC=Unimod:27	NT=Ammonium;TA=D,E;AC=UNIMOD:989;MT=variable	NT=Ammonia-loss;TA=C;PP=Any N-term;AC=UNIMOD:385;MT=variable	NT=Ammonia-loss;TA=N;AC=UNIMOD:385;MT=variable	https://ftp.pride.ebi.ac.uk/pride/data/archive/2019/11/PXD012986/QExHF04038.raw	NT=Data-dependent acquisition;AC=PRIDE:0000627	QExHF04038.raw	2	v1.1.0	NT=ms-proteomics;VV=v1.1.0	normal
PXD012986-Sample-2	Mus musculus	not applicable	not available	Myoblast	C2C12	1	CT=protein;SP=Homo sapiens;QY=10 pmol;AC=P37840	CT=protein;SP=Bos taurus;QY=0.1 pmol;AC=P02754	CT=protein;SP=Homo sapiens;QY=5 pmol;AC=P02671	CT=protein;SP=Homo sapiens;QY=5 pmol;AC=P02675	CT=protein;SP=Homo sapiens;QY=5 pmol;AC=P02679	CT=protein;SP=Aspergillus niger;QY=1 pmol;AC=P13006	CT=protein;SP=Homo sapiens;QY=5 pmol;AC=P69905	CT=protein;SP=Homo sapiens;QY=5 pmol;AC=P68871	CT=protein;SP=Diutina rugosa;QY=0.5 pmol;AC=P20261	CT=protein;SP=Diutina rugosa;QY=0.5 pmol;AC=P32946	CT=protein;SP=Diutina rugosa;QY=0.5 pmol;AC=P32947	CT=protein;SP=Gallus gallus;QY=10 pmol;AC=P00698	CT=protein;SP=Equus caballus;QY=0.1 pmol;AC=P68082	run 6	proteomic profiling by mass spectrometry	1	AC=MS:1002038;NT=label free sample	AC=MS:1002523;NT=Q Exactive HF	5 ppm	0.02 Da	AC=MS:1000422;NT=HCD	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Deamidated;TA=N,Q;AC=UNIMOD:7;MT=variable	NT=Glu->pyro-Glu;MT=variable;PP=Any N-term;TA=Q;AC=Unimod:27	NT=Ammonium;TA=D,E;AC=UNIMOD:989;MT=variable	NT=Ammonia-loss;TA=C;PP=Any N-term;AC=UNIMOD:385;MT=variable	NT=Ammonia-loss;TA=N;AC=UNIMOD:385;MT=variable	https://ftp.pride.ebi.ac.uk/pride/data/archive/2019/11/PXD012986/QExHF04048.raw	NT=Data-dependent acquisition;AC=PRIDE:0000627	QExHF04048.raw	3	v1.1.0	NT=ms-proteomics;VV=v1.1.0	normal
PXD012986-Sample-3	Mus musculus	not applicable	not available	Myoblast	C2C12	1	CT=protein;SP=Homo sapiens;QY=0.5 pmol;AC=P37840	CT=protein;SP=Bos taurus;QY=5 pmol;AC=P02754	CT=protein;SP=Homo sapiens;QY=1 pmol;AC=P02671	CT=protein;SP=Homo sapiens;QY=1 pmol;AC=P02675	CT=protein;SP=Homo sapiens;QY=1 pmol;AC=P02679	CT=protein;SP=Aspergillus niger;QY=10 pmol;AC=P13006	CT=protein;SP=Homo sapiens;QY=10 pmol;AC=P69905	CT=protein;SP=Homo sapiens;QY=10 pmol;AC=P68871	CT=protein;SP=Diutina rugosa;QY=1 pmol;AC=P20261	CT=protein;SP=Diutina rugosa;QY=1 pmol;AC=P32946	CT=protein;SP=Diutina rugosa;QY=1 pmol;AC=P32947	CT=protein;SP=Gallus gallus;QY=0.1 pmol;AC=P00698	CT=protein;SP=Equus caballus;QY=5 pmol;AC=P68082	run 7	proteomic profiling by mass spectrometry	1	AC=MS:1002038;NT=label free sample	AC=MS:1002523;NT=Q Exactive HF	5 ppm	0.02 Da	AC=MS:1000422;NT=HCD	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Deamidated;TA=N,Q;AC=UNIMOD:7;MT=variable	NT=Glu->pyro-Glu;MT=variable;PP=Any N-term;TA=Q;AC=Unimod:27	NT=Ammonium;TA=D,E;AC=UNIMOD:989;MT=variable	NT=Ammonia-loss;TA=C;PP=Any N-term;AC=UNIMOD:385;MT=variable	NT=Ammonia-loss;TA=N;AC=UNIMOD:385;MT=variable	https://ftp.pride.ebi.ac.uk/pride/data/archive/2019/11/PXD012986/QExHF04030.raw	NT=Data-dependent acquisition;AC=PRIDE:0000627	QExHF04030.raw	1	v1.1.0	NT=ms-proteomics;VV=v1.1.0	normal
PXD012986-Sample-3	Mus musculus	not applicable	not available	Myoblast	C2C12	1	CT=protein;SP=Homo sapiens;QY=0.5 pmol;AC=P37840	CT=protein;SP=Bos taurus;QY=5 pmol;AC=P02754	CT=protein;SP=Homo sapiens;QY=1 pmol;AC=P02671	CT=protein;SP=Homo sapiens;QY=1 pmol;AC=P02675	CT=protein;SP=Homo sapiens;QY=1 pmol;AC=P02679	CT=protein;SP=Aspergillus niger;QY=10 pmol;AC=P13006	CT=protein;SP=Homo sapiens;QY=10 pmol;AC=P69905	CT=protein;SP=Homo sapiens;QY=10 pmol;AC=P68871	CT=protein;SP=Diutina rugosa;QY=1 pmol;AC=P20261	CT=protein;SP=Diutina rugosa;QY=1 pmol;AC=P32946	CT=protein;SP=Diutina rugosa;QY=1 pmol;AC=P32947	CT=protein;SP=Gallus gallus;QY=0.1 pmol;AC=P00698	CT=protein;SP=Equus caballus;QY=5 pmol;AC=P68082	run 8	proteomic profiling by mass spectrometry	1	AC=MS:1002038;NT=label free sample	AC=MS:1002523;NT=Q Exactive HF	5 ppm	0.02 Da	AC=MS:1000422;NT=HCD	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Deamidated;TA=N,Q;AC=UNIMOD:7;MT=variable	NT=Glu->pyro-Glu;MT=variable;PP=Any N-term;TA=Q;AC=Unimod:27	NT=Ammonium;TA=D,E;AC=UNIMOD:989;MT=variable	NT=Ammonia-loss;TA=C;PP=Any N-term;AC=UNIMOD:385;MT=variable	NT=Ammonia-loss;TA=N;AC=UNIMOD:385;MT=variable	https://ftp.pride.ebi.ac.uk/pride/data/archive/2019/11/PXD012986/QExHF04040.raw	NT=Data-dependent acquisition;AC=PRIDE:0000627	QExHF04040.raw	2	v1.1.0	NT=ms-proteomics;VV=v1.1.0	normal
PXD012986-Sample-3	Mus musculus	not applicable	not available	Myoblast	C2C12	1	CT=protein;SP=Homo sapiens;QY=0.5 pmol;AC=P37840	CT=protein;SP=Bos taurus;QY=5 pmol;AC=P02754	CT=protein;SP=Homo sapiens;QY=1 pmol;AC=P02671	CT=protein;SP=Homo sapiens;QY=1 pmol;AC=P02675	CT=protein;SP=Homo sapiens;QY=1 pmol;AC=P02679	CT=protein;SP=Aspergillus niger;QY=10 pmol;AC=P13006	CT=protein;SP=Homo sapiens;QY=10 pmol;AC=P69905	CT=protein;SP=Homo sapiens;QY=10 pmol;AC=P68871	CT=protein;SP=Diutina rugosa;QY=1 pmol;AC=P20261	CT=protein;SP=Diutina rugosa;QY=1 pmol;AC=P32946	CT=protein;SP=Diutina rugosa;QY=1 pmol;AC=P32947	CT=protein;SP=Gallus gallus;QY=0.1 pmol;AC=P00698	CT=protein;SP=Equus caballus;QY=5 pmol;AC=P68082	run 9	proteomic profiling by mass spectrometry	1	AC=MS:1002038;NT=label free sample	AC=MS:1002523;NT=Q Exactive HF	5 ppm	0.02 Da	AC=MS:1000422;NT=HCD	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Deamidated;TA=N,Q;AC=UNIMOD:7;MT=variable	NT=Glu->pyro-Glu;MT=variable;PP=Any N-term;TA=Q;AC=Unimod:27	NT=Ammonium;TA=D,E;AC=UNIMOD:989;MT=variable	NT=Ammonia-loss;TA=C;PP=Any N-term;AC=UNIMOD:385;MT=variable	NT=Ammonia-loss;TA=N;AC=UNIMOD:385;MT=variable	https://ftp.pride.ebi.ac.uk/pride/data/archive/2019/11/PXD012986/QExHF04050.raw	NT=Data-dependent acquisition;AC=PRIDE:0000627	QExHF04050.raw	3	v1.1.0	NT=ms-proteomics;VV=v1.1.0	normal
PXD012986-Sample-4	Mus musculus	not applicable	not available	Myoblast	C2C12	1	CT=protein;SP=Homo sapiens;QY=0.1 pmol;AC=P37840	CT=protein;SP=Bos taurus;QY=10 pmol;AC=P02754	CT=protein;SP=Homo sapiens;QY=0.5 pmol;AC=P02671	CT=protein;SP=Homo sapiens;QY=0.5 pmol;AC=P02675	CT=protein;SP=Homo sapiens;QY=0.5 pmol;AC=P02679	CT=protein;SP=Aspergillus niger;QY=5 pmol;AC=P13006	CT=protein;SP=Homo sapiens;QY=1 pmol;AC=P69905	CT=protein;SP=Homo sapiens;QY=1 pmol;AC=P68871	CT=protein;SP=Diutina rugosa;QY=5 pmol;AC=P20261	CT=protein;SP=Diutina rugosa;QY=5 pmol;AC=P32946	CT=protein;SP=Diutina rugosa;QY=5 pmol;AC=P32947	CT=protein;SP=Gallus gallus;QY=0.5 pmol;AC=P00698	CT=protein;SP=Equus caballus;QY=10 pmol;AC=P68082	run 10	proteomic profiling by mass spectrometry	1	AC=MS:1002038;NT=label free sample	AC=MS:1002523;NT=Q Exactive HF	5 ppm	0.02 Da	AC=MS:1000422;NT=HCD	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Deamidated;TA=N,Q;AC=UNIMOD:7;MT=variable	NT=Glu->pyro-Glu;MT=variable;PP=Any N-term;TA=Q;AC=Unimod:27	NT=Ammonium;TA=D,E;AC=UNIMOD:989;MT=variable	NT=Ammonia-loss;TA=C;PP=Any N-term;AC=UNIMOD:385;MT=variable	NT=Ammonia-loss;TA=N;AC=UNIMOD:385;MT=variable	https://ftp.pride.ebi.ac.uk/pride/data/archive/2019/11/PXD012986/QExHF04032.raw	NT=Data-dependent acquisition;AC=PRIDE:0000627	QExHF04032.raw	1	v1.1.0	NT=ms-proteomics;VV=v1.1.0	normal
