source name	characteristics[organism]	characteristics[organism part]	characteristics[developmental stage]	characteristics[age]	characteristics[sex]	characteristics[disease]	characteristics[cell type]	characteristics[compound]	characteristics[phenotype]	characteristics[bait]	characteristics[ancestry category]	characteristics[cell line]	characteristics[biological replicate]	material type	assay name	technology type	comment[label]	comment[technical replicate]	comment[fraction identifier]	comment[instrument]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[dissociation method]	comment[collision energy]	comment[cleavage agent details]	comment[cleavage agent details]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[file uri]	comment[data file]	factor value[phenotype]	factor value[bait]
Sample 1	Homo sapiens	not available	not available	not available	not available	not available	not available	doxycycline	compound: drug doxycycline	GFP	not available	HEK FlpIn TREX	1	cell	run 1	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	1	1	AC=MS:1002523;NT=Q Exactive HF	6 ppm	0.5 Da	AC=MS:1000422;NT=HCD	27% NCE	AC=MS:1001251;NT=Trypsin	NT=Lys-C;AC=MS:1001309	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	https://ftp.pride.ebi.ac.uk/pride/data/archive/2019/03/PXD012277/20170802_QEp5_PhHu_SA_Hek_Easy12_FlipInGFP_Dox_10.raw	20170802_QEp5_PhHu_SA_Hek_Easy12_FlipInGFP_Dox_10.raw	compound: drug doxycycline	GFP
Sample 2	Homo sapiens	not available	not available	not available	not available	not available	not available	doxycycline	compound: drug doxycycline	GFP	not available	HEK FlpIn TREX	2	cell	run 2	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	1	1	AC=MS:1002523;NT=Q Exactive HF	6 ppm	0.5 Da	AC=MS:1000422;NT=HCD	27% NCE	AC=MS:1001251;NT=Trypsin	NT=Lys-C;AC=MS:1001309	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	https://ftp.pride.ebi.ac.uk/pride/data/archive/2019/03/PXD012277/20170802_QEp5_PhHu_SA_Hek_Easy12_FlipInGFP_Dox_11.raw	20170802_QEp5_PhHu_SA_Hek_Easy12_FlipInGFP_Dox_11.raw	compound: drug doxycycline	GFP
Sample 3	Homo sapiens	not available	not available	not available	not available	not available	not available	doxycycline	compound: drug doxycycline	GFP	not available	HEK FlpIn TREX	3	cell	run 3	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	1	1	AC=MS:1002523;NT=Q Exactive HF	6 ppm	0.5 Da	AC=MS:1000422;NT=HCD	27% NCE	AC=MS:1001251;NT=Trypsin	NT=Lys-C;AC=MS:1001309	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	https://ftp.pride.ebi.ac.uk/pride/data/archive/2019/03/PXD012277/20170802_QEp5_PhHu_SA_Hek_Easy12_FlipInGFP_Dox_12.raw	20170802_QEp5_PhHu_SA_Hek_Easy12_FlipInGFP_Dox_12.raw	compound: drug doxycycline	GFP
Sample 4	Homo sapiens	not available	not available	not available	not available	not available	not available	control	compound: none	GFP	not available	HEK FlpIn TREX	1	cell	run 4	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	1	1	AC=MS:1002523;NT=Q Exactive HF	6 ppm	0.5 Da	AC=MS:1000422;NT=HCD	27% NCE	AC=MS:1001251;NT=Trypsin	NT=Lys-C;AC=MS:1001309	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	https://ftp.pride.ebi.ac.uk/pride/data/archive/2019/03/PXD012277/20170802_QEp5_PhHu_SA_Hek_Easy12_FlipInGFP_NoDox_7.raw	20170802_QEp5_PhHu_SA_Hek_Easy12_FlipInGFP_NoDox_7.raw	compound: none	GFP
Sample 5	Homo sapiens	not available	not available	not available	not available	not available	not available	control	compound: none	GFP	not available	HEK FlpIn TREX	2	cell	run 5	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	1	1	AC=MS:1002523;NT=Q Exactive HF	6 ppm	0.5 Da	AC=MS:1000422;NT=HCD	27% NCE	AC=MS:1001251;NT=Trypsin	NT=Lys-C;AC=MS:1001309	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	https://ftp.pride.ebi.ac.uk/pride/data/archive/2019/03/PXD012277/20170802_QEp5_PhHu_SA_Hek_Easy12_FlipInGFP_NoDox_8.raw	20170802_QEp5_PhHu_SA_Hek_Easy12_FlipInGFP_NoDox_8.raw	compound: none	GFP
Sample 6	Homo sapiens	not available	not available	not available	not available	not available	not available	control	compound: none	GFP	not available	HEK FlpIn TREX	3	cell	run 6	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	1	1	AC=MS:1002523;NT=Q Exactive HF	6 ppm	0.5 Da	AC=MS:1000422;NT=HCD	27% NCE	AC=MS:1001251;NT=Trypsin	NT=Lys-C;AC=MS:1001309	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	https://ftp.pride.ebi.ac.uk/pride/data/archive/2019/03/PXD012277/20170802_QEp5_PhHu_SA_Hek_Easy12_FlipInGFP_NoDox_9.raw	20170802_QEp5_PhHu_SA_Hek_Easy12_FlipInGFP_NoDox_9.raw	compound: none	GFP
Sample 7	Homo sapiens	not available	not available	not available	not available	not available	not available	doxycycline	compound: drug doxycycline	OASL	not available	HEK FlpIn TREX	1	cell	run 7	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	1	1	AC=MS:1002523;NT=Q Exactive HF	6 ppm	0.5 Da	AC=MS:1000422;NT=HCD	27% NCE	AC=MS:1001251;NT=Trypsin	NT=Lys-C;AC=MS:1001309	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	https://ftp.pride.ebi.ac.uk/pride/data/archive/2019/03/PXD012277/20170802_QEp5_PhHu_SA_Hek_Easy12_FlipInOASL_Dox_13.raw	20170802_QEp5_PhHu_SA_Hek_Easy12_FlipInOASL_Dox_13.raw	compound: drug doxycycline	OASL
Sample 8	Homo sapiens	not available	not available	not available	not available	not available	not available	doxycycline	compound: drug doxycycline	OASL	not available	HEK FlpIn TREX	2	cell	run 8	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	1	1	AC=MS:1002523;NT=Q Exactive HF	6 ppm	0.5 Da	AC=MS:1000422;NT=HCD	27% NCE	AC=MS:1001251;NT=Trypsin	NT=Lys-C;AC=MS:1001309	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	https://ftp.pride.ebi.ac.uk/pride/data/archive/2019/03/PXD012277/20170802_QEp5_PhHu_SA_Hek_Easy12_FlipInOASL_Dox_14.raw	20170802_QEp5_PhHu_SA_Hek_Easy12_FlipInOASL_Dox_14.raw	compound: drug doxycycline	OASL
Sample 9	Homo sapiens	not available	not available	not available	not available	not available	not available	doxycycline	compound: drug doxycycline	OASL	not available	HEK FlpIn TREX	3	cell	run 9	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	1	1	AC=MS:1002523;NT=Q Exactive HF	6 ppm	0.5 Da	AC=MS:1000422;NT=HCD	27% NCE	AC=MS:1001251;NT=Trypsin	NT=Lys-C;AC=MS:1001309	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	https://ftp.pride.ebi.ac.uk/pride/data/archive/2019/03/PXD012277/20170802_QEp5_PhHu_SA_Hek_Easy12_FlipInOASL_Dox_15.raw	20170802_QEp5_PhHu_SA_Hek_Easy12_FlipInOASL_Dox_15.raw	compound: drug doxycycline	OASL
Sample 10	Homo sapiens	not available	not available	not available	not available	not available	not available	control	compound: none	OASL	not available	HEK FlpIn TREX	1	cell	run 10	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	1	1	AC=MS:1002523;NT=Q Exactive HF	6 ppm	0.5 Da	AC=MS:1000422;NT=HCD	27% NCE	AC=MS:1001251;NT=Trypsin	NT=Lys-C;AC=MS:1001309	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	https://ftp.pride.ebi.ac.uk/pride/data/archive/2019/03/PXD012277/20170802_QEp5_PhHu_SA_Hek_Easy12_FlipInOASL_noDox_16.raw	20170802_QEp5_PhHu_SA_Hek_Easy12_FlipInOASL_noDox_16.raw	compound: none	OASL
Sample 11	Homo sapiens	not available	not available	not available	not available	not available	not available	control	compound: none	OASL	not available	HEK FlpIn TREX	2	cell	run 11	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	1	1	AC=MS:1002523;NT=Q Exactive HF	6 ppm	0.5 Da	AC=MS:1000422;NT=HCD	27% NCE	AC=MS:1001251;NT=Trypsin	NT=Lys-C;AC=MS:1001309	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	https://ftp.pride.ebi.ac.uk/pride/data/archive/2019/03/PXD012277/20170802_QEp5_PhHu_SA_Hek_Easy12_FlipInOASL_noDox_17.raw	20170802_QEp5_PhHu_SA_Hek_Easy12_FlipInOASL_noDox_17.raw	compound: none	OASL
