Source Name	Characteristics[organism]	Characteristics[organism part]	Characteristics[developmental stage]	Characteristics[age]	Characteristics[sex]	Characteristics[disease]	characteristics[cell type]	Characteristics[compound]	Characteristics[phenotype]	Characteristics[bait]	Characteristics[cell line]	assay name	comment[label]	comment[biological replicate]	comment[technical replicate]	comment[fraction identifier]	comment[instrument]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[dissociation method]	comment[collision energy]	comment[cleavage agent details]	comment[cleavage agent details]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[file uri]	comment[data file]	Material Type	factor value[phenotype]	factor value[bait]
Sample 1	Homo sapiens	not available	not available	not available	not available	not available	not available	doxycycline	compound: drug doxycycline	GFP	HEK FlpIn TREX	run 1	AC=MS:1002038;NT=label free sample	1	1	1	AC=MS:1002523;NT=Q Exactive HF	6 ppm	0.5 Da	AC=MS:1000422;NT=HCD	27% NCE	AC=MS:1001251;NT=Trypsin	NT=Lys-C;AC=MS:1001309	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/03/PXD012277/20170802_QEp5_PhHu_SA_Hek_Easy12_FlipInGFP_Dox_10.raw	20170802_QEp5_PhHu_SA_Hek_Easy12_FlipInGFP_Dox_10.raw	cell	compound: drug doxycycline	GFP
Sample 2	Homo sapiens	not available	not available	not available	not available	not available	not available	doxycycline	compound: drug doxycycline	GFP	HEK FlpIn TREX	run 2	AC=MS:1002038;NT=label free sample	2	1	1	AC=MS:1002523;NT=Q Exactive HF	6 ppm	0.5 Da	AC=MS:1000422;NT=HCD	27% NCE	AC=MS:1001251;NT=Trypsin	NT=Lys-C;AC=MS:1001309	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/03/PXD012277/20170802_QEp5_PhHu_SA_Hek_Easy12_FlipInGFP_Dox_11.raw	20170802_QEp5_PhHu_SA_Hek_Easy12_FlipInGFP_Dox_11.raw	cell	compound: drug doxycycline	GFP
Sample 3	Homo sapiens	not available	not available	not available	not available	not available	not available	doxycycline	compound: drug doxycycline	GFP	HEK FlpIn TREX	run 3	AC=MS:1002038;NT=label free sample	3	1	1	AC=MS:1002523;NT=Q Exactive HF	6 ppm	0.5 Da	AC=MS:1000422;NT=HCD	27% NCE	AC=MS:1001251;NT=Trypsin	NT=Lys-C;AC=MS:1001309	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/03/PXD012277/20170802_QEp5_PhHu_SA_Hek_Easy12_FlipInGFP_Dox_12.raw	20170802_QEp5_PhHu_SA_Hek_Easy12_FlipInGFP_Dox_12.raw	cell	compound: drug doxycycline	GFP
Sample 4	Homo sapiens	not available	not available	not available	not available	not available	not available	control	compound: none	GFP	HEK FlpIn TREX	run 4	AC=MS:1002038;NT=label free sample	1	1	1	AC=MS:1002523;NT=Q Exactive HF	6 ppm	0.5 Da	AC=MS:1000422;NT=HCD	27% NCE	AC=MS:1001251;NT=Trypsin	NT=Lys-C;AC=MS:1001309	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/03/PXD012277/20170802_QEp5_PhHu_SA_Hek_Easy12_FlipInGFP_NoDox_7.raw	20170802_QEp5_PhHu_SA_Hek_Easy12_FlipInGFP_NoDox_7.raw	cell	compound: none	GFP
Sample 5	Homo sapiens	not available	not available	not available	not available	not available	not available	control	compound: none	GFP	HEK FlpIn TREX	run 5	AC=MS:1002038;NT=label free sample	2	1	1	AC=MS:1002523;NT=Q Exactive HF	6 ppm	0.5 Da	AC=MS:1000422;NT=HCD	27% NCE	AC=MS:1001251;NT=Trypsin	NT=Lys-C;AC=MS:1001309	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/03/PXD012277/20170802_QEp5_PhHu_SA_Hek_Easy12_FlipInGFP_NoDox_8.raw	20170802_QEp5_PhHu_SA_Hek_Easy12_FlipInGFP_NoDox_8.raw	cell	compound: none	GFP
Sample 6	Homo sapiens	not available	not available	not available	not available	not available	not available	control	compound: none	GFP	HEK FlpIn TREX	run 6	AC=MS:1002038;NT=label free sample	3	1	1	AC=MS:1002523;NT=Q Exactive HF	6 ppm	0.5 Da	AC=MS:1000422;NT=HCD	27% NCE	AC=MS:1001251;NT=Trypsin	NT=Lys-C;AC=MS:1001309	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/03/PXD012277/20170802_QEp5_PhHu_SA_Hek_Easy12_FlipInGFP_NoDox_9.raw	20170802_QEp5_PhHu_SA_Hek_Easy12_FlipInGFP_NoDox_9.raw	cell	compound: none	GFP
Sample 7	Homo sapiens	not available	not available	not available	not available	not available	not available	doxycycline	compound: drug doxycycline	OASL	HEK FlpIn TREX	run 7	AC=MS:1002038;NT=label free sample	1	1	1	AC=MS:1002523;NT=Q Exactive HF	6 ppm	0.5 Da	AC=MS:1000422;NT=HCD	27% NCE	AC=MS:1001251;NT=Trypsin	NT=Lys-C;AC=MS:1001309	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/03/PXD012277/20170802_QEp5_PhHu_SA_Hek_Easy12_FlipInOASL_Dox_13.raw	20170802_QEp5_PhHu_SA_Hek_Easy12_FlipInOASL_Dox_13.raw	cell	compound: drug doxycycline	OASL
Sample 8	Homo sapiens	not available	not available	not available	not available	not available	not available	doxycycline	compound: drug doxycycline	OASL	HEK FlpIn TREX	run 8	AC=MS:1002038;NT=label free sample	2	1	1	AC=MS:1002523;NT=Q Exactive HF	6 ppm	0.5 Da	AC=MS:1000422;NT=HCD	27% NCE	AC=MS:1001251;NT=Trypsin	NT=Lys-C;AC=MS:1001309	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/03/PXD012277/20170802_QEp5_PhHu_SA_Hek_Easy12_FlipInOASL_Dox_14.raw	20170802_QEp5_PhHu_SA_Hek_Easy12_FlipInOASL_Dox_14.raw	cell	compound: drug doxycycline	OASL
Sample 9	Homo sapiens	not available	not available	not available	not available	not available	not available	doxycycline	compound: drug doxycycline	OASL	HEK FlpIn TREX	run 9	AC=MS:1002038;NT=label free sample	3	1	1	AC=MS:1002523;NT=Q Exactive HF	6 ppm	0.5 Da	AC=MS:1000422;NT=HCD	27% NCE	AC=MS:1001251;NT=Trypsin	NT=Lys-C;AC=MS:1001309	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/03/PXD012277/20170802_QEp5_PhHu_SA_Hek_Easy12_FlipInOASL_Dox_15.raw	20170802_QEp5_PhHu_SA_Hek_Easy12_FlipInOASL_Dox_15.raw	cell	compound: drug doxycycline	OASL
Sample 10	Homo sapiens	not available	not available	not available	not available	not available	not available	control	compound: none	OASL	HEK FlpIn TREX	run 10	AC=MS:1002038;NT=label free sample	1	1	1	AC=MS:1002523;NT=Q Exactive HF	6 ppm	0.5 Da	AC=MS:1000422;NT=HCD	27% NCE	AC=MS:1001251;NT=Trypsin	NT=Lys-C;AC=MS:1001309	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/03/PXD012277/20170802_QEp5_PhHu_SA_Hek_Easy12_FlipInOASL_noDox_16.raw	20170802_QEp5_PhHu_SA_Hek_Easy12_FlipInOASL_noDox_16.raw	cell	compound: none	OASL
