Source Name	Characteristics[organism]	Characteristics[disease]	Characteristics[organism part]	Characteristics[organism part]	Characteristics[cell line]	Comment[proteomexchange accession number]	Comment[data file]	Comment[Associated file URI]	Comment[instrument]	Comment[modification parameters]	Comment[modification parameters]	Comment[modification parameters]	Comment[cleavage agent details]	Material Type	Description	Comment[Label]	Comment[fragment mass tolerance]	Comment[precursor mass tolerance]
Sample 1	homo sapiens	chronic myelogenous leukemia	blood	bone marrow	K562	PXD005942	000194_A01_P0001134_B00_A00_R1.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/03/PXD005942/000194_A01_P0001134_B00_A00_R1.RAW	AC=MS:1000639;NM=LTQ Orbitrap XL ETD	NM=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NM=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Fixed	NM=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	AC=MS:1001251;NM=Trypsin	cell	kinome	AC=MS:1002038;NM=label free sample	0.6 Da	20 ppm
Sample 2	homo sapiens	lung adenocarcinoma	lung	epithelium of bronchiole	EKVX	PXD005942	000194_B01_P0001135_B00_A00_R1.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/03/PXD005942/000194_B01_P0001135_B00_A00_R1.RAW	AC=MS:1000639;NM=LTQ Orbitrap XL ETD	NM=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NM=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Fixed	NM=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	AC=MS:1001251;NM=Trypsin	cell	kinome	AC=MS:1002038;NM=label free sample	0.6 Da	20 ppm
Sample 3	homo sapiens	lung adenocarcinoma	lung	epithelium of bronchiole	HOP62	PXD005942	000194_C01_P0001136_B00_A00_R2.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/03/PXD005942/000194_C01_P0001136_B00_A00_R2.RAW	AC=MS:1000639;NM=LTQ Orbitrap XL ETD	NM=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NM=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Fixed	NM=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	AC=MS:1001251;NM=Trypsin	cell	kinome	AC=MS:1002038;NM=label free sample	0.6 Da	20 ppm
Sample 4	homo sapiens	non-small cell lung carcinoma	lung		HOP92	PXD005942	000194_D01_P0001137_B00_A00_R1.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/03/PXD005942/000194_D01_P0001137_B00_A00_R1.RAW	AC=MS:1000639;NM=LTQ Orbitrap XL ETD	NM=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NM=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Fixed	NM=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	AC=MS:1001251;NM=Trypsin	cell	kinome	AC=MS:1002038;NM=label free sample	0.6 Da	20 ppm
Sample 43	homo sapiens	adult acute myeloid leukemia	blood	bone marrow	HL-60	PXD005942	000120_A02_P000698_B00_A00_R1.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/03/PXD005942/000120_A02_P000698_B00_A00_R1.RAW	AC=MS:1000639;NM=LTQ Orbitrap XL ETD	NM=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NM=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Fixed	NM=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	AC=MS:1001251;NM=Trypsin	cell	kinome	AC=MS:1002038;NM=label free sample	0.6 Da	20 ppm
Sample 44	homo sapiens	invasive ductal carcinoma	pleura	mammary gland	T47D	PXD005942	000120_H01_P000699_B00_A00_R1.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/03/PXD005942/000120_H01_P000699_B00_A00_R1.RAW	AC=MS:1000639;NM=LTQ Orbitrap XL ETD	NM=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NM=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Fixed	NM=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	AC=MS:1001251;NM=Trypsin	cell	kinome	AC=MS:1002038;NM=label free sample	0.6 Da	20 ppm
Sample 45	homo sapiens	breast adenocarcinoma	breast	mammary gland	MDAMB453	PXD005942	000120_G01_P000700_B00_A00_R1.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/03/PXD005942/000120_G01_P000700_B00_A00_R1.RAW	AC=MS:1000639;NM=LTQ Orbitrap XL ETD	NM=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NM=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Fixed	NM=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	AC=MS:1001251;NM=Trypsin	cell	kinome	AC=MS:1002038;NM=label free sample	0.6 Da	20 ppm
Sample 46	homo sapiens	lung adenocarcinoma	lung	epithelium of bronchiole	A-549 cell	PXD005942	000120_F01_P000701_B00_A00_R1.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/03/PXD005942/000120_F01_P000701_B00_A00_R1.RAW	AC=MS:1000639;NM=LTQ Orbitrap XL ETD	NM=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NM=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Fixed	NM=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	AC=MS:1001251;NM=Trypsin	cell	kinome	AC=MS:1002038;NM=label free sample	0.6 Da	20 ppm
Sample 47	homo sapiens	invasive ductal carcinoma	breast	mammary gland	HS578T	PXD005942	000120_E01_P000702_B00_A00_R1.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/03/PXD005942/000120_E01_P000702_B00_A00_R1.RAW	AC=MS:1000639;NM=LTQ Orbitrap XL ETD	NM=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NM=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Fixed	NM=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	AC=MS:1001251;NM=Trypsin	cell	kinome	AC=MS:1002038;NM=label free sample	0.6 Da	20 ppm
Sample 48	homo sapiens	invasive ductal carcinoma	breast	mammary gland	BT549	PXD005942	000120_D01_P000703_B00_A00_R1.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/03/PXD005942/000120_D01_P000703_B00_A00_R1.RAW	AC=MS:1000639;NM=LTQ Orbitrap XL ETD	NM=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NM=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Fixed	NM=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	AC=MS:1001251;NM=Trypsin	cell	kinome	AC=MS:1002038;NM=label free sample	0.6 Da	20 ppm
