source Name	characteristics[organism]	characteristics[disease]	characteristics[organism part]	characteristics[organism part]	characteristics[cell line]	assay name	comment[proteomexchange accession number]	comment[file URI]	comment[instrument]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[cleavage agent details]	Material Type	description	comment[Label]	comment[fragment mass tolerance]	comment[precursor mass tolerance]	comment[data file]
Sample 1	homo sapiens	chronic myelogenous leukemia	blood	bone marrow	K562	run 1	PXD005942	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/03/PXD005942/000194_A01_P0001134_B00_A00_R1.RAW	AC=MS:1000639;NT=LTQ Orbitrap XL ETD	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Fixed	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	AC=MS:1001251;NT=Trypsin	cell	kinome	AC=MS:1002038;NT=label free sample	0.6 Da	20 ppm	000194_A01_P0001134_B00_A00_R1.RAW
Sample 2	homo sapiens	lung adenocarcinoma	lung	epithelium of bronchiole	EKVX	run 2	PXD005942	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/03/PXD005942/000194_B01_P0001135_B00_A00_R1.RAW	AC=MS:1000639;NT=LTQ Orbitrap XL ETD	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Fixed	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	AC=MS:1001251;NT=Trypsin	cell	kinome	AC=MS:1002038;NT=label free sample	0.6 Da	20 ppm	000194_B01_P0001135_B00_A00_R1.RAW
Sample 3	homo sapiens	lung adenocarcinoma	lung	epithelium of bronchiole	HOP62	run 3	PXD005942	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/03/PXD005942/000194_C01_P0001136_B00_A00_R2.RAW	AC=MS:1000639;NT=LTQ Orbitrap XL ETD	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Fixed	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	AC=MS:1001251;NT=Trypsin	cell	kinome	AC=MS:1002038;NT=label free sample	0.6 Da	20 ppm	000194_C01_P0001136_B00_A00_R2.RAW
Sample 4	homo sapiens	non-small cell lung carcinoma	lung	not available	HOP92	run 4	PXD005942	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/03/PXD005942/000194_D01_P0001137_B00_A00_R1.RAW	AC=MS:1000639;NT=LTQ Orbitrap XL ETD	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Fixed	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	AC=MS:1001251;NT=Trypsin	cell	kinome	AC=MS:1002038;NT=label free sample	0.6 Da	20 ppm	000194_D01_P0001137_B00_A00_R1.RAW
Sample 5	homo sapiens	astrocytoma	brain	central nervous system	SF268	run 5	PXD005942	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/03/PXD005942/000194_E01_P0001138_B00_A00_R2.RAW	AC=MS:1000639;NT=LTQ Orbitrap XL ETD	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Fixed	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	AC=MS:1001251;NT=Trypsin	cell	kinome	AC=MS:1002038;NT=label free sample	0.6 Da	20 ppm	000194_E01_P0001138_B00_A00_R2.RAW
Sample 43	homo sapiens	adult acute myeloid leukemia	blood	bone marrow	HL-60	run 6	PXD005942	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/03/PXD005942/000120_A02_P000698_B00_A00_R1.RAW	AC=MS:1000639;NT=LTQ Orbitrap XL ETD	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Fixed	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	AC=MS:1001251;NT=Trypsin	cell	kinome	AC=MS:1002038;NT=label free sample	0.6 Da	20 ppm	000120_A02_P000698_B00_A00_R1.RAW
Sample 44	homo sapiens	invasive ductal carcinoma	pleura	mammary gland	T47D	run 7	PXD005942	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/03/PXD005942/000120_H01_P000699_B00_A00_R1.RAW	AC=MS:1000639;NT=LTQ Orbitrap XL ETD	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Fixed	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	AC=MS:1001251;NT=Trypsin	cell	kinome	AC=MS:1002038;NT=label free sample	0.6 Da	20 ppm	000120_H01_P000699_B00_A00_R1.RAW
Sample 45	homo sapiens	breast adenocarcinoma	breast	mammary gland	MDAMB453	run 8	PXD005942	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/03/PXD005942/000120_G01_P000700_B00_A00_R1.RAW	AC=MS:1000639;NT=LTQ Orbitrap XL ETD	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Fixed	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	AC=MS:1001251;NT=Trypsin	cell	kinome	AC=MS:1002038;NT=label free sample	0.6 Da	20 ppm	000120_G01_P000700_B00_A00_R1.RAW
Sample 46	homo sapiens	lung adenocarcinoma	lung	epithelium of bronchiole	A-549 cell	run 9	PXD005942	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/03/PXD005942/000120_F01_P000701_B00_A00_R1.RAW	AC=MS:1000639;NT=LTQ Orbitrap XL ETD	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Fixed	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	AC=MS:1001251;NT=Trypsin	cell	kinome	AC=MS:1002038;NT=label free sample	0.6 Da	20 ppm	000120_F01_P000701_B00_A00_R1.RAW
Sample 47	homo sapiens	invasive ductal carcinoma	breast	mammary gland	HS578T	run 10	PXD005942	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/03/PXD005942/000120_E01_P000702_B00_A00_R1.RAW	AC=MS:1000639;NT=LTQ Orbitrap XL ETD	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Fixed	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	AC=MS:1001251;NT=Trypsin	cell	kinome	AC=MS:1002038;NT=label free sample	0.6 Da	20 ppm	000120_E01_P000702_B00_A00_R1.RAW
Sample 48	homo sapiens	invasive ductal carcinoma	breast	mammary gland	BT549	run 11	PXD005942	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/03/PXD005942/000120_D01_P000703_B00_A00_R1.RAW	AC=MS:1000639;NT=LTQ Orbitrap XL ETD	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Fixed	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	AC=MS:1001251;NT=Trypsin	cell	kinome	AC=MS:1002038;NT=label free sample	0.6 Da	20 ppm	000120_D01_P000703_B00_A00_R1.RAW
Sample 49	homo sapiens	cutaneous melanoma	skin	melanocytes	SK-MEL-28	run 12	PXD005942	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/03/PXD005942/000120_C01_P000704_B00_A00_R1.RAW	AC=MS:1000639;NT=LTQ Orbitrap XL ETD	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Fixed	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	AC=MS:1001251;NT=Trypsin	cell	kinome	AC=MS:1002038;NT=label free sample	0.6 Da	20 ppm	000120_C01_P000704_B00_A00_R1.RAW
Sample 50	homo sapiens	breast adenocarcinoma	breast	mammary gland	MDAMB231	run 13	PXD005942	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/03/PXD005942/000120_B01_P000705_B00_A00_R1.RAW	AC=MS:1000639;NT=LTQ Orbitrap XL ETD	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Fixed	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	AC=MS:1001251;NT=Trypsin	cell	kinome	AC=MS:1002038;NT=label free sample	0.6 Da	20 ppm	000120_B01_P000705_B00_A00_R1.RAW
Sample 51	homo sapiens	colon adenocarcinoma	colon	colorectum	SW620	run 14	PXD005942	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/03/PXD005942/000120_A01_P000706_B00_A00_R1.RAW	AC=MS:1000639;NT=LTQ Orbitrap XL ETD	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Fixed	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	AC=MS:1001251;NT=Trypsin	cell	kinome	AC=MS:1002038;NT=label free sample	0.6 Da	20 ppm	000120_A01_P000706_B00_A00_R1.RAW
Sample 52	homo sapiens	melanoma	skin	melanocytes	UACC-257	run 15	PXD005942	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/03/PXD005942/000120_B03_P000707_B00_A00_R1.RAW	AC=MS:1000639;NT=LTQ Orbitrap XL ETD	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Fixed	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	AC=MS:1001251;NT=Trypsin	cell	kinome	AC=MS:1002038;NT=label free sample	0.6 Da	20 ppm	000120_B03_P000707_B00_A00_R1.RAW
Sample 53	homo sapiens	amelanotic melanoma	lymph node	not available	LOXIMVI	run 16	PXD005942	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/03/PXD005942/000120_A03_P000708_B00_A00_R1.RAW	AC=MS:1000639;NT=LTQ Orbitrap XL ETD	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Fixed	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	AC=MS:1001251;NT=Trypsin	cell	kinome	AC=MS:1002038;NT=label free sample	0.6 Da	20 ppm	000120_A03_P000708_B00_A00_R1.RAW
Sample 54	homo sapiens	renal cell carcinoma	kidney	renal glomerulus	UO31	run 17	PXD005942	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/03/PXD005942/000120_H02_P000709_B00_A00_R1.RAW	AC=MS:1000639;NT=LTQ Orbitrap XL ETD	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Fixed	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	AC=MS:1001251;NT=Trypsin	cell	kinome	AC=MS:1002038;NT=label free sample	0.6 Da	20 ppm	000120_H02_P000709_B00_A00_R1.RAW
Sample 55	homo sapiens	high grade ovarian serous adenocarcinoma	ovary	fallopian tube	OVCAR5	run 18	PXD005942	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/03/PXD005942/000120_G02_P000710_B00_A00_R1.RAW	AC=MS:1000639;NT=LTQ Orbitrap XL ETD	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Fixed	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	AC=MS:1001251;NT=Trypsin	cell	kinome	AC=MS:1002038;NT=label free sample	0.6 Da	20 ppm	000120_G02_P000710_B00_A00_R1.RAW
